smiles,pAct_JNK3
CCC(CC)NC(=O)c1cccc(-n2cc(NC(=O)Nc3cccc4ccccc34)cn2)c1,6.21
CCC1S/C(=C(\C#N)C(N)=O)N(c2ccc(F)cc2)C1=O,4.49
CCCC(=O)Nc1cc(C)c2c(=O)oc3ccccc3c2n1,4.26
CCCC(=O)Nc1ccc(Cl)c(NC(=O)c2ccc(Br)o2)c1,4.43
CCCCC(=O)Nc1cccc(NC(=O)c2ccc(Br)o2)c1,4.42
CCCCC(=O)Nc1ncc(Br)s1,4.26
CCCCC(=O)Nc1sc2c(c1C(N)=O)CCC2,4.79
CCCN1C=CC(=C2C(=O)c3ccccc3C2=O)C=C1,5.01
CCCN1CCN(c2c(Cl)cccc2NC(=O)c2ccc(Br)o2)CC1,6.05
CCCN1Cc2cccc(C(=O)NCc3ccccc3)c2C1=O,4.24
CCCOc1ccc(C2C(C(=O)c3ccc(C)o3)=C(O)C(=O)N2CCCn2ccnc2)cc1,4.71
CCCOc1ccc(Oc2cc(Nc3ccccc3C(N)=O)c(C(F)(F)F)cn2)cc1,6.85
CCCc1cn(C)nc1-c1ccnc(Nc2ccc(-n3nc(C)nc3C)cc2)c1,5.85
CCCc1nc(SCC(=O)N2CCCC2)c2ccccc2n1,4.3
CCCc1nc(SCC(=O)Nc2cc(C)on2)c2ccccc2n1,4.08
CCCn1cc(NC(=O)C2CC(c3cccc(Br)c3)=NO2)cn1,5.13
CCN(CC)CC(=O)Nc1ccc2c(c1)/C(=C1/S/C(=N/c3cccc(Cl)c3Cl)NC1=O)C(=O)N2,6.16
CCN(CC)CCC(=O)Nc1ccc2c(c1)/C(=C1/S/C(=N/c3cccc(Cl)c3Cl)NC1=O)C(=O)N2,6.43
CCN(CC)CCNC(=O)c1cccc(-n2cc(NC(=O)Nc3ccccc3Cl)cn2)c1,6.86
CCN(CC)CCn1cc(NC(=O)c2cccc(-n3cc(NC(=O)Nc4ccccc4Cl)cn3)c2)cn1,7.68
CCN(CC)S(=O)(=O)c1ccc2[nH]c(COC(=O)c3[nH]nc4ccccc34)nc2c1,6.4
CCN1C=CC(=C2C(=O)c3ccccc3C2=O)C=C1,4.36
CCN1CCC(n2nc(-c3ccnc(NC4CCOCC4)c3)n(-c3ccc4ccccc4c3)c2=O)CC1,6.55
CCN1CCN(c2c(Cl)cccc2NC(=O)c2ccc(Br)o2)CC1,5.890000000000001
CCNC(=O)N1CCC(Nc2cc(-c3c(-c4ccc(F)cc4)nc(S/C=C\C(=O)O)n3C)ccn2)CC1,7.21
