ligand_id,name,a1_seed42_dual_pass,urat1_pose_atom_matcher_in_scope,structural_seed_passes,loose_seed_passes,stored_chemistry_eligible,reconstructed_historical_eligible,loose_seed42_pass,alerts_known,pains_any,brenk,nih,beta_lactam_flag,historical_name_exclusion,structural_control,structural_only_counterfactual_eligible,nomination_status
REP_01948,SUSALIMOD,False,True,0,0,False,False,False,True,False,True,False,False,,False,False,not_nominated
REP_08132,MAX-10181,False,True,0,0,False,False,False,True,False,True,False,False,,False,False,not_nominated
REP_00697,TERUTROBAN,False,True,3,3,True,True,True,True,False,False,False,False,,False,True,reserve_admissible
REP_00015,AMLEXANOX,False,True,3,3,False,False,True,True,False,True,False,False,,False,False,not_nominated
REP_08266,ASP-7657,False,True,3,3,True,True,True,True,False,False,False,False,,False,True,reserve_admissible
REP_08222,LNP-1892,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_08210,CR-3465 FREE ACID,True,True,3,3,True,True,True,True,False,False,False,False,,False,True,primary
REP_04687,CEFAZAFLUR,True,True,3,3,False,False,True,True,False,False,True,True,CEFAZAFLUR,False,False,not_nominated
REP_04681,FANDOSENTAN,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_08137,CHOLYLSARCOSINE C-11,False,True,1,1,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_00153,SULINDAC,False,True,0,0,False,False,False,True,False,True,False,False,,False,False,not_nominated
REP_01147,ADMILPARANT,True,True,2,2,True,True,True,True,False,False,False,False,,False,True,primary
REP_06643,RUNCACIGUAT,True,True,3,3,True,True,True,True,False,False,False,False,,False,True,primary
REP_05846,VERINURAD,False,True,3,3,True,True,True,True,False,False,False,False,,False,True,reserve_admissible
REP_05864,TERN-101,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_07166,BI-671800,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_05813,PALUPIPRANT,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_05763,BRILANESTRANT,False,True,0,1,False,False,False,True,False,True,False,False,,False,False,not_nominated
REP_05729,TOTROMBOPAG,False,False,0,0,False,False,False,True,True,True,False,False,,False,False,not_nominated
REP_07702,AM-211,False,True,1,1,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_07704,PSI-697,True,True,3,3,True,True,True,True,False,False,False,False,,False,True,primary
REP_00729,FLOXACILLIN,False,True,1,3,True,True,True,True,False,False,True,True,,False,False,not_nominated
REP_07645,MK-8245,False,True,1,1,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_07056,ZAVONDEMSTAT,False,True,1,1,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_01458,ANDOLAST,False,False,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_01474,TENIVASTATIN,False,True,2,2,True,True,True,True,False,False,False,False,,False,True,reserve_admissible
REP_03306,GLISAMURIDE,False,False,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_07754,S-3304,False,True,0,0,False,False,False,True,False,True,False,False,,False,False,not_nominated
REP_06990,LY2624803,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_02143,ABITESARTAN,False,True,3,3,True,True,True,True,False,False,False,False,,False,True,reserve_admissible
REP_07040,POCENBRODIB,False,True,3,3,True,True,True,True,False,False,False,False,,False,True,reserve_admissible
REP_01404,SUDEXANOX,False,True,1,1,False,False,False,True,False,True,False,False,,False,False,not_nominated
REP_07859,BMS-963272,False,False,0,0,False,False,False,True,False,True,False,False,,False,False,not_nominated
REP_07910,PF-05241328,False,False,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_05470,RADALBUVIR,True,True,3,3,False,False,True,True,False,True,False,False,,False,False,not_nominated
REP_02001,BGC-20-1531 FREE BASE,False,False,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_04566,SULICRINAT,False,True,1,1,False,False,True,True,False,False,False,False,,False,False,not_nominated
REP_03680,UREDOFOS,False,False,0,0,False,False,False,True,False,True,True,False,,False,False,not_nominated
REP_00857,FONADELPAR,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_01346,BARDOXOLONE,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_05267,RAFABEGRON,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_07899,MK-0752,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_00950,TONAPOFYLLINE,True,True,2,2,True,True,True,True,False,False,False,False,,False,True,primary
REP_04581,CEFAZEDONE,False,True,3,3,True,True,True,True,False,False,True,True,,False,False,not_nominated
REP_02354,CEFCANEL,True,True,1,3,False,False,True,True,False,False,True,True,CEFCANEL,False,False,not_nominated
REP_02650,ASERIPIDE,False,True,3,3,True,True,True,True,False,False,False,False,,False,True,reserve_admissible
REP_08002,PLX-51107,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_06427,OLACAFTOR,False,False,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_08064,INZOMELID,False,False,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_04977,PF-04991532,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_00077,PARECOXIB,False,False,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_01178,ALEGLITAZAR,False,True,3,3,True,True,True,True,False,False,False,False,,False,True,reserve_admissible
REP_06583,POSENACAFTOR,False,True,3,3,True,True,True,True,False,False,False,False,,False,True,reserve_admissible
REP_01181,JT-001,False,False,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_08143,AZD-8075,False,True,3,3,True,True,True,True,False,False,False,False,,False,True,reserve_admissible
REP_06722,MARBOFLOXACIN,True,True,1,1,False,False,True,True,False,False,False,False,FLOXACIN;MARBOFLOXACIN,False,False,not_nominated
REP_01598,PRADOFLOXACIN,False,True,2,2,False,False,True,True,False,False,False,False,FLOXACIN,False,True,not_nominated
REP_02379,MK-3577,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_07300,RISELCAFTOR,False,False,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_08161,CHOLYLSARCOSINE,False,True,2,2,True,True,True,True,False,False,False,False,,False,True,reserve_admissible
REP_07101,VAMAGLOXISTAT,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_06986,R-348,False,False,0,0,False,False,False,True,False,True,False,False,,False,False,not_nominated
REP_04582,ECENOFLOXACIN,False,True,0,0,False,False,False,True,False,False,False,False,FLOXACIN,False,False,not_nominated
REP_00940,LANIFIBRANOR,True,True,3,3,True,True,True,True,False,False,False,False,,False,True,primary
REP_05113,PF-06291874,False,True,1,1,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_05141,LINTITRIPT,True,True,3,3,True,True,True,True,False,False,False,False,,False,True,primary
REP_01601,ACORAFLOXACIN,False,True,0,0,False,False,False,True,False,False,False,False,FLOXACIN,False,False,not_nominated
REP_01310,NRX195183,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_07874,AZD-9898,False,True,1,1,False,False,False,True,False,True,True,False,,False,False,not_nominated
REP_00745,PRADIGASTAT,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_05543,PRS-211375,False,True,3,3,False,False,True,True,False,True,False,False,,False,False,not_nominated
REP_01494,BALOFLOXACIN,False,True,0,0,False,False,False,True,False,False,False,False,FLOXACIN,False,False,not_nominated
REP_03974,FLORANTYRONE,False,True,3,3,True,True,True,True,False,False,False,False,,False,True,reserve_admissible
REP_06973,AMBRUTICIN,False,True,2,2,False,False,False,True,False,True,False,False,,False,False,not_nominated
REP_04229,PRAZOCILLIN,False,True,0,0,False,False,False,True,False,False,True,True,,False,False,not_nominated
REP_00944,GLYCOCHOLIC ACID,False,True,3,3,True,True,True,True,False,False,False,False,,False,True,reserve_admissible
REP_07055,ZATONACAFTOR,False,False,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_07880,RINTODESTRANT,False,True,0,0,False,False,False,True,False,True,False,False,,False,False,not_nominated
REP_00308,GLYBURIDE,False,False,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_05466,OSI-027,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_06668,SAFUSIDENIB,False,True,0,0,False,False,False,True,False,True,False,False,,False,False,not_nominated
REP_00092,REPAGLINIDE,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_08014,KIO-100,True,True,3,3,False,False,True,True,False,True,False,False,KIO-100,False,False,not_nominated
REP_00325,FLURBIPROFEN,False,True,1,1,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_00300,ESFLURBIPROFEN,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_00572,TARENFLURBIL,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_05440,LY-295501,False,False,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_05567,BGC-20-1531,False,False,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_01595,ITRIGLUMIDE,False,True,1,1,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_00476,TIANEPTINE,False,True,0,0,False,False,False,True,False,True,False,False,,False,False,not_nominated
REP_03855,FENDOSAL,False,True,1,2,False,False,True,True,True,False,False,False,,False,False,not_nominated
REP_05411,GRAPIPRANT,False,False,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_05302,SPIROGLUMIDE,True,True,3,3,True,True,True,True,False,False,False,False,,False,True,primary
REP_04246,PHTHALYLSULFAMETHIZOLE,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_04975,AZD-6482,False,True,0,0,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_08103,AGG-523,False,True,3,3,True,True,True,True,False,False,False,False,,False,True,reserve_admissible
REP_07338,ACT-774312,True,True,3,3,False,False,True,True,False,True,False,False,,False,False,not_nominated
REP_05869,ESAFLOXACIN,False,True,0,0,False,False,False,True,False,False,False,False,FLOXACIN,False,False,not_nominated
REP_02366,AZD1981,False,True,2,2,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_05906,BREQUINAR,False,True,1,1,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_00698,ZABOFLOXACIN,False,True,1,1,False,False,True,True,False,True,False,False,FLOXACIN,False,False,not_nominated
REP_05784,LIDORESTAT,False,True,2,2,False,False,False,True,False,True,False,False,,False,False,not_nominated
REP_07105,MAVODELPAR,False,True,0,0,False,False,False,True,False,True,False,False,,False,False,not_nominated
REP_07126,VONAFEXOR,False,True,1,1,False,False,True,True,False,False,False,False,,False,False,not_nominated
REP_04990,GW590735,False,True,2,2,True,True,True,True,False,False,False,False,,False,True,reserve_admissible
REP_00207,LESINURAD,False,True,3,3,True,True,True,True,False,False,False,False,,False,True,reserve_admissible
REP_05219,TOSUFLOXACIN,False,True,0,0,False,False,False,True,False,False,False,False,FLOXACIN,False,False,not_nominated
REP_05724,ATX08-001,False,False,0,0,False,False,False,True,False,True,False,False,,False,False,not_nominated
REP_07907,GSK-3008348 FREE BASE,True,True,3,3,True,True,True,True,False,False,False,False,,True,False,not_nominated
REP_00992,CAFICRESTAT,True,True,3,3,True,True,True,True,False,False,False,False,,False,True,primary
REP_04463,FUMOXICILLIN,False,True,0,1,False,False,False,True,False,True,True,True,,False,False,not_nominated
REP_01274,VELIFLAPON,False,True,1,1,False,False,False,True,False,False,False,False,,False,False,not_nominated
REP_07015,PULIGINURAD,False,True,3,3,True,True,True,True,False,False,False,False,,False,True,reserve_admissible
