pair,analysis_set,estimand,score_definition,comparison,n_pos,n_neg,n_neither,independent,reported,ci_lo,ci_hi,n_boot_total,n_boot_valid,ligand_ids_pos,source_result_file,source,n_complete,interpretation
PPARG/PPARA,main,delta_AUROC_incremental,"ECFP4+docking minus ECFP4, same OOF folds",D_vs_A,32,31,,-0.01310483870967738,-0.0131,,,,,,paired same-fold subtraction,pre_fix unchanged pair; copied from independent audit,,
PPARG/PPARA,main,AUROC_ECFP4_OOF,Morgan r=2 2048-bit GroupKFold logistic C=1,D_vs_B,32,32,,0.66796875,0.668,,,,,,independent GroupKFold; deposited incremental_information / ecfp4_incremental,pre_fix unchanged pair; copied from independent audit,,
PPARG/PPARA,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_B,32,32,,0.67578125,0.6758,,,,,,same splits as ECFP4-only,pre_fix unchanged pair; copied from independent audit,,
PPARG/PPARA,main,delta_AUROC_incremental,"ECFP4+docking minus ECFP4, same OOF folds",D_vs_B,32,32,,0.0078125,0.007799999999999918,,,,,,paired same-fold subtraction,pre_fix unchanged pair; copied from independent audit,,
PPARA/PPARD,main,AUROC_ECFP4_OOF,Morgan r=2 2048-bit GroupKFold logistic C=1,D_vs_A,32,32,,0.931640625,0.9316,,,,,,independent GroupKFold; deposited incremental_information / ecfp4_incremental,pre_fix unchanged pair; copied from independent audit,,
PPARA/PPARD,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_A,32,32,,0.927734375,0.9277,,,,,,same splits as ECFP4-only,pre_fix unchanged pair; copied from independent audit,,
PPARA/PPARD,main,delta_AUROC_incremental,"ECFP4+docking minus ECFP4, same OOF folds",D_vs_A,32,32,,-0.00390625,-0.0039000000000000146,,,,,,paired same-fold subtraction,pre_fix unchanged pair; copied from independent audit,,
PPARA/PPARD,main,AUROC_ECFP4_OOF,Morgan r=2 2048-bit GroupKFold logistic C=1,D_vs_B,32,32,,0.8583984375,0.8584,,,,,,independent GroupKFold; deposited incremental_information / ecfp4_incremental,pre_fix unchanged pair; copied from independent audit,,
PPARA/PPARD,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_B,32,32,,0.8349609375,0.835,,,,,,same splits as ECFP4-only,pre_fix unchanged pair; copied from independent audit,,
PPARA/PPARD,main,delta_AUROC_incremental,"ECFP4+docking minus ECFP4, same OOF folds",D_vs_B,32,32,,-0.0234375,-0.023400000000000087,,,,,,paired same-fold subtraction,pre_fix unchanged pair; copied from independent audit,,
PIK3CA/mTOR,independent_GNINA,summary_min,independent GNINA rank-1 minimizedAffinity inverted; not Vina-pose rescoring,,18,12,,0.6324786324786325,0.633,,,,,,gnina_dock_scores_* / scores_gnina_independent_jak1_tyk2_v1.csv,pre_fix unchanged pair; copied from independent audit,,
PIK3CA/mTOR,independent_GNINA,AUROC_D_vs_neither_mean,mean of inverted independent GNINA scores,,18,4,,0.5694444444444444,0.569,,,,,,,pre_fix unchanged pair; copied from independent audit,,
JAK1/TYK2,independent_GNINA,summary_min,independent GNINA rank-1 minimizedAffinity inverted; not Vina-pose rescoring,,30,29,,0.31724137931034485,0.317,,,,,,gnina_dock_scores_* / scores_gnina_independent_jak1_tyk2_v1.csv,pre_fix unchanged pair; copied from independent audit,,
JAK1/TYK2,independent_GNINA,AUROC_D_vs_neither_mean,mean of inverted independent GNINA scores,,30,14,,0.7047619047619048,0.705,,,,,,,pre_fix unchanged pair; copied from independent audit,,
EGFR/HER2,main,AUROC_D_vs_A_pocketB,,,28,38,,0.6607142857142858,,0.5234962406015038,0.7922932330827068,,,,,post_fix recompute from canonical ablation,110,above_0.5; CI_excludes_0.5_above
EGFR/HER2,main,AUROC_D_vs_B_pocketA,,,28,32,,0.3236607142857143,,0.1875,0.4642857142857143,,,,,post_fix recompute from canonical ablation,110,below_0.5; CI_excludes_0.5_below
EGFR/HER2,main,summary_min,,,28,32,,0.3236607142857143,,0.1953125,0.47098214285714285,,,,,post_fix recompute from canonical ablation,110,below_0.5; CI_excludes_0.5_below
EGFR/HER2,main,fixed_score_D_vs_neither_pocketA,,,28,12,,0.7857142857142857,,,,,,,,post_fix recompute from canonical ablation,110,
EGFR/HER2,main,fixed_score_D_vs_B_only_pocketA,,,28,32,,0.3236607142857143,,,,,,,,post_fix recompute from canonical ablation,110,
EGFR/HER2,main,fixed_score_delta_pocketA,,,28,32,12,0.4620535714285714,,0.26152343750000007,0.6507347470238092,,,,,post_fix recompute from canonical ablation,110,positive; CI_excludes_0
EGFR/HER2,main,fixed_score_delta_pocketB,,,28,38,12,0.07738095238095222,,,,,,,,post_fix recompute from canonical ablation,110,
EGFR/HER2,main,AUROC_mean_D_vs_neither,,,28,12,,0.7589285714285714,,0.5534970238095238,0.9226190476190476,,,,,post_fix recompute from canonical ablation,110,above_0.5; CI_excludes_0.5_above
EGFR/HER2,main,AUROC_mean_D_vs_AplusB,,,28,70,,0.49642857142857144,,,,,,,,post_fix recompute from canonical ablation,110,below_0.5
EGFR/HER2,main,delta_summary_min_matched_minus_mismatched,,,28,70,,0.05580357142857145,,-0.040206473214285735,0.15401785714285715,,,,,post_fix recompute from canonical ablation,110,positive; CI_includes_0
EGFR/HER2,main,EF_dual_10,,,28,82,,0.3571428571428572,,,,,,,,post_fix recompute from canonical ablation,110,below_1
EGFR/HER2,main,Top10_D_A_B_N,,,1,10,11,1/5/5/0,,,,,,,,post_fix recompute from canonical ablation,110,
AChE/BChE,main,AUROC_D_vs_A_pocketB,,,27,26,,0.6524216524216524,,0.5013888888888889,0.801994301994302,,,,,post_fix recompute from canonical ablation,96,above_0.5; CI_excludes_0.5_above
AChE/BChE,main,AUROC_D_vs_B_pocketA,,,27,28,,0.6058201058201058,,0.4523478835978836,0.7473544973544973,,,,,post_fix recompute from canonical ablation,96,above_0.5; CI_includes_0.5
AChE/BChE,main,summary_min,,,27,26,,0.6058201058201058,,0.44301994301994296,0.7350427350427351,,,,,post_fix recompute from canonical ablation,96,above_0.5; CI_includes_0.5
AChE/BChE,main,fixed_score_D_vs_neither_pocketA,,,27,15,,0.5901234567901235,,,,,,,,post_fix recompute from canonical ablation,96,
AChE/BChE,main,fixed_score_D_vs_B_only_pocketA,,,27,28,,0.6058201058201058,,,,,,,,post_fix recompute from canonical ablation,96,
AChE/BChE,main,fixed_score_delta_pocketA,,,27,28,15,-0.015696649029982357,,-0.14585978835978844,0.11677910052910057,,,,,post_fix recompute from canonical ablation,96,negative; CI_includes_0
AChE/BChE,main,fixed_score_delta_pocketB,,,27,26,15,0.05622032288698964,,,,,,,,post_fix recompute from canonical ablation,96,
AChE/BChE,main,AUROC_mean_D_vs_neither,,,27,15,,0.6493827160493827,,0.48388888888888887,0.8123456790123457,,,,,post_fix recompute from canonical ablation,96,above_0.5; CI_includes_0.5
AChE/BChE,main,AUROC_mean_D_vs_AplusB,,,27,54,,0.5558984910836763,,,,,,,,post_fix recompute from canonical ablation,96,above_0.5
AChE/BChE,main,delta_summary_min_matched_minus_mismatched,,,27,54,,0.17704517704517708,,0.04975325600325594,0.29732397232397223,,,,,post_fix recompute from canonical ablation,96,positive; CI_excludes_0
AChE/BChE,main,EF_dual_10,,,27,69,,1.7777777777777777,,,,,,,,post_fix recompute from canonical ablation,96,above_1
AChE/BChE,main,Top10_D_A_B_N,,,5,5,10,5/3/1/1,,,,,,,,post_fix recompute from canonical ablation,96,
