status,check,pair,file,reported,independent,extra
WARNING,acyclic ligands have an empty Bemis-Murcko core; production GroupKFold uses singleton NONE:ligand groups,PPARG/PPARA,analyze_five_pair_stack_v1.py:275-277,,3,"['PGPA_029', 'PGPA_097', 'PGPA_099']"
WARNING,ligand-level source document IDs are not deposited for this pair,PPARG/PPARA,document_blocked_ligand_groups_v1.csv covers only EGFR/AChE/PIK3CA,,109,
PASS,primary experimental states equal theta=6.0 from pChEMBL,PPARA/PPARD,,,110,
PASS,strict 6.5/5.5 sampling labels coincide with theta=6.0 on this panel,PPARA/PPARD,,,,
PASS,raw Vina affinity sign-corrected S=-E matches membership scores,PPARA/PPARD,,,,
WARNING,acyclic ligands have an empty Bemis-Murcko core; production GroupKFold uses singleton NONE:ligand groups,PPARA/PPARD,analyze_five_pair_stack_v1.py:275-277,,1,['PAPD_097']
WARNING,ligand-level source document IDs are not deposited for this pair,PPARA/PPARD,document_blocked_ligand_groups_v1.csv covers only EGFR/AChE/PIK3CA,,110,
PASS,"summary_min equals min(D/A, D/B) point estimates",EGFR/HER2,,,0.4296875,
PASS,sign-flip AUROC satisfies 1-AUC,EGFR/HER2,,,,D_vs_A
PASS,Figure 2 plotted directional AUROCs match independent recompute,EGFR/HER2,,,,
PASS,summary_min CI is not identical to either directional CI (min taken inside each replicate),EGFR/HER2,,,smin_hi=0.577505 weaker_arm_hi=0.579012,
PASS,independent non-stratified bootstrap recovers locked summary_min CI within 0.005,EGFR/HER2,,"[0.2817924317062248,0.5775046404364821]","[0.2818,0.5775]",
PASS,"EGFR/HER2 pocket-A dual-vs-B-only 0.430 vs neither 0.808, Δ=0.378",EGFR/HER2,,,0.3783482142857143,
PASS,matched assignment is D/A pocket B and D/B pocket A,EGFR/HER2,,,,
PASS,"Top-10% D/A/B/N recomputed from vina_mean, ties by ligand_id",EGFR/HER2,,,1/5/5/0 of k=11,
PASS,"EF_dual,10%=(Dtop/k)/(Dtotal/n) on full four-state panel",EGFR/HER2,,,0.3571428571428572,
PASS,Table 2 bootstrap uses pooled dual+A+B resample; both arms share the same draw,EGFR/HER2,,,2000,
PASS,"summary_min equals min(D/A, D/B) point estimates",JAK1/JAK2,,,0.58837890625,
PASS,sign-flip AUROC satisfies 1-AUC,JAK1/JAK2,,,,D_vs_A
PASS,Figure 2 plotted directional AUROCs match independent recompute,JAK1/JAK2,,,,
PASS,summary_min CI is not identical to either directional CI (min taken inside each replicate),JAK1/JAK2,,,smin_hi=0.724579 weaker_arm_hi=0.729207,
PASS,independent non-stratified bootstrap recovers locked summary_min CI within 0.005,JAK1/JAK2,,"[0.4444173177083333,0.7245793185309313]","[0.4444,0.7246]",
PASS,matched assignment is D/A pocket B and D/B pocket A,JAK1/JAK2,,,,
PASS,"Top-10% D/A/B/N recomputed from vina_mean, ties by ligand_id",JAK1/JAK2,,,6/5/0/0 of k=11,
PASS,"EF_dual,10%=(Dtop/k)/(Dtotal/n) on full four-state panel",JAK1/JAK2,,,1.875,
PASS,Table 2 bootstrap uses pooled dual+A+B resample; both arms share the same draw,JAK1/JAK2,,,2000,
PASS,"summary_min equals min(D/A, D/B) point estimates",JAK1/TYK2,,,0.3649193548387097,
PASS,sign-flip AUROC satisfies 1-AUC,JAK1/TYK2,,,,D_vs_A
PASS,Figure 2 plotted directional AUROCs match independent recompute,JAK1/TYK2,,,,
PASS,summary_min CI is not identical to either directional CI (min taken inside each replicate),JAK1/TYK2,,,smin_hi=0.503032 weaker_arm_hi=0.505059,
PASS,independent non-stratified bootstrap recovers locked summary_min CI within 0.005,JAK1/TYK2,,"[0.230550455346651,0.5030321852060983]","[0.2306,0.5030]",
PASS,JAK1/TYK2 pocket-A fixed-score ΔAUROC = 0.444,JAK1/TYK2,,,0.4438364055299539,
PASS,matched assignment is D/A pocket B and D/B pocket A,JAK1/TYK2,,,,
PASS,"Top-10% D/A/B/N recomputed from vina_mean, ties by ligand_id",JAK1/TYK2,,,1/3/7/0 of k=11,
PASS,"EF_dual,10%=(Dtop/k)/(Dtotal/n) on full four-state panel",JAK1/TYK2,,,0.3196480938416422,
PASS,Table 2 bootstrap uses pooled dual+A+B resample; both arms share the same draw,JAK1/TYK2,,,2000,
PASS,"summary_min equals min(D/A, D/B) point estimates",PIK3CA/mTOR,,,0.6921296296296297,
PASS,sign-flip AUROC satisfies 1-AUC,PIK3CA/mTOR,,,,D_vs_A
PASS,Figure 2 plotted directional AUROCs match independent recompute,PIK3CA/mTOR,,,,
PASS,summary_min CI is not identical to either directional CI (min taken inside each replicate),PIK3CA/mTOR,,,smin_hi=0.813337 weaker_arm_hi=0.873808,
PASS,independent non-stratified bootstrap recovers locked summary_min CI within 0.005,PIK3CA/mTOR,,"[0.47021053791887124,0.8133373015873016]","[0.4702,0.8133]",
PASS,matched assignment is D/A pocket B and D/B pocket A,PIK3CA/mTOR,,,,
PASS,"Top-10% D/A/B/N recomputed from vina_mean, ties by ligand_id",PIK3CA/mTOR,,,4/1/0/0 of k=5,
PASS,"EF_dual,10%=(Dtop/k)/(Dtotal/n) on full four-state panel",PIK3CA/mTOR,,,2.1333333333333333,
PASS,Table 2 bootstrap uses pooled dual+A+B resample; both arms share the same draw,PIK3CA/mTOR,,,2000,
PASS,"summary_min equals min(D/A, D/B) point estimates",AChE/BChE,,,0.6058201058201058,
PASS,sign-flip AUROC satisfies 1-AUC,AChE/BChE,,,,D_vs_A
PASS,Figure 2 plotted directional AUROCs match independent recompute,AChE/BChE,,,,
PASS,summary_min CI is not identical to either directional CI (min taken inside each replicate),AChE/BChE,,,smin_hi=0.730321 weaker_arm_hi=0.750994,
PASS,independent non-stratified bootstrap recovers locked summary_min CI within 0.005,AChE/BChE,,"[0.437024154589372,0.73032131661442]","[0.4370,0.7303]",
PASS,matched assignment is D/A pocket B and D/B pocket A,AChE/BChE,,,,
PASS,"Top-10% D/A/B/N recomputed from vina_mean, ties by ligand_id",AChE/BChE,,,5/3/1/1 of k=10,
PASS,"EF_dual,10%=(Dtop/k)/(Dtotal/n) on full four-state panel",AChE/BChE,,,1.7592592592592593,
PASS,Table 2 bootstrap uses pooled dual+A+B resample; both arms share the same draw,AChE/BChE,,,2000,
PASS,"summary_min equals min(D/A, D/B) point estimates",F2/F10,,,0.34475806451612906,
PASS,sign-flip AUROC satisfies 1-AUC,F2/F10,,,,D_vs_A
PASS,Figure 2 plotted directional AUROCs match independent recompute,F2/F10,,,,
PASS,summary_min CI is not identical to either directional CI (min taken inside each replicate),F2/F10,,,smin_hi=0.477305 weaker_arm_hi=0.485571,
PASS,independent non-stratified bootstrap recovers locked summary_min CI within 0.005,F2/F10,,"[0.21092375366568913,0.4773048467127413]","[0.2109,0.4773]",
PASS,matched assignment is D/A pocket B and D/B pocket A,F2/F10,,,,
PASS,"Top-10% D/A/B/N recomputed from vina_mean, ties by ligand_id",F2/F10,,,4/1/6/0 of k=11,
PASS,"EF_dual,10%=(Dtop/k)/(Dtotal/n) on full four-state panel",F2/F10,,,1.2551319648093844,
PASS,Table 2 bootstrap uses pooled dual+A+B resample; both arms share the same draw,F2/F10,,,2000,
PASS,"summary_min equals min(D/A, D/B) point estimates",PPARG/PPARA,,,0.6491935483870968,
PASS,sign-flip AUROC satisfies 1-AUC,PPARG/PPARA,,,,D_vs_A
PASS,Figure 2 plotted directional AUROCs match independent recompute,PPARG/PPARA,,,,
PASS,summary_min CI is not identical to either directional CI (min taken inside each replicate),PPARG/PPARA,,,smin_hi=0.750838 weaker_arm_hi=0.778483,
PASS,independent non-stratified bootstrap recovers locked summary_min CI within 0.005,PPARG/PPARA,,"[0.504459330558446,0.750837597330367]","[0.5045,0.7508]",
PASS,matched assignment is D/A pocket B and D/B pocket A,PPARG/PPARA,,,,
PASS,"Top-10% D/A/B/N recomputed from vina_mean, ties by ligand_id",PPARG/PPARA,,,7/3/0/1 of k=11,
PASS,"EF_dual,10%=(Dtop/k)/(Dtotal/n) on full four-state panel",PPARG/PPARA,,,2.1676136363636362,
PASS,Table 2 bootstrap uses pooled dual+A+B resample; both arms share the same draw,PPARG/PPARA,,,2000,
PASS,"summary_min equals min(D/A, D/B) point estimates",PPARA/PPARD,,,0.4462890625,
PASS,sign-flip AUROC satisfies 1-AUC,PPARA/PPARD,,,,D_vs_A
PASS,Figure 2 plotted directional AUROCs match independent recompute,PPARA/PPARD,,,,
PASS,summary_min CI is not identical to either directional CI (min taken inside each replicate),PPARA/PPARD,,,smin_hi=0.584130 weaker_arm_hi=0.585857,
PASS,independent non-stratified bootstrap recovers locked summary_min CI within 0.005,PPARA/PPARD,,"[0.29583333333333334,0.584130291005291]","[0.2958,0.5841]",
PASS,matched assignment is D/A pocket B and D/B pocket A,PPARA/PPARD,,,,
PASS,"Top-10% D/A/B/N recomputed from vina_mean, ties by ligand_id",PPARA/PPARD,,,5/2/3/1 of k=11,
PASS,"EF_dual,10%=(Dtop/k)/(Dtotal/n) on full four-state panel",PPARA/PPARD,,,1.5625,
PASS,Table 2 bootstrap uses pooled dual+A+B resample; both arms share the same draw,PPARA/PPARD,,,2000,
PASS,Figure 2D JAK1/TYK2 Top-10% 1/3/7/0 matches independent ranking,JAK1/TYK2,,,,
PASS,best descriptor is max of four unflipped summary_min values,EGFR/HER2,,,clogp,
PASS,best descriptor is max of four unflipped summary_min values,AChE/BChE,,,tpsa,
PASS,best descriptor is max of four unflipped summary_min values,PIK3CA/mTOR,,,heavy,
PASS,"physicochemical AUROCs are not max(AUC, 1-AUC); PIK3CA TPSA/cLogP can sit below 0.5",,,,,
PASS,"GroupKFold splits keep each Bemis-Murcko scaffold in train or test, never both",,independent GroupKFold on computed Murcko; production call sites benchmark_formulation_v1.py:418-421 and analyze_five_pair_stack_v1.py:522-524,,,
PASS,16 directional incremental ΔAUROC recomputed; max |Δ|=0.023,,,,0.023400000000000087,
PASS,Figure 3B max |Δ| matches frozen incremental tables,,,,0.023400000000000087,
PASS,primary ECFP4+docking logistic has no StandardScaler; fold-internal scaling is the Table S5 sensitivity only,,docs/MANUSCRIPT_JCIM_EN.md Methods 2.6.1; _cv_auroc has no Pipeline/StandardScaler,,,
PASS,LogisticRegression is fit on training indices only; AUROC uses out-of-fold scores,,independent grouped_oof() and sklearn cross_val_predict in production,,,
PASS,main-panel matched-minus-mismatched Δsummary_min,EGFR/HER2,,,0.1697,
PASS,five-pair matched-minus-mismatched Δsummary_min,JAK1/JAK2,,,-0.01904296875,
PASS,five-pair matched-minus-mismatched Δsummary_min,JAK1/TYK2,,,-0.06451612903225806,
PASS,main-panel matched-minus-mismatched Δsummary_min,PIK3CA/mTOR,,,0.0902,
PASS,main-panel matched-minus-mismatched Δsummary_min,AChE/BChE,,,0.1614,
PASS,five-pair matched-minus-mismatched Δsummary_min,F2/F10,,,-0.030745967741935443,
PASS,five-pair matched-minus-mismatched Δsummary_min,PPARG/PPARA,,,0.029564642137096753,
PASS,five-pair matched-minus-mismatched Δsummary_min,PPARA/PPARD,,,0.01171875,
PASS,holdout matched-minus-mismatched Δsummary_min matches locked CSV,AChE/BChE,,,-0.02499999999999991,
PASS,holdout matched-minus-mismatched Δsummary_min matches locked CSV,PIK3CA/mTOR,,,-0.022499999999999964,
PASS,holdout matched-minus-mismatched Δsummary_min matches locked CSV,JAK1/JAK2,,,0.008333333333333304,
PASS,holdout matched-minus-mismatched Δsummary_min matches locked CSV,JAK1/TYK2,,,0.024999999999999967,
PASS,holdout matched-minus-mismatched Δsummary_min matches locked CSV,F2/F10,,,-0.07894736842105265,
PASS,holdout matched-minus-mismatched Δsummary_min matches locked CSV,PPARG/PPARA,,,0.0060526315789474205,
PASS,holdout matched-minus-mismatched Δsummary_min matches locked CSV,PPARA/PPARD,,,0.15000000000000002,
PASS,"EGFR/HER2 has no unused-pool holdout, matching Figure 4 dagger",EGFR/HER2,,,,
PASS,seven holdout Δsummary_min values span manuscript -0.079 to +0.150,,,,-0.0789 to 0.1500,
PASS,within-pair unused-pool holdout disjoint from main ChEMBL IDs,JAK1/JAK2,,,,
WARNING,holdout shares Bemis-Murcko scaffolds with the same pair's main panel (leftover-pool sampling does not scaffold-split),JAK1/JAK2,,,8,
PASS,within-pair unused-pool holdout disjoint from main ChEMBL IDs,JAK1/TYK2,,,,
WARNING,holdout shares Bemis-Murcko scaffolds with the same pair's main panel (leftover-pool sampling does not scaffold-split),JAK1/TYK2,,,8,
PASS,within-pair unused-pool holdout disjoint from main ChEMBL IDs,PIK3CA/mTOR,,,,
WARNING,holdout shares Bemis-Murcko scaffolds with the same pair's main panel (leftover-pool sampling does not scaffold-split),PIK3CA/mTOR,,,2,
PASS,within-pair unused-pool holdout disjoint from main ChEMBL IDs,AChE/BChE,,,,
WARNING,holdout shares Bemis-Murcko scaffolds with the same pair's main panel (leftover-pool sampling does not scaffold-split),AChE/BChE,,,9,
PASS,within-pair unused-pool holdout disjoint from main ChEMBL IDs,F2/F10,,,,
WARNING,holdout shares Bemis-Murcko scaffolds with the same pair's main panel (leftover-pool sampling does not scaffold-split),F2/F10,,,12,
PASS,within-pair unused-pool holdout disjoint from main ChEMBL IDs,PPARG/PPARA,,,,
WARNING,holdout shares Bemis-Murcko scaffolds with the same pair's main panel (leftover-pool sampling does not scaffold-split),PPARG/PPARA,,,15,
PASS,within-pair unused-pool holdout disjoint from main ChEMBL IDs,PPARA/PPARD,,,,
WARNING,holdout shares Bemis-Murcko scaffolds with the same pair's main panel (leftover-pool sampling does not scaffold-split),PPARA/PPARD,,,17,
PASS,"PM110 is a superset of main PM48 (expanded panel, not a disjoint holdout)",,,,PM48=48 PM110=115 extras=67,
PASS,PIK3CA/mTOR holdout disjoint from PM48 and PM110,,,,,
PASS,EGFR main analysis set is the 110-ligand panel containing the original 40,,,,,
WARNING,holdout IDs appear in a different pair's main panel (per-pair leftover by design),,,,4,JAK1/TYK2→JAK1/JAK2:3; JAK1/JAK2→JAK1/TYK2:3; PPARG/PPARA→PPARA/PPARD:3; PPARA/PPARD→PPARG/PPARA:4
PASS,BindingDB ligands marked independent should not also be in scored-panel structures,,bindingdb_independence_ligands_v1.csv,,0,
PASS,Figure 2A EGFR Δ 0.378 is in plotted_values and equal-score CSV,,,,0.378,
PASS,Figure 2A JAK1/TYK2 Δ 0.444 is in plotted_values and equal-score CSV,,,,0.444,
