pair,analysis_set,estimand,score_definition,comparison,n_pos,n_neg,n_neg_sel,n_neg_neither,independent,reported,ci_lo,ci_hi,source_file
JAK1/TYK2,main,delta_AUROC_ECFP4_plus_docking,"GroupKFold OOF logistic, shared splits",D_vs_A,31,32,,,-0.006048387096774355,-0.006099999999999994,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
JAK1/TYK2,main,AUROC_ECFP4_OOF,"Morgan r=2 2048-bit GroupKFold logistic, no scaler",D_vs_B,31,32,,,0.9022177419354839,0.9022,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
JAK1/TYK2,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_B,31,32,,,0.9032258064516128,0.9032,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
JAK1/TYK2,main,delta_AUROC_ECFP4_plus_docking,"GroupKFold OOF logistic, shared splits",D_vs_B,31,32,,,0.0010080645161288926,0.0010000000000000009,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
PIK3CA/mTOR,main,AUROC_ECFP4_OOF,"Morgan r=2 2048-bit GroupKFold logistic, no scaler",D_vs_A,18,14,,,0.7619047619047619,0.7619,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
PIK3CA/mTOR,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_A,18,14,,,0.7420634920634921,0.7421,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
PIK3CA/mTOR,main,delta_AUROC_ECFP4_plus_docking,"GroupKFold OOF logistic, shared splits",D_vs_A,18,14,,,-0.01984126984126977,-0.01980000000000004,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
PIK3CA/mTOR,main,AUROC_ECFP4_OOF,"Morgan r=2 2048-bit GroupKFold logistic, no scaler",D_vs_B,18,12,,,0.8888888888888888,0.8889,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
PIK3CA/mTOR,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_B,18,12,,,0.8981481481481481,0.8981,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
PIK3CA/mTOR,main,delta_AUROC_ECFP4_plus_docking,"GroupKFold OOF logistic, shared splits",D_vs_B,18,12,,,0.0092592592592593,0.009199999999999986,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
AChE/BChE,main,AUROC_ECFP4_OOF,"Morgan r=2 2048-bit GroupKFold logistic, no scaler",D_vs_A,27,25,,,0.8948148148148148,0.8948,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
AChE/BChE,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_A,27,25,,,0.8933333333333333,0.8933,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
AChE/BChE,main,delta_AUROC_ECFP4_plus_docking,"GroupKFold OOF logistic, shared splits",D_vs_A,27,25,,,-0.001481481481481528,-0.0015000000000000568,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
AChE/BChE,main,AUROC_ECFP4_OOF,"Morgan r=2 2048-bit GroupKFold logistic, no scaler",D_vs_B,27,28,,,0.8214285714285714,0.8214,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
AChE/BChE,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_B,27,28,,,0.8082010582010581,0.8082,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
AChE/BChE,main,delta_AUROC_ECFP4_plus_docking,"GroupKFold OOF logistic, shared splits",D_vs_B,27,28,,,-0.013227513227513255,-0.01319999999999999,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
F2/F10,main,AUROC_ECFP4_OOF,"Morgan r=2 2048-bit GroupKFold logistic, no scaler",D_vs_A,31,32,,,0.936491935483871,0.9365,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
F2/F10,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_A,31,32,,,0.9294354838709677,0.9294,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
F2/F10,main,delta_AUROC_ECFP4_plus_docking,"GroupKFold OOF logistic, shared splits",D_vs_A,31,32,,,-0.007056451612903247,-0.007099999999999995,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
F2/F10,main,AUROC_ECFP4_OOF,"Morgan r=2 2048-bit GroupKFold logistic, no scaler",D_vs_B,31,32,,,0.6653225806451613,0.6653,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
F2/F10,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_B,31,32,,,0.686491935483871,0.6865,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
F2/F10,main,delta_AUROC_ECFP4_plus_docking,"GroupKFold OOF logistic, shared splits",D_vs_B,31,32,,,0.021169354838709742,0.021199999999999997,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
PPARG/PPARA,main,AUROC_ECFP4_OOF,"Morgan r=2 2048-bit GroupKFold logistic, no scaler",D_vs_A,32,31,,,0.8326612903225806,0.8327,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
PPARG/PPARA,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_A,32,31,,,0.8195564516129032,0.8196,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
PPARG/PPARA,main,delta_AUROC_ECFP4_plus_docking,"GroupKFold OOF logistic, shared splits",D_vs_A,32,31,,,-0.01310483870967738,-0.0131,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
PPARG/PPARA,main,AUROC_ECFP4_OOF,"Morgan r=2 2048-bit GroupKFold logistic, no scaler",D_vs_B,32,32,,,0.66796875,0.668,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
PPARG/PPARA,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_B,32,32,,,0.67578125,0.6758,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
PPARG/PPARA,main,delta_AUROC_ECFP4_plus_docking,"GroupKFold OOF logistic, shared splits",D_vs_B,32,32,,,0.0078125,0.007799999999999918,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
PPARA/PPARD,main,AUROC_ECFP4_OOF,"Morgan r=2 2048-bit GroupKFold logistic, no scaler",D_vs_A,32,32,,,0.931640625,0.9316,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
PPARA/PPARD,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_A,32,32,,,0.927734375,0.9277,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
PPARA/PPARD,main,delta_AUROC_ECFP4_plus_docking,"GroupKFold OOF logistic, shared splits",D_vs_A,32,32,,,-0.00390625,-0.0039000000000000146,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
PPARA/PPARD,main,AUROC_ECFP4_OOF,"Morgan r=2 2048-bit GroupKFold logistic, no scaler",D_vs_B,32,32,,,0.8583984375,0.8584,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
PPARA/PPARD,main,AUROC_ECFP4_plus_docking_OOF,same folds as ECFP4; docking score concatenated,D_vs_B,32,32,,,0.8349609375,0.835,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
PPARA/PPARD,main,delta_AUROC_ECFP4_plus_docking,"GroupKFold OOF logistic, shared splits",D_vs_B,32,32,,,-0.0234375,-0.023400000000000087,,,incremental_information_v1.csv / ecfp4_incremental_s20s24_v1.csv
EGFR/HER2,main,delta_summary_min_matched_minus_mismatched,swap existing S_A/S_B; no redock,main dual/A/B,28,70,,,0.16964285714285715,0.1697,,,wrong_pocket_paired_delta_bootstrap_v1.csv / wrong_pocket_paired_delta_v1.csv
JAK1/JAK2,main,delta_summary_min_matched_minus_mismatched,swap existing S_A/S_B; no redock,main dual/A/B,32,64,,,-0.01904296875,-0.019,,,wrong_pocket_paired_delta_bootstrap_v1.csv / wrong_pocket_paired_delta_v1.csv
JAK1/TYK2,main,delta_summary_min_matched_minus_mismatched,swap existing S_A/S_B; no redock,main dual/A/B,31,64,,,-0.06451612903225806,-0.0645,,,wrong_pocket_paired_delta_bootstrap_v1.csv / wrong_pocket_paired_delta_v1.csv
PIK3CA/mTOR,main,delta_summary_min_matched_minus_mismatched,swap existing S_A/S_B; no redock,main dual/A/B,18,26,,,0.09027777777777779,0.0902,,,wrong_pocket_paired_delta_bootstrap_v1.csv / wrong_pocket_paired_delta_v1.csv
AChE/BChE,main,delta_summary_min_matched_minus_mismatched,swap existing S_A/S_B; no redock,main dual/A/B,27,53,,,0.1613756613756614,0.1614,,,wrong_pocket_paired_delta_bootstrap_v1.csv / wrong_pocket_paired_delta_v1.csv
F2/F10,main,delta_summary_min_matched_minus_mismatched,swap existing S_A/S_B; no redock,main dual/A/B,31,64,,,-0.030745967741935443,-0.0307,,,wrong_pocket_paired_delta_bootstrap_v1.csv / wrong_pocket_paired_delta_v1.csv
PPARG/PPARA,main,delta_summary_min_matched_minus_mismatched,swap existing S_A/S_B; no redock,main dual/A/B,32,63,,,0.029564642137096753,0.0296,,,wrong_pocket_paired_delta_bootstrap_v1.csv / wrong_pocket_paired_delta_v1.csv
PPARA/PPARD,main,delta_summary_min_matched_minus_mismatched,swap existing S_A/S_B; no redock,main dual/A/B,32,64,,,0.01171875,0.0117,,,wrong_pocket_paired_delta_bootstrap_v1.csv / wrong_pocket_paired_delta_v1.csv
AChE/BChE,holdout,delta_summary_min_matched_minus_mismatched,swap existing S_A/S_B; no redock,holdout dual/A/B,20,40,,,-0.02499999999999991,-0.025,-0.11192307692307697,0.07142857142857145,holdout scores vs Table S6
AChE/BChE,holdout,summary_min,"min(D/A pocket B, D/B pocket A)",holdout dual/A/B,20,40,,,0.6175,0.618,,,Table S6 / holdout_pocket_matched / wrong_pocket_by_channel
PIK3CA/mTOR,holdout,delta_summary_min_matched_minus_mismatched,swap existing S_A/S_B; no redock,holdout dual/A/B,20,40,,,-0.022499999999999964,-0.0225,-0.11645644423777421,0.07895050125313273,holdout scores vs Table S6
PIK3CA/mTOR,holdout,summary_min,"min(D/A pocket B, D/B pocket A)",holdout dual/A/B,20,40,,,0.765,0.765,,,Table S6 / holdout_pocket_matched / wrong_pocket_by_channel
JAK1/JAK2,holdout,delta_summary_min_matched_minus_mismatched,swap existing S_A/S_B; no redock,holdout dual/A/B,20,38,,,0.008333333333333304,0.0083,-0.08214894480519484,0.11956715838509313,holdout scores vs Table S6
JAK1/JAK2,holdout,summary_min,"min(D/A pocket B, D/B pocket A)",holdout dual/A/B,20,38,,,0.6194444444444445,0.619,,,Table S6 / holdout_pocket_matched / wrong_pocket_by_channel
