pair,ligand,cls,gnina_min_mode01,gnina_min_best9,best_cnn_3POZ,best_cnn_3RCD,best_cnn_4JT6,best_cnn_4L23,best_cnn_ACHE,best_cnn_BCHE,best_cnn_PIK3CA,best_cnn_PIK3CB,best_mode_3POZ,best_mode_3RCD,best_mode_4JT6,best_mode_4L23,best_mode_ACHE,best_mode_BCHE,best_mode_PIK3CA,best_mode_PIK3CB,mode01_is_best_3POZ,mode01_is_best_3RCD,mode01_is_best_4JT6,mode01_is_best_4L23,mode01_is_best_ACHE,mode01_is_best_BCHE,mode01_is_best_PIK3CA,mode01_is_best_PIK3CB
AChE/BChE,AB_061,B_only,0.2860274911,0.8478841186,,,,,0.8560371399,0.8478841186,,,,,,,mode_01,mode_09,,,,,,,1,0,,
AChE/BChE,AB_062,B_only,0.7034772038,0.7803076506,,,,,0.9481667876,0.7803076506,,,,,,,mode_02,mode_01,,,,,,,0,1,,
AChE/BChE,AB_063,B_only,0.2139267325,0.2295175195,,,,,0.2295175195,0.843942225,,,,,,,mode_02,mode_03,,,,,,,0,0,,
AChE/BChE,AB_064,B_only,0.3710970283,0.4179338813,,,,,0.4179338813,0.8043745756,,,,,,,mode_06,mode_04,,,,,,,0,0,,
AChE/BChE,AB_065,B_only,0.7562860847,0.7750782967,,,,,0.9637342095,0.7750782967,,,,,,,mode_01,mode_02,,,,,,,1,0,,
AChE/BChE,AB_066,B_only,0.4823396504,0.775865376,,,,,0.7830468416,0.775865376,,,,,,,mode_02,mode_02,,,,,,,0,0,,
AChE/BChE,AB_067,B_only,0.1879510134,0.636364758,,,,,0.636364758,0.7650936246,,,,,,,mode_04,mode_02,,,,,,,0,0,,
AChE/BChE,AB_068,B_only,0.2016477436,0.5245730281,,,,,0.7392480373,0.5245730281,,,,,,,mode_04,mode_03,,,,,,,0,0,,
AChE/BChE,AB_069,B_only,0.337895751,0.337895751,,,,,0.8645316958,0.337895751,,,,,,,mode_09,mode_01,,,,,,,0,1,,
AChE/BChE,AB_070,B_only,0.4686969221,0.6371452808,,,,,0.6371452808,0.83056283,,,,,,,mode_05,mode_01,,,,,,,0,1,,
AChE/BChE,AB_071,B_only,0.4575417936,0.5993587375,,,,,0.5993587375,0.7458334565,,,,,,,mode_04,mode_04,,,,,,,0,0,,
AChE/BChE,AB_072,B_only,0.4769920111,0.8407259583,,,,,0.9131671786,0.8407259583,,,,,,,mode_03,mode_05,,,,,,,0,0,,
AChE/BChE,AB_073,B_only,0.150875926,0.3681222796,,,,,0.5356508493,0.3681222796,,,,,,,mode_02,mode_08,,,,,,,0,0,,
AChE/BChE,AB_074,B_only,0.446038872,0.7496581078,,,,,0.7496581078,0.8154004812,,,,,,,mode_06,mode_02,,,,,,,0,0,,
AChE/BChE,AB_075,B_only,0.4131619036,0.7590461373,,,,,0.7590461373,0.8378036618,,,,,,,mode_05,mode_03,,,,,,,0,0,,
AChE/BChE,AB_076,B_only,0.3642050326,0.5095560551,,,,,0.5095560551,0.9614453912,,,,,,,mode_07,mode_01,,,,,,,0,1,,
AChE/BChE,AB_077,B_only,0.514036417,0.7612709403,,,,,0.7612709403,0.9063485265,,,,,,,mode_03,mode_01,,,,,,,0,1,,
AChE/BChE,AB_078,B_only,0.1698900759,0.7947852015,,,,,0.8480911255,0.7947852015,,,,,,,mode_03,mode_02,,,,,,,0,0,,
AChE/BChE,AB_079,B_only,0.1588073969,0.8223510385,,,,,0.8223510385,0.9475986958,,,,,,,mode_02,mode_09,,,,,,,0,0,,
AChE/BChE,AB_080,B_only,0.2569650114,0.7217960954,,,,,0.8967576027,0.7217960954,,,,,,,mode_04,mode_04,,,,,,,0,0,,
AChE/BChE,AB_081,B_only,0.1536718309,0.788880825,,,,,0.8240119815,0.788880825,,,,,,,mode_01,mode_03,,,,,,,1,0,,
AChE/BChE,AB_082,B_only,0.2899039388,0.3491981626,,,,,0.3491981626,0.8099263906,,,,,,,mode_06,mode_05,,,,,,,0,0,,
AChE/BChE,AB_083,B_only,0.3043540716,0.45830217,,,,,0.45830217,0.8023096919,,,,,,,mode_03,mode_03,,,,,,,0,0,,
AChE/BChE,AB_084,B_only,0.2629770339,0.8342906833,,,,,0.8342906833,0.9259677529,,,,,,,mode_06,mode_05,,,,,,,0,0,,
AChE/BChE,AB_085,neither,0.3308858871,0.5736519098,,,,,0.9552944899,0.5736519098,,,,,,,mode_02,mode_03,,,,,,,0,0,,
AChE/BChE,AB_086,neither,0.560288012,0.560288012,,,,,0.560288012,0.9146414399,,,,,,,mode_01,mode_02,,,,,,,1,0,,
AChE/BChE,AB_087,neither,0.1694022566,0.4556751251,,,,,0.4556751251,0.6631587148,,,,,,,mode_05,mode_01,,,,,,,0,1,,
AChE/BChE,AB_088,neither,0.2309778035,0.878326118,,,,,0.878326118,0.8814715147,,,,,,,mode_07,mode_03,,,,,,,0,0,,
AChE/BChE,AB_089,neither,0.4004456103,0.6153765321,,,,,0.895562768,0.6153765321,,,,,,,mode_09,mode_03,,,,,,,0,0,,
AChE/BChE,AB_090,neither,0.2968050838,0.7855428457,,,,,0.9126163721,0.7855428457,,,,,,,mode_01,mode_04,,,,,,,1,0,,
AChE/BChE,AB_091,neither,0.3524918258,0.7266443968,,,,,0.9248077869,0.7266443968,,,,,,,mode_09,mode_04,,,,,,,0,0,,
AChE/BChE,AB_092,neither,0.5368795395,0.5368795395,,,,,0.7661317587,0.5368795395,,,,,,,mode_05,mode_01,,,,,,,0,1,,
AChE/BChE,AB_093,neither,0.1295420825,0.8230360746,,,,,0.8230360746,0.9390357733,,,,,,,mode_07,mode_04,,,,,,,0,0,,
AChE/BChE,AB_094,neither,0.4983891547,0.5866966248,,,,,0.9094572067,0.5866966248,,,,,,,mode_01,mode_03,,,,,,,1,0,,
AChE/BChE,AB_095,neither,0.5764253139,0.8768092394,,,,,0.8768092394,0.913546443,,,,,,,mode_06,mode_02,,,,,,,0,0,,
AChE/BChE,AB_096,neither,0.3162164092,0.4902535677,,,,,0.9532760382,0.4902535677,,,,,,,mode_03,mode_06,,,,,,,0,0,,
AChE/BChE,AB_097,neither,,,,,,,0.6959917545,,,,,,,,mode_08,,,,,,,,0,,,
AChE/BChE,AB_098,neither,0.3098984361,0.8944346905,,,,,0.8944346905,0.9581342936,,,,,,,mode_03,mode_06,,,,,,,0,0,,
AChE/BChE,AB_099,neither,0.4121704698,0.6737713814,,,,,0.9162080288,0.6737713814,,,,,,,mode_08,mode_06,,,,,,,0,0,,
AChE/BChE,AB_100,neither,0.3335396349,0.7749927044,,,,,0.7749927044,0.9131080508,,,,,,,mode_02,mode_08,,,,,,,0,0,,
PIK3CA/PIK3CB,PAB_001,dual,0.2814975977,0.8297380805,,,,,,,0.9098057151,0.8297380805,,,,,,,mode_04,mode_07,,,,,,,0,0
PIK3CA/PIK3CB,PAB_002,dual,0.0677607656,0.1784975231,,,,,,,0.6637259126,0.1784975231,,,,,,,mode_05,mode_07,,,,,,,0,0
PIK3CA/PIK3CB,PAB_003,dual,0.0537728295,0.1409074217,,,,,,,0.1409074217,0.9477313757,,,,,,,mode_03,mode_04,,,,,,,0,0
PIK3CA/PIK3CB,PAB_004,dual,0.8925458193,0.8925458193,,,,,,,0.9404218197,0.8925458193,,,,,,,mode_01,mode_01,,,,,,,1,1
PIK3CA/PIK3CB,PAB_005,dual,0.5350555182,0.8628791571,,,,,,,0.9744293094,0.8628791571,,,,,,,mode_01,mode_03,,,,,,,1,0
PIK3CA/PIK3CB,PAB_006,dual,0.0773529485,0.1237999424,,,,,,,0.8277947903,0.1237999424,,,,,,,mode_05,mode_04,,,,,,,0,0
PIK3CA/PIK3CB,PAB_007,dual,0.3516733646,0.4297764301,,,,,,,0.8194652796,0.4297764301,,,,,,,mode_01,mode_06,,,,,,,1,0
PIK3CA/PIK3CB,PAB_008,dual,0.6956811547,0.9545609951,,,,,,,0.9857903719,0.9545609951,,,,,,,mode_01,mode_03,,,,,,,1,0
PIK3CA/PIK3CB,PAB_009,dual,0.8608862162,0.8800740838,,,,,,,0.9814097285,0.8800740838,,,,,,,mode_01,mode_02,,,,,,,1,0
PIK3CA/PIK3CB,PAB_010,dual,0.0948791504,0.1592093706,,,,,,,0.1592093706,0.2042097598,,,,,,,mode_07,mode_03,,,,,,,0,0
PIK3CA/PIK3CB,PAB_011,dual,0.0247048102,0.7692761421,,,,,,,0.7692761421,0.9792019129,,,,,,,mode_04,mode_03,,,,,,,0,0
PIK3CA/PIK3CB,PAB_012,dual,0.7035218477,0.9361063838,,,,,,,0.9361063838,0.9385532141,,,,,,,mode_01,mode_03,,,,,,,1,0
PIK3CA/PIK3CB,PAB_013,dual,0.065150544,0.124489814,,,,,,,0.124489814,0.2295482606,,,,,,,mode_02,mode_08,,,,,,,0,0
PIK3CA/PIK3CB,PAB_014,dual,0.7236070037,0.7236070037,,,,,,,0.7857453227,0.7236070037,,,,,,,mode_01,mode_01,,,,,,,1,1
PIK3CA/PIK3CB,PAB_015,dual,0.3874389231,0.3874389231,,,,,,,0.9795753956,0.3874389231,,,,,,,mode_01,mode_01,,,,,,,1,1
PIK3CA/PIK3CB,PAB_016,dual,0.0796182975,0.683470428,,,,,,,0.683470428,0.8229615688,,,,,,,mode_07,mode_05,,,,,,,0,0
PIK3CA/PIK3CB,PAB_017,dual,0.2831080854,0.2831080854,,,,,,,0.2831080854,0.6608456969,,,,,,,mode_01,mode_01,,,,,,,1,1
PIK3CA/PIK3CB,PAB_018,dual,0.3231888413,0.3231888413,,,,,,,0.8080528975,0.3231888413,,,,,,,mode_01,mode_01,,,,,,,1,1
PIK3CA/PIK3CB,PAB_019,dual,0.1458603293,0.7222248912,,,,,,,0.7663778067,0.7222248912,,,,,,,mode_01,mode_02,,,,,,,1,0
PIK3CA/PIK3CB,PAB_020,dual,0.5603554249,0.6372357011,,,,,,,0.650451839,0.6372357011,,,,,,,mode_03,mode_05,,,,,,,0,0
PIK3CA/PIK3CB,PAB_021,dual,0.0898616388,0.2391355187,,,,,,,0.9214916825,0.2391355187,,,,,,,mode_02,mode_01,,,,,,,0,1
PIK3CA/PIK3CB,PAB_022,dual,0.3997324705,0.4655998945,,,,,,,0.6011886597,0.4655998945,,,,,,,mode_01,mode_05,,,,,,,1,0
PIK3CA/PIK3CB,PAB_023,dual,0.2226191163,0.2226191163,,,,,,,0.2226191163,0.6795224547,,,,,,,mode_01,mode_01,,,,,,,1,1
PIK3CA/PIK3CB,PAB_024,dual,0.0534228198,0.1051686779,,,,,,,0.1051686779,0.2831757963,,,,,,,mode_09,mode_08,,,,,,,0,0
PIK3CA/PIK3CB,PAB_025,dual,0.0451133959,0.0697069541,,,,,,,0.0697069541,0.2318340242,,,,,,,mode_02,mode_04,,,,,,,0,0
PIK3CA/PIK3CB,PAB_026,dual,0.7600092292,0.79092592,,,,,,,0.79092592,0.9278039932,,,,,,,mode_01,mode_03,,,,,,,1,0
PIK3CA/PIK3CB,PAB_027,dual,0.5536785722,0.874987483,,,,,,,0.874987483,0.8934737444,,,,,,,mode_05,mode_02,,,,,,,0,0
PIK3CA/PIK3CB,PAB_028,dual,0.4943521917,0.9502065778,,,,,,,0.9681220651,0.9502065778,,,,,,,mode_02,mode_05,,,,,,,0,0
PIK3CA/PIK3CB,PAB_029,A_only,0.1456551999,0.1598129123,,,,,,,0.1598129123,0.2855488956,,,,,,,mode_03,mode_03,,,,,,,0,0
PIK3CA/PIK3CB,PAB_030,A_only,0.1949843913,0.2378373146,,,,,,,0.9539741278,0.2378373146,,,,,,,mode_01,mode_06,,,,,,,1,0
PIK3CA/PIK3CB,PAB_031,A_only,0.0915642157,0.1378768086,,,,,,,0.1378768086,0.3786883056,,,,,,,mode_05,mode_02,,,,,,,0,0
PIK3CA/PIK3CB,PAB_032,A_only,0.3687889278,0.3731773794,,,,,,,0.3731773794,0.9228622913,,,,,,,mode_03,mode_01,,,,,,,0,1
PIK3CA/PIK3CB,PAB_033,A_only,0.2577711046,0.4919415414,,,,,,,0.4919415414,0.9045150876,,,,,,,mode_02,mode_01,,,,,,,0,1
PIK3CA/PIK3CB,PAB_034,A_only,,,,,,,,,,0.2460333854,,,,,,,,mode_02,,,,,,,,0
PIK3CA/PIK3CB,PAB_035,A_only,0.5600401163,0.8623184562,,,,,,,0.8623184562,0.8854968548,,,,,,,mode_07,mode_04,,,,,,,0,0
PIK3CA/PIK3CB,PAB_036,A_only,0.7203402519,0.9183483124,,,,,,,0.980066359,0.9183483124,,,,,,,mode_04,mode_03,,,,,,,0,0
PIK3CA/PIK3CB,PAB_037,A_only,0.1713148803,0.208696112,,,,,,,0.4281382561,0.208696112,,,,,,,mode_01,mode_04,,,,,,,1,0
PIK3CA/PIK3CB,PAB_038,A_only,0.2359465659,0.3816900849,,,,,,,0.3816900849,0.443382144,,,,,,,mode_04,mode_07,,,,,,,0,0
PIK3CA/PIK3CB,PAB_039,A_only,0.141786918,0.141786918,,,,,,,0.141786918,0.3909518123,,,,,,,mode_01,mode_02,,,,,,,1,0
PIK3CA/PIK3CB,PAB_040,A_only,0.0919553265,0.1582213938,,,,,,,0.1582213938,0.2683759928,,,,,,,mode_04,mode_02,,,,,,,0,0
PIK3CA/PIK3CB,PAB_041,A_only,0.5531708598,0.7716774344,,,,,,,0.8946081996,0.7716774344,,,,,,,mode_06,mode_03,,,,,,,0,0
PIK3CA/PIK3CB,PAB_042,A_only,0.0810296908,0.3309925795,,,,,,,0.9580866098,0.3309925795,,,,,,,mode_05,mode_02,,,,,,,0,0
PIK3CA/PIK3CB,PAB_043,A_only,0.1202386543,0.1386402547,,,,,,,0.1386402547,0.2673401833,,,,,,,mode_03,mode_03,,,,,,,0,0
PIK3CA/PIK3CB,PAB_044,A_only,0.0986274704,0.2604126334,,,,,,,0.2604126334,0.4140170813,,,,,,,mode_09,mode_05,,,,,,,0,0
PIK3CA/PIK3CB,PAB_045,A_only,0.1334186941,0.2571693063,,,,,,,0.3071791232,0.2571693063,,,,,,,mode_07,mode_09,,,,,,,0,0
PIK3CA/PIK3CB,PAB_046,A_only,0.1514996737,0.1964053959,,,,,,,0.2975090444,0.1964053959,,,,,,,mode_01,mode_02,,,,,,,1,0
PIK3CA/PIK3CB,PAB_047,A_only,0.0322002582,0.6111444235,,,,,,,0.9083388448,0.6111444235,,,,,,,mode_02,mode_05,,,,,,,0,0
PIK3CA/PIK3CB,PAB_048,A_only,0.0629444048,0.6660946012,,,,,,,0.6660946012,0.7775679231,,,,,,,mode_09,mode_04,,,,,,,0,0
PIK3CA/PIK3CB,PAB_049,A_only,0.0524760149,0.1242399737,,,,,,,0.1242399737,0.4757589698,,,,,,,mode_07,mode_05,,,,,,,0,0
