pair,contrast,n_pos,n_neg,true_auroc,bootstrap,seed,n_mc,n_boot,p_ci_excludes_0p5,se_binomial,mean_point_auroc
JAK1/TYK2,summary_min,31,32/32,0.60,class_stratified_shared_dual,20260729,1000,2000,0.06,0.00750999,0.558642
JAK1/TYK2,dual_vs_A_only,31,32,0.65,class_stratified_shared_dual,20260729,1000,2000,0.545,0.0157472,0.647839
JAK1/TYK2,dual_vs_B_only,31,32,0.65,class_stratified_shared_dual,20260729,1000,2000,0.547,0.0157414,0.650297
JAK1/TYK2,dual_vs_neither,31,14,0.65,class_stratified_shared_dual,20260729,1000,2000,0.391,0.0154311,0.652387
JAK1/TYK2,summary_min,31,32/32,0.65,class_stratified_shared_dual,20260729,1000,2000,0.284,0.0142599,0.611037
JAK1/TYK2,dual_vs_A_only,31,32,0.70,class_stratified_shared_dual,20260729,1000,2000,0.804,0.0125532,0.699998
JAK1/TYK2,dual_vs_B_only,31,32,0.70,class_stratified_shared_dual,20260729,1000,2000,0.81,0.0124056,0.699064
JAK1/TYK2,dual_vs_neither,31,14,0.70,class_stratified_shared_dual,20260729,1000,2000,0.602,0.0154789,0.699083
JAK1/TYK2,summary_min,31,32/32,0.70,class_stratified_shared_dual,20260729,1000,2000,0.633,0.0152418,0.663403
JAK1/TYK2,dual_vs_A_only,31,32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.944,0.00727076,0.747353
JAK1/TYK2,dual_vs_B_only,31,32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.945,0.00720937,0.751062
JAK1/TYK2,dual_vs_neither,31,14,0.75,class_stratified_shared_dual,20260729,1000,2000,0.811,0.0123806,0.75124
JAK1/TYK2,summary_min,31,32/32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.912,0.00895857,0.715145
PIK3CA/mTOR,dual_vs_A_only,18,14,0.50,class_stratified_shared_dual,20260729,1000,2000,0.055,0.00720937,0.505258
PIK3CA/mTOR,dual_vs_B_only,18,12,0.50,class_stratified_shared_dual,20260729,1000,2000,0.047,0.00669261,0.496046
PIK3CA/mTOR,dual_vs_neither,18,4,0.50,class_stratified_shared_dual,20260729,1000,2000,0.132,0.010704,0.505208
PIK3CA/mTOR,summary_min,18,14/12,0.50,class_stratified_shared_dual,20260729,1000,2000,0.128,0.0105648,0.438255
PIK3CA/mTOR,dual_vs_A_only,18,14,0.55,class_stratified_shared_dual,20260729,1000,2000,0.085,0.00881901,0.548115
PIK3CA/mTOR,dual_vs_B_only,18,12,0.55,class_stratified_shared_dual,20260729,1000,2000,0.086,0.00886589,0.547125
PIK3CA/mTOR,dual_vs_neither,18,4,0.55,class_stratified_shared_dual,20260729,1000,2000,0.115,0.0100884,0.556847
PIK3CA/mTOR,summary_min,18,14/12,0.55,class_stratified_shared_dual,20260729,1000,2000,0.042,0.00634319,0.491754
PIK3CA/mTOR,dual_vs_A_only,18,14,0.60,class_stratified_shared_dual,20260729,1000,2000,0.168,0.0118227,0.600659
PIK3CA/mTOR,dual_vs_B_only,18,12,0.60,class_stratified_shared_dual,20260729,1000,2000,0.152,0.0113532,0.600644
PIK3CA/mTOR,dual_vs_neither,18,4,0.60,class_stratified_shared_dual,20260729,1000,2000,0.143,0.0110703,0.592958
PIK3CA/mTOR,summary_min,18,14/12,0.60,class_stratified_shared_dual,20260729,1000,2000,0.033,0.00564898,0.540462
PIK3CA/mTOR,dual_vs_A_only,18,14,0.65,class_stratified_shared_dual,20260729,1000,2000,0.316,0.0147018,0.65123
PIK3CA/mTOR,dual_vs_B_only,18,12,0.65,class_stratified_shared_dual,20260729,1000,2000,0.269,0.0140228,0.645718
PIK3CA/mTOR,dual_vs_neither,18,4,0.65,class_stratified_shared_dual,20260729,1000,2000,0.228,0.0132671,0.649333
PIK3CA/mTOR,summary_min,18,14/12,0.65,class_stratified_shared_dual,20260729,1000,2000,0.088,0.00895857,0.594069
PIK3CA/mTOR,dual_vs_A_only,18,14,0.70,class_stratified_shared_dual,20260729,1000,2000,0.534,0.0157748,0.702754
PIK3CA/mTOR,dual_vs_B_only,18,12,0.70,class_stratified_shared_dual,20260729,1000,2000,0.481,0.0158,0.698259
PIK3CA/mTOR,dual_vs_neither,18,4,0.70,class_stratified_shared_dual,20260729,1000,2000,0.326,0.0148231,0.691056
PIK3CA/mTOR,summary_min,18,14/12,0.70,class_stratified_shared_dual,20260729,1000,2000,0.24,0.0135056,0.650871
PIK3CA/mTOR,dual_vs_A_only,18,14,0.75,class_stratified_shared_dual,20260729,1000,2000,0.723,0.0141517,0.749409
PIK3CA/mTOR,dual_vs_B_only,18,12,0.75,class_stratified_shared_dual,20260729,1000,2000,0.669,0.0148808,0.750171
PIK3CA/mTOR,dual_vs_neither,18,4,0.75,class_stratified_shared_dual,20260729,1000,2000,0.487,0.015806,0.758806
PIK3CA/mTOR,summary_min,18,14/12,0.75,class_stratified_shared_dual,20260729,1000,2000,0.46,0.0157607,0.698819
AChE/BChE,dual_vs_A_only,27,26,0.50,class_stratified_shared_dual,20260729,1000,2000,0.056,0.00727076,0.501147
AChE/BChE,dual_vs_B_only,27,28,0.50,class_stratified_shared_dual,20260729,1000,2000,0.048,0.00675988,0.497266
AChE/BChE,dual_vs_neither,27,14,0.50,class_stratified_shared_dual,20260729,1000,2000,0.064,0.00773977,0.497288
