pair,ligand_id,molecule_chembl_id,analysis_set,pA,pB,class,class_from_pchembl,score_A,score_B,score_mean,score_worst,complete_case,score_source
EGFR/HER2,EH120_060,CHEMBL24828,main,8.32,5.58,A_only,A_only,8.586,9.157,8.871500000000001,8.586,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_061,CHEMBL4280835,main,7.33,4.72,A_only,A_only,10.818,10.831,10.8245,10.818,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_062,CHEMBL4286733,main,6.95,4.43,A_only,A_only,11.255,10.973,11.114,10.973,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_063,CHEMBL3929002,main,7.3,4.98,A_only,A_only,9.501,10.16,9.8305,9.501,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_064,CHEMBL5270270,main,7.36,5.06,A_only,A_only,7.836,8.101,7.968500000000001,7.836,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_065,CHEMBL281300,main,8.01,5.79,A_only,A_only,8.655,8.613,8.634,8.613,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_066,CHEMBL288441,main,7.75,5.6,A_only,A_only,8.643,8.495,8.568999999999999,8.495,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_067,CHEMBL56543,main,7.0,4.87,A_only,A_only,8.489,8.794,8.6415,8.489,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_068,CHEMBL4061382,main,7.58,5.5,A_only,A_only,9.257,9.017,9.137,9.017,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_069,CHEMBL30973,main,7.43,5.38,A_only,A_only,8.571,8.813,8.692,8.571,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_070,CHEMBL55979,main,6.4,4.43,A_only,A_only,8.82,9.105,8.9625,8.82,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_071,CHEMBL3647967,main,7.69,5.81,A_only,A_only,10.544,10.032,10.288,10.032,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_072,CHEMBL4278886,main,7.67,5.82,A_only,A_only,11.144,11.017,11.0805,11.017,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_073,CHEMBL3114689,main,7.8,5.96,A_only,A_only,10.189,9.991,10.09,9.991,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_074,CHEMBL205652,main,6.5,4.68,A_only,A_only,8.402,8.354,8.378,8.354,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_075,CHEMBL372112,main,7.3,5.48,A_only,A_only,8.127,8.12,8.1235,8.12,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_076,CHEMBL56731,main,6.16,4.38,A_only,A_only,8.412,8.78,8.596,8.412,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_077,CHEMBL10,main,6.47,4.72,A_only,A_only,8.599,9.619,9.109,8.599,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_078,CHEMBL179633,main,7.14,5.41,A_only,A_only,10.068,9.535,9.8015,9.535,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_079,CHEMBL370934,main,7.22,5.52,A_only,A_only,7.544,7.773,7.6585,7.544,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_080,CHEMBL1080506,main,5.3,8.4,B_only,B_only,9.936,10.21,10.073,9.936,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_081,CHEMBL6150652,main,4.92,8.02,B_only,B_only,10.595,10.656,10.6255,10.595,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_082,CHEMBL257478,main,5.7,8.7,B_only,B_only,9.023,9.819,9.421,9.023,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_083,CHEMBL6006814,main,5.29,7.99,B_only,B_only,10.794,10.889,10.8415,10.794,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_084,CHEMBL6133515,main,5.66,8.24,B_only,B_only,10.62,10.656,10.638,10.62,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_085,CHEMBL1257998,main,5.64,8.12,B_only,B_only,10.852,11.478,11.165,10.852,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_086,CHEMBL5890920,main,5.74,8.16,B_only,B_only,10.425,10.742,10.5835,10.425,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_087,CHEMBL5797736,main,5.54,7.94,B_only,B_only,10.807,10.8,10.8035,10.8,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_088,CHEMBL1256432,main,5.54,7.8,B_only,B_only,10.948,12.226,11.587,10.948,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_089,CHEMBL1087368,main,5.94,8.15,B_only,B_only,8.784,9.382,9.083,8.784,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_090,CHEMBL403785,main,5.59,7.72,B_only,B_only,9.357,9.632,9.494499999999999,9.357,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_091,CHEMBL193578,main,5.62,7.62,B_only,B_only,10.168,10.457,10.3125,10.168,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_092,CHEMBL5555280,main,5.34,7.31,B_only,B_only,10.644,10.866,10.754999999999999,10.644,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_093,CHEMBL5977568,main,5.86,7.71,B_only,B_only,10.452,10.71,10.581,10.452,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_094,CHEMBL118109,main,4.73,6.46,B_only,B_only,8.489,8.576,8.5325,8.489,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_095,CHEMBL256362,main,5.96,7.64,B_only,B_only,10.233,10.532,10.3825,10.233,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_096,CHEMBL5561933,main,5.67,7.28,B_only,B_only,10.59,10.62,10.605,10.59,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_097,CHEMBL194337,main,5.68,7.16,B_only,B_only,9.965,10.406,10.185500000000001,9.965,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_098,CHEMBL5557178,main,5.33,6.8,B_only,B_only,10.395,10.696,10.5455,10.395,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_099,CHEMBL1080272,main,4.82,6.21,B_only,B_only,10.287,9.877,10.082,9.877,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_100,CHEMBL5561503,main,5.86,7.23,B_only,B_only,10.092,10.464,10.278,10.092,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_101,CHEMBL5558817,main,5.38,6.67,B_only,B_only,10.699,10.642,10.6705,10.642,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_102,CHEMBL104,main,4.16,4.18,neither,neither,6.794,6.923,6.858499999999999,6.794,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_103,CHEMBL4087921,main,4.33,4.28,neither,neither,8.688,9.134,8.911000000000001,8.688,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_104,CHEMBL4102214,main,4.35,4.24,neither,neither,10.207,11.154,10.6805,10.207,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_105,CHEMBL4102942,main,4.35,4.28,neither,neither,9.242,9.18,9.211,9.18,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_106,CHEMBL4074782,main,4.4,4.33,neither,neither,9.05,9.574,9.312000000000001,9.05,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_107,CHEMBL1095259,main,4.35,4.42,neither,neither,7.699,8.04,7.8694999999999995,7.699,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_108,CHEMBL4575427,main,4.35,4.42,neither,neither,7.858,7.77,7.814,7.77,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_109,CHEMBL589165,main,4.44,4.33,neither,neither,4.447,5.03,4.7385,4.447,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH120_110,CHEMBL589503,main,4.45,4.32,neither,neither,6.888,7.083,6.9855,6.888,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_01,CHEMBL1614725,main,9.0,8.52,dual,dual,10.438,9.917,10.1775,9.917,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_02,CHEMBL554,main,10.22,8.8,dual,dual,9.907,10.526,10.2165,9.907,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_03,CHEMBL5977738,main,9.85,9.47,dual,dual,10.061,10.316,10.188500000000001,10.061,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_04,CHEMBL2006715,main,8.7,8.4,dual,dual,11.846,11.659,11.752500000000001,11.659,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_05,CHEMBL483321,main,8.19,8.0,dual,dual,10.077,10.109,10.093,10.077,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_06,CHEMBL3911796,main,8.38,7.79,dual,dual,9.631,10.039,9.835,9.631,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_07,CHEMBL257816,main,7.89,7.57,dual,dual,8.887,9.642,9.2645,8.887,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_08,CHEMBL193681,main,7.4,7.52,dual,dual,9.621,9.837,9.729,9.621,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_09,CHEMBL175556,main,7.7,7.23,dual,dual,10.792,9.869,10.3305,9.869,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_10,CHEMBL604094,main,7.08,7.36,dual,dual,8.705,8.098,8.4015,8.098,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_11,CHEMBL3977326,main,7.68,6.91,dual,dual,10.003,10.337,10.17,10.003,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_12,CHEMBL402011,main,6.75,8.1,dual,dual,10.337,10.397,10.367,10.337,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_13,CHEMBL3680374,main,8.01,6.61,dual,dual,10.279,9.226,9.752500000000001,9.226,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_14,CHEMBL5204650,main,6.38,6.92,dual,dual,7.119,7.529,7.324,7.119,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_15,CHEMBL1645469,main,6.18,7.7,dual,dual,8.263,8.255,8.259,8.255,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_16,CHEMBL2325101,main,7.3,5.99,A_only,A_only,10.433,10.095,10.264,10.095,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_17,CHEMBL91925,main,7.14,5.93,A_only,A_only,8.451,8.484,8.467500000000001,8.451,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_18,CHEMBL2000832,main,6.3,5.9,A_only,A_only,11.216,12.366,11.791,11.216,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_19,CHEMBL589560,main,6.17,5.85,A_only,A_only,8.434,8.19,8.312,8.19,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_20,CHEMBL3357639,main,9.59,5.8,A_only,A_only,10.352,9.655,10.003499999999999,9.655,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_21,CHEMBL2112370,main,6.88,5.72,A_only,A_only,8.951,9.077,9.014,8.951,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_22,CHEMBL1081849,main,6.01,5.65,A_only,A_only,9.734,10.088,9.911,9.734,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_23,CHEMBL3633938,main,6.35,5.57,A_only,A_only,11.086,10.973,11.0295,10.973,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_24,CHEMBL602328,main,6.01,5.45,A_only,A_only,7.028,6.959,6.993499999999999,6.959,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_25,CHEMBL289959,main,7.1,5.3,A_only,A_only,7.95,8.208,8.079,7.95,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_26,CHEMBL371863,main,6.7,5.14,A_only,A_only,7.287,7.732,7.5095,7.287,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_27,CHEMBL428690,main,6.28,4.8,A_only,A_only,8.818,9.201,9.0095,8.818,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_28,CHEMBL6017443,main,5.99,7.79,B_only,B_only,11.025,11.483,11.254000000000001,11.025,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_29,CHEMBL1080990,main,5.92,6.03,B_only,B_only,9.434,8.996,9.215,8.996,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_30,CHEMBL565612,main,5.9,6.1,B_only,B_only,9.149,9.56,9.3545,9.149,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_31,CHEMBL257873,main,5.84,8.3,B_only,B_only,10.196,9.786,9.991,9.786,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_32,CHEMBL394463,main,5.75,6.6,B_only,B_only,9.311,9.78,9.5455,9.311,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_33,CHEMBL3814021,main,5.69,7.72,B_only,B_only,11.133,10.531,10.832,10.531,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_34,CHEMBL2048792,main,5.64,6.89,B_only,B_only,9.589,9.492,9.540500000000002,9.492,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_35,CHEMBL449949,main,5.58,6.35,B_only,B_only,10.272,10.628,10.45,10.272,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_36,CHEMBL5901840,main,5.51,7.97,B_only,B_only,10.249,10.482,10.3655,10.249,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_37,CHEMBL5542514,main,5.34,7.08,B_only,B_only,10.639,10.746,10.692499999999999,10.639,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_38,CHEMBL2005631,main,5.8,5.9,neither,neither,9.667,9.765,9.716000000000001,9.667,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_39,CHEMBL1683950,main,5.92,5.2,neither,neither,10.32,10.075,10.1975,10.075,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
EGFR/HER2,EH40_40,CHEMBL141175,main,4.8,5.7,neither,neither,7.877,8.658,8.2675,7.877,1,egfr_her2_panel120_v0/ablation_ligand_scores.csv
JAK1/JAK2,J1J2_001,,main,7.41,5.3,A_only,A_only,8.851,8.632,8.7415,8.632,1,review_scored_membership_v1
JAK1/JAK2,J1J2_002,,main,6.64,5.25,A_only,A_only,8.97,9.958,9.464,8.97,1,review_scored_membership_v1
JAK1/JAK2,J1J2_003,,main,6.97,5.42,A_only,A_only,8.579,8.354,8.4665,8.354,1,review_scored_membership_v1
JAK1/JAK2,J1J2_004,,main,7.1,5.5,A_only,A_only,7.713,7.58,7.6465,7.58,1,review_scored_membership_v1
JAK1/JAK2,J1J2_005,,main,6.77,5.32,A_only,A_only,7.533,7.686,7.609500000000001,7.533,1,review_scored_membership_v1
JAK1/JAK2,J1J2_006,,main,7.16,5.33,A_only,A_only,7.367,7.129,7.247999999999999,7.129,1,review_scored_membership_v1
JAK1/JAK2,J1J2_007,,main,7.18,5.41,A_only,A_only,8.314,8.011,8.1625,8.011,1,review_scored_membership_v1
JAK1/JAK2,J1J2_008,,main,6.96,5.37,A_only,A_only,7.118,7.401,7.2595,7.118,1,review_scored_membership_v1
JAK1/JAK2,J1J2_009,,main,6.85,5.19,A_only,A_only,8.977,8.766,8.871500000000001,8.766,1,review_scored_membership_v1
JAK1/JAK2,J1J2_010,,main,6.92,5.33,A_only,A_only,8.85,9.742,9.296,8.85,1,review_scored_membership_v1
JAK1/JAK2,J1J2_011,,main,6.82,5.2,A_only,A_only,8.892,8.574,8.733,8.574,1,review_scored_membership_v1
JAK1/JAK2,J1J2_012,,main,6.74,5.32,A_only,A_only,9.322,9.722,9.521999999999998,9.322,1,review_scored_membership_v1
JAK1/JAK2,J1J2_013,,main,7.7,4.76,A_only,A_only,11.127,10.664,10.8955,10.664,1,review_scored_membership_v1
JAK1/JAK2,J1J2_014,,main,8.13,4.92,A_only,A_only,9.87,9.718,9.794,9.718,1,review_scored_membership_v1
JAK1/JAK2,J1J2_015,,main,6.55,5.34,A_only,A_only,9.562,8.967,9.2645,8.967,1,review_scored_membership_v1
JAK1/JAK2,J1J2_016,,main,8.05,5.19,A_only,A_only,9.597,9.805,9.701,9.597,1,review_scored_membership_v1
JAK1/JAK2,J1J2_017,,main,7.01,4.69,A_only,A_only,9.386,9.79,9.588,9.386,1,review_scored_membership_v1
JAK1/JAK2,J1J2_018,,main,6.55,4.96,A_only,A_only,10.219,9.68,9.9495,9.68,1,review_scored_membership_v1
JAK1/JAK2,J1J2_019,,main,7.7,4.75,A_only,A_only,8.271,8.605,8.438,8.271,1,review_scored_membership_v1
JAK1/JAK2,J1J2_020,,main,7.62,5.05,A_only,A_only,9.128,9.05,9.089,9.05,1,review_scored_membership_v1
JAK1/JAK2,J1J2_021,,main,7.85,5.17,A_only,A_only,10.157,9.437,9.797,9.437,1,review_scored_membership_v1
JAK1/JAK2,J1J2_022,,main,7.25,5.48,A_only,A_only,7.584,7.881,7.7325,7.584,1,review_scored_membership_v1
JAK1/JAK2,J1J2_023,,main,7.82,4.7,A_only,A_only,9.025,9.119,9.072,9.025,1,review_scored_membership_v1
JAK1/JAK2,J1J2_024,,main,7.72,5.21,A_only,A_only,9.512,8.9,9.206,8.9,1,review_scored_membership_v1
JAK1/JAK2,J1J2_025,,main,6.5,5.5,A_only,A_only,10.512,9.786,10.149000000000001,9.786,1,review_scored_membership_v1
JAK1/JAK2,J1J2_026,,main,7.4,4.68,A_only,A_only,11.639,10.158,10.898499999999999,10.158,1,review_scored_membership_v1
JAK1/JAK2,J1J2_027,,main,8.29,5.3,A_only,A_only,11.458,10.306,10.882,10.306,1,review_scored_membership_v1
JAK1/JAK2,J1J2_028,,main,8.4,5.32,A_only,A_only,10.451,10.773,10.612,10.451,1,review_scored_membership_v1
JAK1/JAK2,J1J2_029,,main,7.88,4.96,A_only,A_only,10.413,11.806,11.1095,10.413,1,review_scored_membership_v1
JAK1/JAK2,J1J2_030,,main,7.15,5.44,A_only,A_only,8.443,8.267,8.355,8.267,1,review_scored_membership_v1
JAK1/JAK2,J1J2_031,,main,7.89,4.91,A_only,A_only,11.453,11.142,11.2975,11.142,1,review_scored_membership_v1
JAK1/JAK2,J1J2_032,,main,8.44,5.31,A_only,A_only,8.267,8.214,8.2405,8.214,1,review_scored_membership_v1
JAK1/JAK2,J1J2_033,,main,5.32,6.82,B_only,B_only,7.898,7.507,7.7025,7.507,1,review_scored_membership_v1
JAK1/JAK2,J1J2_034,,main,5.1,6.66,B_only,B_only,6.571,6.507,6.539,6.507,1,review_scored_membership_v1
JAK1/JAK2,J1J2_035,,main,5.24,6.58,B_only,B_only,7.175,7.235,7.205,7.175,1,review_scored_membership_v1
JAK1/JAK2,J1J2_036,,main,5.44,7.39,B_only,B_only,7.806,7.75,7.7780000000000005,7.75,1,review_scored_membership_v1
JAK1/JAK2,J1J2_037,,main,5.44,7.11,B_only,B_only,6.861,7.08,6.9704999999999995,6.861,1,review_scored_membership_v1
JAK1/JAK2,J1J2_038,,main,5.46,7.62,B_only,B_only,6.685,6.929,6.807,6.685,1,review_scored_membership_v1
JAK1/JAK2,J1J2_039,,main,5.27,7.2,B_only,B_only,8.397,8.84,8.618500000000001,8.397,1,review_scored_membership_v1
JAK1/JAK2,J1J2_040,,main,5.23,8.42,B_only,B_only,8.503,8.478,8.4905,8.478,1,review_scored_membership_v1
JAK1/JAK2,J1J2_041,,main,5.44,7.11,B_only,B_only,7.168,7.448,7.308,7.168,1,review_scored_membership_v1
JAK1/JAK2,J1J2_042,,main,5.23,6.72,B_only,B_only,8.84,8.881,8.8605,8.84,1,review_scored_membership_v1
JAK1/JAK2,J1J2_043,,main,5.39,6.53,B_only,B_only,10.8,10.157,10.4785,10.157,1,review_scored_membership_v1
JAK1/JAK2,J1J2_044,,main,5.26,7.26,B_only,B_only,8.024,8.474,8.248999999999999,8.024,1,review_scored_membership_v1
JAK1/JAK2,J1J2_045,,main,5.26,7.26,B_only,B_only,9.124,9.296,9.21,9.124,1,review_scored_membership_v1
JAK1/JAK2,J1J2_046,,main,5.26,7.26,B_only,B_only,9.048,9.36,9.204,9.048,1,review_scored_membership_v1
JAK1/JAK2,J1J2_047,,main,5.46,6.78,B_only,B_only,9.394,9.296,9.344999999999999,9.296,1,review_scored_membership_v1
JAK1/JAK2,J1J2_048,,main,5.26,7.26,B_only,B_only,9.15,9.484,9.317,9.15,1,review_scored_membership_v1
JAK1/JAK2,J1J2_049,,main,5.26,7.26,B_only,B_only,9.096,9.099,9.0975,9.096,1,review_scored_membership_v1
JAK1/JAK2,J1J2_050,,main,5.26,7.26,B_only,B_only,9.011,8.784,8.8975,8.784,1,review_scored_membership_v1
JAK1/JAK2,J1J2_051,,main,5.26,7.26,B_only,B_only,8.516,8.405,8.4605,8.405,1,review_scored_membership_v1
JAK1/JAK2,J1J2_052,,main,5.43,6.69,B_only,B_only,9.974,9.685,9.8295,9.685,1,review_scored_membership_v1
JAK1/JAK2,J1J2_053,,main,5.26,7.26,B_only,B_only,9.32,9.121,9.220500000000001,9.121,1,review_scored_membership_v1
JAK1/JAK2,J1J2_054,,main,5.26,7.26,B_only,B_only,9.05,8.556,8.803,8.556,1,review_scored_membership_v1
JAK1/JAK2,J1J2_055,,main,5.26,7.26,B_only,B_only,8.948,9.387,9.1675,8.948,1,review_scored_membership_v1
JAK1/JAK2,J1J2_056,,main,5.26,7.26,B_only,B_only,9.596,9.106,9.350999999999999,9.106,1,review_scored_membership_v1
JAK1/JAK2,J1J2_057,,main,5.26,7.26,B_only,B_only,9.125,8.687,8.905999999999999,8.687,1,review_scored_membership_v1
JAK1/JAK2,J1J2_058,,main,5.26,7.26,B_only,B_only,9.043,8.978,9.0105,8.978,1,review_scored_membership_v1
JAK1/JAK2,J1J2_059,,main,5.26,7.26,B_only,B_only,9.376,9.218,9.297,9.218,1,review_scored_membership_v1
JAK1/JAK2,J1J2_060,,main,5.48,7.14,B_only,B_only,10.89,10.051,10.470500000000001,10.051,1,review_scored_membership_v1
JAK1/JAK2,J1J2_061,,main,5.26,7.26,B_only,B_only,8.511,8.138,8.3245,8.138,1,review_scored_membership_v1
