id,rtmscore,target,ligand,vina_mode,vina_score
EH40_20_mode2-172,23.426373601780966,3POZ,EH40_20,2,-9.764
EH40_20_mode3-173,23.07389685839631,3POZ,EH40_20,3,-9.496
EH40_20_mode4-174,40.09888188380287,3POZ,EH40_20,4,-9.369
EH40_20_mode5-175,36.7317374459183,3POZ,EH40_20,5,-9.06
EH40_20_mode6-176,40.00220202485814,3POZ,EH40_20,6,-9.014
EH40_20_mode7-177,31.88886152517732,3POZ,EH40_20,7,-8.917
EH40_20_mode8-178,36.37462412447702,3POZ,EH40_20,8,-8.917
EH40_20_mode9-179,33.981041539459646,3POZ,EH40_20,9,-8.829
EH40_21_mode1-180,16.495368728084408,3POZ,EH40_21,1,-9.684
EH40_21_mode2-181,13.043128957106283,3POZ,EH40_21,2,-9.602
EH40_21_mode3-182,12.90785270026627,3POZ,EH40_21,3,-9.406
EH40_21_mode4-183,10.496881742627917,3POZ,EH40_21,4,-9.356
EH40_21_mode5-184,10.44157570238044,3POZ,EH40_21,5,-9.117
EH40_21_mode6-185,18.098772658571452,3POZ,EH40_21,6,-9.103
EH40_21_mode7-186,26.56163148820009,3POZ,EH40_21,7,-9.067
EH40_21_mode8-187,16.407357884682153,3POZ,EH40_21,8,-9.063
EH40_21_mode9-188,22.203369398635395,3POZ,EH40_21,9,-9.033
EH40_22_mode1-189,23.738865215014123,3POZ,EH40_22,1,-10.012
EH40_22_mode2-190,29.52448544503398,3POZ,EH40_22,2,-9.725
EH40_22_mode3-191,34.765872075845174,3POZ,EH40_22,3,-9.679
EH40_22_mode4-192,44.99208098291926,3POZ,EH40_22,4,-9.581
EH40_22_mode5-193,35.49017260552613,3POZ,EH40_22,5,-9.551
EH40_22_mode6-194,38.24831936692882,3POZ,EH40_22,6,-9.548
EH40_22_mode7-195,32.850465931556016,3POZ,EH40_22,7,-9.531
EH40_22_mode8-196,17.3059137210647,3POZ,EH40_22,8,-9.392
EH40_22_mode9-197,29.9620130075471,3POZ,EH40_22,9,-9.273
EH40_23_mode1-198,33.48619742938708,3POZ,EH40_23,1,-11.292
EH40_23_mode2-199,35.54508806033209,3POZ,EH40_23,2,-10.602
EH40_23_mode3-200,23.64020037287487,3POZ,EH40_23,3,-10.34
EH40_23_mode4-201,16.716752642067718,3POZ,EH40_23,4,-10.34
EH40_23_mode5-202,13.943383294851966,3POZ,EH40_23,5,-10.332
EH40_23_mode6-203,82.35854349800609,3POZ,EH40_23,6,-10.264
EH40_23_mode7-204,24.744899622620405,3POZ,EH40_23,7,-9.993
EH40_23_mode8-205,28.74194645854955,3POZ,EH40_23,8,-9.915
EH40_23_mode9-206,36.25937325745197,3POZ,EH40_23,9,-9.818
EH40_24_mode1-207,3.204156049904729,3POZ,EH40_24,1,-7.097
EH40_24_mode2-208,3.723407812910525,3POZ,EH40_24,2,-7.061
EH40_24_mode3-209,4.2904021704312685,3POZ,EH40_24,3,-6.801
EH40_24_mode4-210,23.16813865702481,3POZ,EH40_24,4,-6.644
EH40_24_mode5-211,3.2483188097610705,3POZ,EH40_24,5,-6.544
EH40_24_mode6-212,5.504691942479852,3POZ,EH40_24,6,-6.523
EH40_24_mode7-213,11.337521794907955,3POZ,EH40_24,7,-6.394
EH40_24_mode8-214,17.036254891767246,3POZ,EH40_24,8,-6.352
EH40_24_mode9-215,3.127837930689091,3POZ,EH40_24,9,-6.32
EH40_25_mode1-216,2.903243521180184,3POZ,EH40_25,1,-7.956
EH40_25_mode2-217,4.508039123904234,3POZ,EH40_25,2,-7.851
EH40_25_mode3-218,3.9714627909636553,3POZ,EH40_25,3,-7.742
EH40_25_mode4-219,8.813452932153409,3POZ,EH40_25,4,-7.443
EH40_25_mode5-220,9.035137048807329,3POZ,EH40_25,5,-7.39
EH40_25_mode6-221,20.11019932308799,3POZ,EH40_25,6,-7.388
EH40_25_mode7-222,6.692465101831926,3POZ,EH40_25,7,-7.387
EH40_25_mode8-223,6.468387542900755,3POZ,EH40_25,8,-7.184
EH40_25_mode9-224,4.919577726363105,3POZ,EH40_25,9,-7.111
EH40_26_mode1-225,13.114390920520838,3POZ,EH40_26,1,-7.394
EH40_26_mode2-226,7.663723275672967,3POZ,EH40_26,2,-7.273
EH40_26_mode3-227,19.35066350978316,3POZ,EH40_26,3,-7.261
EH40_26_mode4-228,10.703650653691794,3POZ,EH40_26,4,-7.23
EH40_26_mode5-229,16.020629415377627,3POZ,EH40_26,5,-7.198
EH40_26_mode6-230,26.976702756551767,3POZ,EH40_26,6,-7.161
