target,ligand,chembl_id,pref_name,best_affinity_kcal_mol,rmsd_lb,rmsd_ub,n_modes,all_scores,out_pdbqt
3RCD,EH40_16,CHEMBL2325101,,-10.072,0.0,0.0,9,-10.072;-9.916;-9.909;-9.855;-9.341;-8.846;-8.790;-8.762;-7.797,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_16_out.pdbqt
3RCD,EH40_17,CHEMBL91925,,-8.576,0.0,0.0,9,-8.576;-8.388;-8.233;-7.839;-7.810;-7.810;-7.713;-7.680;-7.655,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_17_out.pdbqt
3RCD,EH40_18,CHEMBL2000832,,-12.292,0.0,0.0,9,-12.292;-11.936;-10.596;-10.581;-10.419;-10.351;-10.131;-9.635;-9.465,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_18_out.pdbqt
3RCD,EH40_19,CHEMBL589560,,-8.225,0.0,0.0,9,-8.225;-8.037;-7.931;-7.838;-7.739;-7.609;-7.557;-7.551;-7.434,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_19_out.pdbqt
3RCD,EH40_20,CHEMBL3357639,,-9.624,0.0,0.0,9,-9.624;-9.106;-9.094;-9.047;-8.944;-8.894;-8.680;-8.638;-8.548,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_20_out.pdbqt
3RCD,EH40_21,CHEMBL2112370,,-9.132,0.0,0.0,9,-9.132;-9.005;-8.794;-8.426;-8.318;-8.277;-8.205;-8.116;-8.093,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_21_out.pdbqt
3RCD,EH40_22,CHEMBL1081849,,-10.127,0.0,0.0,9,-10.127;-10.037;-9.914;-9.373;-9.365;-9.139;-8.812;-8.777;-8.753,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_22_out.pdbqt
3RCD,EH40_23,CHEMBL3633938,,-10.764,0.0,0.0,9,-10.764;-10.691;-10.402;-10.285;-10.240;-9.878;-9.633;-9.633;-9.385,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_23_out.pdbqt
3RCD,EH40_24,CHEMBL602328,,-6.886,0.0,0.0,9,-6.886;-6.590;-6.588;-6.579;-6.520;-6.492;-6.481;-6.473;-6.444,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_24_out.pdbqt
3RCD,EH40_25,CHEMBL289959,,-8.044,0.0,0.0,9,-8.044;-7.909;-7.307;-7.228;-7.153;-7.079;-6.884;-6.795;-6.772,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_25_out.pdbqt
3RCD,EH40_26,CHEMBL371863,,-7.472,0.0,0.0,9,-7.472;-7.417;-7.375;-7.348;-7.347;-6.968;-6.940;-6.926;-6.859,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_26_out.pdbqt
3RCD,EH40_27,CHEMBL428690,ALVOCIDIB,-9.216,0.0,0.0,9,-9.216;-8.798;-8.119;-8.023;-7.960;-7.802;-7.756;-7.591;-7.433,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_27_out.pdbqt
3RCD,EH40_28,CHEMBL6017443,,-11.53,0.0,0.0,9,-11.530;-10.967;-10.925;-10.444;-9.925;-9.501;-9.280;-9.153;-9.121,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_28_out.pdbqt
3RCD,EH40_29,CHEMBL1080990,,-9.331,0.0,0.0,9,-9.331;-9.245;-9.155;-9.003;-8.957;-8.887;-8.456;-8.424;-8.275,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_29_out.pdbqt
3RCD,EH40_30,CHEMBL565612,SOTRASTAURIN,-9.628,0.0,0.0,9,-9.628;-8.501;-8.485;-8.221;-8.208;-8.176;-8.040;-7.995;-7.882,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3RCD/EH40_30_out.pdbqt
