ligand,pdb,seed,self_dock,cnnscore_rank,sdf_index,CNNscore,pose_rmsd_A
TD-3,9DKA,44,False,9,8,0.770592153,2.9025013976863896
TD-3,9DKB,42,False,1,0,0.965136826,5.087215599807872
TD-3,9DKB,42,False,2,1,0.936169028,5.377482901779286
TD-3,9DKB,42,False,3,2,0.880898654,2.8133522216768903
TD-3,9DKB,42,False,4,3,0.86985451,2.765020834654129
TD-3,9DKB,42,False,5,4,0.864701092,2.8154993089909577
TD-3,9DKB,42,False,6,5,0.850431085,2.436963236503871
TD-3,9DKB,42,False,7,6,0.850093663,5.0897955854617285
TD-3,9DKB,42,False,8,7,0.802534461,2.754344219656855
TD-3,9DKB,42,False,9,8,0.781552911,1.9042960214998068
TD-3,9DKB,43,False,1,0,0.965426147,5.099161265240448
TD-3,9DKB,43,False,2,1,0.937582612,5.3803764467673245
TD-3,9DKB,43,False,3,2,0.876646399,2.3586236759268826
TD-3,9DKB,43,False,4,3,0.86105746,2.8059847294284608
TD-3,9DKB,43,False,5,4,0.841332197,4.724991614693994
TD-3,9DKB,43,False,6,5,0.83184284,5.058638192841173
TD-3,9DKB,43,False,7,6,0.830696821,5.041530308525945
TD-3,9DKB,43,False,8,7,0.820132792,5.254158471595888
TD-3,9DKB,43,False,9,8,0.803931534,2.759904219676057
TD-3,9DKB,44,False,1,0,0.96469909,5.086360684818903
TD-3,9DKB,44,False,2,1,0.9173069,5.048892905698661
TD-3,9DKB,44,False,3,2,0.895810843,5.521378695094447
TD-3,9DKB,44,False,4,3,0.868562579,2.765706186298278
TD-3,9DKB,44,False,5,4,0.804044545,2.764100108340607
TD-3,9DKB,44,False,6,5,0.796153605,4.78934497105666
TD-3,9DKB,44,False,7,6,0.786786556,2.9127594038373394
TD-3,9DKB,44,False,8,7,0.785734892,2.1923242513857923
TD-3,9DKB,44,False,9,8,0.779748082,1.9032711300923089
TD-3,9DKC,42,True,1,0,0.965193927,5.03431141908064
TD-3,9DKC,42,True,2,1,0.956092477,5.492269502283578
TD-3,9DKC,42,True,3,2,0.87904954,2.2931703958244616
TD-3,9DKC,42,True,4,3,0.872899055,3.044544048668981
TD-3,9DKC,42,True,5,4,0.808025479,2.737375920214728
TD-3,9DKC,42,True,6,5,0.801419914,1.5305690585063936
TD-3,9DKC,42,True,7,6,0.782515645,3.1164499549051916
TD-3,9DKC,42,True,8,7,0.760503411,1.2095981770819602
TD-3,9DKC,42,True,9,8,0.750087559,2.3162654825633178
TD-3,9DKC,43,True,1,0,0.966474473,5.0259868433970265
