target,ligand_id,seed,exhaustiveness,status,reason,n_modes_written,log_path,pose_dir,vina_mode1
4JT6,PM48_43,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_43.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_43,-9.726
4JT6,PM48_44,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_44.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_44,-8.301
4JT6,PM48_45,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_45.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_45,-9.257
4JT6,PM48_46,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_46.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_46,-9.285
4JT6,PM48_47,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_47.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_47,-8.442
4JT6,PM48_48,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4JT6_PM48_48.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4JT6/PM48_48,-8.321
4L23,PM48_01,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_01.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_01,-9.237
4L23,PM48_02,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_02.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_02,-9.18
4L23,PM48_03,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_03.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_03,-7.506
4L23,PM48_04,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_04.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_04,-9.215
4L23,PM48_05,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_05.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_05,-8.855
4L23,PM48_06,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_06.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_06,-7.926
4L23,PM48_07,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_07.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_07,-9.136
4L23,PM48_08,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_08.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_08,-9.09
4L23,PM48_09,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_09.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_09,-8.267
4L23,PM48_10,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_10.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_10,-9.548
4L23,PM48_11,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_11.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_11,-9.283
4L23,PM48_12,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_12.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_12,-8.329
4L23,PM48_13,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_13.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_13,-8.756
4L23,PM48_14,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_14.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_14,-8.185
4L23,PM48_15,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_15.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_15,-8.07
4L23,PM48_16,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_16.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_16,-8.644
4L23,PM48_17,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_17.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_17,-7.882
4L23,PM48_18,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_18.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_18,-9.333
4L23,PM48_19,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_19.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_19,-6.422
4L23,PM48_20,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_20.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_20,-9.057
4L23,PM48_21,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_21.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_21,-8.346
4L23,PM48_22,20260727,16,success,,9,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/logs/vina/4L23_PM48_22.log,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/poses/4L23/PM48_22,-7.529
