panel_id,chembl_id,pref_name,n_confs_in_maegz,chosen_conf_index,sdf_path,pdbqt_path,notes
PM48_11,CHEMBL3545097,SAPANISERTIB,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_11.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_11.pdbqt,first_conf
PM48_12,CHEMBL2017974,BUPARLISIB,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_12.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_12.pdbqt,first_conf
PM48_13,CHEMBL2336325,VISTUSERTIB,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_13.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_13.pdbqt,first_conf
PM48_14,CHEMBL3393066,VS-5584,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_14.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_14.pdbqt,first_conf
PM48_15,CHEMBL3813842,PAXALISIB,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_15.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_15.pdbqt,first_conf
PM48_16,CHEMBL3545366,VOXTALISIB,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_16.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_16.pdbqt,first_conf
PM48_17,CHEMBL4297181,SAMOTOLISIB,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_17.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_17.pdbqt,first_conf
PM48_18,CHEMBL586702,ZSTK-474,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_18.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_18.pdbqt,first_conf
PM48_19,CHEMBL2387080,TASELISIB,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_19.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_19.pdbqt,first_conf
PM48_20,CHEMBL3646632,,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_20.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_20.pdbqt,first_conf
PM48_21,CHEMBL3814414,,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_21.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_21.pdbqt,first_conf
PM48_22,CHEMBL2396661,ALPELISIB,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_22.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_22.pdbqt,first_conf
PM48_23,CHEMBL2058166,,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_23.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_23.pdbqt,first_conf
PM48_24,CHEMBL2017653,,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_24.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_24.pdbqt,first_conf
PM48_25,CHEMBL411907,SONOLISIB,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_25.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_25.pdbqt,first_conf
PM48_26,CHEMBL3646543,,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_26.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_26.pdbqt,first_conf
PM48_27,CHEMBL3646517,,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_27.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_27.pdbqt,first_conf
PM48_28,CHEMBL2087493,,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_28.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_28.pdbqt,first_conf
PM48_29,CHEMBL3357868,,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_29.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_29.pdbqt,first_conf
PM48_30,CHEMBL2165191,AZD-6482,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_30.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_30.pdbqt,first_conf
PM48_31,CHEMBL1086377,,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_31.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_31.pdbqt,first_conf
PM48_32,CHEMBL4072637,,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_32.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_32.pdbqt,first_conf
PM48_33,CHEMBL600447,,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_33.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_33.pdbqt,first_conf
PM48_34,CHEMBL601661,WYE-132,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_34.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_34.pdbqt,first_conf
PM48_35,CHEMBL3120215,OSI-027,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_35.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_35.pdbqt,first_conf
PM48_36,CHEMBL594793,,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_36.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_36.pdbqt,first_conf
PM48_37,CHEMBL573202,,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_37.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_37.pdbqt,first_conf
PM48_38,CHEMBL590104,,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_38.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_38.pdbqt,first_conf
PM48_39,CHEMBL1945953,,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_39.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_39.pdbqt,first_conf
PM48_40,CHEMBL4279703,,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_40.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_40.pdbqt,first_conf
PM48_41,CHEMBL2418349,,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_41.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_41.pdbqt,first_conf
PM48_42,CHEMBL1801204,AZD-8055,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_42.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_42.pdbqt,first_conf
PM48_43,CHEMBL575539,,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_43.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_43.pdbqt,first_conf
PM48_44,CHEMBL1078983,Ku-0063794,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_44.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_44.pdbqt,first_conf
PM48_45,CHEMBL1234815,,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_45.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_45.pdbqt,first_conf
PM48_46,CHEMBL1241482,,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_46.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_46.pdbqt,first_conf
PM48_47,CHEMBL1241485,,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_47.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_47.pdbqt,first_conf
PM48_48,CHEMBL1241858,,1,0,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_sdf/PM48_48.sdf,/mnt/d/CADD paper exercise/dual target docking/results/pik3ca_mtor_panel48_v0/ligands_pdbqt/PM48_48.pdbqt,first_conf
