target,ligand,mode,rtmscore,vina_score
4L23,PM48_04,5,28.605885559040686,-7.814
4L23,PM48_34,4,28.44934012749268,-7.794
4L23,PM48_22,3,28.399796543205564,-7.373
4L23,PM48_23,7,28.344041516756416,-6.812
4L23,PM48_32,1,28.327081218295056,-7.579
4L23,PM48_10,6,28.303221299530502,-7.389
4L23,PM48_02,8,28.29483994411649,-8.581
4L23,PM48_30,4,28.231635572682325,-7.844
4L23,PM48_27,5,28.1611424051428,-7.416
4L23,PM48_08,9,28.06056886133392,-8.172
4L23,PM48_35,8,28.05642712878629,-8.385
4L23,PM48_06,8,27.912562801519613,-6.45
4L23,PM48_42,5,27.82093359894379,-7.032
4L23,PM48_45,6,27.79397929399406,-8.287
4L23,PM48_14,9,27.72215813027816,-6.856
4L23,PM48_48,3,27.69672604120549,-7.716
4L23,PM48_08,3,27.667319950328853,-8.772
4L23,PM48_44,7,27.580673198469285,-7.081
4L23,PM48_47,7,27.51038371266256,-7.614
4L23,PM48_25,1,27.47640153657125,-6.818
4L23,PM48_36,5,27.45029676981716,-7.449
4L23,PM48_07,1,27.262732949694275,-9.136
4L23,PM48_32,6,27.119215908273222,-7.001
4L23,PM48_30,3,27.11280962774649,-7.945
4L23,PM48_47,5,27.104592973817383,-7.78
4L23,PM48_11,9,27.08236677897986,-8.113
4L23,PM48_06,9,27.05443076101172,-6.241
4L23,PM48_13,4,26.925390863734805,-8.21
4L23,PM48_10,3,26.91946975034921,-7.935
4L23,PM48_41,3,26.89955715600525,-7.072
4L23,PM48_45,5,26.859321614119377,-8.463
4L23,PM48_16,9,26.836652923638503,-6.848
4L23,PM48_47,8,26.708370559767705,-7.595
4L23,PM48_13,7,26.452206784314185,-7.997
4L23,PM48_20,8,26.30244191475733,-6.985
4L23,PM48_48,4,26.22741427737025,-7.5
4L23,PM48_22,2,26.15643896705264,-7.39
4L23,PM48_34,5,26.15066947245668,-7.727
4L23,PM48_22,7,26.0750461107363,-7.128
4L23,PM48_22,9,25.93717141159061,-7.08
4L23,PM48_22,4,25.892455674014524,-7.321
4L23,PM48_30,8,25.74272811667596,-7.659
4L23,PM48_44,8,25.623805093003345,-6.979
4L23,PM48_21,9,25.579166210430845,-7.35
4L23,PM48_47,6,25.55246327269696,-7.77
4L23,PM48_42,3,25.504011138645662,-7.177
4L23,PM48_02,5,25.396281345564127,-8.681
4L23,PM48_22,5,25.387047056849823,-7.304
4L23,PM48_03,5,25.336303682772066,-7.22
4L23,PM48_37,4,25.303390694718207,-7.538
4L23,PM48_42,8,25.298640575161503,-6.894
4L23,PM48_45,4,25.29663372773719,-8.886
4L23,PM48_48,9,25.21159080119958,-6.89
4L23,PM48_43,6,25.04372682440939,-7.542
4L23,PM48_17,3,24.94892655104902,-7.58
4L23,PM48_44,9,24.940910652347128,-6.895
4L23,PM48_01,9,24.903942069667536,-7.805
4L23,PM48_09,9,24.89233607806909,-6.657
4L23,PM48_27,1,24.838778096438794,-7.924
4L23,PM48_32,3,24.7819876091905,-7.233
4L23,PM48_24,8,24.78094398267162,-6.307
4L23,PM48_46,6,24.77155191536596,-7.885
4L23,PM48_47,9,24.746748067000567,-7.033
4L23,PM48_04,6,24.65863772270124,-7.776
4L23,PM48_19,8,24.642571043749907,-5.652
4L23,PM48_19,5,24.611755905854,-5.881
4L23,PM48_48,6,24.595140306540166,-7.269
4L23,PM48_45,3,24.56668421898472,-8.905
4L23,PM48_21,3,24.53246402230155,-7.978
4L23,PM48_19,1,24.532129973788788,-6.422
4L23,PM48_25,5,24.4495987644734,-6.388
4L23,PM48_13,6,24.40327159090261,-8.02
4L23,PM48_15,8,24.303792138983376,-6.954
4L23,PM48_25,8,24.157631573891067,-5.753
4L23,PM48_27,7,24.04726759957088,-7.361
4L23,PM48_39,9,23.954038435559337,-7.098
4L23,PM48_37,2,23.94074739002721,-7.592
4L23,PM48_25,4,23.79109797577796,-6.396
4L23,PM48_13,8,23.79024246056045,-7.674
4L23,PM48_24,9,23.65309092401436,-6.202
4L23,PM48_17,1,23.6429454154312,-7.882
4L23,PM48_31,4,23.641206714501344,-8.205
4L23,PM48_30,9,23.51299195949925,-7.597
4L23,PM48_35,6,23.41988747818139,-8.824
4L23,PM48_39,5,23.41045716743584,-7.463
4L23,PM48_48,7,23.381847159128693,-7.09
4L23,PM48_03,7,23.338153013171837,-7.057
4L23,PM48_37,8,23.175764117083997,-7.229
4L23,PM48_36,4,22.93122199637309,-7.475
4L23,PM48_25,9,22.834541304512246,-5.721
4L23,PM48_35,5,22.76486381924465,-9.054
4L23,PM48_05,9,22.696126811940765,-8.193
4L23,PM48_39,8,22.66332696611733,-7.295
4L23,PM48_48,5,22.53425512198072,-7.325
4L23,PM48_22,1,22.343938937941765,-7.529
4L23,PM48_35,2,22.209288430401685,-9.359
4L23,PM48_13,9,22.14434032308857,-7.634
4L23,PM48_36,9,22.13605689849247,-7.141
4L23,PM48_13,3,22.12390139485662,-8.316
4L23,PM48_19,3,21.924084820994736,-6.058
4L23,PM48_41,9,21.876874431069503,-6.235
4L23,PM48_43,9,21.87620844066917,-7.221
4L23,PM48_20,6,21.869673437927545,-7.168
4L23,PM48_26,8,21.83159661514791,-7.426
4L23,PM48_19,9,21.826502695285107,-5.558
4L23,PM48_39,3,21.79493304733027,-7.472
4L23,PM48_37,5,21.73051990899618,-7.501
4L23,PM48_34,9,21.72248192792794,-7.371
4L23,PM48_35,3,21.565172373692548,-9.214
4L23,PM48_34,8,21.363222510709665,-7.476
4L23,PM48_35,7,21.33715972602757,-8.443
4L23,PM48_10,9,21.275249237877727,-6.648
4L23,PM48_14,7,21.122930871928013,-7.002
4L23,PM48_37,1,21.070910850895828,-7.817
4L23,PM48_31,1,20.91523976666805,-8.677
4L23,PM48_36,7,20.881723793814118,-7.183
4L23,PM48_43,8,20.87039020638431,-7.344
4L23,PM48_36,8,20.862192659343624,-7.182
4L23,PM48_32,2,20.85381803384875,-7.449
4L23,PM48_36,3,20.71394251654275,-7.818
4L23,PM48_46,9,20.31736728732591,-7.405
4L23,PM48_36,6,19.85409041909348,-7.431
4L23,PM48_40,6,19.72963507078268,-6.039
