ligand_id,smiles,fragment_status,embed_status,mmff_status,meeko_status,pdbqt_status,n_frags,reason
EH40_23,N#CC(C#N)=CNc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH40_24,O=C1CSC(N/N=C/c2cc(F)ccc2O)=N1,single,etkdgv3_ok,ok,ok,ok,1,
EH40_25,c1ccc(Nc2ncnc3ccccc23)cc1,single,etkdgv3_ok,ok,ok,ok,1,
EH40_26,CCOC(=O)c1cn2ncnc(NCc3ccccc3)c2c1CC,single,etkdgv3_ok,not_converged,ok,ok,1,
EH40_27,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH40_28,Cc1cc(Nc2ncnc3cccc(OC4CCN(C)CC4(F)F)c23)ccc1Oc1ccc2ccnn2c1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH40_29,CCOC(=O)c1[nH]c(C)c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,single,etkdgv3_ok,not_converged,ok,ok,1,
EH40_30,CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH40_31,Cc1ccc(Oc2ccc(Nc3ncnc4[nH]nc(OCCN5CCC(O)CC5)c34)cc2F)cn1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH40_32,Cc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccnc4)c3)c12,single,etkdgv3_ok,ok,ok,ok,1,
EH40_33,O=C(NCCN1CCCCC1)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH40_34,O=C1Cc2ccc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)cc2N1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH40_35,O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)nc4)c3s2)C1)N1CCOCC1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH40_36,COc1cc(O[C@H]2CCNCC2(F)F)c2c(Nc3ccc(Oc4ccn5ncnc5c4)c(C)c3)ncnc2c1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH40_37,C=CC(=O)N1[C@@H]2CC[C@H]1C[C@@H](n1nc(-c3ccc(Oc4ccc5c(c4)ncn5C)c(Cl)c3)c3c(C)ncnc31)C2,single,etkdgv3_ok,not_converged,ok,ok,1,
EH40_38,CNC(=O)c1cnc(N)c2c(-c3ccc(NC(=O)Nc4cc(C)ccc4F)cc3)csc12,single,etkdgv3_ok,not_converged,ok,ok,1,
EH40_39,Fc1cccc(COc2ccc(Nc3cc(-c4ccccc4)ncn3)cc2Cl)c1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH40_40,COc1cc(/C=C(/C#N)C(N)=O)cc(CSCc2ccc(Cl)cc2)c1O,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_041,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_042,N#Cc1c(NC(=O)CNc2n[nH]c3ncccc23)sc2c1CCCC2,single,etkdgv3_ok,not_converged,ok,ok,1,
