pair,seed,ligand,class,pdb,status,vina_mode1,seconds,reason
EGFR/HER2,20260727,EH40_23,A_only,3POZ,ok,-11.174,136.1,
EGFR/HER2,20260727,EH40_24,A_only,3POZ,ok,-7.335,17.4,
EGFR/HER2,20260727,EH40_25,A_only,3POZ,ok,-8.032,13.3,
EGFR/HER2,20260727,EH40_26,A_only,3POZ,ok,-7.378,43.3,
EGFR/HER2,20260727,EH40_27,A_only,3POZ,ok,-8.723,41.2,
EGFR/HER2,20260727,EH40_28,B_only,3POZ,ok,-11.095,158.9,
EGFR/HER2,20260727,EH40_29,B_only,3POZ,ok,-9.034,99.4,
EGFR/HER2,20260727,EH40_30,B_only,3POZ,ok,-9.994,84.2,
EGFR/HER2,20260727,EH40_31,B_only,3POZ,timeout_skipped,,600.9,timeout_600s
EGFR/HER2,20260727,EH40_32,B_only,3POZ,ok,-9.265,422.5,
EGFR/HER2,20260727,EH40_33,B_only,3POZ,ok,-10.42,360.9,
EGFR/HER2,20260727,EH40_34,B_only,3POZ,ok,-9.51,59.4,
EGFR/HER2,20260727,EH40_35,B_only,3POZ,ok,-9.808,151.8,
EGFR/HER2,20260727,EH40_36,B_only,3POZ,ok,-10.426,99.4,
EGFR/HER2,20260727,EH40_37,B_only,3POZ,ok,-10.155,80.8,
EGFR/HER2,20260727,EH40_38,neither,3POZ,ok,-9.602,48.0,
EGFR/HER2,20260727,EH40_39,neither,3POZ,ok,-10.39,47.5,
EGFR/HER2,20260727,EH40_40,neither,3POZ,ok,-7.7,42.2,
EGFR/HER2,20260727,EH120_041,dual,3RCD,ok,-10.957,74.2,
EGFR/HER2,20260727,EH120_042,dual,3RCD,ok,-9.451,23.6,
EGFR/HER2,20260727,EH120_043,dual,3RCD,ok,-9.053,66.0,
EGFR/HER2,20260727,EH120_044,dual,3RCD,ok,-9.415,68.0,
EGFR/HER2,20260727,EH120_045,dual,3RCD,ok,-9.589,47.0,
EGFR/HER2,20260727,EH120_046,dual,3RCD,ok,-9.719,85.1,
EGFR/HER2,20260727,EH120_047,dual,3RCD,ok,-9.071,114.4,
EGFR/HER2,20260727,EH120_048,dual,3RCD,ok,-8.295,22.2,
EGFR/HER2,20260727,EH120_049,dual,3RCD,ok,-9.666,60.7,
EGFR/HER2,20260727,EH120_050,dual,3RCD,ok,-10.103,115.0,
EGFR/HER2,20260727,EH120_051,dual,3RCD,ok,-8.277,21.3,
EGFR/HER2,20260727,EH120_052,dual,3RCD,ok,-9.911,48.6,
EGFR/HER2,20260727,EH120_053,dual,3RCD,ok,-10.667,68.6,
EGFR/HER2,20260727,EH120_054,A_only,3RCD,ok,-7.654,16.5,
EGFR/HER2,20260727,EH120_055,A_only,3RCD,ok,-8.396,20.5,
EGFR/HER2,20260727,EH120_056,A_only,3RCD,ok,-8.033,169.9,
EGFR/HER2,20260727,EH120_057,A_only,3RCD,ok,-7.706,13.3,
EGFR/HER2,20260727,EH120_058,A_only,3RCD,ok,-9.181,60.1,
EGFR/HER2,20260727,EH120_059,A_only,3RCD,ok,-8.694,34.5,
EGFR/HER2,20260727,EH120_060,A_only,3RCD,ok,-9.152,38.5,
EGFR/HER2,20260727,EH120_061,A_only,3RCD,ok,-10.789,102.7,
EGFR/HER2,20260727,EH120_062,A_only,3RCD,ok,-10.93,132.0,
EGFR/HER2,20260727,EH120_063,A_only,3RCD,ok,-9.857,69.4,
EGFR/HER2,20260727,EH120_064,A_only,3RCD,ok,-8.091,32.8,
EGFR/HER2,20260727,EH120_065,A_only,3RCD,ok,-8.912,21.1,
EGFR/HER2,20260727,EH120_066,A_only,3RCD,ok,-8.628,99.2,
EGFR/HER2,20260727,EH120_067,A_only,3RCD,ok,-8.838,21.3,
EGFR/HER2,20260727,EH120_068,A_only,3RCD,ok,-9.128,385.8,
EGFR/HER2,20260727,EH120_069,A_only,3RCD,ok,-8.925,41.2,
EGFR/HER2,20260727,EH120_070,A_only,3RCD,ok,-9.259,23.7,
EGFR/HER2,20260727,EH120_071,A_only,3RCD,ok,-10.141,54.7,
EGFR/HER2,20260727,EH120_072,A_only,3RCD,ok,-11.043,72.5,
EGFR/HER2,20260727,EH120_073,A_only,3RCD,ok,-9.678,88.0,
EGFR/HER2,20260727,EH120_074,A_only,3RCD,ok,-8.485,23.2,
EGFR/HER2,20260727,EH120_075,A_only,3RCD,ok,-8.298,28.4,
EGFR/HER2,20260727,EH120_076,A_only,3RCD,ok,-8.783,16.5,
EGFR/HER2,20260727,EH120_077,A_only,3RCD,ok,-9.534,22.8,
EGFR/HER2,20260727,EH120_078,A_only,3RCD,ok,-9.489,109.2,
EGFR/HER2,20260727,EH120_079,A_only,3RCD,ok,-7.79,24.0,
EGFR/HER2,20260727,EH120_080,B_only,3RCD,ok,-10.151,124.6,
EGFR/HER2,20260727,EH120_081,B_only,3RCD,ok,-10.616,122.5,
EGFR/HER2,20260727,EH120_082,B_only,3RCD,ok,-9.754,125.5,
EGFR/HER2,20260727,EH120_083,B_only,3RCD,ok,-10.612,139.5,
EGFR/HER2,20260727,EH120_084,B_only,3RCD,ok,-10.654,85.2,
EGFR/HER2,20260727,EH120_085,B_only,3RCD,ok,-11.413,72.5,
EGFR/HER2,20260727,EH120_086,B_only,3RCD,ok,-10.698,127.6,
EGFR/HER2,20260727,EH120_087,B_only,3RCD,ok,-11.013,139.5,
EGFR/HER2,20260727,EH120_088,B_only,3RCD,ok,-12.196,74.1,
EGFR/HER2,20260727,EH120_089,B_only,3RCD,ok,-9.314,127.5,
EGFR/HER2,20260727,EH120_090,B_only,3RCD,ok,-9.878,141.0,
EGFR/HER2,20260727,EH120_091,B_only,3RCD,ok,-10.58,61.8,
EGFR/HER2,20260727,EH120_092,B_only,3RCD,ok,-11.003,88.5,
EGFR/HER2,20260727,EH120_093,B_only,3RCD,ok,-10.719,160.5,
EGFR/HER2,20260727,EH120_094,B_only,3RCD,ok,-8.593,41.2,
EGFR/HER2,20260727,EH120_095,B_only,3RCD,ok,-10.607,80.2,
EGFR/HER2,20260727,EH120_096,B_only,3RCD,ok,-10.831,71.4,
EGFR/HER2,20260727,EH120_097,B_only,3RCD,ok,-10.367,57.9,
EGFR/HER2,20260727,EH120_098,B_only,3RCD,ok,-11.004,64.1,
EGFR/HER2,20260727,EH120_099,B_only,3RCD,ok,-9.843,98.1,
EGFR/HER2,20260727,EH120_100,B_only,3RCD,ok,-11.006,70.9,
EGFR/HER2,20260727,EH120_101,B_only,3RCD,ok,-10.541,84.6,
EGFR/HER2,20260727,EH120_102,neither,3RCD,ok,-7.883,24.1,
EGFR/HER2,20260727,EH120_103,neither,3RCD,ok,-9.177,21.0,
EGFR/HER2,20260727,EH120_104,neither,3RCD,ok,-11.159,30.3,
EGFR/HER2,20260727,EH120_105,neither,3RCD,ok,-9.183,19.9,
EGFR/HER2,20260727,EH120_106,neither,3RCD,ok,-9.567,14.3,
EGFR/HER2,20260727,EH120_107,neither,3RCD,ok,-7.974,57.6,
EGFR/HER2,20260727,EH120_108,neither,3RCD,ok,-7.852,50.2,
EGFR/HER2,20260727,EH120_109,neither,3RCD,ok,-4.643,23.7,
EGFR/HER2,20260727,EH120_110,neither,3RCD,ok,-7.044,18.6,
EGFR/HER2,20260727,EH40_01,dual,3RCD,ok,-9.907,0.0,cached
EGFR/HER2,20260727,EH40_02,dual,3RCD,ok,-10.422,0.0,cached
EGFR/HER2,20260727,EH40_03,dual,3RCD,ok,-9.707,144.7,
EGFR/HER2,20260727,EH40_04,dual,3RCD,ok,-11.083,257.2,
EGFR/HER2,20260727,EH40_05,dual,3RCD,ok,-9.775,131.6,
EGFR/HER2,20260727,EH40_06,dual,3RCD,ok,-9.997,345.5,
EGFR/HER2,20260727,EH40_07,dual,3RCD,ok,-9.703,57.2,
EGFR/HER2,20260727,EH40_08,dual,3RCD,ok,-10.061,170.2,
EGFR/HER2,20260727,EH40_09,dual,3RCD,ok,-9.749,256.5,
EGFR/HER2,20260727,EH40_10,dual,3RCD,ok,-8.271,166.4,
EGFR/HER2,20260727,EH40_11,dual,3RCD,ok,-10.405,127.8,
EGFR/HER2,20260727,EH40_12,dual,3RCD,ok,-10.363,147.0,
EGFR/HER2,20260727,EH40_13,dual,3RCD,ok,-9.576,158.3,
EGFR/HER2,20260727,EH40_14,dual,3RCD,ok,-7.408,49.1,
EGFR/HER2,20260727,EH40_15,dual,3RCD,ok,-9.206,45.7,
EGFR/HER2,20260727,EH40_16,A_only,3RCD,ok,-10.179,49.8,
EGFR/HER2,20260727,EH40_17,A_only,3RCD,ok,-8.482,73.5,
EGFR/HER2,20260727,EH40_18,A_only,3RCD,ok,-12.294,105.3,
EGFR/HER2,20260727,EH40_19,A_only,3RCD,ok,-8.224,78.9,
EGFR/HER2,20260727,EH40_20,A_only,3RCD,ok,-9.924,168.0,
EGFR/HER2,20260727,EH40_21,A_only,3RCD,ok,-9.143,103.6,
EGFR/HER2,20260727,EH40_22,A_only,3RCD,ok,-10.136,257.6,
EGFR/HER2,20260727,EH40_23,A_only,3RCD,ok,-10.971,116.0,
EGFR/HER2,20260727,EH40_24,A_only,3RCD,ok,-7.423,14.5,
EGFR/HER2,20260727,EH40_25,A_only,3RCD,ok,-8.218,12.5,
EGFR/HER2,20260727,EH40_26,A_only,3RCD,ok,-7.714,37.9,
EGFR/HER2,20260727,EH40_27,A_only,3RCD,ok,-9.294,43.3,
EGFR/HER2,20260727,EH40_28,B_only,3RCD,ok,-11.185,168.3,
EGFR/HER2,20260727,EH40_29,B_only,3RCD,ok,-9.298,81.4,
EGFR/HER2,20260727,EH40_30,B_only,3RCD,ok,-9.732,86.2,
EGFR/HER2,20260727,EH40_31,B_only,3RCD,timeout_skipped,,600.5,timeout_600s
EGFR/HER2,20260727,EH40_32,B_only,3RCD,ok,-9.905,405.2,
EGFR/HER2,20260727,EH40_33,B_only,3RCD,ok,-10.776,323.5,
EGFR/HER2,20260727,EH40_34,B_only,3RCD,ok,-8.999,56.1,
EGFR/HER2,20260727,EH40_35,B_only,3RCD,ok,-10.584,147.4,
EGFR/HER2,20260727,EH40_36,B_only,3RCD,ok,-10.519,123.7,
EGFR/HER2,20260727,EH40_37,B_only,3RCD,ok,-10.925,88.2,
EGFR/HER2,20260727,EH40_38,neither,3RCD,ok,-9.516,40.5,
EGFR/HER2,20260727,EH40_39,neither,3RCD,ok,-9.936,39.0,
EGFR/HER2,20260727,EH40_40,neither,3RCD,ok,-8.379,42.5,
EGFR/HER2,20260811,EH120_041,dual,3POZ,ok,-10.429,98.0,
EGFR/HER2,20260811,EH120_042,dual,3POZ,ok,-9.337,25.1,
EGFR/HER2,20260811,EH120_043,dual,3POZ,ok,-8.596,69.5,
EGFR/HER2,20260811,EH120_044,dual,3POZ,ok,-10.714,70.3,
EGFR/HER2,20260811,EH120_045,dual,3POZ,ok,-9.409,55.4,
EGFR/HER2,20260811,EH120_046,dual,3POZ,ok,-9.77,97.1,
EGFR/HER2,20260811,EH120_047,dual,3POZ,ok,-9.873,123.1,
EGFR/HER2,20260811,EH120_048,dual,3POZ,ok,-8.195,26.3,
EGFR/HER2,20260811,EH120_049,dual,3POZ,ok,-10.289,72.6,
EGFR/HER2,20260811,EH120_050,dual,3POZ,ok,-10.17,123.1,
EGFR/HER2,20260811,EH120_051,dual,3POZ,ok,-8.766,23.8,
EGFR/HER2,20260811,EH120_052,dual,3POZ,ok,-10.208,53.3,
EGFR/HER2,20260811,EH120_053,dual,3POZ,ok,-10.115,68.1,
EGFR/HER2,20260811,EH120_054,A_only,3POZ,ok,-7.483,17.8,
EGFR/HER2,20260811,EH120_055,A_only,3POZ,ok,-8.952,24.9,
EGFR/HER2,20260811,EH120_056,A_only,3POZ,ok,-7.524,155.2,
EGFR/HER2,20260811,EH120_057,A_only,3POZ,ok,-7.972,14.3,
EGFR/HER2,20260811,EH120_058,A_only,3POZ,ok,-9.73,64.3,
EGFR/HER2,20260811,EH120_059,A_only,3POZ,ok,-9.068,34.9,
EGFR/HER2,20260811,EH120_060,A_only,3POZ,ok,-8.683,47.4,
EGFR/HER2,20260811,EH120_061,A_only,3POZ,ok,-10.801,110.7,
EGFR/HER2,20260811,EH120_062,A_only,3POZ,ok,-10.414,133.7,
EGFR/HER2,20260811,EH120_063,A_only,3POZ,ok,-9.355,64.7,
EGFR/HER2,20260811,EH120_064,A_only,3POZ,ok,-7.84,35.5,
EGFR/HER2,20260811,EH120_065,A_only,3POZ,ok,-8.394,24.0,
EGFR/HER2,20260811,EH120_066,A_only,3POZ,ok,-8.633,102.5,
EGFR/HER2,20260811,EH120_067,A_only,3POZ,ok,-8.508,22.6,
EGFR/HER2,20260811,EH120_068,A_only,3POZ,ok,-9.048,385.5,
EGFR/HER2,20260811,EH120_069,A_only,3POZ,ok,-8.739,50.1,
EGFR/HER2,20260811,EH120_070,A_only,3POZ,ok,-8.299,24.2,
EGFR/HER2,20260811,EH120_071,A_only,3POZ,ok,-9.639,59.6,
EGFR/HER2,20260811,EH120_072,A_only,3POZ,ok,-11.149,80.5,
EGFR/HER2,20260811,EH120_073,A_only,3POZ,ok,-9.991,88.9,
EGFR/HER2,20260811,EH120_074,A_only,3POZ,ok,-8.294,24.5,
EGFR/HER2,20260811,EH120_075,A_only,3POZ,ok,-7.997,30.0,
EGFR/HER2,20260811,EH120_076,A_only,3POZ,ok,-8.425,17.2,
EGFR/HER2,20260811,EH120_077,A_only,3POZ,ok,-8.608,24.5,
EGFR/HER2,20260811,EH120_078,A_only,3POZ,ok,-10.002,120.2,
EGFR/HER2,20260811,EH120_079,A_only,3POZ,ok,-7.853,26.2,
EGFR/HER2,20260811,EH120_080,B_only,3POZ,ok,-9.699,140.2,
EGFR/HER2,20260811,EH120_081,B_only,3POZ,ok,-10.597,119.0,
EGFR/HER2,20260811,EH120_082,B_only,3POZ,ok,-8.743,156.6,
EGFR/HER2,20260811,EH120_083,B_only,3POZ,ok,-10.395,121.8,
EGFR/HER2,20260811,EH120_084,B_only,3POZ,ok,-10.623,95.4,
EGFR/HER2,20260811,EH120_085,B_only,3POZ,ok,-10.683,94.4,
EGFR/HER2,20260811,EH120_086,B_only,3POZ,ok,-10.484,113.4,
EGFR/HER2,20260811,EH120_087,B_only,3POZ,ok,-10.637,116.8,
EGFR/HER2,20260811,EH120_088,B_only,3POZ,ok,-10.928,99.3,
EGFR/HER2,20260811,EH120_089,B_only,3POZ,ok,-9.117,139.8,
EGFR/HER2,20260811,EH120_090,B_only,3POZ,ok,-9.246,160.3,
EGFR/HER2,20260811,EH120_091,B_only,3POZ,ok,-9.801,73.8,
EGFR/HER2,20260811,EH120_092,B_only,3POZ,ok,-10.768,98.1,
EGFR/HER2,20260811,EH120_093,B_only,3POZ,ok,-10.46,146.2,
EGFR/HER2,20260811,EH120_094,B_only,3POZ,ok,-8.75,43.3,
EGFR/HER2,20260811,EH120_095,B_only,3POZ,ok,-10.235,89.3,
EGFR/HER2,20260811,EH120_096,B_only,3POZ,ok,-10.557,72.7,
EGFR/HER2,20260811,EH120_097,B_only,3POZ,ok,-9.716,68.5,
EGFR/HER2,20260811,EH120_098,B_only,3POZ,ok,-10.243,67.4,
EGFR/HER2,20260811,EH120_099,B_only,3POZ,ok,-10.417,121.9,
EGFR/HER2,20260811,EH120_100,B_only,3POZ,ok,-10.131,69.6,
EGFR/HER2,20260811,EH120_101,B_only,3POZ,ok,-10.685,75.9,
EGFR/HER2,20260811,EH120_102,neither,3POZ,ok,-7.451,26.7,
EGFR/HER2,20260811,EH120_103,neither,3POZ,ok,-8.719,23.2,
EGFR/HER2,20260811,EH120_104,neither,3POZ,ok,-10.206,32.2,
EGFR/HER2,20260811,EH120_105,neither,3POZ,ok,-9.223,23.2,
EGFR/HER2,20260811,EH120_106,neither,3POZ,ok,-9.057,16.0,
EGFR/HER2,20260811,EH120_107,neither,3POZ,ok,-8.084,61.3,
EGFR/HER2,20260811,EH120_108,neither,3POZ,ok,-8.027,56.5,
EGFR/HER2,20260811,EH120_109,neither,3POZ,ok,-4.675,22.3,
EGFR/HER2,20260811,EH120_110,neither,3POZ,ok,-6.632,20.2,
EGFR/HER2,20260811,EH40_01,dual,3POZ,ok,-10.495,0.0,cached
EGFR/HER2,20260811,EH40_02,dual,3POZ,ok,-10.583,0.0,cached
EGFR/HER2,20260811,EH40_03,dual,3POZ,ok,-9.004,147.5,
EGFR/HER2,20260811,EH40_04,dual,3POZ,ok,-11.861,257.4,
EGFR/HER2,20260811,EH40_05,dual,3POZ,ok,-10.051,166.6,
EGFR/HER2,20260811,EH40_06,dual,3POZ,ok,-10.174,341.7,
EGFR/HER2,20260811,EH40_07,dual,3POZ,ok,-9.329,60.2,
EGFR/HER2,20260811,EH40_08,dual,3POZ,ok,-9.643,195.5,
EGFR/HER2,20260811,EH40_09,dual,3POZ,ok,-10.656,265.7,
EGFR/HER2,20260811,EH40_10,dual,3POZ,ok,-8.555,171.9,
EGFR/HER2,20260811,EH40_11,dual,3POZ,ok,-9.679,124.7,
EGFR/HER2,20260811,EH40_12,dual,3POZ,ok,-9.817,154.2,
EGFR/HER2,20260811,EH40_13,dual,3POZ,ok,-10.006,170.5,
EGFR/HER2,20260811,EH40_14,dual,3POZ,ok,-7.03,48.8,
EGFR/HER2,20260811,EH40_15,dual,3POZ,ok,-8.67,49.2,
EGFR/HER2,20260811,EH40_16,A_only,3POZ,ok,-10.86,47.0,
EGFR/HER2,20260811,EH40_17,A_only,3POZ,ok,-9.158,95.1,
EGFR/HER2,20260811,EH40_18,A_only,3POZ,ok,-10.368,102.2,
EGFR/HER2,20260811,EH40_19,A_only,3POZ,ok,-8.277,77.6,
EGFR/HER2,20260811,EH40_20,A_only,3POZ,ok,-10.117,198.5,
EGFR/HER2,20260811,EH40_21,A_only,3POZ,ok,-8.979,121.6,
EGFR/HER2,20260811,EH40_22,A_only,3POZ,ok,-10.11,277.8,
EGFR/HER2,20260811,EH40_23,A_only,3POZ,ok,-11.07,134.8,
EGFR/HER2,20260811,EH40_24,A_only,3POZ,ok,-7.321,15.7,
EGFR/HER2,20260811,EH40_25,A_only,3POZ,ok,-8.006,13.6,
EGFR/HER2,20260811,EH40_26,A_only,3POZ,ok,-7.377,41.0,
EGFR/HER2,20260811,EH40_27,A_only,3POZ,ok,-8.719,43.2,
EGFR/HER2,20260811,EH40_28,B_only,3POZ,ok,-11.084,157.5,
EGFR/HER2,20260811,EH40_29,B_only,3POZ,ok,-9.531,97.2,
EGFR/HER2,20260811,EH40_30,B_only,3POZ,ok,-10.009,77.4,
EGFR/HER2,20260811,EH40_31,B_only,3POZ,timeout_skipped,,600.5,timeout_600s
EGFR/HER2,20260811,EH40_32,B_only,3POZ,ok,-9.018,420.8,
EGFR/HER2,20260811,EH40_33,B_only,3POZ,ok,-10.391,292.4,
EGFR/HER2,20260811,EH40_34,B_only,3POZ,ok,-9.528,59.4,
EGFR/HER2,20260811,EH40_35,B_only,3POZ,ok,-9.896,159.7,
EGFR/HER2,20260811,EH40_36,B_only,3POZ,ok,-10.387,103.2,
EGFR/HER2,20260811,EH40_37,B_only,3POZ,ok,-10.179,78.6,
EGFR/HER2,20260811,EH40_38,neither,3POZ,ok,-9.494,48.6,
EGFR/HER2,20260811,EH40_39,neither,3POZ,ok,-10.398,48.5,
EGFR/HER2,20260811,EH40_40,neither,3POZ,ok,-7.952,43.1,
EGFR/HER2,20260811,EH120_041,dual,3RCD,ok,-10.98,84.5,
EGFR/HER2,20260811,EH120_042,dual,3RCD,ok,-9.452,23.6,
EGFR/HER2,20260811,EH120_043,dual,3RCD,ok,-9.044,66.0,
EGFR/HER2,20260811,EH120_044,dual,3RCD,ok,-9.548,62.5,
EGFR/HER2,20260811,EH120_045,dual,3RCD,ok,-9.59,49.8,
EGFR/HER2,20260811,EH120_046,dual,3RCD,ok,-9.697,87.8,
EGFR/HER2,20260811,EH120_047,dual,3RCD,ok,-9.287,111.2,
EGFR/HER2,20260811,EH120_048,dual,3RCD,ok,-8.303,23.2,
EGFR/HER2,20260811,EH120_049,dual,3RCD,ok,-9.636,62.3,
EGFR/HER2,20260811,EH120_050,dual,3RCD,ok,-10.482,113.6,
EGFR/HER2,20260811,EH120_051,dual,3RCD,ok,-8.342,21.0,
EGFR/HER2,20260811,EH120_052,dual,3RCD,ok,-9.85,48.4,
