molecule_chembl_id,canonical_smiles,pActivity,n_measurements
CHEMBL1423779,CCOc1ccc(-c2nc(N)ncc2-c2ccccc2)c(O)c1,4.9,1
CHEMBL1425417,CNC(=O)c1[nH]cnc1C(=O)Nc1cccc(OC)c1,4.3,1
CHEMBL1426468,COC(=O)c1sccc1NC(=O)c1ccc(OC)cc1,4.57,1
CHEMBL1427588,NC(=O)c1c(NC(=O)C2CCCO2)sc2c1CCC2,4.37,1
CHEMBL1428011,CC1=C(C(=O)OC2CCCCCCC2)C(c2ccc(O)cc2)NC(=O)N1,4.38,1
CHEMBL1428357,COc1ccc(C2=NOC(C(=O)Nc3ccc(C(C)=O)cc3)C2)cc1OC,4.49,1
CHEMBL1429270,COC(=O)c1ccccc1NC(=O)CN1CCC(NC(=O)c2ccccc2C)CC1,5.38,1
CHEMBL1429633,COc1cccc(OCC(=O)Nc2ccccc2C(N)=O)c1,4.26,1
CHEMBL1429706,Cc1cc(NC(=O)CSC2=Nc3ccccc3C3=NC(Cc4ccccc4)C(=O)N23)[nH]n1,4.95,1
CHEMBL1432163,COc1ccc(C(C)=O)cc1COC(=O)c1cc(C)oc1C,4.21,1
CHEMBL1432472,CCOC(=O)c1c(C)nsc1S,4.51,1
CHEMBL1439313,CC(=O)Nc1cccc(-c2nc3ccccc3c(=O)o2)c1,4.38,1
CHEMBL1439904,N#Cc1c(O)nc(SCC(=O)Nc2cccc(Cl)c2)nc1-c1ccco1,4.53,1
CHEMBL1440703,CC(=O)Nc1cc(OC(C)=O)c2nonc2c1OC(C)=O,4.33,1
CHEMBL1445111,O=C(C1CCC(Cn2c(=O)[nH]c3ccccc3c2=O)CC1)N1CCN(c2ccccc2)CC1,6.3,1
CHEMBL1446875,CC1=CC(=C2C(=O)c3ccccc3C2=O)C=C(C)N1C,4.38,1
CHEMBL1447733,Fc1cccc(Nc2cc(-n3cccn3)ncn2)c1,5.16,1
CHEMBL1449655,c1ccc(-n2nc3ccc4c[nH]nc4c3n2)cc1,4.37,1
CHEMBL1451996,O=C(C1CCC(Cn2c(=S)[nH]c3ccccc3c2=O)CC1)N1CCOCC1,4.78,1
CHEMBL1452914,COC(=O)c1ccccc1NC(=O)CN1CCC(C(=O)c2ccc3c(c2)OCCO3)CC1,4.62,1
CHEMBL1454081,O=c1c2ccccc2[nH]c(=S)n1Cc1cccnc1,4.62,1
CHEMBL1454264,O=C1NC(=O)c2c(NC(=O)C3CCCO3)cccc21,4.25,1
CHEMBL1454594,COC(=O)c1ccsc1NC(=O)C1COc2ccccc2O1,4.57,1
CHEMBL1454635,NC(=O)c1ccsc1NC(=O)C1CC1,4.48,1
CHEMBL1454779,O=C(CCCCCn1c(SCC(=O)c2ccccc2)nc2ccccc2c1=O)NCc1ccco1,4.41,1
CHEMBL1455269,CCOC(=O)c1ccccc1NC(=O)COc1ccccc1,4.53,1
CHEMBL1455874,CCOC(=O)c1c(-c2ccc(OC)cc2)n[nH]c1N,4.2,1
CHEMBL1457783,c1ccc(-c2onc3cc4c(cc23)OCCO4)cc1,4.3,1
CHEMBL1458153,O=C(CCCCCn1c(=S)[nH]c2ccccc2c1=O)N1CCC2(CC1)OCCO2,4.53,1
CHEMBL1458559,CCCc1cc(O)n2c(n1)nc1ccccc12,4.46,1
CHEMBL1459123,Cc1ccc2c(CC(=O)Nc3sccc3C(N)=O)coc2c1,4.68,1
CHEMBL1461003,COc1ccc(NC(=O)CCCCn2c(=O)[nH]c3ccccc3c2=O)cc1,4.26,1
CHEMBL1461987,COc1ccc(CC(=O)Nc2cc(C)ccn2)cc1,4.67,1
