molecule_chembl_id,canonical_smiles,pAct_JNK1,pAct_JNK2,pAct_JNK3,n_isoforms,delta_12,delta_13,delta_min,sel_class
CHEMBL2031893,COc1cc2nccc(Oc3ccc(NC(=O)c4c(C)n(C)n(-c5ccccc5)c4=O)cc3F)c2cc1OC,,4.0,,1,,,,unknown
CHEMBL203225,CC(=O)N1CCCC(C(=O)Nc2cc(-c3ccnc(Nc4ccccc4)c3)ccn2)C1,7.09,,8.05,2,,-0.9600000000000009,-0.9600000000000009,non-selective
CHEMBL203289,Fc1ccccc1Nc1cc(-c2ccnc(Nc3ccccc3F)c2)ccn1,,,7.5,1,,,,unknown
CHEMBL203535,O=C(Nc1cc(-c2ccnc(Nc3ccccc3)c2)ccn1)C1CCOC1,6.413333333333334,,8.166666666666666,2,,-1.753333333333332,-1.753333333333332,non-selective
CHEMBL203631,CO[C@H]1CC[C@H](C(=O)Nc2cc(-c3ccnc(Nc4ccc(F)cc4)c3)ccn2)CC1,5.89,,6.63,2,,-0.7400000000000002,-0.7400000000000002,non-selective
CHEMBL203792,Nc1ccccc1Nc1cc(-c2ccnc(Nc3ccccc3N)c2)ccn1,,,6.97,1,,,,unknown
CHEMBL203839,O=C(Nc1cc(-c2ccnc(Nc3ccc(F)cc3)c2)ccn1)C1CCOC1,7.29,,8.285,2,,-0.9950000000000001,-0.9950000000000001,non-selective
CHEMBL204757,CC(=O)N1CCC(C(=O)Nc2cc(-c3ccnc(Nc4ccccc4)c3)ccn2)CC1,6.66,,7.36,2,,-0.7000000000000002,-0.7000000000000002,non-selective
CHEMBL205078,O=C(Nc1cc(-c2ccnc(Nc3ccc(F)cc3)c2)ccn1)C1CCOCC1,6.82,,8.22,2,,-1.4000000000000004,-1.4000000000000004,non-selective
CHEMBL205402,Cc1cnc(C(=O)Nc2cc(-c3ccnc(Nc4ccccc4)c3)ccn2)cn1,6.58,,7.48,2,,-0.9000000000000004,-0.9000000000000004,non-selective
CHEMBL205561,Cc1ccccc1Nc1cc(-c2ccnc(Nc3ccccc3C)c2)ccn1,,,6.19,1,,,,unknown
CHEMBL205672,Fc1ccc(Nc2cc(-c3ccnc(Nc4ccc(F)cc4)c3)ccn2)cc1,,,7.77,1,,,,unknown
CHEMBL206466,CC(=O)N1CCCC(C(=O)Nc2cc(-c3ccnc(Nc4ccc(F)cc4)c3)ccn2)C1,7.07,,7.82,2,,-0.75,-0.75,non-selective
CHEMBL2064666,COc1c(Nc2ncc(Cl)c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)n2)ccc2c1CC[C@@H](N1CCOCC1)CC2,6.95,,,1,,,,non-selective
CHEMBL206803,Cn1nc(CCCC(=O)O)c2c(=O)c3cc(Cl)ccc3n(O)c21,5.56,,,1,,,,non-selective
CHEMBL206936,CNC(=O)Cn1nc(C)c2c(=O)c3cc(Cl)ccc3n(O)c21,5.06,,,1,,,,non-selective
CHEMBL206989,Cc1nn(CCO)c2c1c(=O)c1cc(Cl)ccc1n2O,5.12,,,1,,,,non-selective
CHEMBL207050,Cn1nc(C(F)(F)F)c2c(=O)c3cc(Cl)c(Cl)cc3n(O)c21,5.29,,,1,,,,non-selective
CHEMBL207051,Cn1nc(CCN)c2c(=O)c3cc(Cl)ccc3n(O)c21,5.55,,,1,,,,non-selective
CHEMBL207138,CCc1nn(C)c2c1c(=O)c1cc(Cl)ccc1n2O,6.02,,,1,,,,non-selective
CHEMBL207228,Cc1nn(C)c2c1c(=O)c1cc(Cl)ccc1n2O,5.91,5.51,,2,0.40000000000000036,,0.40000000000000036,non-selective
CHEMBL207253,CCCOn1c2ccc(Cl)cc2c(=O)c2c(C)nn(C)c21,5.26,,,1,,,,non-selective
CHEMBL207400,Cn1nc(C(F)(F)F)c2c(=O)c3cc(Cl)ccc3n(O)c21,6.01,5.52,,2,0.4900000000000002,,0.4900000000000002,non-selective
CHEMBL207457,CCNC(=O)NCCCc1nn(C)c2c1c(=O)c1cc(Cl)ccc1n2O,6.3,,,1,,,,non-selective
CHEMBL207536,Cn1c2[n+]([O-])c3ccc(Cl)cc3c(=O)c-2c2n1C(=O)NCC2,6.54,,,1,,,,non-selective
CHEMBL207773,CCOC(=O)Cn1nc(C)c2c(=O)c3cc(Cl)ccc3n(O)c21,5.12,,,1,,,,non-selective
CHEMBL207861,Cc1nn(CC(=O)O)c2c1c(=O)c1cc(Cl)ccc1n2O,5.36,,,1,,,,non-selective
CHEMBL208095,CCOn1c2ccc(Cl)cc2c(=O)c2c(C)nn(C)c21,5.56,,,1,,,,non-selective
CHEMBL208174,CC(C)c1nn(C)c2c1c(=O)c1cc(Cl)ccc1n2O,5.58,,,1,,,,non-selective
CHEMBL208447,CCOc1nc(NC(=O)Cc2cccc(C)c2)cc(N)c1C#N,6.38,6.1,,2,0.28000000000000025,,0.28000000000000025,non-selective
CHEMBL208448,CCOc1nc(NC(=O)Cc2cc(C)ccc2C)cc(N)c1C#N,5.36,,,1,,,,non-selective
CHEMBL208558,CCOc1nc(NC(=O)Cc2ccccc2C)cc(N)c1C#N,6.4,6.13,,2,0.27000000000000046,,0.27000000000000046,non-selective
CHEMBL208637,CCOc1nc(NC(C)=O)cc(N)c1C#N,6.1,5.96,,2,0.13999999999999968,,0.13999999999999968,non-selective
CHEMBL208877,CCOc1nc(NC(=O)CN2CCOCC2)cc(N)c1C#N,6.57,5.92,,2,0.6500000000000004,,0.6500000000000004,non-selective
CHEMBL2089253,CCOc1nc(Nc2ccccc2)cc(N)c1C#N,5.99,,,1,,,,non-selective
CHEMBL2089254,CCOc1nc(Nc2ccc(C(N)=O)cc2)cc(N)c1C#N,6.72,,,1,,,,non-selective
CHEMBL2089255,CC(C)(C)Nc1nc(Nc2ccc(C(N)=O)cc2)cc(N)c1C#N,6.64,,,1,,,,non-selective
CHEMBL209082,CCOc1nc(NC(=O)C(C)C)cc(N)c1C#N,5.4,5.08,,2,0.3200000000000003,,0.3200000000000003,non-selective
CHEMBL209136,CC(=O)Nc1cc(N)c(C#N)c(NC(C)C)n1,6.04,5.52,,2,0.5200000000000005,,0.5200000000000005,non-selective
CHEMBL209192,CCOc1nc(NC(=O)Cc2ccc(C)cc2)cc(N)c1C#N,6.72,6.44,,2,0.27999999999999936,,0.27999999999999936,non-selective
CHEMBL209291,CCOc1nc(NC(=O)Cc2cccc(OC)c2)cc(N)c1C#N,6.68,6.51,,2,0.16999999999999993,,0.16999999999999993,non-selective
CHEMBL209292,CCOc1nc(NC(=O)Cc2ccc(Cl)cc2)cc(N)c1C#N,6.24,6.21,,2,0.03000000000000025,,0.03000000000000025,non-selective
CHEMBL209299,CCOc1nc(NC(=O)CN(CC)CC)cc(N)c1C#N,5.57,5.2,,2,0.3700000000000001,,0.3700000000000001,non-selective
CHEMBL209397,CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(Cl)n2)cc1,5.82,5.36,,2,0.45999999999999996,,0.45999999999999996,non-selective
CHEMBL209505,CCOc1nc(NC(=O)Cc2cc(OC)c([N+](=O)[O-])cc2OC)cc(N)c1C#N,7.16,7.0,,2,0.16000000000000014,,0.16000000000000014,non-selective
CHEMBL209534,CCOc1nc(C(=O)NCc2cccnc2)cc(N)c1C#N,7.58,7.39,,2,0.1900000000000004,,0.1900000000000004,non-selective
CHEMBL209669,CCCCNC(=O)C1CCN(CC(=O)Nc2cc(N)c(C#N)c(OCC)n2)CC1,7.16,6.75,,2,0.41000000000000014,,0.41000000000000014,non-selective
CHEMBL209740,CCOc1nc(C(=O)NCc2cc(OC)ccc2OC)ccc1C#N,6.64,,,1,,,,non-selective
CHEMBL209769,CCOc1nc(NC(=O)Cc2cc(OC)c(NC(C)=O)cc2OC)cc(N)c1C#N,7.46,7.58,,2,-0.1200000000000001,,-0.1200000000000001,non-selective
CHEMBL209770,CCOc1nc(NC(=O)CN2CCC(O)CC2)cc(N)c1C#N,6.52,6.19,,2,0.3299999999999992,,0.3299999999999992,non-selective
CHEMBL210032,CC(=O)Nc1cc(N)c(C#N)c(-c2ccccc2)n1,5.72,5.11,,2,0.6099999999999994,,0.6099999999999994,non-selective
CHEMBL210222,CCOc1nc(NC(=O)CC(C)C)cc(N)c1C#N,5.85,5.46,,2,0.3899999999999997,,0.3899999999999997,non-selective
CHEMBL210256,CCOc1cccc(NC(C)=O)n1,6.12,,,1,,,,non-selective
CHEMBL210307,CC(=O)Nc1cc(N)c(C#N)c(OCCC(=O)O)n1,5.32,5.31,,2,0.010000000000000675,,0.010000000000000675,non-selective
CHEMBL210363,COc1nc(NC(C)=O)cc(N)c1C#N,5.66,5.35,,2,0.3100000000000005,,0.3100000000000005,non-selective
CHEMBL210462,COc1ccc(OC)c(CC(=O)Nc2cc(N)c(C#N)c(OCCO)n2)c1,7.13,6.62,,2,0.5099999999999998,,0.5099999999999998,non-selective
CHEMBL210586,CCOc1nc(NC(=O)Cc2cccc(Cl)c2)cc(N)c1C#N,6.52,6.05,,2,0.46999999999999975,,0.46999999999999975,non-selective
CHEMBL210618,CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N,7.349999999999999,6.8,7.271666666666667,3,0.5499999999999989,0.07833333333333137,0.07833333333333137,pan-JNK
CHEMBL210655,CCOc1nc(NC(=O)Cc2ccccc2OC)cc(N)c1C#N,6.92,6.58,,2,0.33999999999999986,,0.33999999999999986,non-selective
CHEMBL210737,COc1ccc(OC)c(CC(=O)Nc2cc(N)c(C#N)cn2)c1,5.58,5.29,,2,0.29000000000000004,,0.29000000000000004,non-selective
CHEMBL210752,CCCCN(CCCC)CC(=O)Nc1cc(N)c(C#N)c(OCC)n1,5.46,,,1,,,,non-selective
CHEMBL210804,CCCCNCC(=O)Nc1cc(N)c(C#N)c(OCC)n1,5.2,,,1,,,,non-selective
CHEMBL210861,CCOc1nc(NC(=O)Cc2ccccc2)cc(N)c1C#N,6.41,6.11,,2,0.2999999999999998,,0.2999999999999998,non-selective
CHEMBL210928,CCOc1nc(NC(=O)Cc2cc(OC)c(S(C)(=O)=O)cc2OC)cc(N)c1Cl,7.44,7.16,,2,0.28000000000000025,,0.28000000000000025,non-selective
CHEMBL210963,CCOc1nc(NC(=O)Cc2cc(OC)c(S(C)(=O)=O)cc2OC)cc(N)c1C#N,7.42,6.82,,2,0.5999999999999996,,0.5999999999999996,non-selective
CHEMBL211009,COCCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N,6.96,6.57,,2,0.3899999999999997,,0.3899999999999997,non-selective
CHEMBL2111784,C[C@H](Nc1cc(-c2sc(C3CCN(C)CC3)nc2-c2ccc(F)cc2)ccn1)c1ccccc1,5.72,6.58,,2,-0.8600000000000003,,-0.8600000000000003,non-selective
CHEMBL211195,CCOc1nc(C(=O)NCc2ccccc2)cc(N)c1C#N,6.515000000000001,6.72,,2,-0.20499999999999918,,-0.20499999999999918,non-selective
CHEMBL211584,CCOc1nc(C(=O)NCc2ccc(-c3ccc(C(=O)O)cc3)nc2)cc(N)c1C#N,8.4,7.96,,2,0.4400000000000004,,0.4400000000000004,non-selective
CHEMBL211605,CCOc1nc(C(=O)NC)cc(N)c1C#N,5.92,6.21,,2,-0.29000000000000004,,-0.29000000000000004,non-selective
CHEMBL214212,CCOc1nc(C(=O)NCc2cc(OC)ccc2OC)cc(N)c1C#N,7.15,6.92,,2,0.23000000000000043,,0.23000000000000043,non-selective
CHEMBL2144409,Cc1ccc(-c2ncn(-c3ccc(Nc4nccc(-c5cccc(N6CCOCC6)c5)n4)cc3)n2)cn1,7.17,6.55,6.8,3,0.6200000000000001,0.3700000000000001,0.3700000000000001,pan-JNK
CHEMBL2151190,Cn1nc(-c2ccc3c(c2)OCO3)nc2c(=O)n(C)c(=O)nc1-2,,6.16,,1,,,,unknown
CHEMBL2151191,C[C@@H]1[C@H](C)[C@@H](c2ccc3c(c2)OCO3)O[C@@H]1c1ccc2c(c1)OCO2,,5.63,,1,,,,unknown
CHEMBL2151192,N=C1NC2C(/N=N/c3ccc(Br)cc3)C(=N)NN2c2[nH][nH]c(=N)c21,,4.545,,1,,,,unknown
CHEMBL2151193,COc1ccc(-c2nnc3sc4c5ccccc5ccc4n23)cc1,,4.529999999999999,,1,,,,unknown
CHEMBL2151285,Cc1ccc(/N=N/c2c(=N)[nH]n3cc4c(nc23)CCCC4)cc1,,4.77,,1,,,,unknown
CHEMBL2151286,COc1ccc(/N=N/c2c(=N)[nH]n3cc4c(nc23)CCC4)cc1,,4.96,,1,,,,unknown
CHEMBL2152382,COC(=O)c1c(Cc2ccc(C(=O)NCCO)cc2)c(=O)c2ccc(Cl)cc2n1-c1ccccc1,7.285,6.77,,2,0.5150000000000006,,0.5150000000000006,non-selective
CHEMBL2152383,COC(=O)c1c(Cc2ccc(C(=O)N[C@@H]3[C@@H]4C[C@@H]5C[C@H]3C[C@@](O)(C5)C4)cc2)c(=O)c2cccnc2n1-c1ccccc1,7.92,,,1,,,,non-selective
CHEMBL2152384,COC(=O)c1c(Cc2ccc(C(=O)N[C@H](CO)C(C)(C)C)cc2)c(=O)c2cccnc2n1-c1ccccc1,7.92,,,1,,,,non-selective
CHEMBL2152385,COC(=O)c1c(Cc2ccc(C(=O)N[C@H]3[C@@H]4C[C@@H]5C[C@H]3C[C@@](O)(C5)C4)cc2)c(=O)c2cccnc2n1-c1ccccc1,7.33,,,1,,,,non-selective
CHEMBL2152386,COC(=O)c1c(Cc2ccc(C(=O)NCC(C)(C)O)cc2)c(=O)c2cccnc2n1-c1ccccc1,7.36,,,1,,,,non-selective
CHEMBL2152387,COC(=O)c1c(Cc2ccc(C(=O)N[C@H]3CC[C@H](O)CC3)cc2)c(=O)c2cccnc2n1-c1ccccc1,7.27,,,1,,,,non-selective
CHEMBL2152388,COC(=O)c1c(Cc2ccc(C(=O)NC(C)(C)CO)cc2)c(=O)c2cccnc2n1-c1ccccc1,7.35,,,1,,,,non-selective
CHEMBL2152389,COC(=O)c1c(Cc2ccc(C(=O)NC3(CO)CC3)cc2)c(=O)c2cccnc2n1-c1ccccc1,7.35,,,1,,,,non-selective
CHEMBL2152390,COC(=O)c1c(Cc2ccc(C(=O)N[C@H]3CC[C@H](O)CC3)cc2)c(=O)c2ccc(C)nc2n1-c1ccccc1,7.77,,,1,,,,non-selective
CHEMBL2152391,COC(=O)c1c(Cc2ccc(S(C)(=O)=O)cc2)c(=O)c2cccnc2n1-c1ccccc1,7.04,,,1,,,,non-selective
CHEMBL2152392,COC(=O)c1c(Cc2ccc(C(=O)N[C@@H]3[C@@H]4C[C@@H]5C[C@H]3C[C@@](N)(C5)C4)cc2)c(=O)c2cccnc2n1-c1ccccc1,7.31,,,1,,,,non-selective
CHEMBL215943,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1-c1ccc2nc(NCCN3CCOCC3)ncc2c1,6.41,6.76,6.84,3,-0.34999999999999964,-0.4299999999999997,-0.4299999999999997,non-selective
CHEMBL2163999,N[C@H]1CC[C@H](Nc2cc(Nc3ccc(F)c(Cl)c3)n3nccc3n2)CC1,,4.6,,1,,,,unknown
CHEMBL2178352,CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccccc5)n(C5CCCC5)c4n3)cc2)CC1,,5.82,,1,,,,unknown
CHEMBL218139,CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(NCCN)n2)cc1,5.8,,,1,,,,non-selective
CHEMBL218141,CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(/C=C/CCO)n2)cc1,6.77,6.62,,2,0.14999999999999947,,0.14999999999999947,non-selective
CHEMBL218194,CC(C)Nc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,7.17,7.08,,2,0.08999999999999986,,0.08999999999999986,non-selective
CHEMBL218219,CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(NCCO)n2)cc1,7.03,6.82,,2,0.20999999999999996,,0.20999999999999996,non-selective
CHEMBL218367,CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(-c3ccc(C(=O)O)s3)n2)cc1,6.6,6.8,,2,-0.20000000000000018,,-0.20000000000000018,non-selective
CHEMBL218419,COc1ccc(Oc2nc(C(=O)NCc3ccc(S(C)(=O)=O)cc3)cc(N)c2C#N)cc1,6.38,6.35,,2,0.03000000000000025,,0.03000000000000025,non-selective
CHEMBL218657,C/C=C\c1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,6.82,6.58,,2,0.2400000000000002,,0.2400000000000002,non-selective
CHEMBL218658,CC(C)COc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,7.06,6.43,,2,0.6299999999999999,,0.6299999999999999,non-selective
CHEMBL219112,CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(-c3ccsc3)n2)cc1,7.09,6.41,,2,0.6799999999999997,,0.6799999999999997,non-selective
CHEMBL220227,CC(C)c1onc(-c2ccc(F)cc2)c1-c1ccncc1,,5.89,6.27,2,,,,unknown
CHEMBL2204093,COC(=O)c1c(Cc2ccc(S(C)(=O)=O)cc2)c(=O)c2ccc(C(F)(F)F)nc2n1-c1ccccc1,7.09,6.66,,2,0.4299999999999997,,0.4299999999999997,non-selective
CHEMBL2204094,COC(=O)c1c(Cc2ccc(C(=O)NCCO)cc2)c(=O)c2ccc(C(F)(F)F)nc2n1-c1ccccc1,7.1,6.75,,2,0.34999999999999964,,0.34999999999999964,non-selective
CHEMBL2204095,COC(=O)c1c(CN2CCN(S(C)(=O)=O)CC2)c(=O)c2ccc(F)cc2n1-c1ccccc1,7.19,6.29,,2,0.9000000000000004,,0.9000000000000004,non-selective
CHEMBL2204096,COC(=O)c1c(CN2CCC(S(C)(=O)=O)CC2)c(=O)c2ccc(F)cc2n1-c1ccccc1,7.64,6.85,,2,0.79,,0.79,non-selective
CHEMBL2204097,COC(=O)c1c(CN2CCOCC2)c(=O)c2ccc(F)cc2n1-c1ccccc1,6.94,6.05,,2,0.8900000000000006,,0.8900000000000006,non-selective
CHEMBL2204098,COC(=O)c1c(CN2CC[C@@H](S(C)(=O)=O)C2)c(=O)c2ccc(F)cc2n1-c1ccccc1,6.89,5.88,,2,1.0099999999999998,,1.0099999999999998,non-selective
CHEMBL2204099,COC(=O)c1c(CN2CC[C@H](S(C)(=O)=O)C2)c(=O)c2ccc(F)cc2n1-c1ccccc1,7.28,6.27,,2,1.0100000000000007,,1.0100000000000007,non-selective
CHEMBL2204100,COC(=O)c1c(CN2CCC(S(C)(=O)=O)CC2)c(=O)c2ccc(C)nc2n1-c1ccccc1,,6.72,,1,,,,unknown
CHEMBL2204101,COC(=O)c1c(CN2CCC(S(C)(=O)=O)CC2)c(=O)c2ccc(C(F)(F)F)nc2n1-c1ccccc1,,6.54,,1,,,,unknown
CHEMBL2204102,CCn1c(=O)c2ccccc2n(-c2ccccc2)c1=O,4.96,,,1,,,,non-selective
CHEMBL2204103,O=c1c2ccccc2n(-c2ccccc2)c(=O)n1Cc1ccccc1,5.55,5.03,,2,0.5199999999999996,,0.5199999999999996,non-selective
CHEMBL2204104,O=c1c2ccc(Cl)cc2n(-c2ccccc2)c(=O)n1Cc1ccccc1,5.64,5.42,,2,0.21999999999999975,,0.21999999999999975,non-selective
CHEMBL2204105,COC(=O)c1c(Cc2ccccc2)c(=O)c2ccc(Cl)cc2n1-c1ccccc1,6.43,6.02,,2,0.41000000000000014,,0.41000000000000014,non-selective
CHEMBL2204106,CNS(=O)(=O)c1ccc(Cc2c(C(=O)OC)n(-c3ccccc3)c3cc(Cl)ccc3c2=O)cc1,7.33,6.77,,2,0.5600000000000005,,0.5600000000000005,non-selective
CHEMBL2204107,CCNC(=O)c1ccc(Cc2c(C(=O)OC)n(-c3ccccc3)c3cc(Cl)ccc3c2=O)cc1,7.42,7.03,,2,0.3899999999999997,,0.3899999999999997,non-selective
CHEMBL2204108,COC(=O)c1c(Cc2ccc(S(=O)(=O)N3CCNCC3)cc2)c(=O)c2ccc(Cl)cc2n1-c1ccccc1,7.52,7.3,,2,0.21999999999999975,,0.21999999999999975,non-selective
CHEMBL2204109,COC(=O)c1c(Cc2ccc(S(=O)(=O)N3CCNCC3)cc2)c(=O)c2ccc(F)cc2n1-c1ccccc1,7.52,7.16,,2,0.35999999999999943,,0.35999999999999943,non-selective
CHEMBL2204110,COC(=O)c1c(Cc2ccc(S(=O)(=O)N3CCC(O)CC3)cc2)c(=O)c2ccc(F)cc2n1-c1ccccc1,7.3,6.7,,2,0.5999999999999996,,0.5999999999999996,non-selective
CHEMBL2204111,COC(=O)c1c(Cc2ccc(S(=O)(=O)CCO)cc2)c(=O)c2ccc(F)cc2n1-c1ccccc1,7.24,6.66,,2,0.5800000000000001,,0.5800000000000001,non-selective
CHEMBL2204112,COC(=O)c1c(Cc2ccc(C(=O)NCCO)cc2)c(=O)c2ccc(C)nc2n1-c1ccccc1,7.52,7.19,,2,0.3299999999999992,,0.3299999999999992,non-selective
CHEMBL2204113,COC(=O)c1c(Cc2ccc(S(=O)(=O)N3CCNCC3)cc2)c(=O)c2ccc(C)nc2n1-c1ccccc1,7.75,7.55,,2,0.20000000000000018,,0.20000000000000018,non-selective
CHEMBL2204114,CCNC(=O)c1ccc(Cc2c(C(=O)OC)n(-c3ccccc3)c3nc(C)ccc3c2=O)cc1,7.35,7.06,,2,0.29000000000000004,,0.29000000000000004,non-selective
CHEMBL220504,CC(C)Oc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,7.82,7.42,,2,0.40000000000000036,,0.40000000000000036,non-selective
CHEMBL220547,CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(-c3ccsc3CO)n2)cc1,6.24,6.17,,2,0.07000000000000028,,0.07000000000000028,non-selective
CHEMBL220607,CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(-c3ccsc3CNCc3ccccc3)n2)cc1,5.7,,,1,,,,non-selective
CHEMBL220658,CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(NC3CC3)n2)cc1,7.5,7.16,,2,0.33999999999999986,,0.33999999999999986,non-selective
CHEMBL220696,C[C@H](CO)Nc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,6.75,6.5,,2,0.25,,0.25,non-selective
CHEMBL220749,CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(NCc3ccccc3)n2)cc1,6.09,5.33,,2,0.7599999999999998,,0.7599999999999998,non-selective
CHEMBL220758,CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(NCCc3ccccc3)n2)cc1,6.58,6.0,,2,0.5800000000000001,,0.5800000000000001,non-selective
CHEMBL220810,CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(NCCNC(N)=O)n2)cc1,7.03,,,1,,,,non-selective
CHEMBL220811,CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(-c3cccnc3)n2)cc1,6.5,6.47,,2,0.03000000000000025,,0.03000000000000025,non-selective
CHEMBL220812,CC(C)NC(=O)c1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,6.37,6.92,,2,-0.5499999999999998,,-0.5499999999999998,non-selective
CHEMBL2208438,COC(=O)c1c(Cc2ccc(S(C)(=O)=O)cc2)c(=O)c2ccc(C)nc2n1-c1cccc(N)c1,7.85,7.5,,2,0.34999999999999964,,0.34999999999999964,non-selective
CHEMBL220864,CCOc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1/C=C/C(C)(C)C,5.53,5.38,,2,0.15000000000000036,,0.15000000000000036,non-selective
CHEMBL220865,CCOc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1/C=C/C#N,6.39,5.75,,2,0.6399999999999997,,0.6399999999999997,non-selective
CHEMBL221075,CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(-c3cncnc3)n2)cc1,6.21,6.07,,2,0.13999999999999968,,0.13999999999999968,non-selective
CHEMBL221116,O=c1[nH]c2cc(Nc3ccc(F)cc3F)ccc2n1CC1CCCCC1,,5.26,,1,,,,unknown
CHEMBL221126,C/C=C/c1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,7.32,6.64,,2,0.6800000000000006,,0.6800000000000006,non-selective
CHEMBL221128,C#C/C=C/c1c(N)cc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)nc1OCC,7.1,6.52,,2,0.5800000000000001,,0.5800000000000001,non-selective
CHEMBL221175,CN(C)CCNc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,5.14,5.04,,2,0.09999999999999964,,0.09999999999999964,non-selective
CHEMBL221179,CCOc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C(N)=O,6.5,6.01,,2,0.4900000000000002,,0.4900000000000002,non-selective
CHEMBL221227,C[C@@H](CO)Nc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,7.205,7.52,,2,-0.3149999999999995,,-0.3149999999999995,non-selective
CHEMBL221229,CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(NC3CCC3)n2)cc1,7.07,6.8,,2,0.27000000000000046,,0.27000000000000046,non-selective
CHEMBL221252,COc1cccc(-c2nc(C(=O)NCc3ccc(S(C)(=O)=O)cc3)cc(N)c2C#N)c1,6.37,6.22,,2,0.15000000000000036,,0.15000000000000036,non-selective
CHEMBL221315,CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(NCCC(N)=O)n2)cc1,7.18,7.06,,2,0.1200000000000001,,0.1200000000000001,non-selective
CHEMBL2216824,Cc1cc(NC(=O)c2cccc(NC(=O)/C=C/CN(C)C)c2)ccc1Nc1nccc(-c2cccnc2)n1,8.32,7.99875,8.35,3,0.32125000000000004,-0.02999999999999936,-0.02999999999999936,pan-JNK
CHEMBL221745,CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(-c3cccc(O)c3)n2)cc1,6.7,6.62,,2,0.08000000000000007,,0.08000000000000007,non-selective
CHEMBL221916,C=Cc1c(N)cc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)nc1OCC,5.93,5.84,,2,0.08999999999999986,,0.08999999999999986,non-selective
CHEMBL221958,CCCNC(=O)c1c(N)cc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)nc1OCC,5.28,,,1,,,,non-selective
CHEMBL221963,CCOc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#CCO,5.96,,,1,,,,non-selective
CHEMBL222008,CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(-c3cccc(Cl)c3)n2)cc1,5.93,6.08,,2,-0.15000000000000036,,-0.15000000000000036,non-selective
CHEMBL222011,CS(=O)(=O)c1ccc(CNC(=O)c2cc(N)c(C#N)c(CCC(=O)O)n2)cc1,5.79,5.16,,2,0.6299999999999999,,0.6299999999999999,non-selective
CHEMBL226471,O=C1NCCc2[nH]c(-c3ccnc(-c4ccccc4F)c3)cc21,,4.68,,1,,,,unknown
CHEMBL22978,CN1CCC(O)(c2nc(-c3ccc(F)cc3)c(-c3ccncc3)o2)CC1,,5.09,,1,,,,unknown
CHEMBL230761,Cn1cnc(CNc2cc(Br)c3ncc(C#N)c(Nc4ccc(F)c(Cl)c4)c3c2)c1,4.51,,,1,,,,non-selective
CHEMBL232599,N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCN(C(=O)CCN1CCCCC1)C2,,5.3,5.5,2,,,,unknown
