name,pains_any,brenk,nih,aggregation_risk_heuristic
AZD2207,False,True,False,False
RINTODESTRANT,False,True,False,True
EDONENTAN,False,False,False,True
TUBULOZOLE,False,False,False,False
DIATHYMOSULFONE,True,True,True,True
GSK-2256098,False,True,False,False
FORMOCORTAL,False,True,True,False
MINDEUDESIVIR,False,True,False,False
REMIKIREN,False,False,False,False
CEFETRIZOLE,False,False,True,False
XL-228,False,False,False,False
LERCANIDIPINE,False,True,False,False
SEVABERTINIB,False,False,False,False
ZELNECIRNON,False,False,False,False
TIVIRAPINE,False,True,False,False
JHU-75528 C-11,False,False,False,False
GAMCEMETINIB,False,False,False,False
GSK-2239633,False,False,False,False
JHU-75528,False,False,False,False
AFOXOLANER,False,False,False,False
LX-7101,False,False,False,False
GSK2816126,False,False,False,False
MECLORISONE DIBUTYRATE,False,True,True,False
BENTIAMINE,False,True,True,False
ENITOCICLIB,False,False,False,False
ALTEMINOSTAT,False,True,True,False
IDH305,False,False,False,False
PATUPILONE,False,True,False,False
EDAGLITAZONE,False,True,False,True
MITOQUINOL CATION,False,True,True,True
ATIRMOCICLIB,False,False,False,False
TEBITOREXANT,False,False,False,False
GS-9667,False,False,False,False
SIREMADLIN,False,False,False,False
DELEOBUVIR,True,True,False,True
AR-12,False,True,False,True
LISAVANBULIN,False,True,False,False
DECERNOTINIB,False,False,False,False
SUTIDIAZINE,False,False,False,False
FIRMONERTINIB,False,True,True,False
ORLISTAT,False,True,True,False
CANOCAPAVIR,False,False,False,False
OLACAFTOR,False,False,False,False
OPIGOLIX,False,True,False,False
PLIXORAFENIB,False,False,False,False
JTT-251,False,False,False,False
BEMFIVASTATIN,False,False,False,True
FRESPACIGUAT,False,True,False,True
MTI-31,False,False,False,False
ITACITINIB,False,False,False,False
APAFANT,False,False,False,False
BOSMOLISIB,False,False,False,True
VERUCERFONT,False,False,False,False
TERCONAZOLE,True,False,False,False
BIRABRESIB,False,True,False,True
ISAVUCONAZOLE,False,False,False,False
TELUDIPINE,False,True,False,False
CR-3465 FREE ACID,False,False,False,False
NAQUOTINIB,True,True,True,False
BALOVAPTAN,False,False,False,False
PREDNISOLAMATE,False,False,False,False
CROZBACICLIB,False,False,False,False
AMELENODOR,False,False,False,True
EPOTHILONE D,False,True,False,False
VALNEMULIN,False,True,False,False
ELACYTARABINE,False,True,False,False
LUMINESPIB,False,False,False,False
AVENCIGUAT,False,False,False,True
IOPRONIC ACID,False,True,True,False
TRIAMCINOLONE FURETONIDE,False,False,False,False
BRINDOXIME,False,True,False,False
TUNLAMETINIB,False,True,False,False
ACEFLURANOL,False,True,False,False
CEFAZEDONE,False,False,True,False
ELOMOTECAN,False,False,False,False
FIRUGLIPEL,False,False,False,False
UMIFOXOLANER,False,False,False,False
GEMILUKAST,False,True,False,True
INCB-9471,False,False,False,False
OLRADIPINE,False,True,False,False
LOCICORTOLONE DICIBATE,False,True,True,False
SEDECAMYCIN,False,True,True,False
AMELUBANT,False,True,False,True
DNL-201,False,False,False,False
SIMOTINIB,False,False,False,False
MERESTINIB,False,False,False,True
GLICETANILE,False,False,False,False
PF-03758309,False,False,False,False
SC-0191,True,True,False,False
SCH-486757,False,False,False,False
MK-0773,False,False,False,False
RANOSIDENIB,False,False,False,False
OCEDURENONE,False,False,False,False
TEGLARINAD,False,True,False,False
TENALISIB,False,False,False,False
CP-724714,False,False,False,False
ILUNOCITINIB,False,False,False,False
PF-07265807,False,False,False,False
ABLUKAST,False,True,False,False
NEFEXTINIB,False,False,False,False
RALOXIFENE,False,False,False,True
QUINDECAMINE,False,True,True,True
IZUMEROGANT,False,False,False,True
VISTUSERTIB,False,False,False,False
TENIVASTATIN,False,False,False,False
MILREBRUTINIB,False,False,False,False
ERBULOZOLE,False,False,False,False
BMS-986020,False,False,False,True
PEXMETINIB,False,False,False,True
GOSSYPOL ACETIC ACID,False,True,True,True
TMC 310911,False,False,False,False
ROXOLONIUM METILSULFATE,False,True,False,False
IPN-60090,False,False,False,False
TEBIPENEM PIVOXIL,False,True,True,False
ADMILPARANT,False,False,False,False
BOMEDEMSTAT,False,True,False,False
ACOLBIFENE,False,True,False,False
AMINOQUINOL,False,False,False,False
NAVTEMADLIN,False,False,False,False
NICOFURATE,False,True,False,False
TOLEBRUTINIB,False,True,True,False
IOSUMETIC ACID,False,True,True,False
PEBEZERTINIB,False,True,True,True
ONVANSERTIB,True,False,False,False
VIPOGLANSTAT,False,False,False,False
ROCILETINIB,False,True,True,False
STX-478,False,False,False,False
TALADEGIB,False,False,False,False
MK-0752,False,False,False,False
FLOXACILLIN,False,False,True,False
EZOBRESIB,False,False,False,True
AMG-319,False,False,False,False
PELECOPAN,False,False,False,False
DENFIVONTINIB,False,False,False,True
SALAFIBRATE,False,True,False,False
TAMUZIMOD,False,False,False,True
BEMCENTINIB,False,False,False,False
FILOREXANT,False,False,False,False
SIREMADLIN SUCCINATE,False,False,False,False
AG-13958,False,False,False,True
ANSORNITINIB,False,True,False,False
RETASPIMYCIN,False,True,False,False
ANCRIVIROC,False,True,False,False
VALATEGRAST,False,False,False,False
LANRAPLENIB,True,False,False,False
ALTIRATINIB,False,True,False,False
PKI-179,False,False,False,False
LEURUBICIN,True,True,False,False
LUVIXASERTIB,False,False,False,False
RITIVIXIBAT,False,False,False,False
NANATINOSTAT,False,True,True,False
USL-311,False,False,False,False
PF-07054894,False,True,False,False
CUDC-101,False,True,True,False
SQUALAMINE LACTATE,False,True,False,False
PF-06291874,False,False,False,False
ECRAPROST,False,True,False,False
BEVIRIMAT,False,True,False,False
SITOKIREN,False,True,False,False
BGC-20-1531,False,False,False,True
R-343,False,False,False,False
BAY-1217389,False,False,False,True
ZIDESAMTINIB,False,False,False,False
JNJ-49095397,False,False,False,True
CRICTIBANT,False,False,False,True
VELSECORAT,False,False,False,False
MAZOKALIM,False,False,False,False
DS-2248,False,False,False,False
RG-1530,False,False,False,False
MB07811,False,True,False,False
ANERATRIGINE,False,False,False,False
EMRACLIDINE,False,False,False,False
ENOCITABINE,False,True,True,False
NALDEMEDINE,False,False,False,False
FLUAZURON,False,False,False,False
VINTIAMOL,False,True,False,False
ETHYL CARTRIZOATE,False,True,True,False
SAMIXOGREL,False,True,False,False
RAD-140,False,False,False,False
SUBASUMSTAT,False,False,False,False
CT-2584,False,True,True,False
TBAJ-876,False,False,False,False
ANACETRAPIB,False,False,False,False
LETRAZURIL,False,False,False,False
RESIGRATINIB,False,True,True,False
ZABOFLOXACIN,False,True,False,False
GW-695634,False,False,False,False
VILZEMETKIB,False,True,False,True
ABT-639,False,False,False,False
AWZ-1066S,False,False,False,False
TAK-915,False,False,False,False
POMOTRELVIR,False,False,True,False
LY2623091,False,True,False,False
AB-836,False,False,False,False
VERLUKAST,False,True,True,False
AZD-3759,False,False,False,False
VULOLISIB,False,True,False,False
OTENABANT,False,False,False,False
ITRIGLUMIDE,False,False,False,False
RG-7603,False,False,False,False
PIRAGLIATIN,False,False,False,False
MOCACICLIB,False,True,True,False
NINGETINIB,False,False,False,True
LACIDIPINE,False,True,False,False
BAMOCAFTOR,False,False,False,False
BERUPIPAM,False,False,False,False
JNJ-64264681,False,True,True,False
ALOBRESIB,False,False,False,False
CENACITINIB,False,False,False,False
MK-8876,False,False,False,True
CANDOXATRIL,False,True,False,False
ONO-2910,False,True,False,False
PF-05186462,False,False,False,True
BARASERTIB,False,True,False,False
TETRONASIN 5930,False,True,False,False
LY-2940094,False,False,False,False
BMS-919373,False,False,False,False
ITROCINONIDE,False,True,True,False
ALESTRAMUSTINE,False,True,True,False
NUVISERTIB,False,False,False,False
VERCIRNON SODIUM,False,True,False,False
AZD-8165,False,False,False,False
FOSRAVUCONAZOLE,False,True,True,False
MIFANERTINIB,False,True,False,False
IFEBEMTINIB,False,False,False,False
CORTISUZOL,False,True,False,False
PF-04634817,False,False,False,False
NEMTABRUTINIB,False,False,False,False
REZIVERTINIB,False,True,True,False
OPELCONAZOLE,True,False,False,True
PYRITIDIUM BROMIDE,True,True,True,False
IMLUNESTRANT TOSYLATE,False,True,False,True
ARRY-382,False,False,False,False
BRILANESTRANT,False,True,False,True
COLCHICINE,False,False,False,False
EXICORILANT,False,False,True,False
RAZUPROTAFIB,False,True,False,False
CCT-3833,False,False,False,True
CI-1040,False,True,False,False
BECLOMETHASONE DIPROPIONATE,False,True,True,False
CEVIPABULIN,False,True,False,False
FUCOXANTHIN,False,True,True,False
BODITRECTINIB,False,True,False,False
TRE-515,False,False,False,False
RISVODETINIB SUCCINATE,False,False,False,True
ENVUDEUCITINIB,False,False,False,False
NARONAPRIDE,False,True,False,False
PRESATOVIR,False,False,False,False
H3B-6545 FREE BASE,False,True,False,True
REBASTINIB,False,False,False,True
SITALIDONE,True,True,False,False
FOSDAGROCORAT,False,True,False,False
PF-232798,False,False,False,False
OLVEREMBATINIB,False,True,False,False
RESCIMETOL,True,True,False,False
SETIPAFANT,False,False,False,True
AXITIROME,False,True,True,False
RAZAXABAN,False,False,False,False
MODIPAFANT,False,False,False,True
ZOTATIFIN,False,False,False,False
LANPROSTON,False,True,False,False
ELISARTAN,False,True,True,True
BIIB-091,False,False,False,False
GUSACITINIB,True,False,False,False
LORECIVIVINT,False,False,False,True
AZD-8055,False,False,False,False
PATIDEGIB,False,True,False,False
PRS-211375,False,True,False,False
CX-5461,False,False,False,False
NEMADECTIN,False,True,False,False
SUCCINOBUCOL,False,True,True,False
BEMOTRIZINOL,False,False,True,True
CEFTIZOXIME ALAPIVOXIL,False,True,True,False
TEBUQUINE,True,True,False,True
AMOPYROQUINE,True,True,False,False
MEPROSCILLARIN,False,True,False,False
FRILUGLANSTAT,False,False,False,True
MK-8457,False,False,False,False
GEDOCARNIL,False,False,False,True
GEMCITABINE ELAIDATE,False,True,False,False
ONO-7684,False,True,False,False
OGLEMILAST,False,False,False,True
BMS-986202,False,False,False,False
AM-211,False,False,False,False
ROVADICITINIB,False,False,False,False
ALLITINIB,False,True,True,True
TOVINONTRINE,False,False,False,False
PIMILPROST,False,True,False,False
IDRX-42,False,True,False,False
AZD1981,False,False,False,False
LITRONESIB,False,True,False,False
NAVARIXIN,False,True,False,False
ATX08-001,False,True,False,False
REMIMAZOLAM TOSYLATE,False,False,False,False
DOVRAMILAST,False,False,False,False
BGC-20-1531 FREE BASE,False,False,False,False
XL-888,False,False,False,False
FF-10101,False,True,False,False
CENISERTIB,True,True,False,False
AL-12182,False,True,False,False
LOTIGLIPRON,False,False,False,True
CEFATRIZINE,False,False,True,False
DASOLAMPANEL ETIBUTIL,False,False,False,False
BATEFENTEROL,False,False,False,True
AVL-3288,False,True,False,False
KRN-633,False,False,False,False
SEGIGRATINIB,False,False,False,True
VLX-1005,True,False,False,False
FALECALCITRIOL,False,False,False,False
CILNIDIPINE,False,True,False,False
RISVODETINIB,False,False,False,True
OSI-7904,False,True,False,False
PRADOFLOXACIN,False,False,False,False
SPEBRUTINIB BESYLATE,False,True,True,True
TIGOZERTINIB,False,False,False,False
CIPROCINONIDE,False,False,False,False
NAFOXIDINE,False,True,False,False
OSI-632,False,True,False,False
PARENT OF BMS-986202,False,False,False,False
ZAVONDEMSTAT,False,False,False,False
WNT-974,False,False,False,False
SIMMITECAN,False,True,False,False
RADOTINIB,False,False,False,True
ODM-207,False,False,False,False
TRODUSQUEMINE,False,True,True,False
ENSARTINIB HYDROCHLORIDE,False,True,False,False
ELIAPIXANT,False,False,False,False
EZATIOSTAT HYDROCHLORIDE,False,False,False,False
CICLOXOLONE,False,False,False,False
THELIATINIB,False,True,False,False
SPEBRUTINIB,False,True,True,False
SOLIMASTAT,False,True,True,False
PLX-5622,False,True,False,False
RX-518,False,True,True,False
TIOSPIRONE,False,True,False,False
UK-500001,False,False,False,False
BUPARLISIB,False,False,False,False
AMCINAFIDE,False,False,False,False
NARMAFOTINIB,False,False,False,False
RIMTUZALCAP,False,False,False,False
AZD-8154,False,False,False,False
PLX-51107,False,False,False,True
ICAPAMESPIB,False,True,False,False
BAFETINIB,False,False,False,True
GLISAMURIDE,False,False,False,False
VAMOTINIB,False,True,False,False
BIMIRALISIB,False,False,False,False
GSK-1521498,False,False,False,False
ARRY-502,False,False,False,False
PF-05180999,False,False,False,False
INIXACICLIB,False,False,False,False
RIVASTERAT,False,True,False,False
ZAVOLOSOTINE,False,False,False,False
MK-0812,False,False,False,False
PF-04620110,False,False,False,False
CEFOXAZOLE,False,False,True,False
SETROBUVIR,False,False,False,False
ELGODIPINE,False,False,False,False
CRENIGACESTAT,False,False,False,False
APREPITANT,False,False,False,False
SQUALAMINE,False,True,False,False
RINETERKIB,False,False,False,False
POCIREDIR,False,False,False,False
BRANOSOTINE,False,False,False,False
SAVIPRAZOLE,False,True,False,False
MOPIDAMOL,False,False,False,False
CATEQUENTINIB,False,False,False,False
EZM-0414,False,False,False,False
DESASPIDIN,False,True,False,False
AZD-1656,False,False,False,False
GLPG-0187,False,False,False,False
EMESTEDASTAT,False,False,False,False
MRTX-0902,False,False,False,False
GSK-3186899,False,False,False,False
NILPRAZOLE,False,False,False,False
GSK-690693,False,True,False,False
ARQ-736 FREE ACID,False,True,True,False
VERDINEXOR,False,True,False,False
MK-0941 FREE BASE,False,False,False,False
ABITESARTAN,False,False,False,False
NAPORAFENIB,False,False,False,False
CADAZOLID,False,False,False,False
LXE-408,False,False,False,False
AVANBULIN,False,True,False,False
TRC-253,False,True,False,False
ESAFOXOLANER,False,False,False,False
SONTIGIDOMIDE,False,True,True,False
CEP-1347,False,False,False,True
AST-487,False,False,False,False
CEP-37440,False,False,False,False
BILIRUBIN,False,False,False,False
BELVARAFENIB,False,False,False,True
TG100-801,False,True,False,True
EBVACICLIB,False,False,False,False
RG-4733,False,True,False,False
PALTUSOTINE,False,False,False,True
RAVUCONAZOLE,False,False,False,False
COFROGLIPTIN,False,False,False,False
ELNADIPINE,False,False,False,False
IGERMETOSTAT,False,False,False,False
PAZINACLONE,False,True,False,False
TAK-593,False,False,False,False
AZD-5099,False,False,False,False
RAVOXERTINIB,False,False,False,False
BMS-791826,False,False,False,True
GSK-2018682,False,False,False,True
IPATASERTIB,False,False,False,False
CERALASERTIB,False,False,False,False
CAMLIPIXANT,False,False,False,False
ICOMETASONE ENBUTATE,False,True,True,False
MOXILUBANT,False,True,False,False
AZD-8797,False,False,False,False
MONEPANTEL,False,False,True,False
ABT-102,False,False,False,False
FALNIDAMOL,False,False,False,False
ARQ-621,False,True,False,True
"5-(6-BENZOTHIAZOLYLMETHYLENE)-3,5-DIHYDRO-2-(((1S)-1-(METHOXYMETHYL)-3-METHYLBUTYL)AMINO)-4H-IMIDAZOL-4-ONE, (5Z)-",False,True,False,False
SARACATINIB,False,False,False,False
MIZAGLIFLOZIN,False,True,False,False
TOLAFENTRINE,False,False,False,False
LY-2584702,False,False,False,False
SOVLEPLENIB,False,False,False,False
AMCENESTRANT,False,True,False,False
MIRABEGRON,False,True,False,False
ELDECALCITOL,False,True,False,False
GANSTIGMINE,False,False,False,False
BERVASTATIN,False,False,False,False
PM-00104,True,True,False,False
PU-H71,False,True,False,False
TAMNORZATINIB,False,False,False,True
BUNAZOSIN,False,False,False,False
