canonical_smiles,scaffold,subset,label_type,source_library,has_bioactivity_label,pActivity,target_arm,benchmark_ref,molecule_chembl_id
O=C(O)CSc1nnc(Br)n1Cc1ccc(C2CC2)c2ccccc12,c1ccc2c(C3CC3)ccc(Cn3cnnc3)c2c1,E,benchmark_analog,project_library_neighbor,True,6.7,URAT1,lesinurad,
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c(-c3ccc4ccccc4c3)ccc3c2CCC3)c1,O=C(Nc1c(-c2ccc3ccccc3c2)ccc2c1CCC2)NS(=O)(=O)c1ccco1,E,benchmark_analog,project_library_neighbor,True,7.72,NLRP3,MCC950,
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c(-c3cccc(Cl)c3Cl)ccc3c2CCC3)c1,O=C(Nc1c(-c2ccccc2)ccc2c1CCC2)NS(=O)(=O)c1ccco1,E,benchmark_analog,project_library_neighbor,True,8.0,NLRP3,MCC950,
CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1,O=C(c1ccccc1)c1coc2ccccc12,E,benchmark_analog,project_library_neighbor,True,5.55,URAT1,benzbromarone,
CC(C)(O)c1coc(S(N)(=O)=NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,O=C(N=[SH](=O)c1ccco1)Nc1c2c(cc3c1CCC3)CCC2,E,benchmark_analog,project_library_neighbor,True,7.54,NLRP3,MCC950,
CC(C)(O)c1coc([S@@](N)(=O)=NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,O=C(N=[SH](=O)c1ccco1)Nc1c2c(cc3c1CCC3)CCC2,E,benchmark_analog,project_library_neighbor,True,5.89,NLRP3,MCC950,
CC(C)(O)c1coc([S@](N)(=O)=NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,O=C(N=[SH](=O)c1ccco1)Nc1c2c(cc3c1CCC3)CCC2,E,benchmark_analog,project_library_neighbor,True,7.89,NLRP3,MCC950,
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c(-c3ccc([N+](=O)[O-])cc3)ccc3c2CCC3)c1,O=C(Nc1c(-c2ccccc2)ccc2c1CCC2)NS(=O)(=O)c1ccco1,E,benchmark_analog,project_library_neighbor,True,8.22,NLRP3,MCC950,
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c(-c3ccnc(F)c3)ccc3c2CCC3)c1,O=C(Nc1c(-c2ccncc2)ccc2c1CCC2)NS(=O)(=O)c1ccco1,E,benchmark_analog,project_library_neighbor,True,7.57,NLRP3,MCC950,
O=C(O)CCc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,c1ccc2c(-n3cnnc3)ccc(C3CC3)c2c1,E,benchmark_analog,project_library_neighbor,True,5.74,URAT1,lesinurad,
CC(C)(O)c1csc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cccs1,E,benchmark_analog,project_library_neighbor,True,6.57,NLRP3,MCC950,
N#Cc1ccc(-c2cnccc2SCCC(=O)O)c2ccccc12,c1cncc(-c2cccc3ccccc23)c1,E,benchmark_analog,project_library_neighbor,True,6.26,URAT1,verinurad,
COc1cncc(-c2ccc3c(c2NC(=O)NS(=O)(=O)c2cc(C(C)(C)O)co2)CCC3)c1,O=C(Nc1c(-c2cccnc2)ccc2c1CCC2)NS(=O)(=O)c1ccco1,E,benchmark_analog,project_library_neighbor,True,7.5,NLRP3,MCC950,
CC(C)(Sc1ccc2cncc(-c3ccc(C#N)c4ccccc34)c2c1)C(=O)O,c1ccc2c(-c3cncc4ccccc34)cccc2c1,E,benchmark_analog,project_library_neighbor,True,8.1,URAT1,verinurad,
CC(C)(Sc1ccncc1-c1ccc(C#N)c2cccn12)C(=O)O,c1cncc(-c2cccc3cccn23)c1,E,benchmark_analog,project_library_neighbor,True,7.18,URAT1,verinurad,
N#Cc1ccc(-c2cnccc2SCCC(F)(F)C(=O)O)c2ccccc12,c1cncc(-c2cccc3ccccc23)c1,E,benchmark_analog,project_library_neighbor,True,6.26,URAT1,verinurad,
N#Cc1ccc(-c2cnccc2Sc2ccccc2C(=O)O)c2ccccc12,c1ccc(Sc2ccncc2-c2cccc3ccccc23)cc1,E,benchmark_analog,project_library_neighbor,True,6.26,URAT1,verinurad,
O=C(CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12)NS(=O)(=O)c1ccc(F)cc1F,O=C(CSc1nncn1-c1ccc(C2CC2)c2ccccc12)NS(=O)(=O)c1ccccc1,E,benchmark_analog,project_library_neighbor,True,5.14,URAT1,lesinurad,
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c(-c3cccc(OC(F)(F)F)c3)ccc3c2CCC3)c1,O=C(Nc1c(-c2ccccc2)ccc2c1CCC2)NS(=O)(=O)c1ccco1,E,benchmark_analog,project_library_neighbor,True,6.45,NLRP3,MCC950,
COCCOc1ccc(-c2ccc3c(c2NC(=O)NS(=O)(=O)c2cc(C(C)(C)O)co2)CCC3)cc1,O=C(Nc1c(-c2ccccc2)ccc2c1CCC2)NS(=O)(=O)c1ccco1,E,benchmark_analog,project_library_neighbor,True,6.61,NLRP3,MCC950,
N#Cc1ccc(-c2cnccc2Sc2ccc(C(=O)O)cc2)c2ccccc12,c1ccc(Sc2ccncc2-c2cccc3ccccc23)cc1,E,benchmark_analog,project_library_neighbor,True,6.26,URAT1,verinurad,
CCOc1ccc2cc(-c3ccc4c(c3NC(=O)NS(=O)(=O)c3cc(C(C)(C)O)co3)CCC4)ccc2c1,O=C(Nc1c(-c2ccc3ccccc3c2)ccc2c1CCC2)NS(=O)(=O)c1ccco1,E,benchmark_analog,project_library_neighbor,True,7.14,NLRP3,MCC950,
O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1ccco1,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1ccco1,E,benchmark_analog,project_library_neighbor,True,6.36,NLRP3,MCC950,
CC(C)(Sc1ccc2ccccc2c1-c1ccc(C#N)c2ccccc12)C(=O)O,c1ccc2c(-c3cccc4ccccc34)cccc2c1,E,benchmark_analog,project_library_neighbor,True,6.1,URAT1,verinurad,
CC(C)(Sc1cc(F)c2cncc(-c3ccc(C#N)c4ccccc34)c2c1)C(=O)O,c1ccc2c(-c3cncc4ccccc34)cccc2c1,E,benchmark_analog,project_library_neighbor,True,6.9,URAT1,verinurad,
C#Cc1cc(C(=O)N2CS(=O)(=O)c3ccccc32)cc(C#N)c1O,O=C(c1ccccc1)N1CS(=O)(=O)c2ccccc21,E,benchmark_analog,project_library_neighbor,True,5.5,URAT1,dotinurad,
CC(C)c1cccc(C(C)C)c1NC(=O)NS(=O)(=O)c1cc(C(C)(C)O)co1,O=C(Nc1ccccc1)NS(=O)(=O)c1ccco1,E,benchmark_analog,project_library_neighbor,True,7.43,NLRP3,MCC950,
CCCCOc1cccc(-c2ccc3c(c2NC(=O)NS(=O)(=O)c2cc(C(C)(C)O)co2)CCC3)c1,O=C(Nc1c(-c2ccccc2)ccc2c1CCC2)NS(=O)(=O)c1ccco1,E,benchmark_analog,project_library_neighbor,True,6.54,NLRP3,MCC950,
O=C(O)CSc1nc2sccc2c(=O)n1-c1ccc(C2CC2)c2ccccc12,O=c1c2ccsc2ncn1-c1ccc(C2CC2)c2ccccc12,E,benchmark_analog,project_library_neighbor,True,5.49,URAT1,lesinurad,
N#Cc1ccc(-c2cnccc2SC2CC(C(=O)O)C2)c2ccccc12,c1ccc2c(-c3cnccc3SC3CCC3)cccc2c1,E,benchmark_analog,project_library_neighbor,True,6.26,URAT1,verinurad,
CC(C)(Sc1ccncc1-c1ccc(C#N)c2ccc(Cl)n12)C(=O)O,c1cncc(-c2cccc3cccn23)c1,E,benchmark_analog,project_library_neighbor,True,6.55,URAT1,verinurad,
CC(C)c1cc(I)cc(C(C)C)c1NC(=O)NS(=O)(=O)c1cc(C(C)(C)O)co1,O=C(Nc1ccccc1)NS(=O)(=O)c1ccco1,E,benchmark_analog,project_library_neighbor,True,7.51,NLRP3,MCC950,
O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1CCCC2,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1CCCC2,E,benchmark_analog,project_library_neighbor,True,6.39,NLRP3,GDC-2394,
N#Cc1ccc(-c2cnccc2Sc2cccc(C(=O)O)c2)c2ccccc12,c1ccc(Sc2ccncc2-c2cccc3ccccc23)cc1,E,benchmark_analog,project_library_neighbor,True,6.26,URAT1,verinurad,
