ligand,target,mode,cnn_affinity
EH120_101,3RCD,mode_02,8.6153411865
EH120_102,3POZ,mode_09,6.3380694389
EH120_102,3RCD,mode_01,6.2659339905
EH120_103,3POZ,mode_02,5.9552159309
EH120_103,3RCD,mode_04,6.5852541924
EH120_104,3POZ,mode_07,6.4587817192
EH120_104,3RCD,mode_08,6.3173308372
EH120_105,3POZ,mode_04,6.1663799286
EH120_105,3RCD,mode_03,6.4573016167
EH120_106,3POZ,mode_06,5.8150515556
EH120_106,3RCD,mode_08,5.791809082
EH120_107,3POZ,mode_07,6.4427261353
EH120_107,3RCD,mode_09,6.4236602783
EH120_108,3POZ,mode_03,5.9654698372
EH120_108,3RCD,mode_06,6.6437525749
EH120_109,3POZ,mode_01,3.9498488903
EH120_109,3RCD,mode_01,4.5998897552
EH120_110,3POZ,mode_06,6.073861599
EH120_110,3RCD,mode_07,5.7992081642
EH40_01,3POZ,mode_04,7.7344069481
EH40_01,3RCD,mode_01,8.0549163818
EH40_02,3POZ,mode_01,8.2654294968
EH40_02,3RCD,mode_02,8.5536565781
EH40_03,3POZ,mode_01,6.9091477394
EH40_03,3RCD,mode_09,6.7208418846
EH40_04,3POZ,mode_05,7.7790837288
EH40_04,3RCD,mode_01,7.7076020241
EH40_05,3POZ,mode_08,7.8850922585
EH40_05,3RCD,mode_03,8.1512184143
EH40_06,3POZ,mode_08,8.1415348053
EH40_06,3RCD,mode_01,8.55098629
EH40_07,3POZ,mode_07,7.3854756355
EH40_07,3RCD,mode_04,6.8954105377
EH40_08,3POZ,mode_06,7.8567471504
EH40_08,3RCD,mode_01,8.1502656937
EH40_09,3POZ,mode_09,7.1766896248
EH40_09,3RCD,mode_08,7.4400696754
EH40_10,3POZ,mode_06,6.8010907173
EH40_10,3RCD,mode_01,7.8926634789
EH40_11,3POZ,mode_06,7.3980994225
EH40_11,3RCD,mode_02,7.581802845
EH40_12,3POZ,mode_02,8.060751915
EH40_12,3RCD,mode_01,7.8062567711
EH40_13,3POZ,mode_03,6.9542121887
EH40_13,3RCD,mode_07,7.0337920189
EH40_14,3POZ,mode_01,6.4651169777
EH40_14,3RCD,mode_01,6.9506173134
EH40_15,3POZ,mode_08,6.8537049294
EH40_15,3RCD,mode_01,7.374560833
EH40_16,3POZ,mode_05,7.3333263397
EH40_16,3RCD,mode_08,6.8526968956
EH40_17,3POZ,mode_03,6.4658322334
EH40_17,3RCD,mode_05,7.4088916779
EH40_18,3POZ,mode_01,7.2438063622
EH40_18,3RCD,mode_03,7.4625306129
EH40_19,3POZ,mode_08,6.3662438393
EH40_19,3RCD,mode_05,6.3734869957
EH40_20,3POZ,mode_09,7.0259261131
EH40_20,3RCD,mode_05,7.3042616844
EH40_21,3POZ,mode_05,6.1687550545
EH40_21,3RCD,mode_07,7.0787296295
EH40_22,3POZ,mode_08,8.1014556885
EH40_22,3RCD,mode_01,8.5580797195
EH40_23,3POZ,mode_05,7.6416535378
EH40_23,3RCD,mode_06,8.1897153854
EH40_24,3POZ,mode_01,5.1376242638
EH40_24,3RCD,mode_06,5.3627433777
EH40_25,3POZ,mode_04,5.9608521461
EH40_25,3RCD,mode_07,6.5112214088
EH40_26,3POZ,mode_07,6.5461401939
EH40_26,3RCD,mode_01,7.0676207542
EH40_27,3POZ,mode_08,6.0848183632
EH40_27,3RCD,mode_02,6.865963459
EH40_28,3POZ,mode_01,8.5491228104
EH40_28,3RCD,mode_01,8.6336221695
EH40_29,3POZ,mode_03,7.2500267029
EH40_29,3RCD,mode_02,7.1422576904
EH40_30,3POZ,mode_03,6.5868010521
EH40_30,3RCD,mode_04,7.4221744537
EH40_31,3POZ,mode_08,7.4866671562
EH40_31,3RCD,mode_01,7.7934365273
EH40_32,3POZ,mode_04,7.1157956123
EH40_32,3RCD,mode_02,7.4957008362
EH40_33,3POZ,mode_03,7.3469185829
EH40_33,3RCD,mode_03,8.2506027222
EH40_34,3POZ,mode_06,6.9015898705
EH40_34,3RCD,mode_03,7.7342915535
EH40_35,3POZ,mode_01,8.12408638
EH40_35,3RCD,mode_03,8.174197197
EH40_36,3POZ,mode_01,8.1239709854
EH40_36,3RCD,mode_03,8.6258869171
EH40_37,3POZ,mode_01,8.3238315582
EH40_37,3RCD,mode_05,9.1242761612
EH40_38,3POZ,mode_02,6.8624300957
EH40_38,3RCD,mode_05,6.5557346344
EH40_39,3POZ,mode_06,7.4400000572
EH40_39,3RCD,mode_03,7.1598110199
EH40_40,3POZ,mode_01,6.7347335815
EH40_40,3RCD,mode_01,6.5767388344
