smiles,mol_id,pred_pAct_JNK1,pred_pAct_JNK2,pred_pAct_JNK3,p_family,pred_delta_min_computed,sa,qed,final_score
CNC(=O)c1cc(-n2ncc3cc(Nc4c(F)cccc4OC)c(F)cc32)cs1,,6.491302,6.553105,7.8864903,7.8864903,-1.3951883,2.827187623209781,0.5054395989163424,0.7039425427271961
CCOc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,,6.627851,6.7661314,5.8601756,6.7661314,-0.13828039,2.3672977451516353,0.7768738013853492,0.7032567750244977
CC(=O)N1CCC[C@@H](C(=O)Nc2cc(-c3ccnc(Nc4ccc(F)cc4)c3)ccn2)C1,,5.6241393,6.2577486,7.618668,7.618668,-1.9945288,2.786932204619644,0.6290513696282626,0.7013297858790899
CC(=O)N1CCC[C@H](C(=O)Nc2cc(-c3ccnc(Nc4ccc(F)cc4)c3)ccn2)C1,,5.6241393,6.2577486,7.618668,7.618668,-1.9945288,2.786932204619644,0.6290513696282626,0.7013297858790899
CC(=O)N1CCCC(C(=O)Nc2cc(-c3ccnc(Nc4ccc(F)cc4)c3)ccn2)C1,,5.6241393,6.2577486,7.618668,7.618668,-1.9945288,2.786932204619644,0.6290513696282626,0.7013297858790899
CC(C)NC(=O)N[C@H]1CC[C@H](Nc2ncc3ccc(=O)n(C)c3n2)CC1,,6.615292,6.780437,6.1621437,6.780437,-0.16514492,2.5460288572191914,0.7730617894659435,0.7013054850009285
CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N,,5.703477,6.622176,6.974053,6.974053,-1.270576,2.4036621817713524,0.779550881544171,0.7009986179104627
CN(C)CC(=O)N1CCC(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)CC1,,6.5012584,7.169323,6.550455,7.169323,-0.6680646,2.5431442542367027,0.6722766371103012,0.7008555236927121
CCNC(=O)N1CCC(Nc2ncc(Cl)c(-n3ccc4ccccc43)n2)CC1,,6.4684663,7.0767274,6.588049,7.0767274,-0.6082611,2.5924314762865954,0.7025406431413787,0.7008308145596847
CCNC(=O)N1CCC(Nc2ncc(Cl)c(-c3cnc4ccccn34)n2)CC1,,6.53125,7.0640397,6.3692784,7.0640397,-0.5327897,2.6710297668848852,0.703598204531165,0.7005002771324953
CNC(=O)C1Cc2nc(-c3ccc(Cl)c(Cl)c3)n(-c3ccnc(N[C@@H]4CCN(C(=O)C5CC5)C4)n3)c2C1,,6.6401367,7.498372,7.985538,7.985538,-1.3454013,3.771298022583185,0.49606956414915715,0.7003075737058367
