molecule_chembl_id,class,pchembl_EGFR,pchembl_HER2,min_pchembl,theta
CHEMBL4097216,A_only,7.12,5.77,5.77,6.0
CHEMBL95774,A_only,7.10,5.77,5.77,6.0
CHEMBL6030352,A_only,8.38,5.75,5.75,6.0
CHEMBL592480,A_only,6.25,5.75,5.75,6.0
CHEMBL14874,A_only,6.08,5.75,5.75,6.0
CHEMBL207009,A_only,7.75,5.75,5.75,6.0
CHEMBL1683959,A_only,7.19,5.75,5.75,6.0
CHEMBL601040,A_only,6.24,5.73,5.73,6.0
CHEMBL589561,A_only,6.01,5.73,5.73,6.0
CHEMBL2325093,A_only,6.70,5.72,5.72,6.0
CHEMBL2325095,A_only,6.62,5.72,5.72,6.0
CHEMBL2112370,A_only,6.88,5.72,5.72,6.0
CHEMBL323630,A_only,6.19,5.71,5.71,6.0
CHEMBL2325094,A_only,6.85,5.70,5.70,6.0
CHEMBL6048885,A_only,7.09,5.70,5.70,6.0
CHEMBL2325096,A_only,6.52,5.70,5.70,6.0
CHEMBL3746473,A_only,6.22,5.69,5.69,6.0
CHEMBL179274,A_only,6.42,5.68,5.68,6.0
CHEMBL208594,A_only,7.96,5.68,5.68,6.0
CHEMBL4091626,A_only,7.96,5.68,5.68,6.0
CHEMBL2333163,A_only,6.22,5.68,5.68,6.0
CHEMBL175552,A_only,6.60,5.68,5.68,6.0
CHEMBL208240,A_only,6.17,5.68,5.68,6.0
CHEMBL116525,A_only,6.04,5.67,5.67,6.0
CHEMBL1928959,A_only,6.14,5.67,5.67,6.0
CHEMBL290106,A_only,6.21,5.67,5.67,6.0
CHEMBL1173718,A_only,6.21,5.67,5.67,6.0
CHEMBL593292,A_only,6.17,5.66,5.66,6.0
CHEMBL1081849,A_only,6.01,5.65,5.65,6.0
CHEMBL592004,A_only,6.06,5.65,5.65,6.0
CHEMBL593294,A_only,6.64,5.64,5.64,6.0
CHEMBL593275,A_only,6.58,5.64,5.64,6.0
CHEMBL592211,A_only,6.02,5.64,5.64,6.0
CHEMBL5747102,A_only,8.40,5.64,5.64,6.0
CHEMBL2325091,A_only,6.31,5.63,5.63,6.0
CHEMBL589589,A_only,6.12,5.63,5.63,6.0
CHEMBL4087646,A_only,8.22,5.62,5.62,6.0
CHEMBL594228,A_only,6.09,5.62,5.62,6.0
CHEMBL12131,A_only,6.25,5.61,5.61,6.0
CHEMBL4097245,A_only,8.06,5.60,5.60,6.0
CHEMBL288441,A_only,7.75,5.60,5.60,6.0
CHEMBL4084996,A_only,6.01,5.60,5.60,6.0
CHEMBL589831,A_only,6.03,5.59,5.59,6.0
CHEMBL24828,A_only,8.32,5.58,5.58,6.0
CHEMBL4097795,A_only,8.24,5.57,5.57,6.0
CHEMBL3633938,A_only,6.35,5.57,5.57,6.0
CHEMBL316127,A_only,7.13,5.56,5.56,6.0
CHEMBL1173814,A_only,7.16,5.56,5.56,6.0
CHEMBL93537,A_only,6.69,5.55,5.55,6.0
CHEMBL196018,A_only,7.05,5.55,5.55,6.0
CHEMBL1683956,A_only,6.19,5.54,5.54,6.0
CHEMBL1241674,A_only,6.66,5.54,5.54,6.0
CHEMBL2112369,A_only,6.71,5.53,5.53,6.0
CHEMBL370934,A_only,7.22,5.52,5.52,6.0
CHEMBL2325092,A_only,7.00,5.52,5.52,6.0
CHEMBL2325090,A_only,6.17,5.51,5.51,6.0
CHEMBL210893,A_only,6.53,5.51,5.51,6.0
CHEMBL4061382,A_only,7.58,5.50,5.50,6.0
CHEMBL372112,A_only,7.30,5.48,5.48,6.0
CHEMBL343352,A_only,8.47,5.48,5.48,6.0
CHEMBL496,A_only,6.13,5.48,5.48,6.0
CHEMBL6246,A_only,6.16,5.45,5.45,6.0
CHEMBL602328,A_only,6.01,5.45,5.45,6.0
CHEMBL595142,A_only,6.46,5.44,5.44,6.0
CHEMBL1683960,A_only,6.23,5.43,5.43,6.0
CHEMBL205870,A_only,7.07,5.42,5.42,6.0
CHEMBL362233,A_only,6.24,5.42,5.42,6.0
CHEMBL2324870,A_only,6.28,5.41,5.41,6.0
CHEMBL179633,A_only,7.14,5.41,5.41,6.0
CHEMBL283682,A_only,6.59,5.41,5.41,6.0
CHEMBL94123,A_only,6.67,5.38,5.38,6.0
CHEMBL30973,A_only,7.43,5.38,5.38,6.0
CHEMBL255866,A_only,6.51,5.38,5.38,6.0
CHEMBL2325106,A_only,6.80,5.38,5.38,6.0
CHEMBL215152,A_only,6.92,5.37,5.37,6.0
CHEMBL5189379,A_only,6.01,5.36,5.36,6.0
CHEMBL324718,A_only,6.09,5.33,5.33,6.0
CHEMBL2070198,A_only,7.01,5.32,5.32,6.0
CHEMBL3633936,A_only,6.09,5.30,5.30,6.0
CHEMBL289959,A_only,7.10,5.30,5.30,6.0
CHEMBL92902,A_only,6.94,5.30,5.30,6.0
CHEMBL210659,A_only,7.17,5.27,5.27,6.0
CHEMBL29197,A_only,10.60,5.27,5.27,6.0
CHEMBL5556841,A_only,6.62,5.27,5.27,6.0
CHEMBL2325104,A_only,6.03,5.26,5.26,6.0
CHEMBL263788,A_only,6.10,5.25,5.25,6.0
CHEMBL77030,A_only,6.07,5.24,5.24,6.0
CHEMBL472544,A_only,6.21,5.24,5.24,6.0
CHEMBL4078431,A_only,9.52,5.22,5.22,6.0
CHEMBL1093235,A_only,6.64,5.22,5.22,6.0
CHEMBL3917657,A_only,6.06,5.21,5.21,6.0
CHEMBL336113,A_only,7.30,5.19,5.19,6.0
CHEMBL2070191,A_only,6.24,5.19,5.19,6.0
CHEMBL2325108,A_only,6.68,5.17,5.17,6.0
CHEMBL604992,A_only,6.14,5.16,5.16,6.0
CHEMBL85021,A_only,6.40,5.16,5.16,6.0
CHEMBL371863,A_only,6.70,5.14,5.14,6.0
CHEMBL3651854,A_only,6.02,5.11,5.11,6.0
CHEMBL178265,A_only,6.19,5.09,5.09,6.0
CHEMBL5270270,A_only,7.36,5.06,5.06,6.0
CHEMBL360754,A_only,6.40,5.01,5.01,6.0
CHEMBL326318,A_only,6.05,5.00,5.00,6.0
CHEMBL54471,A_only,6.06,5.00,5.00,6.0
CHEMBL5969564,A_only,6.28,4.98,4.98,6.0
CHEMBL3929002,A_only,7.30,4.98,4.98,6.0
CHEMBL5876660,A_only,6.77,4.96,4.96,6.0
CHEMBL379047,A_only,6.81,4.96,4.96,6.0
CHEMBL95320,A_only,6.07,4.93,4.93,6.0
CHEMBL5992914,A_only,7.02,4.89,4.89,6.0
CHEMBL55204,A_only,6.25,4.89,4.89,6.0
CHEMBL179521,A_only,6.40,4.89,4.89,6.0
CHEMBL56543,A_only,7.00,4.87,4.87,6.0
CHEMBL92086,A_only,8.92,4.82,4.82,6.0
CHEMBL428690,A_only,6.28,4.80,4.80,6.0
CHEMBL56393,A_only,6.43,4.77,4.77,6.0
CHEMBL56132,A_only,6.00,4.75,4.75,6.0
CHEMBL4280835,A_only,7.33,4.72,4.72,6.0
CHEMBL5856403,A_only,6.85,4.72,4.72,6.0
CHEMBL10,A_only,6.47,4.72,4.72,6.0
CHEMBL205652,A_only,6.50,4.68,4.68,6.0
CHEMBL329642,A_only,6.57,4.66,4.66,6.0
CHEMBL293749,A_only,6.21,4.64,4.64,6.0
CHEMBL208144,A_only,7.09,4.64,4.64,6.0
CHEMBL91748,A_only,6.60,4.59,4.59,6.0
CHEMBL427315,A_only,6.11,4.58,4.58,6.0
CHEMBL53898,A_only,6.16,4.46,4.46,6.0
CHEMBL55979,A_only,6.40,4.43,4.43,6.0
CHEMBL4286733,A_only,6.95,4.43,4.43,6.0
CHEMBL56731,A_only,6.16,4.38,4.38,6.0
CHEMBL14326,A_only,6.00,4.35,4.35,6.0
CHEMBL305194,A_only,7.54,4.31,4.31,6.0
CHEMBL53753,A_only,7.89,4.28,4.28,6.0
CHEMBL93464,A_only,9.26,4.04,4.04,6.0
CHEMBL6017443,B_only,5.99,7.79,5.99,6.0
CHEMBL452716,B_only,5.98,6.58,5.98,6.0
CHEMBL256362,B_only,5.96,7.64,5.96,6.0
CHEMBL1087368,B_only,5.94,8.15,5.94,6.0
CHEMBL1080990,B_only,5.92,6.03,5.92,6.0
CHEMBL5564323,B_only,5.91,7.00,5.91,6.0
CHEMBL1982874,B_only,5.90,6.00,5.90,6.0
CHEMBL1982476,B_only,5.90,6.90,5.90,6.0
CHEMBL565612,B_only,5.90,6.10,5.90,6.0
CHEMBL1976732,B_only,5.90,6.00,5.90,6.0
CHEMBL5977568,B_only,5.86,7.71,5.86,6.0
CHEMBL5561503,B_only,5.86,7.23,5.86,6.0
CHEMBL257873,B_only,5.84,8.30,5.84,6.0
CHEMBL5739799,B_only,5.84,8.36,5.84,6.0
CHEMBL372692,B_only,5.80,6.17,5.80,6.0
CHEMBL457250,B_only,5.78,6.66,5.78,6.0
CHEMBL394463,B_only,5.75,6.60,5.75,6.0
CHEMBL5890920,B_only,5.74,8.16,5.74,6.0
CHEMBL257478,B_only,5.70,8.70,5.70,6.0
CHEMBL6150301,B_only,5.70,6.50,5.70,6.0
CHEMBL3814021,B_only,5.69,7.72,5.69,6.0
CHEMBL194337,B_only,5.68,7.16,5.68,6.0
CHEMBL5561933,B_only,5.67,7.28,5.67,6.0
CHEMBL6133515,B_only,5.66,8.24,5.66,6.0
CHEMBL2048792,B_only,5.64,6.89,5.64,6.0
CHEMBL1257998,B_only,5.64,8.12,5.64,6.0
CHEMBL193578,B_only,5.62,7.62,5.62,6.0
CHEMBL403785,B_only,5.59,7.72,5.59,6.0
CHEMBL449949,B_only,5.58,6.35,5.58,6.0
CHEMBL5523557,B_only,5.58,6.74,5.58,6.0
CHEMBL5797736,B_only,5.54,7.94,5.54,6.0
CHEMBL1256432,B_only,5.54,7.80,5.54,6.0
CHEMBL5901840,B_only,5.51,7.97,5.51,6.0
CHEMBL119156,B_only,5.47,6.15,5.47,6.0
CHEMBL477197,B_only,5.47,6.02,5.47,6.0
CHEMBL5558817,B_only,5.38,6.67,5.38,6.0
CHEMBL5542514,B_only,5.34,7.08,5.34,6.0
CHEMBL5555280,B_only,5.34,7.31,5.34,6.0
CHEMBL5557178,B_only,5.33,6.80,5.33,6.0
CHEMBL1080506,B_only,5.30,8.40,5.30,6.0
CHEMBL6006814,B_only,5.29,7.99,5.29,6.0
CHEMBL364623,B_only,5.28,6.30,5.28,6.0
CHEMBL2205030,B_only,5.27,6.23,5.27,6.0
CHEMBL6150652,B_only,4.92,8.02,4.92,6.0
CHEMBL1080272,B_only,4.82,6.21,4.82,6.0
CHEMBL118109,B_only,4.73,6.46,4.73,6.0
CHEMBL941,dual,9.96,10.22,9.96,6.0
CHEMBL5977738,dual,9.85,9.47,9.47,6.0
CHEMBL5221067,dual,9.33,9.85,9.33,6.0
CHEMBL5881155,dual,9.66,9.22,9.22,6.0
CHEMBL203599,dual,9.30,9.15,9.15,6.0
CHEMBL1873475,dual,9.30,9.12,9.12,6.0
CHEMBL5282641,dual,10.28,9.02,9.02,6.0
CHEMBL180022,dual,10.70,9.00,9.00,6.0
CHEMBL203644,dual,9.52,8.96,8.96,6.0
CHEMBL54091,dual,9.14,8.96,8.96,6.0
CHEMBL437890,dual,8.96,9.30,8.96,6.0
CHEMBL5176920,dual,8.96,8.97,8.96,6.0
CHEMBL4075917,dual,8.89,9.00,8.89,6.0
CHEMBL203661,dual,8.89,9.10,8.89,6.0
CHEMBL3545154,dual,10.21,8.88,8.88,6.0
CHEMBL3357637,dual,9.74,8.86,8.86,6.0
CHEMBL5179954,dual,8.92,8.85,8.85,6.0
CHEMBL6102825,dual,8.92,8.85,8.85,6.0
CHEMBL5288888,dual,10.57,8.85,8.85,6.0
CHEMBL204638,dual,8.82,9.30,8.82,6.0
CHEMBL5570443,dual,8.84,8.81,8.81,6.0
CHEMBL5591805,dual,8.89,8.81,8.81,6.0
CHEMBL5742327,dual,8.80,8.80,8.80,6.0
CHEMBL554,dual,10.22,8.80,8.80,6.0
CHEMBL5184610,dual,8.87,8.78,8.78,6.0
CHEMBL6142551,dual,8.87,8.78,8.78,6.0
CHEMBL2048903,dual,8.72,8.77,8.72,6.0
CHEMBL202360,dual,8.80,8.72,8.72,6.0
CHEMBL4067871,dual,8.72,9.00,8.72,6.0
CHEMBL5890119,dual,8.85,8.72,8.72,6.0
CHEMBL5175489,dual,8.83,8.71,8.71,6.0
CHEMBL3968417,dual,9.00,8.70,8.70,6.0
CHEMBL553,dual,10.54,8.70,8.70,6.0
CHEMBL205059,dual,9.05,8.70,8.70,6.0
CHEMBL6050073,dual,8.70,8.80,8.70,6.0
CHEMBL1173655,dual,10.21,8.70,8.70,6.0
CHEMBL4522240,dual,8.85,8.68,8.68,6.0
CHEMBL202411,dual,8.85,8.68,8.68,6.0
CHEMBL5572660,dual,8.72,8.67,8.67,6.0
CHEMBL31815,dual,9.38,8.66,8.66,6.0
CHEMBL204085,dual,8.77,8.64,8.64,6.0
CHEMBL5192750,dual,8.64,8.77,8.64,6.0
CHEMBL5190132,dual,8.99,8.62,8.62,6.0
CHEMBL378144,dual,9.22,8.62,8.62,6.0
CHEMBL3647420,dual,9.32,8.62,8.62,6.0
CHEMBL5575930,dual,9.15,8.60,8.60,6.0
CHEMBL178654,dual,8.60,8.60,8.60,6.0
CHEMBL5566736,dual,9.09,8.60,8.60,6.0
CHEMBL2048912,dual,8.59,9.01,8.59,6.0
CHEMBL382073,dual,8.74,8.59,8.59,6.0
CHEMBL257411,dual,8.80,8.57,8.57,6.0
CHEMBL5572514,dual,9.09,8.56,8.56,6.0
CHEMBL5193451,dual,8.55,8.85,8.55,6.0
CHEMBL2048795,dual,8.55,8.82,8.55,6.0
CHEMBL5569696,dual,8.98,8.54,8.54,6.0
CHEMBL5806322,dual,8.54,8.55,8.54,6.0
CHEMBL2048906,dual,8.54,8.80,8.54,6.0
CHEMBL5567355,dual,9.12,8.54,8.54,6.0
CHEMBL5565503,dual,8.54,8.79,8.54,6.0
CHEMBL5584189,dual,8.54,8.57,8.54,6.0
CHEMBL5770169,dual,8.54,8.92,8.54,6.0
CHEMBL5753139,dual,8.54,8.82,8.54,6.0
CHEMBL5175873,dual,8.67,8.54,8.54,6.0
CHEMBL6142761,dual,8.65,8.53,8.53,6.0
CHEMBL5563672,dual,8.65,8.53,8.53,6.0
CHEMBL1336,dual,8.53,9.25,8.53,6.0
CHEMBL2048911,dual,8.52,9.04,8.52,6.0
CHEMBL258940,dual,8.52,8.52,8.52,6.0
CHEMBL5665391,dual,8.52,8.70,8.52,6.0
CHEMBL2408045,dual,9.00,8.52,8.52,6.0
CHEMBL53555,dual,9.11,8.52,8.52,6.0
CHEMBL1947204,dual,9.30,8.52,8.52,6.0
CHEMBL1614725,dual,9.00,8.52,8.52,6.0
CHEMBL2048796,dual,8.52,8.80,8.52,6.0
CHEMBL4105329,dual,8.51,9.00,8.51,6.0
CHEMBL2048797,dual,8.51,8.60,8.51,6.0
CHEMBL5966767,dual,9.29,8.49,8.49,6.0
CHEMBL5562735,dual,8.53,8.48,8.48,6.0
CHEMBL5566173,dual,8.48,8.55,8.48,6.0
CHEMBL1630118,dual,8.66,8.46,8.46,6.0
CHEMBL5566473,dual,8.90,8.46,8.46,6.0
CHEMBL5591930,dual,8.46,8.62,8.46,6.0
CHEMBL5182567,dual,9.42,8.46,8.46,6.0
CHEMBL5574206,dual,9.06,8.45,8.45,6.0
CHEMBL5934211,dual,9.11,8.44,8.44,6.0
CHEMBL4794670,dual,8.74,8.43,8.43,6.0
CHEMBL4758842,dual,8.96,8.43,8.43,6.0
CHEMBL5591255,dual,8.83,8.42,8.42,6.0
CHEMBL4758761,dual,8.82,8.42,8.42,6.0
CHEMBL203645,dual,8.77,8.42,8.42,6.0
CHEMBL51659,dual,9.04,8.41,8.41,6.0
CHEMBL1630117,dual,8.41,8.70,8.41,6.0
CHEMBL2006715,dual,8.70,8.40,8.40,6.0
CHEMBL5591496,dual,8.45,8.39,8.39,6.0
CHEMBL3344216,dual,8.39,9.30,8.39,6.0
CHEMBL2048905,dual,8.39,8.68,8.39,6.0
CHEMBL1630107,dual,8.60,8.39,8.39,6.0
CHEMBL380669,dual,8.38,8.55,8.38,6.0
CHEMBL5838668,dual,8.38,8.77,8.38,6.0
CHEMBL1090357,dual,9.11,8.37,8.37,6.0
CHEMBL31373,dual,9.12,8.37,8.37,6.0
CHEMBL1630108,dual,8.32,8.46,8.32,6.0
CHEMBL3353410,dual,10.70,8.32,8.32,6.0
CHEMBL1630112,dual,8.55,8.31,8.31,6.0
CHEMBL3914159,dual,9.46,8.31,8.31,6.0
CHEMBL3959248,dual,8.30,8.40,8.30,6.0
CHEMBL136058,dual,9.09,8.30,8.30,6.0
CHEMBL5857553,dual,8.32,8.30,8.30,6.0
CHEMBL31965,dual,10.40,8.30,8.30,6.0
CHEMBL2105712,dual,9.52,8.30,8.30,6.0
CHEMBL5999223,dual,8.64,8.30,8.30,6.0
CHEMBL545315,dual,9.10,8.30,8.30,6.0
CHEMBL444619,dual,8.30,8.30,8.30,6.0
CHEMBL593860,dual,8.70,8.30,8.30,6.0
CHEMBL258282,dual,8.30,9.00,8.30,6.0
CHEMBL2103842,dual,8.30,8.70,8.30,6.0
CHEMBL1201179,dual,8.30,8.52,8.30,6.0
CHEMBL202424,dual,8.35,8.27,8.27,6.0
CHEMBL4793338,dual,9.48,8.27,8.27,6.0
CHEMBL2048909,dual,8.26,8.70,8.26,6.0
CHEMBL1630111,dual,8.54,8.24,8.24,6.0
CHEMBL5998236,dual,8.24,8.34,8.24,6.0
CHEMBL285063,dual,10.10,8.24,8.24,6.0
CHEMBL4759072,dual,9.46,8.24,8.24,6.0
CHEMBL5593219,dual,8.23,8.32,8.23,6.0
CHEMBL5979907,dual,8.23,8.60,8.23,6.0
CHEMBL3892310,dual,9.89,8.22,8.22,6.0
CHEMBL1645474,dual,8.22,8.40,8.22,6.0
CHEMBL5186362,dual,9.52,8.22,8.22,6.0
CHEMBL587723,dual,8.70,8.22,8.22,6.0
CHEMBL4759112,dual,9.49,8.21,8.21,6.0
CHEMBL1090360,dual,8.40,8.20,8.20,6.0
CHEMBL1999749,dual,8.20,8.80,8.20,6.0
CHEMBL31419,dual,8.44,8.19,8.19,6.0
CHEMBL5201973,dual,8.63,8.19,8.19,6.0
CHEMBL3896969,dual,8.70,8.19,8.19,6.0
CHEMBL3344208,dual,8.17,8.44,8.17,6.0
CHEMBL2148050,dual,8.17,8.54,8.17,6.0
CHEMBL4635100,dual,8.15,8.40,8.15,6.0
CHEMBL402294,dual,8.30,8.15,8.15,6.0
CHEMBL2048908,dual,8.15,8.48,8.15,6.0
CHEMBL5567125,dual,8.15,8.66,8.15,6.0
CHEMBL3290148,dual,8.15,8.15,8.15,6.0
CHEMBL2048907,dual,8.15,8.66,8.15,6.0
CHEMBL5937987,dual,8.92,8.15,8.15,6.0
CHEMBL280757,dual,9.16,8.14,8.14,6.0
CHEMBL1090359,dual,8.64,8.14,8.14,6.0
CHEMBL4744985,dual,9.46,8.14,8.14,6.0
CHEMBL373207,dual,8.51,8.12,8.12,6.0
CHEMBL430571,dual,8.44,8.12,8.12,6.0
CHEMBL2048789,dual,8.11,8.89,8.11,6.0
CHEMBL3890186,dual,8.10,8.30,8.10,6.0
CHEMBL1090350,dual,8.10,8.32,8.10,6.0
CHEMBL497459,dual,8.10,8.70,8.10,6.0
CHEMBL4648271,dual,8.10,8.40,8.10,6.0
CHEMBL4794998,dual,9.44,8.10,8.10,6.0
CHEMBL5593471,dual,8.97,8.10,8.10,6.0
CHEMBL257430,dual,8.10,8.52,8.10,6.0
CHEMBL5752228,dual,8.10,8.66,8.10,6.0
CHEMBL179363,dual,8.15,8.10,8.10,6.0
CHEMBL402553,dual,8.10,8.70,8.10,6.0
CHEMBL5178703,dual,8.09,9.80,8.09,6.0
CHEMBL5813773,dual,8.21,8.09,8.09,6.0
CHEMBL4068839,dual,8.28,8.09,8.09,6.0
CHEMBL5794459,dual,8.11,8.09,8.09,6.0
CHEMBL6068562,dual,8.09,8.46,8.09,6.0
CHEMBL342828,dual,9.25,8.09,8.09,6.0
CHEMBL27685,dual,8.74,8.09,8.09,6.0
CHEMBL53203,dual,8.32,8.07,8.07,6.0
CHEMBL5908256,dual,8.07,8.74,8.07,6.0
CHEMBL54088,dual,9.32,8.06,8.06,6.0
CHEMBL2048798,dual,8.06,8.22,8.06,6.0
CHEMBL257860,dual,8.05,8.22,8.05,6.0
CHEMBL514566,dual,8.05,8.10,8.05,6.0
CHEMBL1645473,dual,8.05,8.40,8.05,6.0
CHEMBL5839893,dual,8.68,8.04,8.04,6.0
CHEMBL5944794,dual,8.82,8.02,8.02,6.0
CHEMBL4439338,dual,9.52,8.02,8.02,6.0
CHEMBL5847747,dual,8.32,8.02,8.02,6.0
CHEMBL6020835,dual,8.41,8.02,8.02,6.0
CHEMBL5183924,dual,8.02,8.39,8.02,6.0
CHEMBL2148051,dual,8.01,8.39,8.01,6.0
CHEMBL483321,dual,8.19,8.00,8.00,6.0
CHEMBL598799,dual,8.04,8.00,8.00,6.0
CHEMBL1981725,dual,8.20,8.00,8.00,6.0
CHEMBL5566277,dual,8.00,8.31,8.00,6.0
CHEMBL453376,dual,8.00,8.00,8.00,6.0
CHEMBL1645476,dual,8.00,8.22,8.00,6.0
CHEMBL1645466,dual,8.00,8.15,8.00,6.0
CHEMBL6008376,dual,8.74,7.98,7.98,6.0
CHEMBL2437226,dual,7.97,8.41,7.97,6.0
CHEMBL597551,dual,8.15,7.97,7.97,6.0
CHEMBL5209046,dual,8.50,7.97,7.97,6.0
CHEMBL3344215,dual,7.97,8.54,7.97,6.0
CHEMBL2148053,dual,7.96,7.96,7.96,6.0
CHEMBL4795165,dual,9.70,7.96,7.96,6.0
CHEMBL4591886,dual,8.83,7.96,7.96,6.0
CHEMBL4787483,dual,10.10,7.96,7.96,6.0
CHEMBL2148052,dual,7.96,7.96,7.96,6.0
CHEMBL3958631,dual,8.30,7.96,7.96,6.0
CHEMBL360519,dual,7.96,8.00,7.96,6.0
CHEMBL4468146,dual,8.83,7.96,7.96,6.0
CHEMBL250130,dual,8.52,7.96,7.96,6.0
CHEMBL3969056,dual,8.00,7.96,7.96,6.0
CHEMBL250132,dual,8.70,7.96,7.96,6.0
CHEMBL5569663,dual,7.95,7.97,7.95,6.0
CHEMBL5938912,dual,7.97,7.95,7.95,6.0
CHEMBL3436359,dual,7.94,8.17,7.94,6.0
CHEMBL5760776,dual,8.02,7.93,7.93,6.0
CHEMBL5982094,dual,8.44,7.93,7.93,6.0
CHEMBL28418,dual,9.12,7.92,7.92,6.0
CHEMBL255871,dual,8.10,7.92,7.92,6.0
CHEMBL480349,dual,7.92,8.22,7.92,6.0
CHEMBL4643111,dual,8.22,7.92,7.92,6.0
CHEMBL3814812,dual,8.82,7.92,7.92,6.0
CHEMBL417478,dual,9.80,7.92,7.92,6.0
CHEMBL3932176,dual,8.70,7.92,7.92,6.0
CHEMBL2441563,dual,8.15,7.92,7.92,6.0
CHEMBL6144232,dual,7.92,7.92,7.92,6.0
CHEMBL597752,dual,8.11,7.91,7.91,6.0
CHEMBL3436356,dual,7.97,7.91,7.91,6.0
CHEMBL446250,dual,8.52,7.89,7.89,6.0
CHEMBL4759697,dual,9.47,7.89,7.89,6.0
CHEMBL5571416,dual,9.27,7.89,7.89,6.0
