table,row,column,displayed_value,raw_value,source_file,source_row,calculation,rounding_rule,status
TableS2b,4JT6,best,0.445,0.445,results/canonical/cognate_rmsd.csv,4JT6,calcrrms_best_A,3dp,ROUNDING_MATCH
TableS2b,4UDW,top1,0.382,0.382,results/canonical/cognate_rmsd.csv,4UDW,calcrrms_top1_A,3dp,ROUNDING_MATCH
TableS2b,4UDW,best,0.382,0.382,results/canonical/cognate_rmsd.csv,4UDW,calcrrms_best_A,3dp,ROUNDING_MATCH
TableS2b,2JKH,top1,0.658,0.658,results/canonical/cognate_rmsd.csv,2JKH,calcrrms_top1_A,3dp,ROUNDING_MATCH
TableS2b,2JKH,best,0.658,0.658,results/canonical/cognate_rmsd.csv,2JKH,calcrrms_best_A,3dp,ROUNDING_MATCH
TableS2b,6N7A,top1,0.459,0.459,results/canonical/cognate_rmsd.csv,6N7A,calcrrms_top1_A,3dp,ROUNDING_MATCH
TableS2b,6N7A,best,0.459,0.459,results/canonical/cognate_rmsd.csv,6N7A,calcrrms_best_A,3dp,ROUNDING_MATCH
TableS2b,3LXP,top1,0.196,0.196,results/canonical/cognate_rmsd.csv,3LXP,calcrrms_top1_A,3dp,ROUNDING_MATCH
TableS2b,3LXP,best,0.196,0.196,results/canonical/cognate_rmsd.csv,3LXP,calcrrms_best_A,3dp,ROUNDING_MATCH
TableS2b,8BXH,top1,10.596,10.596,results/canonical/cognate_rmsd.csv,8BXH,calcrrms_top1_A,3dp,ROUNDING_MATCH
TableS2b,8BXH,best,0.807,0.807,results/canonical/cognate_rmsd.csv,8BXH,calcrrms_best_A,3dp,ROUNDING_MATCH
TableS2b,9V8H,top1,7.085,7.085,results/canonical/cognate_rmsd.csv,9V8H,calcrrms_top1_A,3dp,ROUNDING_MATCH
TableS2b,9V8H,best,1.636,1.636,results/canonical/cognate_rmsd.csv,9V8H,calcrrms_best_A,3dp,ROUNDING_MATCH
TableS2b,6LXA,top1,7.857,7.857,results/canonical/cognate_rmsd.csv,6LXA,calcrrms_top1_A,3dp,ROUNDING_MATCH
TableS2b,6LXA,best,1.401,1.401,results/canonical/cognate_rmsd.csv,6LXA,calcrrms_best_A,3dp,ROUNDING_MATCH
TableS2b,5U3Q,top1,1.510,1.51,results/canonical/cognate_rmsd.csv,5U3Q,calcrrms_top1_A,3dp,ROUNDING_MATCH
TableS2b,5U3Q,best,1.510,1.51,results/canonical/cognate_rmsd.csv,5U3Q,calcrrms_best_A,3dp,ROUNDING_MATCH
TableS4,EGFR/HER2,scaffold_ci,"[0.232, 0.637]","0.2316,0.6374",cluster_bootstrap_sensitivity.csv,EGFR scaffold,cluster bootstrap,3dp,ROUNDING_MATCH
TableS4,EGFR/HER2,document_ci,"[0.117, 0.636]","0.1172,0.6356",cluster_bootstrap_sensitivity.csv,EGFR document,cluster bootstrap,3dp,ROUNDING_MATCH
TableS3,ALL,source_exists,16,16,results/canonical/max_vs_median_sensitivity.csv,all,row count,n/a,SOURCE_EXISTS
TableS4,ALL,source_exists,16,16,results/canonical/fixed_score_negative_class_delta.csv,all,row count,n/a,SOURCE_EXISTS
TableS5,ALL,source_exists,16,16,results/canonical/ecfp4_incremental_information.csv,all,row count,n/a,SOURCE_EXISTS
TableS5b,ALL,source_exists,8,8,results/canonical/descriptor_baselines.csv,all,row count,n/a,SOURCE_EXISTS
TableS6,ALL,source_exists,8,8,results/canonical/matched_minus_mismatched.csv,all,row count,n/a,SOURCE_EXISTS
TableS7,ALL,source_exists,8,8,results/canonical/computational_robustness.csv,all,row count,n/a,SOURCE_EXISTS
TableS8,ALL,source_exists,8,8,results/canonical/external_eligibility.csv,all,row count,n/a,SOURCE_EXISTS
TableS10,ALL,source_exists,8,8,results/canonical/top10_operating_points.csv,all,row count,n/a,SOURCE_EXISTS
TableS10b,ALL,source_exists,8,8,results/canonical/and_filter_operating_points.csv,all,row count,n/a,SOURCE_EXISTS
TableS9,ALL,source,exists,,data/jcim_chembl_universe_v0/tables/pair_eligibility_audit_s14_v1.csv,eligibility,pair inclusion,n/a,SOURCE_EXISTS
