table,row,column,displayed_value,raw_value,source_file,source_row,calculation,rounding_rule,status
Table2,PPARA/PPARD,D_vs_A_hi,0.776,0.7764,primary_directional_auroc.csv / primary_summary_min.csv,PPARA/PPARD,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,PPARA/PPARD,D_vs_B,0.446,0.4463,primary_directional_auroc.csv / primary_summary_min.csv,PPARA/PPARD,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,PPARA/PPARD,D_vs_B_lo,0.301,0.3008,primary_directional_auroc.csv / primary_summary_min.csv,PPARA/PPARD,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,PPARA/PPARD,D_vs_B_hi,0.592,0.5918,primary_directional_auroc.csv / primary_summary_min.csv,PPARA/PPARD,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,PPARA/PPARD,summary_min,0.446,0.4463,primary_directional_auroc.csv / primary_summary_min.csv,PPARA/PPARD,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,PPARA/PPARD,smin_lo,0.301,0.3008,primary_directional_auroc.csv / primary_summary_min.csv,PPARA/PPARD,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,PPARA/PPARD,smin_hi,0.590,0.5898,primary_directional_auroc.csv / primary_summary_min.csv,PPARA/PPARD,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table3,EGFR/HER2,D_vs_neither,0.759,0.7589,two_pocket_mean_ranking.csv,EGFR/HER2,two-pocket mean vs neither only,3dp,ROUNDING_MATCH
Table3,EGFR/HER2,ci_lo,0.551,0.5505,two_pocket_mean_ranking.csv,EGFR/HER2,bootstrap,3dp,ROUNDING_MATCH
Table3,EGFR/HER2,ci_hi,0.926,0.9256,two_pocket_mean_ranking.csv,EGFR/HER2,bootstrap,3dp,ROUNDING_MATCH
Table3,EGFR/HER2,n_neither,12,12,class_counts.csv,EGFR/HER2,n_neither,verbatim,MATCH
Table3,EGFR/HER2,EF,0.351,0.3506,two_pocket_mean_ranking.csv,EGFR/HER2,EF=(top_dual/k)/(n_dual/n),3dp,ROUNDING_MATCH
Table3,JAK1/JAK2,D_vs_neither,0.730,0.7299,two_pocket_mean_ranking.csv,JAK1/JAK2,two-pocket mean vs neither only,3dp,ROUNDING_MATCH
Table3,JAK1/JAK2,ci_lo,0.558,0.5580,two_pocket_mean_ranking.csv,JAK1/JAK2,bootstrap,3dp,ROUNDING_MATCH
Table3,JAK1/JAK2,ci_hi,0.882,0.8818,two_pocket_mean_ranking.csv,JAK1/JAK2,bootstrap,3dp,ROUNDING_MATCH
Table3,JAK1/JAK2,n_neither,14,14,class_counts.csv,JAK1/JAK2,n_neither,verbatim,MATCH
Table3,JAK1/JAK2,EF,1.875,1.8750,two_pocket_mean_ranking.csv,JAK1/JAK2,EF=(top_dual/k)/(n_dual/n),3dp,ROUNDING_MATCH
Table3,JAK1/TYK2,D_vs_neither,0.770,0.7696,two_pocket_mean_ranking.csv,JAK1/TYK2,two-pocket mean vs neither only,3dp,ROUNDING_MATCH
Table3,JAK1/TYK2,ci_lo,0.613,0.6128,two_pocket_mean_ranking.csv,JAK1/TYK2,bootstrap,3dp,ROUNDING_MATCH
Table3,JAK1/TYK2,ci_hi,0.906,0.9055,two_pocket_mean_ranking.csv,JAK1/TYK2,bootstrap,3dp,ROUNDING_MATCH
Table3,JAK1/TYK2,n_neither,14,14,class_counts.csv,JAK1/TYK2,n_neither,verbatim,MATCH
Table3,JAK1/TYK2,EF,0.320,0.3196,two_pocket_mean_ranking.csv,JAK1/TYK2,EF=(top_dual/k)/(n_dual/n),3dp,ROUNDING_MATCH
Table3,PIK3CA/mTOR,D_vs_neither,0.514,0.5139,two_pocket_mean_ranking.csv,PIK3CA/mTOR,two-pocket mean vs neither only,3dp,ROUNDING_MATCH
Table3,PIK3CA/mTOR,ci_lo,0.222,0.2222,two_pocket_mean_ranking.csv,PIK3CA/mTOR,bootstrap,3dp,ROUNDING_MATCH
Table3,PIK3CA/mTOR,ci_hi,0.806,0.8056,two_pocket_mean_ranking.csv,PIK3CA/mTOR,bootstrap,3dp,ROUNDING_MATCH
Table3,PIK3CA/mTOR,n_neither,4,4,class_counts.csv,PIK3CA/mTOR,n_neither,verbatim,MATCH
Table3,PIK3CA/mTOR,EF,2.133,2.1333,two_pocket_mean_ranking.csv,PIK3CA/mTOR,EF=(top_dual/k)/(n_dual/n),3dp,ROUNDING_MATCH
Table3,AChE/BChE,D_vs_neither,0.659,0.6587,two_pocket_mean_ranking.csv,AChE/BChE,two-pocket mean vs neither only,3dp,ROUNDING_MATCH
Table3,AChE/BChE,ci_lo,0.484,0.4841,two_pocket_mean_ranking.csv,AChE/BChE,bootstrap,3dp,ROUNDING_MATCH
Table3,AChE/BChE,ci_hi,0.820,0.8202,two_pocket_mean_ranking.csv,AChE/BChE,bootstrap,3dp,ROUNDING_MATCH
Table3,AChE/BChE,n_neither,14,14,class_counts.csv,AChE/BChE,n_neither,verbatim,MATCH
Table3,AChE/BChE,EF,1.759,1.7593,two_pocket_mean_ranking.csv,AChE/BChE,EF=(top_dual/k)/(n_dual/n),3dp,ROUNDING_MATCH
Table3,F2/F10,D_vs_neither,0.519,0.5188,two_pocket_mean_ranking.csv,F2/F10,two-pocket mean vs neither only,3dp,ROUNDING_MATCH
Table3,F2/F10,ci_lo,0.341,0.3413,two_pocket_mean_ranking.csv,F2/F10,bootstrap,3dp,ROUNDING_MATCH
Table3,F2/F10,ci_hi,0.691,0.6909,two_pocket_mean_ranking.csv,F2/F10,bootstrap,3dp,ROUNDING_MATCH
Table3,F2/F10,n_neither,12,12,class_counts.csv,F2/F10,n_neither,verbatim,MATCH
Table3,F2/F10,EF,1.255,1.2551,two_pocket_mean_ranking.csv,F2/F10,EF=(top_dual/k)/(n_dual/n),3dp,ROUNDING_MATCH
Table3,PPARG/PPARA,D_vs_neither,0.685,0.6853,two_pocket_mean_ranking.csv,PPARG/PPARA,two-pocket mean vs neither only,3dp,ROUNDING_MATCH
Table3,PPARG/PPARA,ci_lo,0.498,0.4978,two_pocket_mean_ranking.csv,PPARG/PPARA,bootstrap,3dp,ROUNDING_MATCH
Table3,PPARG/PPARA,ci_hi,0.859,0.8594,two_pocket_mean_ranking.csv,PPARG/PPARA,bootstrap,3dp,ROUNDING_MATCH
Table3,PPARG/PPARA,n_neither,14,14,class_counts.csv,PPARG/PPARA,n_neither,verbatim,MATCH
Table3,PPARG/PPARA,EF,2.168,2.1676,two_pocket_mean_ranking.csv,PPARG/PPARA,EF=(top_dual/k)/(n_dual/n),3dp,ROUNDING_MATCH
Table3,PPARA/PPARD,D_vs_neither,0.565,0.5647,two_pocket_mean_ranking.csv,PPARA/PPARD,two-pocket mean vs neither only,3dp,ROUNDING_MATCH
Table3,PPARA/PPARD,ci_lo,0.373,0.3727,two_pocket_mean_ranking.csv,PPARA/PPARD,bootstrap,3dp,ROUNDING_MATCH
Table3,PPARA/PPARD,ci_hi,0.748,0.7478,two_pocket_mean_ranking.csv,PPARA/PPARD,bootstrap,3dp,ROUNDING_MATCH
Table3,PPARA/PPARD,n_neither,14,14,class_counts.csv,PPARA/PPARD,n_neither,verbatim,MATCH
Table3,PPARA/PPARD,EF,1.563,1.5625,two_pocket_mean_ranking.csv,PPARA/PPARD,EF=(top_dual/k)/(n_dual/n),3dp,ROUNDING_MATCH
TableS1,analysis_freeze,Python,3.12.3,3.12.3,requirements-analysis.txt / check_analysis_env.py,env,analysis pin,verbatim,MATCH
TableS1,analysis_freeze,RDKit,2026.03.5,2026.3.5,requirements-analysis.txt,rdkit==2026.3.5,pin,typeset 2026.03.5,ROUNDING_MATCH
TableS2a,3POZ,center_size_present,parsed,"{""center_x"": 18.816, ""size_x"": 20.931}",data/egfr_her2_panel120_v0/boxes/3POZ_box_corrected.json,3POZ,box JSON,3dp,SOURCE_EXISTS
