manuscript,table,pair,metric,canonical,typeset,status
EN,Table 2,AChE/BChE,D_vs_A,"0.652 [0.492, 0.806]","0.652 [0.492, 0.806]",MATCH
EN,Table 2,AChE/BChE,D_vs_B,"0.606 [0.443, 0.749]","0.606 [0.443, 0.749]",MATCH
EN,Table 2,AChE/BChE,summary_min,"0.606 [0.439, 0.735]","0.606 [0.439, 0.735]",MATCH
EN,Table 3,AChE/BChE,D_vs_neither,"0.659 [0.484, 0.820]","0.659 [0.484, 0.820]",MATCH
EN,Table 3,AChE/BChE,n_neither,14,14,MATCH
EN,Table 3,AChE/BChE,top10,5 / 3 / 1 / 1,5 / 3 / 1 / 1,MATCH
EN,Table 3,AChE/BChE,EF,1.759,1.759,MATCH
EN,Table 2,F2/F10,n_scored,31 / 32 / 32,31 / 32 / 32,MATCH
EN,Table 2,F2/F10,D_vs_A,"0.413 [0.271, 0.571]","0.413 [0.271, 0.571]",MATCH
EN,Table 2,F2/F10,D_vs_B,"0.345 [0.218, 0.491]","0.345 [0.218, 0.491]",MATCH
EN,Table 2,F2/F10,summary_min,"0.345 [0.216, 0.482]","0.345 [0.216, 0.482]",MATCH
EN,Table 3,F2/F10,D_vs_neither,"0.519 [0.341, 0.691]","0.519 [0.341, 0.691]",MATCH
EN,Table 3,F2/F10,n_neither,12,12,MATCH
EN,Table 3,F2/F10,top10,4 / 1 / 6 / 0,4 / 1 / 6 / 0,MATCH
EN,Table 3,F2/F10,EF,1.255,1.255,MATCH
EN,Table 2,PPARG/PPARA,n_scored,32 / 31 / 32,32 / 31 / 32,MATCH
EN,Table 2,PPARG/PPARA,D_vs_A,"0.649 [0.512, 0.781]","0.649 [0.512, 0.781]",MATCH
EN,Table 2,PPARG/PPARA,D_vs_B,"0.706 [0.573, 0.830]","0.706 [0.573, 0.830]",MATCH
EN,Table 2,PPARG/PPARA,summary_min,"0.649 [0.511, 0.746]","0.649 [0.511, 0.746]",MATCH
EN,Table 3,PPARG/PPARA,D_vs_neither,"0.685 [0.498, 0.859]","0.685 [0.498, 0.859]",MATCH
EN,Table 3,PPARG/PPARA,n_neither,14,14,MATCH
EN,Table 3,PPARG/PPARA,top10,7 / 3 / 0 / 1,7 / 3 / 0 / 1,MATCH
EN,Table 3,PPARG/PPARA,EF,2.168,2.168,MATCH
EN,Table 2,PPARA/PPARD,n_scored,32 / 32 / 32,32 / 32 / 32,MATCH
EN,Table 2,PPARA/PPARD,D_vs_A,"0.647 [0.509, 0.776]","0.647 [0.509, 0.776]",MATCH
EN,Table 2,PPARA/PPARD,D_vs_B,"0.446 [0.301, 0.592]","0.446 [0.301, 0.592]",MATCH
EN,Table 2,PPARA/PPARD,summary_min,"0.446 [0.301, 0.590]","0.446 [0.301, 0.590]",MATCH
EN,Table 3,PPARA/PPARD,D_vs_neither,"0.565 [0.373, 0.748]","0.565 [0.373, 0.748]",MATCH
EN,Table 3,PPARA/PPARD,n_neither,14,14,MATCH
EN,Table 3,PPARA/PPARD,top10,5 / 2 / 3 / 1,5 / 2 / 3 / 1,MATCH
EN,Table 3,PPARA/PPARD,EF,1.563,1.563,MATCH
ZH,Table 2,EGFR/HER2,n_scored,28 / 37 / 31,28 / 37 / 31,MATCH
ZH,Table 2,EGFR/HER2,D_vs_A,"0.663 [0.521, 0.792]","0.663 [0.521, 0.792]",MATCH
ZH,Table 2,EGFR/HER2,D_vs_B,"0.334 [0.197, 0.471]","0.334 [0.197, 0.471]",MATCH
ZH,Table 2,EGFR/HER2,summary_min,"0.334 [0.197, 0.471]","0.334 [0.197, 0.471]",MATCH
ZH,Table 3,EGFR/HER2,D_vs_neither,"0.759 [0.551, 0.926]","0.759 [0.551, 0.926]",MATCH
ZH,Table 3,EGFR/HER2,n_neither,12,12,MATCH
ZH,Table 3,EGFR/HER2,top10,1 / 4 / 6 / 0,1 / 4 / 6 / 0,MATCH
ZH,Table 3,EGFR/HER2,EF,0.351,0.351,MATCH
ZH,Table 2,JAK1/JAK2,n_scored,32 / 32 / 32,32 / 32 / 32,MATCH
ZH,Table 2,JAK1/JAK2,D_vs_A,"0.588 [0.448, 0.723]","0.588 [0.448, 0.723]",MATCH
ZH,Table 2,JAK1/JAK2,D_vs_B,"0.728 [0.602, 0.842]","0.728 [0.602, 0.842]",MATCH
ZH,Table 2,JAK1/JAK2,summary_min,"0.588 [0.448, 0.716]","0.588 [0.448, 0.716]",MATCH
ZH,Table 3,JAK1/JAK2,D_vs_neither,"0.730 [0.558, 0.882]","0.730 [0.558, 0.882]",MATCH
ZH,Table 3,JAK1/JAK2,n_neither,14,14,MATCH
ZH,Table 3,JAK1/JAK2,top10,6 / 5 / 0 / 0,6 / 5 / 0 / 0,MATCH
ZH,Table 3,JAK1/JAK2,EF,1.875,1.875,MATCH
ZH,Table 2,JAK1/TYK2,n_scored,31 / 32 / 32,31 / 32 / 32,MATCH
ZH,Table 2,JAK1/TYK2,D_vs_A,"0.575 [0.434, 0.717]","0.575 [0.434, 0.717]",MATCH
ZH,Table 2,JAK1/TYK2,D_vs_B,"0.365 [0.233, 0.508]","0.365 [0.233, 0.508]",MATCH
ZH,Table 2,JAK1/TYK2,summary_min,"0.365 [0.233, 0.505]","0.365 [0.233, 0.505]",MATCH
ZH,Table 3,JAK1/TYK2,D_vs_neither,"0.770 [0.613, 0.906]","0.770 [0.613, 0.906]",MATCH
ZH,Table 3,JAK1/TYK2,n_neither,14,14,MATCH
ZH,Table 3,JAK1/TYK2,top10,1 / 3 / 7 / 0,1 / 3 / 7 / 0,MATCH
ZH,Table 3,JAK1/TYK2,EF,0.320,0.320,MATCH
ZH,Table 2,PIK3CA/mTOR,n_scored,18 / 14 / 12,18 / 14 / 12,MATCH
ZH,Table 2,PIK3CA/mTOR,D_vs_A,"0.714 [0.528, 0.889]","0.714 [0.528, 0.889]",MATCH
ZH,Table 2,PIK3CA/mTOR,D_vs_B,"0.692 [0.491, 0.868]","0.692 [0.491, 0.868]",MATCH
ZH,Table 2,PIK3CA/mTOR,summary_min,"0.692 [0.480, 0.802]","0.692 [0.480, 0.802]",MATCH
ZH,Table 3,PIK3CA/mTOR,D_vs_neither,"0.514 [0.222, 0.806]","0.514 [0.222, 0.806]",MATCH
ZH,Table 3,PIK3CA/mTOR,n_neither,4,4,MATCH
ZH,Table 3,PIK3CA/mTOR,top10,4 / 1 / 0 / 0,4 / 1 / 0 / 0,MATCH
ZH,Table 3,PIK3CA/mTOR,EF,2.133,2.133,MATCH
ZH,Table 2,AChE/BChE,n_scored,27 / 26 / 28,27 / 26 / 28,MATCH
ZH,Table 2,AChE/BChE,D_vs_A,"0.652 [0.492, 0.806]","0.652 [0.492, 0.806]",MATCH
ZH,Table 2,AChE/BChE,D_vs_B,"0.606 [0.443, 0.749]","0.606 [0.443, 0.749]",MATCH
ZH,Table 2,AChE/BChE,summary_min,"0.606 [0.439, 0.735]","0.606 [0.439, 0.735]",MATCH
ZH,Table 3,AChE/BChE,D_vs_neither,"0.659 [0.484, 0.820]","0.659 [0.484, 0.820]",MATCH
ZH,Table 3,AChE/BChE,n_neither,14,14,MATCH
ZH,Table 3,AChE/BChE,top10,5 / 3 / 1 / 1,5 / 3 / 1 / 1,MATCH
ZH,Table 3,AChE/BChE,EF,1.759,1.759,MATCH
ZH,Table 2,F2/F10,n_scored,31 / 32 / 32,31 / 32 / 32,MATCH
ZH,Table 2,F2/F10,D_vs_A,"0.413 [0.271, 0.571]","0.413 [0.271, 0.571]",MATCH
ZH,Table 2,F2/F10,D_vs_B,"0.345 [0.218, 0.491]","0.345 [0.218, 0.491]",MATCH
ZH,Table 2,F2/F10,summary_min,"0.345 [0.216, 0.482]","0.345 [0.216, 0.482]",MATCH
ZH,Table 3,F2/F10,D_vs_neither,"0.519 [0.341, 0.691]","0.519 [0.341, 0.691]",MATCH
ZH,Table 3,F2/F10,n_neither,12,12,MATCH
ZH,Table 3,F2/F10,top10,4 / 1 / 6 / 0,4 / 1 / 6 / 0,MATCH
ZH,Table 3,F2/F10,EF,1.255,1.255,MATCH
ZH,Table 2,PPARG/PPARA,n_scored,32 / 31 / 32,32 / 31 / 32,MATCH
ZH,Table 2,PPARG/PPARA,D_vs_A,"0.649 [0.512, 0.781]","0.649 [0.512, 0.781]",MATCH
ZH,Table 2,PPARG/PPARA,D_vs_B,"0.706 [0.573, 0.830]","0.706 [0.573, 0.830]",MATCH
ZH,Table 2,PPARG/PPARA,summary_min,"0.649 [0.511, 0.746]","0.649 [0.511, 0.746]",MATCH
ZH,Table 3,PPARG/PPARA,D_vs_neither,"0.685 [0.498, 0.859]","0.685 [0.498, 0.859]",MATCH
ZH,Table 3,PPARG/PPARA,n_neither,14,14,MATCH
ZH,Table 3,PPARG/PPARA,top10,7 / 3 / 0 / 1,7 / 3 / 0 / 1,MATCH
ZH,Table 3,PPARG/PPARA,EF,2.168,2.168,MATCH
ZH,Table 2,PPARA/PPARD,n_scored,32 / 32 / 32,32 / 32 / 32,MATCH
ZH,Table 2,PPARA/PPARD,D_vs_A,"0.647 [0.509, 0.776]","0.647 [0.509, 0.776]",MATCH
ZH,Table 2,PPARA/PPARD,D_vs_B,"0.446 [0.301, 0.592]","0.446 [0.301, 0.592]",MATCH
ZH,Table 2,PPARA/PPARD,summary_min,"0.446 [0.301, 0.590]","0.446 [0.301, 0.590]",MATCH
ZH,Table 3,PPARA/PPARD,D_vs_neither,"0.565 [0.373, 0.748]","0.565 [0.373, 0.748]",MATCH
ZH,Table 3,PPARA/PPARD,n_neither,14,14,MATCH
ZH,Table 3,PPARA/PPARD,top10,5 / 2 / 3 / 1,5 / 2 / 3 / 1,MATCH
ZH,Table 3,PPARA/PPARD,EF,1.563,1.563,MATCH
