pair,metric,kind,independent,canonical,abs_delta,status
PIK3CA/mTOR,matched_minus_mismatched,point,0.0902777778,0.0903,0.0000222222,MATCH
PIK3CA/mTOR,mm_ci_lo,ci,-0.1147569444,-0.1148,0.0000430556,MATCH
PIK3CA/mTOR,mm_ci_hi,ci,0.2638888889,0.2639,0.0000111111,MATCH
PIK3CA/mTOR,fixed_delta_pocketA,point,-0.2199074074,-0.2199,0.0000074074,MATCH
PIK3CA/mTOR,fixed_delta_pocketA_ci_lo,ci,-0.5046296296,-0.5046,0.0000296296,MATCH
PIK3CA/mTOR,fixed_delta_pocketA_ci_hi,ci,0.0324074074,0.0324,0.0000074074,MATCH
PIK3CA/mTOR,fixed_delta_pocketB,point,-0.1309523810,-0.1310,0.0000476190,MATCH
PIK3CA/mTOR,n_dual,point,18.0000000000,18,0.0000000000,MATCH
PIK3CA/mTOR,n_A_only,point,14.0000000000,14,0.0000000000,MATCH
PIK3CA/mTOR,n_B_only,point,12.0000000000,12,0.0000000000,MATCH
AChE/BChE,AUROC_D_vs_A_pocketB,point,0.6524216524,0.6524,0.0000216524,MATCH
AChE/BChE,AUROC_D_vs_B_pocketA,point,0.6058201058,0.6058,0.0000201058,MATCH
AChE/BChE,AUROC_D_vs_A_ci_lo,ci,0.4914529915,0.4915,0.0000470085,MATCH
AChE/BChE,AUROC_D_vs_A_ci_hi,ci,0.8062678063,0.8063,0.0000321937,MATCH
AChE/BChE,AUROC_D_vs_B_ci_lo,ci,0.4431216931,0.4431,0.0000216931,MATCH
AChE/BChE,AUROC_D_vs_B_ci_hi,ci,0.7487103175,0.7487,0.0000103175,MATCH
AChE/BChE,summary_min,point,0.6058201058,0.6058,0.0000201058,MATCH
AChE/BChE,summary_min_ci_lo,ci,0.4391534392,0.4392,0.0000465608,MATCH
AChE/BChE,summary_min_ci_hi,ci,0.7354497354,0.7354,0.0000497354,MATCH
AChE/BChE,d_vs_neither_mean,point,0.6587301587,0.6587,0.0000301587,MATCH
AChE/BChE,ef_dual_10pct,point,1.7592592593,1.7593,0.0000407407,MATCH
AChE/BChE,top_k,point,10.0000000000,10,0.0000000000,MATCH
AChE/BChE,top_dual,point,5.0000000000,5,0.0000000000,MATCH
AChE/BChE,and_dual,point,14.0000000000,14,0.0000000000,MATCH
AChE/BChE,matched_minus_mismatched,point,0.1770451770,0.1770,0.0000451770,MATCH
AChE/BChE,mm_ci_lo,ci,0.0527904965,0.0528,0.0000095035,MATCH
