pair,n_intersection,n_dual,n_A_only,n_B_only,n_neither,n_primary_activity_eligible_complete_case,n_dropped_vs_primary,seed,summary_min,auroc_D_vs_A_pocketB,auroc_D_vs_B_pocketA,current_per_seed_summary_min,current_per_seed_n,delta,qualitative_change,source_kind,note
EGFR/HER2,108,28,37,31,12,108,0,20260727,0.3341,0.6631,0.3341,0.3341,108,0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
AChE/BChE,88,25,22,27,14,95,7,20260814,0.5527,0.5527,0.6119,0.5527,88,0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
F2/F10,107,31,32,32,12,107,0,20260727,0.3448,0.4133,0.3448,0.3448,107,-0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
F2/F10,107,31,32,32,12,107,0,20260811,0.3851,0.4158,0.3851,0.3851,107,-0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
F2/F10,107,31,32,32,12,107,0,20260812,0.37,0.4325,0.37,0.37,107,-0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
F2/F10,107,31,32,32,12,107,0,20260813,0.3629,0.4405,0.3629,0.3629,107,0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
F2/F10,107,31,32,32,12,107,0,20260814,0.3659,0.437,0.3659,0.3659,107,0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
PPARG/PPARA,109,32,31,32,14,109,0,20260727,0.6492,0.6492,0.7061,0.6492,109,-0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
PPARG/PPARA,109,32,31,32,14,109,0,20260811,0.6489,0.7188,0.6489,0.6489,109,0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
PPARG/PPARA,109,32,31,32,14,109,0,20260812,0.6514,0.6784,0.6514,0.6514,109,-0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
PPARG/PPARA,109,32,31,32,14,109,0,20260813,0.691,0.691,0.6948,0.691,109,0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
PPARG/PPARA,109,32,31,32,14,109,0,20260814,0.6729,0.6946,0.6729,0.6729,109,-0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
PPARA/PPARD,110,32,32,32,14,110,0,20260727,0.4463,0.6465,0.4463,0.4463,110,-0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
PPARA/PPARD,110,32,32,32,14,110,0,20260811,0.4536,0.624,0.4536,0.4536,110,0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
PPARA/PPARD,110,32,32,32,14,110,0,20260812,0.4629,0.625,0.4629,0.4629,110,-0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
PPARA/PPARD,110,32,32,32,14,110,0,20260813,0.4688,0.6377,0.4688,0.4688,110,-0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
PPARA/PPARD,110,32,32,32,14,110,0,20260814,0.4482,0.6182,0.4482,0.4482,110,0.0,no,qa_fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; current labels; no redock
