figure,panel,pair,metric,displayed_value,raw_value,source_file,source_row,matched_source_value,status
Figure S3,A,BChE 4BDS,top1_rmsd_A,4.794,4.794,results/canonical/cognate_rmsd.csv,4BDS,4.794,MATCH
Figure S3,A,BChE 4BDS,lowest_saved_rmsd_A,0.386,0.386,results/canonical/cognate_rmsd.csv,4BDS,0.386,MATCH
Figure S3,A,F2 4UDW,top1_rmsd_A,0.382,0.382,results/canonical/cognate_rmsd.csv,4UDW,0.382,MATCH
Figure S3,A,F2 4UDW,lowest_saved_rmsd_A,0.382,0.382,results/canonical/cognate_rmsd.csv,4UDW,0.382,MATCH
Figure S3,A,F10 2JKH,top1_rmsd_A,0.658,0.658,results/canonical/cognate_rmsd.csv,2JKH,0.658,MATCH
Figure S3,A,F10 2JKH,lowest_saved_rmsd_A,0.658,0.658,results/canonical/cognate_rmsd.csv,2JKH,0.658,MATCH
Figure S3,A,PPARG 9V8H,top1_rmsd_A,7.085,7.085,results/canonical/cognate_rmsd.csv,9V8H,7.085,MATCH
Figure S3,A,PPARG 9V8H,lowest_saved_rmsd_A,1.636,1.636,results/canonical/cognate_rmsd.csv,9V8H,1.636,MATCH
Figure S3,A,PPARA 6LXA,top1_rmsd_A,7.857,7.857,results/canonical/cognate_rmsd.csv,6LXA,7.857,MATCH
Figure S3,A,PPARA 6LXA,lowest_saved_rmsd_A,1.401,1.401,results/canonical/cognate_rmsd.csv,6LXA,1.401,MATCH
Figure S3,A,PPARD 5U3Q,top1_rmsd_A,1.510,1.51,results/canonical/cognate_rmsd.csv,5U3Q,1.51,MATCH
Figure S3,A,PPARD 5U3Q,lowest_saved_rmsd_A,1.510,1.51,results/canonical/cognate_rmsd.csv,5U3Q,1.51,MATCH
Figure 4,A,EGFR/HER2,matched_minus_mismatched_delta,0.107,0.1071,results/canonical/matched_mismatched_pocket.csv,EGFR/HER2,0.1071,MATCH
Figure 4,A,JAK1/JAK2,matched_minus_mismatched_delta,-0.019,-0.019,results/canonical/matched_mismatched_pocket.csv,JAK1/JAK2,-0.0190,MATCH
Figure 4,A,JAK1/TYK2,matched_minus_mismatched_delta,-0.065,-0.0645,results/canonical/matched_mismatched_pocket.csv,JAK1/TYK2,-0.0645,MATCH
Figure 4,A,PIK3CA/mTOR,matched_minus_mismatched_delta,0.090,0.0903,results/canonical/matched_mismatched_pocket.csv,PIK3CA/mTOR,0.0903,MATCH
Figure 4,A,AChE/BChE,matched_minus_mismatched_delta,0.177,0.177,results/canonical/matched_mismatched_pocket.csv,AChE/BChE,0.1770,MATCH
Figure 4,A,F2/F10,matched_minus_mismatched_delta,-0.031,-0.0307,results/canonical/matched_mismatched_pocket.csv,F2/F10,-0.0307,MATCH
Figure 4,A,PPARG/PPARA,matched_minus_mismatched_delta,0.030,0.0296,results/canonical/matched_mismatched_pocket.csv,PPARG/PPARA,0.0296,MATCH
Figure 4,A,PPARA/PPARD,matched_minus_mismatched_delta,0.012,0.0117,results/canonical/matched_mismatched_pocket.csv,PPARA/PPARD,0.0117,MATCH
Figure 4,B,EGFR/HER2,holdout_status,no unused-pool holdout,no_holdout,results/canonical/holdout_metrics.csv,EGFR/HER2,,SOURCE_EXISTS
Figure 4,B,JAK1/JAK2,holdout_matched_minus_mismatched_delta,0.008,0.0083,results/canonical/holdout_metrics.csv,JAK1/JAK2,0.0083,MATCH
Figure 4,B,JAK1/TYK2,holdout_matched_minus_mismatched_delta,0.025,0.025,results/canonical/holdout_metrics.csv,JAK1/TYK2,0.0250,MATCH
Figure 4,B,PIK3CA/mTOR,holdout_matched_minus_mismatched_delta,-0.022,-0.0225,results/canonical/holdout_metrics.csv,PIK3CA/mTOR,-0.0225,MATCH
Figure 4,B,AChE/BChE,holdout_matched_minus_mismatched_delta,0.025,0.025,results/canonical/holdout_metrics.csv,AChE/BChE,0.0250,MATCH
Figure 4,B,F2/F10,holdout_matched_minus_mismatched_delta,-0.079,-0.0789,results/canonical/holdout_metrics.csv,F2/F10,-0.0789,MATCH
Figure 4,B,PPARG/PPARA,holdout_matched_minus_mismatched_delta,0.006,0.0061,results/canonical/holdout_metrics.csv,PPARG/PPARA,0.0061,MATCH
Figure 4,B,PPARA/PPARD,holdout_matched_minus_mismatched_delta,0.150,0.15,results/canonical/holdout_metrics.csv,PPARA/PPARD,0.1500,MATCH
Figure 5,A,EGFR/HER2,vina_summary_min,0.334,0.3341,results/canonical/primary_summary_min.csv,EGFR/HER2,0.3341,MATCH
Figure 5,A,EGFR/HER2,gnina_summary_min,0.227,0.2269,results/canonical/computational_robustness.csv,EGFR/HER2,0.2269,MATCH
Figure 5,A,EGFR/HER2,vina_D_vs_neither,0.759,0.7589,results/canonical/two_pocket_mean_ranking.csv,EGFR/HER2,0.7589,MATCH
Figure 5,A,EGFR/HER2,gnina_D_vs_neither,0.705,0.705,results/canonical/computational_robustness.csv,EGFR/HER2,0.7050,MATCH
Figure 5,A,JAK1/TYK2,vina_summary_min,0.365,0.3649,results/canonical/primary_summary_min.csv,JAK1/TYK2,0.3649,MATCH
Figure 5,A,JAK1/TYK2,gnina_summary_min,0.317,0.3172,results/canonical/computational_robustness.csv,JAK1/TYK2,0.3172,MATCH
Figure 5,A,JAK1/TYK2,vina_D_vs_neither,0.770,0.7696,results/canonical/two_pocket_mean_ranking.csv,JAK1/TYK2,0.7696,MATCH
Figure 5,A,JAK1/TYK2,gnina_D_vs_neither,0.705,0.7048,results/canonical/computational_robustness.csv,JAK1/TYK2,0.7048,MATCH
Figure 5,A,PIK3CA/mTOR,vina_summary_min,0.692,0.6921,results/canonical/primary_summary_min.csv,PIK3CA/mTOR,0.6921,MATCH
Figure 5,A,PIK3CA/mTOR,gnina_summary_min,0.632,0.6325,results/canonical/computational_robustness.csv,PIK3CA/mTOR,0.6325,MATCH
Figure 5,A,PIK3CA/mTOR,vina_D_vs_neither,0.514,0.5139,results/canonical/two_pocket_mean_ranking.csv,PIK3CA/mTOR,0.5139,MATCH
Figure 5,A,PIK3CA/mTOR,gnina_D_vs_neither,0.569,0.5694,results/canonical/computational_robustness.csv,PIK3CA/mTOR,0.5694,MATCH
Figure 5,B,PIK3CA/mTOR,4L23 / 4JT6,0.692,0.6921,results/canonical/receptor_substitution.csv,4L23 / 4JT6,0.6921,MATCH
Figure 5,B,PIK3CA/mTOR,4JPS,0.486,0.4861,results/canonical/receptor_substitution.csv,4JPS,0.4861,MATCH
Figure 5,B,PIK3CA/mTOR,5DXT,0.505,0.5046,results/canonical/receptor_substitution.csv,5DXT,0.5046,MATCH
Figure 5,B,PIK3CA/mTOR,4JSX,0.639,0.6389,results/canonical/receptor_substitution.csv,4JSX,0.6389,MATCH
Figure 5,C,EGFR/HER2,five_seed_min,0.317,0.3168,results/canonical/five_seed_summary_min.csv,EGFR/HER2,0.3168,MATCH
Figure 5,C,EGFR/HER2,five_seed_max,0.349,0.3491,results/canonical/five_seed_summary_min.csv,EGFR/HER2,0.3491,MATCH
Figure 5,C,EGFR/HER2,five_seed_median,0.330,0.3295,results/canonical/five_seed_summary_min.csv,EGFR/HER2,0.3295,MATCH
Figure 5,C,EGFR/HER2,five_seed_primary,0.334,0.3341,results/canonical/primary_summary_min.csv,EGFR/HER2,0.3341,MATCH
Figure 5,C,EGFR/HER2,five_seed_comparable,1,1.0,results/canonical/five_seed_summary_min.csv,EGFR/HER2,1,MATCH
Figure 5,C,EGFR/HER2,five_seed_realization,current_or_compatible,current_or_compatible,results/canonical/five_seed_summary_min.csv,EGFR/HER2,,SOURCE_EXISTS
Figure 5,C,JAK1/JAK2,five_seed_min,0.574,0.5742,results/canonical/five_seed_summary_min.csv,JAK1/JAK2,0.5742,MATCH
Figure 5,C,JAK1/JAK2,five_seed_max,0.592,0.5918,results/canonical/five_seed_summary_min.csv,JAK1/JAK2,0.5918,MATCH
Figure 5,C,JAK1/JAK2,five_seed_median,0.588,0.5879,results/canonical/five_seed_summary_min.csv,JAK1/JAK2,0.5884,MATCH
Figure 5,C,JAK1/JAK2,five_seed_primary,0.588,0.5884,results/canonical/primary_summary_min.csv,JAK1/JAK2,0.5884,MATCH
Figure 5,C,JAK1/JAK2,five_seed_comparable,1,1.0,results/canonical/five_seed_summary_min.csv,JAK1/JAK2,1,MATCH
Figure 5,C,JAK1/JAK2,five_seed_realization,current_or_compatible,current_or_compatible,results/canonical/five_seed_summary_min.csv,JAK1/JAK2,,SOURCE_EXISTS
Figure 5,C,JAK1/TYK2,five_seed_min,0.365,0.3649,results/canonical/five_seed_summary_min.csv,JAK1/TYK2,0.3649,MATCH
Figure 5,C,JAK1/TYK2,five_seed_max,0.381,0.381,results/canonical/five_seed_summary_min.csv,JAK1/TYK2,0.3810,MATCH
Figure 5,C,JAK1/TYK2,five_seed_median,0.377,0.377,results/canonical/five_seed_summary_min.csv,JAK1/TYK2,0.3770,MATCH
Figure 5,C,JAK1/TYK2,five_seed_primary,0.365,0.3649,results/canonical/primary_summary_min.csv,JAK1/TYK2,0.3649,MATCH
Figure 5,C,JAK1/TYK2,five_seed_comparable,1,1.0,results/canonical/five_seed_summary_min.csv,JAK1/TYK2,1,MATCH
Figure 5,C,JAK1/TYK2,five_seed_realization,current_or_compatible,current_or_compatible,results/canonical/five_seed_summary_min.csv,JAK1/TYK2,,SOURCE_EXISTS
Figure 5,C,PIK3CA/mTOR,five_seed_min,0.676,0.6759,results/canonical/five_seed_summary_min.csv,PIK3CA/mTOR,0.6759,MATCH
Figure 5,C,PIK3CA/mTOR,five_seed_max,0.726,0.7262,results/canonical/five_seed_summary_min.csv,PIK3CA/mTOR,0.7262,MATCH
Figure 5,C,PIK3CA/mTOR,five_seed_median,0.704,0.7037,results/canonical/five_seed_summary_min.csv,PIK3CA/mTOR,0.7037,MATCH
Figure 5,C,PIK3CA/mTOR,five_seed_primary,0.692,0.6921,results/canonical/primary_summary_min.csv,PIK3CA/mTOR,0.6921,MATCH
Figure 5,C,PIK3CA/mTOR,five_seed_comparable,1,1.0,results/canonical/five_seed_summary_min.csv,PIK3CA/mTOR,1,MATCH
Figure 5,C,PIK3CA/mTOR,five_seed_realization,current_or_compatible,current_or_compatible,results/canonical/five_seed_summary_min.csv,PIK3CA/mTOR,,SOURCE_EXISTS
Figure 5,C,AChE/BChE,five_seed_min,0.553,0.5527,results/canonical/five_seed_summary_min.csv,AChE/BChE,0.5527,MATCH
Figure 5,C,AChE/BChE,five_seed_max,0.606,0.6058,results/canonical/five_seed_summary_min.csv,AChE/BChE,0.6058,MATCH
Figure 5,C,AChE/BChE,five_seed_median,0.599,0.5988,results/canonical/five_seed_summary_min.csv,AChE/BChE,0.5988,MATCH
Figure 5,C,AChE/BChE,five_seed_primary,0.606,0.6058,results/canonical/primary_summary_min.csv,AChE/BChE,0.6058,MATCH
Figure 5,C,AChE/BChE,five_seed_comparable,1,1.0,results/canonical/five_seed_summary_min.csv,AChE/BChE,1,FUZZY_COMPARABLE_FLAG
Figure 5,C,AChE/BChE,five_seed_realization,current_or_compatible,current_or_compatible,results/canonical/five_seed_summary_min.csv,AChE/BChE,,SOURCE_EXISTS
Figure 5,C,F2/F10,five_seed_min,0.345,0.3448,results/canonical/five_seed_summary_min.csv,F2/F10,0.3448,MATCH
Figure 5,C,F2/F10,five_seed_max,0.385,0.3851,results/canonical/five_seed_summary_min.csv,F2/F10,0.3851,MATCH
Figure 5,C,F2/F10,five_seed_median,0.366,0.3659,results/canonical/five_seed_summary_min.csv,F2/F10,0.3659,MATCH
Figure 5,C,F2/F10,five_seed_primary,0.345,0.3448,results/canonical/primary_summary_min.csv,F2/F10,0.3448,MATCH
Figure 5,C,F2/F10,five_seed_comparable,1,1.0,results/canonical/five_seed_summary_min.csv,F2/F10,1,MATCH
Figure 5,C,F2/F10,five_seed_realization,current_or_compatible,current_or_compatible,results/canonical/five_seed_summary_min.csv,F2/F10,,SOURCE_EXISTS
Figure 5,C,PPARG/PPARA,five_seed_min,0.649,0.6489,results/canonical/five_seed_summary_min.csv,PPARG/PPARA,0.6492,MATCH
Figure 5,C,PPARG/PPARA,five_seed_max,0.691,0.691,results/canonical/five_seed_summary_min.csv,PPARG/PPARA,0.6910,MATCH
Figure 5,C,PPARG/PPARA,five_seed_median,0.651,0.6514,results/canonical/five_seed_summary_min.csv,PPARG/PPARA,0.6514,MATCH
Figure 5,C,PPARG/PPARA,five_seed_primary,0.649,0.6492,results/canonical/primary_summary_min.csv,PPARG/PPARA,0.6492,MATCH
Figure 5,C,PPARG/PPARA,five_seed_comparable,1,1.0,results/canonical/five_seed_summary_min.csv,PPARG/PPARA,1,MATCH
Figure 5,C,PPARG/PPARA,five_seed_realization,current_or_compatible,current_or_compatible,results/canonical/five_seed_summary_min.csv,PPARG/PPARA,,SOURCE_EXISTS
Figure 5,C,PPARA/PPARD,five_seed_min,0.446,0.4463,results/canonical/five_seed_summary_min.csv,PPARA/PPARD,0.4463,MATCH
Figure 5,C,PPARA/PPARD,five_seed_max,0.469,0.4688,results/canonical/five_seed_summary_min.csv,PPARA/PPARD,0.4688,MATCH
Figure 5,C,PPARA/PPARD,five_seed_median,0.454,0.4536,results/canonical/five_seed_summary_min.csv,PPARA/PPARD,0.4536,MATCH
Figure 5,C,PPARA/PPARD,five_seed_primary,0.446,0.4463,results/canonical/primary_summary_min.csv,PPARA/PPARD,0.4463,MATCH
Figure 5,C,PPARA/PPARD,five_seed_comparable,1,1.0,results/canonical/five_seed_summary_min.csv,PPARA/PPARD,1,MATCH
Figure 5,C,PPARA/PPARD,five_seed_realization,current_or_compatible,current_or_compatible,results/canonical/five_seed_summary_min.csv,PPARA/PPARD,,SOURCE_EXISTS
Figure S2,A,PIK3CA/mTOR,PM48,0.692,0.6921,results/canonical/protocol_sensitivity.csv,PM48,0.6921,MATCH
Figure S2,A,PIK3CA/mTOR,PM110,0.648,0.6483,results/canonical/protocol_sensitivity.csv,PM110,0.6483,MATCH
Figure S2,B,PIK3CA/mTOR,E16,0.692,0.6921,results/canonical/protocol_sensitivity.csv,E16,0.6921,MATCH
Figure S2,B,PIK3CA/mTOR,E8,0.660,0.6597,results/canonical/protocol_sensitivity.csv,E8,0.6597,MATCH
Figure S4,A,EGFR/HER2,theta_5.5,0.379,0.3794,results/canonical/label_aggregation_sensitivity.csv,EGFR/HER2,0.3794,MATCH
Figure S4,A,EGFR/HER2,theta_6.0,0.334,0.3341,results/canonical/label_aggregation_sensitivity.csv,EGFR/HER2,0.3341,MATCH
Figure S4,A,EGFR/HER2,theta_6.5,0.363,0.3626,results/canonical/label_aggregation_sensitivity.csv,EGFR/HER2,0.3626,MATCH
Figure S4,A,EGFR/HER2,strict_6.5_5.5,0.203,0.2033,results/canonical/label_aggregation_sensitivity.csv,EGFR/HER2,0.2033,MATCH
Figure S4,A,JAK1/JAK2,theta_5.5,0.572,0.5716,results/canonical/label_aggregation_sensitivity.csv,JAK1/JAK2,0.5716,MATCH
Figure S4,A,JAK1/JAK2,theta_6.0,0.588,0.5884,results/canonical/label_aggregation_sensitivity.csv,JAK1/JAK2,0.5884,MATCH
Figure S4,A,JAK1/JAK2,theta_6.5,0.588,0.5884,results/canonical/label_aggregation_sensitivity.csv,JAK1/JAK2,0.5884,MATCH
Figure S4,A,JAK1/JAK2,strict_6.5_5.5,0.588,0.5884,results/canonical/label_aggregation_sensitivity.csv,JAK1/JAK2,0.5884,MATCH
Figure S4,A,JAK1/TYK2,theta_5.5,0.385,0.3845,results/canonical/label_aggregation_sensitivity.csv,JAK1/TYK2,0.3845,MATCH
Figure S4,A,JAK1/TYK2,theta_6.0,0.365,0.3649,results/canonical/label_aggregation_sensitivity.csv,JAK1/TYK2,0.3649,MATCH
Figure S4,A,JAK1/TYK2,theta_6.5,0.365,0.3649,results/canonical/label_aggregation_sensitivity.csv,JAK1/TYK2,0.3649,MATCH
Figure S4,A,JAK1/TYK2,strict_6.5_5.5,0.365,0.3649,results/canonical/label_aggregation_sensitivity.csv,JAK1/TYK2,0.3649,MATCH
Figure S4,A,PIK3CA/mTOR,theta_5.5,0.502,0.5017,results/canonical/label_aggregation_sensitivity.csv,PIK3CA/mTOR,0.5017,MATCH
Figure S4,A,PIK3CA/mTOR,theta_6.0,0.692,0.6921,results/canonical/label_aggregation_sensitivity.csv,PIK3CA/mTOR,0.6921,MATCH
Figure S4,A,PIK3CA/mTOR,theta_6.5,0.674,0.674,results/canonical/label_aggregation_sensitivity.csv,PIK3CA/mTOR,0.6740,MATCH
Figure S4,A,PIK3CA/mTOR,strict_6.5_5.5,0.639,0.6387,results/canonical/label_aggregation_sensitivity.csv,PIK3CA/mTOR,0.6387,MATCH
Figure S4,A,AChE/BChE,theta_5.5,0.606,0.6058,results/canonical/label_aggregation_sensitivity.csv,AChE/BChE,0.6058,MATCH
Figure S4,A,AChE/BChE,theta_6.0,0.606,0.6058,results/canonical/label_aggregation_sensitivity.csv,AChE/BChE,0.6058,MATCH
Figure S4,A,AChE/BChE,theta_6.5,0.606,0.6058,results/canonical/label_aggregation_sensitivity.csv,AChE/BChE,0.6058,MATCH
Figure S4,A,AChE/BChE,strict_6.5_5.5,0.606,0.6058,results/canonical/label_aggregation_sensitivity.csv,AChE/BChE,0.6058,MATCH
Figure S4,A,F2/F10,theta_5.5,0.353,0.3529,results/canonical/label_aggregation_sensitivity.csv,F2/F10,0.3529,MATCH
Figure S4,A,F2/F10,theta_6.0,0.345,0.3448,results/canonical/label_aggregation_sensitivity.csv,F2/F10,0.3448,MATCH
Figure S4,A,F2/F10,theta_6.5,0.345,0.3448,results/canonical/label_aggregation_sensitivity.csv,F2/F10,0.3448,MATCH
Figure S4,A,F2/F10,strict_6.5_5.5,0.345,0.3448,results/canonical/label_aggregation_sensitivity.csv,F2/F10,0.3448,MATCH
Figure S4,A,PPARG/PPARA,theta_5.5,0.644,0.6444,results/canonical/label_aggregation_sensitivity.csv,PPARG/PPARA,0.6444,MATCH
Figure S4,A,PPARG/PPARA,theta_6.0,0.649,0.6492,results/canonical/label_aggregation_sensitivity.csv,PPARG/PPARA,0.6492,MATCH
Figure S4,A,PPARG/PPARA,theta_6.5,0.649,0.6492,results/canonical/label_aggregation_sensitivity.csv,PPARG/PPARA,0.6492,MATCH
Figure S4,A,PPARG/PPARA,strict_6.5_5.5,0.649,0.6492,results/canonical/label_aggregation_sensitivity.csv,PPARG/PPARA,0.6492,MATCH
Figure S4,A,PPARA/PPARD,theta_5.5,0.454,0.4539,results/canonical/label_aggregation_sensitivity.csv,PPARA/PPARD,0.4539,MATCH
Figure S4,A,PPARA/PPARD,theta_6.0,0.446,0.4463,results/canonical/label_aggregation_sensitivity.csv,PPARA/PPARD,0.4463,MATCH
Figure S4,A,PPARA/PPARD,theta_6.5,0.446,0.4463,results/canonical/label_aggregation_sensitivity.csv,PPARA/PPARD,0.4463,MATCH
Figure S4,A,PPARA/PPARD,strict_6.5_5.5,0.446,0.4463,results/canonical/label_aggregation_sensitivity.csv,PPARA/PPARD,0.4463,MATCH
Figure S4,B,EGFR/HER2|ligand_stratified,cluster_delta,0.446,0.4457,results/canonical/cluster_bootstrap_sensitivity.csv,EGFR/HER2|ligand_stratified,0.4457,MATCH
Figure S4,B,EGFR/HER2|scaffold_cluster,cluster_delta,0.446,0.4457,results/canonical/cluster_bootstrap_sensitivity.csv,EGFR/HER2|scaffold_cluster,0.4457,MATCH
Figure S4,B,EGFR/HER2|document_cluster,cluster_delta,0.446,0.4457,results/canonical/cluster_bootstrap_sensitivity.csv,EGFR/HER2|document_cluster,0.4457,MATCH
Figure S4,B,JAK1/TYK2|ligand_stratified,cluster_delta,0.444,0.4438,results/canonical/cluster_bootstrap_sensitivity.csv,JAK1/TYK2|ligand_stratified,0.4438,MATCH
Figure S4,B,JAK1/TYK2|scaffold_cluster,cluster_delta,0.444,0.4438,results/canonical/cluster_bootstrap_sensitivity.csv,JAK1/TYK2|scaffold_cluster,0.4438,MATCH
Figure S5,A,EGFR/HER2,n_dual,180,180.0,results/canonical/external_eligibility.csv,EGFR/HER2,180,MATCH
Figure S5,B,EGFR/HER2,n_sources_dual,16,16.0,results/canonical/external_eligibility.csv,EGFR/HER2,16,MATCH
Figure S5,A,JAK1/JAK2,n_dual,928,928.0,results/canonical/external_eligibility.csv,JAK1/JAK2,928,MATCH
Figure S5,B,JAK1/JAK2,n_sources_dual,28,28.0,results/canonical/external_eligibility.csv,JAK1/JAK2,28,MATCH
Figure S5,A,JAK1/TYK2,n_dual,323,323.0,results/canonical/external_eligibility.csv,JAK1/TYK2,323,MATCH
Figure S5,B,JAK1/TYK2,n_sources_dual,20,20.0,results/canonical/external_eligibility.csv,JAK1/TYK2,20,MATCH
Figure S5,A,PIK3CA/mTOR,n_dual,91,91.0,results/canonical/external_eligibility.csv,PIK3CA/mTOR,91,MATCH
Figure S5,B,PIK3CA/mTOR,n_sources_dual,9,9.0,results/canonical/external_eligibility.csv,PIK3CA/mTOR,9,MATCH
Figure S5,A,AChE/BChE,n_dual,4,4.0,results/canonical/external_eligibility.csv,AChE/BChE,4,MATCH
Figure S5,B,AChE/BChE,n_sources_dual,2,2.0,results/canonical/external_eligibility.csv,AChE/BChE,2,MATCH
Figure S5,A,F2/F10,n_dual,46,46.0,results/canonical/external_eligibility.csv,F2/F10,46,MATCH
Figure S5,B,F2/F10,n_sources_dual,4,4.0,results/canonical/external_eligibility.csv,F2/F10,4,MATCH
Figure S5,A,PPARG/PPARA,n_dual,0,0.0,results/canonical/external_eligibility.csv,PPARG/PPARA,0,MATCH
Figure S5,B,PPARG/PPARA,n_sources_dual,0,0.0,results/canonical/external_eligibility.csv,PPARG/PPARA,0,MATCH
Figure S5,A,PPARA/PPARD,n_dual,0,0.0,results/canonical/external_eligibility.csv,PPARA/PPARD,0,MATCH
Figure S5,B,PPARA/PPARD,n_sources_dual,0,0.0,results/canonical/external_eligibility.csv,PPARA/PPARD,0,MATCH
