figure,panel,pair,metric,displayed_value,raw_value,source_file,source_row,matched_source_value,status
Figure 2,D,PPARA/PPARD,top_dual,5,5.0,results/canonical/top10_operating_points.csv,PPARA/PPARD,5,MATCH
Figure 2,D,PPARA/PPARD,top_A_only,2,2.0,results/canonical/top10_operating_points.csv,PPARA/PPARD,2,MATCH
Figure 2,D,PPARA/PPARD,top_B_only,3,3.0,results/canonical/top10_operating_points.csv,PPARA/PPARD,3,MATCH
Figure 2,D,PPARA/PPARD,top_neither,1,1.0,results/canonical/top10_operating_points.csv,PPARA/PPARD,1,MATCH
Figure 2,D,PPARA/PPARD,top_k,11,11.0,results/canonical/top10_operating_points.csv,PPARA/PPARD,11,MATCH
Figure 3,A,EGFR/HER2,vina_D_vs_A,0.663,0.6631,results/canonical/ecfp4_incremental_information.csv,EGFR/HER2,0.6631,MATCH
Figure 3,A,EGFR/HER2,vina_D_vs_B,0.334,0.3341,results/canonical/ecfp4_incremental_information.csv,EGFR/HER2,0.3341,MATCH
Figure 3,A,EGFR/HER2,ECFP4_D_vs_A,0.822,0.8224,results/canonical/ecfp4_incremental_information.csv,EGFR/HER2,0.8224,MATCH
Figure 3,A,EGFR/HER2,ECFP4_D_vs_B,0.879,0.879,results/canonical/ecfp4_incremental_information.csv,EGFR/HER2,0.8790,MATCH
Figure 3,A,JAK1/JAK2,vina_D_vs_A,0.588,0.5884,results/canonical/ecfp4_incremental_information.csv,JAK1/JAK2,0.5884,MATCH
Figure 3,A,JAK1/JAK2,vina_D_vs_B,0.728,0.7275,results/canonical/ecfp4_incremental_information.csv,JAK1/JAK2,0.7275,MATCH
Figure 3,A,JAK1/JAK2,ECFP4_D_vs_A,0.915,0.9146,results/canonical/ecfp4_incremental_information.csv,JAK1/JAK2,0.9146,MATCH
Figure 3,A,JAK1/JAK2,ECFP4_D_vs_B,0.968,0.9678,results/canonical/ecfp4_incremental_information.csv,JAK1/JAK2,0.9678,MATCH
Figure 3,A,JAK1/TYK2,vina_D_vs_A,0.575,0.5751,results/canonical/ecfp4_incremental_information.csv,JAK1/TYK2,0.5751,MATCH
Figure 3,A,JAK1/TYK2,vina_D_vs_B,0.365,0.3649,results/canonical/ecfp4_incremental_information.csv,JAK1/TYK2,0.3649,MATCH
Figure 3,A,JAK1/TYK2,ECFP4_D_vs_A,0.846,0.8458,results/canonical/ecfp4_incremental_information.csv,JAK1/TYK2,0.8458,MATCH
Figure 3,A,JAK1/TYK2,ECFP4_D_vs_B,0.902,0.9022,results/canonical/ecfp4_incremental_information.csv,JAK1/TYK2,0.9022,MATCH
Figure 3,A,PIK3CA/mTOR,vina_D_vs_A,0.714,0.7143,results/canonical/ecfp4_incremental_information.csv,PIK3CA/mTOR,0.7143,MATCH
Figure 3,A,PIK3CA/mTOR,vina_D_vs_B,0.692,0.6921,results/canonical/ecfp4_incremental_information.csv,PIK3CA/mTOR,0.6921,MATCH
Figure 3,A,PIK3CA/mTOR,ECFP4_D_vs_A,0.762,0.7619,results/canonical/ecfp4_incremental_information.csv,PIK3CA/mTOR,0.7619,MATCH
Figure 3,A,PIK3CA/mTOR,ECFP4_D_vs_B,0.889,0.8889,results/canonical/ecfp4_incremental_information.csv,PIK3CA/mTOR,0.8889,MATCH
Figure 3,A,AChE/BChE,vina_D_vs_A,0.652,0.6524,results/canonical/ecfp4_incremental_information.csv,AChE/BChE,0.6524,MATCH
Figure 3,A,AChE/BChE,vina_D_vs_B,0.606,0.6058,results/canonical/ecfp4_incremental_information.csv,AChE/BChE,0.6058,MATCH
Figure 3,A,AChE/BChE,ECFP4_D_vs_A,0.895,0.8946,results/canonical/ecfp4_incremental_information.csv,AChE/BChE,0.8946,MATCH
Figure 3,A,AChE/BChE,ECFP4_D_vs_B,0.821,0.8214,results/canonical/ecfp4_incremental_information.csv,AChE/BChE,0.8214,MATCH
Figure 3,A,F2/F10,vina_D_vs_A,0.413,0.4133,results/canonical/ecfp4_incremental_information.csv,F2/F10,0.4133,MATCH
Figure 3,A,F2/F10,vina_D_vs_B,0.345,0.3448,results/canonical/ecfp4_incremental_information.csv,F2/F10,0.3448,MATCH
Figure 3,A,F2/F10,ECFP4_D_vs_A,0.943,0.9425,results/canonical/ecfp4_incremental_information.csv,F2/F10,0.9425,MATCH
Figure 3,A,F2/F10,ECFP4_D_vs_B,0.693,0.6925,results/canonical/ecfp4_incremental_information.csv,F2/F10,0.6925,MATCH
Figure 3,A,PPARG/PPARA,vina_D_vs_A,0.649,0.6492,results/canonical/ecfp4_incremental_information.csv,PPARG/PPARA,0.6492,MATCH
Figure 3,A,PPARG/PPARA,vina_D_vs_B,0.706,0.7061,results/canonical/ecfp4_incremental_information.csv,PPARG/PPARA,0.7061,MATCH
Figure 3,A,PPARG/PPARA,ECFP4_D_vs_A,0.833,0.8327,results/canonical/ecfp4_incremental_information.csv,PPARG/PPARA,0.8327,MATCH
Figure 3,A,PPARG/PPARA,ECFP4_D_vs_B,0.668,0.668,results/canonical/ecfp4_incremental_information.csv,PPARG/PPARA,0.6680,MATCH
Figure 3,A,PPARA/PPARD,vina_D_vs_A,0.646,0.6465,results/canonical/ecfp4_incremental_information.csv,PPARA/PPARD,0.6465,MATCH
Figure 3,A,PPARA/PPARD,vina_D_vs_B,0.446,0.4463,results/canonical/ecfp4_incremental_information.csv,PPARA/PPARD,0.4463,MATCH
Figure 3,A,PPARA/PPARD,ECFP4_D_vs_A,0.932,0.9316,results/canonical/ecfp4_incremental_information.csv,PPARA/PPARD,0.9316,MATCH
Figure 3,A,PPARA/PPARD,ECFP4_D_vs_B,0.858,0.8584,results/canonical/ecfp4_incremental_information.csv,PPARA/PPARD,0.8584,MATCH
Figure 3,B,EGFR/HER2,delta_D_vs_A,-0.016,-0.01550000000000007,results/canonical/ecfp4_incremental_information.csv,EGFR/HER2,-0.0154,MATCH
Figure 3,B,EGFR/HER2,delta_D_vs_B,-0.009,-0.009199999999999986,results/canonical/ecfp4_incremental_information.csv,EGFR/HER2,-0.0092,MATCH
Figure 3,B,JAK1/JAK2,delta_D_vs_A,0.001,0.0014000000000000679,results/canonical/ecfp4_incremental_information.csv,JAK1/JAK2,0.0015,MATCH
Figure 3,B,JAK1/JAK2,delta_D_vs_B,0.001,0.0010000000000000009,results/canonical/ecfp4_incremental_information.csv,JAK1/JAK2,0.0015,MATCH
Figure 3,B,JAK1/TYK2,delta_D_vs_A,-0.006,-0.006099999999999994,results/canonical/ecfp4_incremental_information.csv,JAK1/TYK2,-0.0060,MATCH
Figure 3,B,JAK1/TYK2,delta_D_vs_B,0.001,0.0010000000000000009,results/canonical/ecfp4_incremental_information.csv,JAK1/TYK2,0.0010,MATCH
Figure 3,B,PIK3CA/mTOR,delta_D_vs_A,-0.020,-0.01980000000000004,results/canonical/ecfp4_incremental_information.csv,PIK3CA/mTOR,-0.0198,MATCH
Figure 3,B,PIK3CA/mTOR,delta_D_vs_B,0.009,0.009199999999999986,results/canonical/ecfp4_incremental_information.csv,PIK3CA/mTOR,0.0093,MATCH
Figure 3,B,AChE/BChE,delta_D_vs_A,-0.004,-0.0042999999999999705,results/canonical/ecfp4_incremental_information.csv,AChE/BChE,-0.0043,MATCH
Figure 3,B,AChE/BChE,delta_D_vs_B,-0.013,-0.01319999999999999,results/canonical/ecfp4_incremental_information.csv,AChE/BChE,-0.0132,MATCH
Figure 3,B,F2/F10,delta_D_vs_A,-0.006,-0.006000000000000005,results/canonical/ecfp4_incremental_information.csv,F2/F10,-0.0060,MATCH
Figure 3,B,F2/F10,delta_D_vs_B,0.014,0.01419999999999999,results/canonical/ecfp4_incremental_information.csv,F2/F10,0.0141,MATCH
Figure 3,B,PPARG/PPARA,delta_D_vs_A,-0.020,-0.020199999999999996,results/canonical/ecfp4_incremental_information.csv,PPARG/PPARA,-0.0202,MATCH
Figure 3,B,PPARG/PPARA,delta_D_vs_B,0.008,0.007799999999999918,results/canonical/ecfp4_incremental_information.csv,PPARG/PPARA,0.0078,MATCH
Figure 3,B,PPARA/PPARD,delta_D_vs_A,-0.004,-0.0039000000000000146,results/canonical/ecfp4_incremental_information.csv,PPARA/PPARD,-0.0039,MATCH
Figure 3,B,PPARA/PPARD,delta_D_vs_B,-0.023,-0.023400000000000087,results/canonical/ecfp4_incremental_information.csv,PPARA/PPARD,-0.0234,MATCH
Figure 3,B,all,fig3B_max_abs,0.023,0.0234,results/canonical/ecfp4_incremental_information.csv,max_|delta|,,VALUE_NOT_IN_SOURCE_ROWS
Figure S1,A,EGFR/HER2,vina_summary_min,0.334,0.3341,results/canonical/primary_summary_min.csv,EGFR/HER2,0.3341,MATCH
Figure S1,A,EGFR/HER2,best_descriptor_auroc,0.473,0.4735,results/canonical/descriptor_baselines.csv,EGFR/HER2,0.4735,MATCH
Figure S1,A,EGFR/HER2,best_descriptor_name,clogp,clogp,results/canonical/descriptor_baselines.csv,EGFR/HER2,,SOURCE_EXISTS
Figure S1,A,JAK1/JAK2,vina_summary_min,0.588,0.5884,results/canonical/primary_summary_min.csv,JAK1/JAK2,0.5884,MATCH
Figure S1,A,JAK1/JAK2,best_descriptor_auroc,0.578,0.5781,results/canonical/descriptor_baselines.csv,JAK1/JAK2,0.5781,MATCH
Figure S1,A,JAK1/JAK2,best_descriptor_name,heavy,heavy,results/canonical/descriptor_baselines.csv,JAK1/JAK2,,SOURCE_EXISTS
Figure S1,A,JAK1/TYK2,vina_summary_min,0.365,0.3649,results/canonical/primary_summary_min.csv,JAK1/TYK2,0.3649,MATCH
Figure S1,A,JAK1/TYK2,best_descriptor_auroc,0.580,0.5796,results/canonical/descriptor_baselines.csv,JAK1/TYK2,0.5796,MATCH
