ligand,gnina_cnn_ACHE,gnina_aff_ACHE,gnina_cnn_BCHE,gnina_aff_BCHE
AB_036,0.885890305,8.1815776825,0.2514616549,6.6895804405
AB_037,0.9456763268,8.0426588058,0.5652503371,6.7418274879
AB_038,0.6715359092,7.3611869812,0.5017852783,7.6078300476
AB_039,0.8603585958,8.3581390381,0.3890556693,7.0221047401
AB_040,0.7456495762,8.5690422058,0.8288155198,9.4482603073
AB_041,0.4219985008,4.954852581,0.4698137939,5.0610694885
AB_042,0.9793003798,7.7615590096,0.9146586061,7.4429049492
AB_043,0.9630286098,7.5927567482,0.8550997972,6.8769106865
AB_044,0.8765050769,7.9274401665,0.3932666779,7.2956604958
AB_045,0.8201031685,6.3351349831,0.7414323688,5.9061965942
AB_046,0.7456495762,8.5690422058,0.8288155198,9.4482603073
AB_047,0.9188794494,7.191388607,0.7620843649,7.3599762917
AB_048,0.9861375093,8.0835647583,0.5989602208,6.7012844086
AB_049,0.9136508703,6.1835494041,0.8417972326,6.2113499641
AB_050,0.9097481966,6.9462676048,0.8300344348,6.7203812599
AB_051,0.8444980979,7.1436362267,0.9622052908,7.5248112679
AB_052,0.6022185087,5.7203660011,0.7727288604,6.0880432129
AB_055,0.5356075764,8.4003171921,0.6234169006,7.5810761452
AB_057,0.5644788742,8.772772789,0.8846023083,9.2262067795
AB_058,0.6774274707,7.5544228554,0.9257390499,7.8643193245
AB_059,0.5367994308,7.156888485,0.8001964688,6.79845047
AB_060,0.8094274402,7.3067908287,0.7933987379,7.8410925865
AB_061,0.8560371399,7.3995194435,0.8478841186,6.6690106392
AB_062,0.9481667876,7.8833236694,0.7803076506,7.3907322884
AB_063,0.2295175195,6.7437839508,0.843942225,8.0791435242
AB_064,0.4179338813,7.4512629509,0.8043745756,8.114566803
AB_065,0.9637342095,7.3907589912,0.7750782967,7.2053928375
AB_066,0.7830468416,7.4721188545,0.775865376,7.6237959862
AB_067,0.636364758,7.239118576,0.7650936246,6.7821478844
AB_068,0.7392480373,8.4384202957,0.5245730281,7.690580368
AB_069,0.8645316958,7.7236304283,0.337895751,6.1194796562
AB_070,0.6371452808,7.8519377708,0.83056283,7.7082614899
AB_071,0.5993587375,8.4108858109,0.7458334565,8.6953697205
AB_072,0.9131671786,7.4858498573,0.8407259583,7.2558732033
AB_073,0.5356508493,7.7293696404,0.3681222796,7.8163247108
AB_074,0.7496581078,7.5509796143,0.8154004812,7.2702865601
AB_075,0.7590461373,7.3373599052,0.8378036618,7.4988217354
AB_076,0.5095560551,6.797542572,0.9614453912,7.7350883484
AB_077,0.7612709403,5.5953125954,0.9063485265,7.0256524086
AB_078,0.8480911255,7.7087845802,0.7947852015,6.8899025917
AB_079,0.8223510385,7.5050530434,0.9475986958,7.4062428474
AB_080,0.8967576027,6.87915802,0.7217960954,6.9334263802
AB_081,0.8240119815,7.0972771645,0.788880825,6.4649028778
AB_082,0.3491981626,6.9433531761,0.8099263906,7.8297057152
AB_083,0.45830217,8.180475235,0.8023096919,8.2911491394
AB_084,0.8342906833,7.9891943932,0.9259677529,8.0539770126
AB_085,0.9552944899,7.0811114311,0.5736519098,6.4236454964
AB_086,0.560288012,6.951315403,0.9146414399,6.8894996643
AB_087,0.4556751251,7.3107266426,0.6631587148,7.3594398499
AB_088,0.878326118,6.8797669411,0.8814715147,7.1532530785
AB_089,0.895562768,7.1638274193,0.6153765321,6.3428382874
AB_090,0.9126163721,7.3183302879,0.7855428457,5.9454631805
AB_091,0.9248077869,7.2972598076,0.7266443968,6.7895188332
AB_092,0.7661317587,7.1875967979,0.5368795395,6.8518881798
AB_093,0.8230360746,7.9981093407,0.9390357733,8.4922018051
AB_094,0.9094572067,7.2568993568,0.5866966248,6.6310830116
AB_095,0.8768092394,7.8000354767,0.913546443,7.8710770607
AB_096,0.9532760382,6.7380127907,0.4902535677,5.9774374962
AB_097,0.6959917545,8.7353410721,,
AB_098,0.8944346905,7.80402565,0.9581342936,7.9262962341
AB_099,0.9162080288,7.4735989571,0.6737713814,7.3792853355
AB_100,0.7749927044,6.2767314911,0.9131080508,6.5188846588
