target,ligand,mode,status,cnn_score,cnn_affinity,reason
BCHE,AB_059,mode_01,success,0.3906018436,6.3265032768,
BCHE,AB_058,mode_01,success,0.9257390499,7.8643193245,
BCHE,AB_060,mode_01,success,0.5323994756,7.339577198,
BCHE,AB_061,mode_01,success,0.2860274911,6.0706176758,
BCHE,AB_062,mode_01,success,0.7803076506,7.3907322884,
BCHE,AB_063,mode_01,success,0.7862713933,8.0441732407,
BCHE,AB_064,mode_01,success,0.4199776053,7.3042235374,
BCHE,AB_065,mode_01,success,0.7562860847,6.9351258278,
BCHE,AB_066,mode_01,success,0.5339348316,6.8043994904,
BCHE,AB_068,mode_01,success,0.2016477436,7.011575222,
BCHE,AB_067,mode_01,success,0.386777699,6.5158596039,
BCHE,AB_069,mode_01,success,0.337895751,6.1194796562,
BCHE,AB_070,mode_01,success,0.83056283,7.7082614899,
BCHE,AB_071,mode_01,success,0.5489432216,8.6728773117,
BCHE,AB_072,mode_01,success,0.8026993871,7.4501328468,
BCHE,AB_073,mode_01,success,0.150875926,6.677526474,
BCHE,AB_074,mode_01,success,0.5708762407,6.8400273323,
BCHE,AB_075,mode_01,success,0.7473695278,7.6875290871,
BCHE,AB_076,mode_01,success,0.9614453912,7.7350883484,
BCHE,AB_079,mode_01,success,0.8826978803,7.5918059349,
BCHE,AB_077,mode_01,success,0.9063485265,7.0256524086,
BCHE,AB_078,mode_01,success,0.3593133986,6.4099116325,
BCHE,AB_080,mode_01,success,0.2569650114,5.9051804543,
BCHE,AB_081,mode_01,success,0.1536718309,5.6711006165,
BCHE,AB_086,mode_01,success,0.8932881951,7.4742240906,
BCHE,AB_087,mode_01,success,0.6631587148,7.3594398499,
BCHE,AB_085,mode_01,success,0.44554317,5.6679129601,
BCHE,AB_082,mode_01,success,0.4100971818,6.8582339287,
BCHE,AB_083,mode_01,success,0.7608259916,8.2286310196,
BCHE,AB_084,mode_01,success,0.4896364808,7.4592494965,
BCHE,AB_090,mode_01,success,0.2968050838,5.3165149689,
BCHE,AB_089,mode_01,success,0.4004456103,5.8476867676,
BCHE,AB_092,mode_01,success,0.5368795395,6.8518881798,
BCHE,AB_088,mode_01,success,0.6701146364,6.299554348,
BCHE,AB_091,mode_01,success,0.3524918258,6.4082183838,
BCHE,AB_093,mode_01,success,0.809587121,7.4855880737,
BCHE,AB_098,mode_01,success,0.3098984361,6.5468673706,
BCHE,AB_099,mode_01,success,0.4121704698,6.6476249695,
BCHE,AB_095,mode_01,success,0.7125023007,7.3470606804,
BCHE,AB_096,mode_01,success,0.3162164092,5.2961902618,
BCHE,AB_094,mode_01,success,0.4983891547,6.1932258606,
BCHE,AB_100,mode_01,success,0.3335396349,5.2756199837,
