smiles_raw,glide_score_xp,pose_status,compound_name,dock_title,source_file,canonical_smiles,inchikey_block1
O=C([O-])CCCCN(c1cccc(F)c1)c1ccnc2ccc(C(F)(F)F)cc12,-11.6289,Done,A356,A356,9DKB_glide-dock_XP_8000_343e.csv,O=C([O-])CCCCN(c1cccc(F)c1)c1ccnc2ccc(C(F)(F)F)cc12,KYIUVAJCYUJMKR
O=C([O-])CCc1nnc(Br)n1Cc1ccc(Br)c2ccccc12,-11.5833,Done,A332,A332,9DKB_glide-dock_XP_8000_343e.csv,O=C([O-])CCc1nnc(Br)n1Cc1ccc(Br)c2ccccc12,JKFAUPNJBHTUGN
O=C(CCCn1c(SCc2ccccc2)nc2ccsc2c1=O)NCCc1ccccc1,-11.5588,Done,D6921,D6921,9DKB_glide-dock_XP_8000_343e.csv,O=C(CCCn1c(SCc2ccccc2)nc2ccsc2c1=O)NCCc1ccccc1,HXOCFYMRVIOQNV
Nc1c(N(CCC2=CCCCC2)C(=O)c2cccs2)c(=O)[nH]c(=O)n1Cc1ccccc1,-11.5576,Done,D406,D406,9DKB_glide-dock_XP_8000_343e.csv,Nc1c(N(CCC2=CCCCC2)C(=O)c2cccs2)c(=O)[nH]c(=O)n1Cc1ccccc1,GAYXQDXGUAYWHX
N#Cc1cc(-c2ccc(C(=O)[O-])c(O)c2)c2cc(F)sc2c1,-11.5419,Done,A697,A697,9DKB_glide-dock_XP_8000_343e.csv,N#Cc1cc(-c2ccc(C(=O)[O-])c(O)c2)c2cc(F)sc2c1,GXNCWPNUDXOUHB
N#Cc1cc(-c2ccc(C(=O)[O-])c(O)c2)c2cc(Cl)oc2c1,-11.5076,Done,A642,A642,9DKB_glide-dock_XP_8000_343e.csv,N#Cc1cc(-c2ccc(C(=O)[O-])c(O)c2)c2cc(Cl)oc2c1,POGUKUVJIHQIRT
N#Cc1cc(-c2ccc(C(=O)[O-])c(O)c2)c2cc(F)oc2c1,-11.4855,Done,A657,A657,9DKB_glide-dock_XP_8000_343e.csv,N#Cc1cc(-c2ccc(C(=O)[O-])c(O)c2)c2cc(F)oc2c1,LHNJIXAIACSTMS
CCc1cc2c(C(=O)c3cc(Br)c([O-])c(Br)c3)cc(Br)c([O-])c2o1,-11.4845,Done,A612,A612,9DKB_glide-dock_XP_8000_343e.csv,CCc1cc2c(C(=O)c3cc(Br)c([O-])c(Br)c3)cc(Br)c([O-])c2o1,FIFWKTSDYCQKQO
Cc1cc2c(-c3ccc(C(=O)[O-])c(O)c3)cc(C#N)cc2o1,-11.4607,Done,A731,A731,9DKB_glide-dock_XP_8000_343e.csv,Cc1cc2c(-c3ccc(C(=O)[O-])c(O)c3)cc(C#N)cc2o1,GSNLWIANZZQXNX
CCc1ccc(Nc2cncc(-c3ccc(C(=O)[O-])c(O)c3)c2)cc1,-11.4581,Done,A569,A569,9DKB_glide-dock_XP_8000_343e.csv,CCc1ccc(Nc2cncc(-c3ccc(C(=O)[O-])c(O)c3)c2)cc1,FFAHSLPUPVRKKW
