experiment,target,ligand_id,exhaustiveness,seed,mode,vina_score,pose_path
A,3POZ,EH40_05,8,20260727,4,-9.415,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_05/mode_04.pdbqt
A,3POZ,EH40_05,8,20260727,5,-9.384,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_05/mode_05.pdbqt
A,3POZ,EH40_05,8,20260727,6,-9.384,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_05/mode_06.pdbqt
A,3POZ,EH40_05,8,20260727,7,-9.35,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_05/mode_07.pdbqt
A,3POZ,EH40_05,8,20260727,8,-9.263,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_05/mode_08.pdbqt
A,3POZ,EH40_05,8,20260727,9,-9.21,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_05/mode_09.pdbqt
A,3POZ,EH40_18,8,20260727,1,-11.219,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_18/mode_01.pdbqt
A,3POZ,EH40_18,8,20260727,2,-10.403,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_18/mode_02.pdbqt
A,3POZ,EH40_18,8,20260727,3,-9.892,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_18/mode_03.pdbqt
A,3POZ,EH40_18,8,20260727,4,-9.848,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_18/mode_04.pdbqt
A,3POZ,EH40_18,8,20260727,5,-9.768,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_18/mode_05.pdbqt
A,3POZ,EH40_18,8,20260727,6,-9.645,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_18/mode_06.pdbqt
A,3POZ,EH40_18,8,20260727,7,-9.643,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_18/mode_07.pdbqt
A,3POZ,EH40_18,8,20260727,8,-9.613,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_18/mode_08.pdbqt
A,3POZ,EH40_18,8,20260727,9,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_18/mode_09.pdbqt
A,3POZ,EH40_23,8,20260727,1,-11.472,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_23/mode_01.pdbqt
A,3POZ,EH40_23,8,20260727,2,-11.325,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_23/mode_02.pdbqt
A,3POZ,EH40_23,8,20260727,3,-10.711,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_23/mode_03.pdbqt
A,3POZ,EH40_23,8,20260727,4,-10.547,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_23/mode_04.pdbqt
A,3POZ,EH40_23,8,20260727,5,-10.487,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_23/mode_05.pdbqt
A,3POZ,EH40_23,8,20260727,6,-10.396,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_23/mode_06.pdbqt
A,3POZ,EH40_23,8,20260727,7,-10.226,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_23/mode_07.pdbqt
A,3POZ,EH40_23,8,20260727,8,-10.032,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_23/mode_08.pdbqt
A,3POZ,EH40_23,8,20260727,9,-9.743,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_23/mode_09.pdbqt
A,3POZ,EH40_03,8,20260727,1,-10.118,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_03/mode_01.pdbqt
A,3POZ,EH40_03,8,20260727,2,-9.803,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_03/mode_02.pdbqt
A,3POZ,EH40_03,8,20260727,3,-9.511,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_03/mode_03.pdbqt
A,3POZ,EH40_03,8,20260727,4,-8.915,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_03/mode_04.pdbqt
A,3POZ,EH40_03,8,20260727,5,-8.821,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_03/mode_05.pdbqt
A,3POZ,EH40_03,8,20260727,6,-8.68,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_03/mode_06.pdbqt
A,3POZ,EH40_03,8,20260727,7,-8.607,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_03/mode_07.pdbqt
A,3POZ,EH40_03,8,20260727,8,-8.575,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_03/mode_08.pdbqt
A,3POZ,EH40_03,8,20260727,9,-8.454,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_03/mode_09.pdbqt
A,3POZ,EH40_04,8,20260727,1,-11.676,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_04/mode_01.pdbqt
A,3POZ,EH40_04,8,20260727,2,-11.653,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_04/mode_02.pdbqt
A,3POZ,EH40_04,8,20260727,3,-11.625,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_04/mode_03.pdbqt
A,3POZ,EH40_04,8,20260727,4,-11.519,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_04/mode_04.pdbqt
A,3POZ,EH40_04,8,20260727,5,-11.303,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_04/mode_05.pdbqt
A,3POZ,EH40_04,8,20260727,6,-11.147,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_04/mode_06.pdbqt
A,3POZ,EH40_04,8,20260727,7,-11.077,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_04/mode_07.pdbqt
A,3POZ,EH40_04,8,20260727,8,-11.037,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_04/mode_08.pdbqt
A,3POZ,EH40_04,8,20260727,9,-10.976,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_04/mode_09.pdbqt
A,3POZ,EH40_09,8,20260727,1,-10.766,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_09/mode_01.pdbqt
A,3POZ,EH40_09,8,20260727,2,-10.737,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_09/mode_02.pdbqt
A,3POZ,EH40_09,8,20260727,3,-10.637,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_09/mode_03.pdbqt
A,3POZ,EH40_09,8,20260727,4,-10.514,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_09/mode_04.pdbqt
A,3POZ,EH40_09,8,20260727,5,-10.074,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_09/mode_05.pdbqt
A,3POZ,EH40_09,8,20260727,6,-9.8,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_09/mode_06.pdbqt
A,3POZ,EH40_09,8,20260727,7,-9.787,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_09/mode_07.pdbqt
A,3POZ,EH40_09,8,20260727,8,-9.711,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_09/mode_08.pdbqt
A,3POZ,EH40_09,8,20260727,9,-9.57,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3POZ/EH40_09/mode_09.pdbqt
A,3RCD,EH40_01,8,20260727,1,-9.902,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_01/mode_01.pdbqt
A,3RCD,EH40_01,8,20260727,2,-9.502,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_01/mode_02.pdbqt
A,3RCD,EH40_01,8,20260727,3,-9.492,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_01/mode_03.pdbqt
A,3RCD,EH40_01,8,20260727,4,-9.454,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_01/mode_04.pdbqt
A,3RCD,EH40_01,8,20260727,5,-8.909,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_01/mode_05.pdbqt
A,3RCD,EH40_01,8,20260727,6,-8.846,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_01/mode_06.pdbqt
A,3RCD,EH40_01,8,20260727,7,-8.637,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_01/mode_07.pdbqt
A,3RCD,EH40_01,8,20260727,8,-8.575,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_01/mode_08.pdbqt
A,3RCD,EH40_01,8,20260727,9,-8.572,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_01/mode_09.pdbqt
A,3RCD,EH40_02,8,20260727,1,-10.471,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_02/mode_01.pdbqt
A,3RCD,EH40_02,8,20260727,2,-9.962,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_02/mode_02.pdbqt
A,3RCD,EH40_02,8,20260727,3,-9.672,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_02/mode_03.pdbqt
A,3RCD,EH40_02,8,20260727,4,-9.432,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_02/mode_04.pdbqt
A,3RCD,EH40_02,8,20260727,5,-9.255,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_02/mode_05.pdbqt
A,3RCD,EH40_02,8,20260727,6,-9.117,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_02/mode_06.pdbqt
A,3RCD,EH40_02,8,20260727,7,-9.051,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_02/mode_07.pdbqt
A,3RCD,EH40_02,8,20260727,8,-8.974,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_02/mode_08.pdbqt
A,3RCD,EH40_02,8,20260727,9,-8.857,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_02/mode_09.pdbqt
A,3RCD,EH40_05,8,20260727,1,-10.018,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_05/mode_01.pdbqt
A,3RCD,EH40_05,8,20260727,2,-9.879,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_05/mode_02.pdbqt
A,3RCD,EH40_05,8,20260727,3,-9.767,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_05/mode_03.pdbqt
A,3RCD,EH40_05,8,20260727,4,-9.698,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_05/mode_04.pdbqt
A,3RCD,EH40_05,8,20260727,5,-9.555,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_05/mode_05.pdbqt
A,3RCD,EH40_05,8,20260727,6,-9.335,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_05/mode_06.pdbqt
A,3RCD,EH40_05,8,20260727,7,-8.84,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_05/mode_07.pdbqt
A,3RCD,EH40_05,8,20260727,8,-8.778,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_05/mode_08.pdbqt
A,3RCD,EH40_05,8,20260727,9,-8.767,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_05/mode_09.pdbqt
A,3RCD,EH40_18,8,20260727,1,-12.337,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_18/mode_01.pdbqt
A,3RCD,EH40_18,8,20260727,2,-11.945,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_18/mode_02.pdbqt
A,3RCD,EH40_18,8,20260727,3,-10.83,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_18/mode_03.pdbqt
A,3RCD,EH40_18,8,20260727,4,-10.624,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_18/mode_04.pdbqt
A,3RCD,EH40_18,8,20260727,5,-10.58,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_18/mode_05.pdbqt
A,3RCD,EH40_18,8,20260727,6,-10.419,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_18/mode_06.pdbqt
A,3RCD,EH40_18,8,20260727,7,-10.388,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_18/mode_07.pdbqt
A,3RCD,EH40_18,8,20260727,8,-9.941,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_18/mode_08.pdbqt
A,3RCD,EH40_18,8,20260727,9,-9.85,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_18/mode_09.pdbqt
A,3RCD,EH40_23,8,20260727,1,-10.902,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_23/mode_01.pdbqt
A,3RCD,EH40_23,8,20260727,2,-10.849,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_23/mode_02.pdbqt
A,3RCD,EH40_23,8,20260727,3,-10.424,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_23/mode_03.pdbqt
A,3RCD,EH40_23,8,20260727,4,-10.204,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_23/mode_04.pdbqt
A,3RCD,EH40_23,8,20260727,5,-9.946,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_23/mode_05.pdbqt
A,3RCD,EH40_23,8,20260727,6,-9.928,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_23/mode_06.pdbqt
A,3RCD,EH40_23,8,20260727,7,-9.86,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_23/mode_07.pdbqt
A,3RCD,EH40_23,8,20260727,8,-9.667,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_23/mode_08.pdbqt
A,3RCD,EH40_23,8,20260727,9,-9.564,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_23/mode_09.pdbqt
