ligand,target,vina_best,status
PM110_103,4L23,-8.304,ok
PM110_103,4JT6,-7.619,ok
PM110_104,4L23,-7.63,ok
PM110_104,4JT6,-7.69,ok
PM110_105,4L23,-8.129,ok
PM110_105,4JT6,-8.209,ok
PM110_106,4L23,-7.706,ok
PM110_106,4JT6,-8.25,ok
PM110_107,4L23,-9.157,ok
PM110_107,4JT6,-7.849,ok
PM110_108,4L23,-9.535,ok
PM110_108,4JT6,-7.921,ok
PM110_109,4L23,-8.835,ok
PM110_109,4JT6,-9.853,ok
PM110_110,4L23,-7.791,ok
PM110_110,4JT6,-8.647,ok
PM110_111,4L23,-8.461,ok
PM110_111,4JT6,-9.299,ok
PM110_112,4L23,-6.975,ok
PM110_112,4JT6,-7.888,ok
PM110_113,4L23,-7.039,ok
PM110_113,4JT6,-8.045,ok
PM110_114,4L23,-8.259,ok
PM110_114,4JT6,-8.564,ok
PM110_115,4L23,-8.727,ok
PM110_115,4JT6,-8.477,ok
