ligand,target,vina_mode,rtmscore
PM110_085,4L23,8,35.42553049219157
PM110_099,4L23,8,35.40542148156865
PM48_35,4L23,2,35.40513128183563
PM48_46,4L23,4,35.39718826715767
PM48_02,4L23,4,35.32387338191525
PM48_07,4L23,6,35.322269583522896
PM48_15,4L23,5,35.28901051239559
PM110_114,4L23,1,35.21610899379814
PM110_094,4L23,1,35.1918462852296
PM48_12,4L23,4,35.14129773968014
PM48_05,4L23,5,35.09858789802434
PM110_082,4L23,2,35.09576888278072
PM110_058,4L23,9,35.085920553877145
PM110_051,4L23,5,35.04267213260479
PM48_24,4L23,7,35.00163882721568
PM110_049,4L23,2,34.96792609473179
PM110_114,4L23,3,34.935984199731884
PM110_082,4L23,6,34.92131784142651
PM48_36,4L23,1,34.90655802136878
PM48_38,4L23,7,34.88343766741647
PM48_12,4L23,3,34.863832851036896
PM48_12,4L23,7,34.85405205371047
PM110_094,4L23,2,34.84484412370535
PM48_13,4L23,2,34.77826632966743
PM110_071,4L23,9,34.77191192990141
PM48_02,4L23,1,34.7503159456768
PM110_083,4L23,3,34.6862145481274
PM110_096,4L23,2,34.65868110629099
PM48_39,4L23,5,34.59308974894056
PM48_06,4L23,6,34.554155596372006
PM48_39,4L23,6,34.55308683443986
PM110_106,4L23,5,34.50139229303004
PM110_063,4L23,9,34.49262266961718
PM48_04,4L23,3,34.48036918378996
PM110_109,4L23,4,34.43249367911524
PM110_080,4L23,5,34.431485591666245
PM48_43,4L23,4,34.42883718996974
PM110_099,4L23,5,34.39881761424602
PM110_093,4L23,7,34.39079751432712
PM110_066,4L23,2,34.36795096473448
PM48_17,4L23,9,34.34365314293245
PM110_055,4L23,3,34.341860711865024
PM110_069,4L23,1,34.28555812385143
PM110_112,4L23,5,34.2191379459678
PM48_23,4L23,7,34.154589006993
PM110_052,4L23,4,34.15272212453751
PM48_42,4L23,1,34.1324443071384
PM48_21,4L23,4,34.08610988457049
PM110_106,4L23,4,34.083110408946524
PM110_078,4L23,1,34.053405465470334
PM48_16,4L23,2,34.01598247678428
PM110_058,4L23,6,34.01119290378728
PM48_37,4L23,2,33.98677485969854
PM110_115,4L23,4,33.94476339347921
PM48_33,4L23,2,33.94218321371179
PM110_057,4L23,3,33.875183432576385
PM110_093,4L23,5,33.86214064943446
PM110_102,4L23,8,33.85680554359422
PM110_091,4L23,6,33.841055323660754
PM48_46,4L23,7,33.823218431166005
PM48_33,4L23,3,33.81467963394246
PM110_051,4L23,4,33.804132649094015
PM110_083,4L23,2,33.767433500500125
PM110_102,4L23,2,33.71477771072307
PM110_076,4L23,1,33.7114145147229
PM110_094,4L23,6,33.669815931504296
PM110_069,4L23,9,33.60211075272642
PM48_16,4L23,9,33.55724560200839
PM110_079,4L23,2,33.55357505751973
PM48_45,4L23,1,33.544852508143975
PM48_28,4L23,4,33.52002908510259
PM48_30,4L23,2,33.516882305200475
PM110_058,4L23,8,33.51629636928506
PM110_105,4L23,4,33.51101836019428
PM110_070,4L23,8,33.50806185292636
PM48_26,4L23,7,33.50327336393972
PM110_112,4L23,1,33.4754227658896
PM48_41,4L23,8,33.47150162621857
PM110_049,4L23,9,33.46439011187721
PM110_073,4L23,7,33.462203968610645
PM48_11,4L23,2,33.420483460107825
PM48_44,4L23,5,33.419705801475594
PM48_12,4L23,9,33.412824843458445
PM48_18,4L23,6,33.382945604271725
PM48_10,4L23,2,33.34223413567191
PM110_114,4L23,7,33.33717392628113
PM110_069,4L23,5,33.28582429482365
PM110_059,4L23,5,33.26272062556024
PM48_18,4L23,5,33.16228167779103
PM110_083,4L23,5,33.154902497978675
PM48_16,4L23,5,33.122332707011324
PM110_065,4L23,8,33.10359709846414
PM48_46,4L23,8,33.09569058673433
PM48_33,4L23,5,33.06137548739526
PM110_083,4L23,6,33.03931578099672
PM110_085,4L23,3,33.031610791248674
PM110_105,4L23,8,33.0075523253347
PM110_093,4L23,2,32.99015040860729
PM48_40,4L23,1,32.98610438105572
PM48_29,4L23,4,32.97100597577355
PM48_04,4L23,4,32.92097412593568
PM110_103,4L23,3,32.91545969202684
PM48_42,4L23,2,32.90183464853538
PM110_054,4L23,8,32.8712680835521
PM48_40,4L23,6,32.871134750028595
PM48_04,4L23,7,32.81472196941208
PM110_108,4L23,4,32.74839008043853
PM110_101,4L23,1,32.69877269031788
PM110_106,4L23,7,32.66757881451245
PM48_22,4L23,5,32.66669179860281
PM110_065,4L23,6,32.663496238846484
PM48_48,4L23,2,32.66330224374383
PM48_17,4L23,3,32.6330152479517
PM48_33,4L23,6,32.62715515479612
PM110_086,4L23,9,32.621821926258136
PM110_101,4L23,3,32.61167030768206
PM48_31,4L23,1,32.58624735954285
PM48_33,4L23,9,32.577628147180306
PM110_099,4L23,3,32.55671258772593
PM110_101,4L23,4,32.519529729155856
PM110_057,4L23,7,32.50593803748676
PM110_096,4L23,6,32.49576508043256
PM48_12,4L23,6,32.49376355935177
PM48_24,4L23,3,32.478835671714414
PM110_087,4L23,4,32.47164037367805
PM110_080,4L23,6,32.47138128896081
PM110_083,4L23,9,32.42871069498665
PM110_072,4L23,4,32.35727443317108
PM110_086,4L23,1,32.27661102789346
PM110_112,4L23,3,32.25927169727
PM48_14,4L23,8,32.2221896576756
PM48_21,4L23,7,32.203145937456405
PM48_36,4L23,6,32.14861423921803
PM110_086,4L23,2,32.14379078080378
PM48_33,4L23,7,32.133519620839664
PM110_113,4L23,1,32.132594327674646
PM48_15,4L23,7,32.13161070035247
PM48_04,4L23,1,32.09390660371216
PM110_072,4L23,5,32.04908948821597
PM110_061,4L23,9,32.0368537150173
PM48_32,4L23,9,31.914076964434614
PM110_077,4L23,1,31.85959321556175
PM110_068,4L23,8,31.85155473746223
PM110_104,4L23,4,31.781224857574863
PM48_07,4L23,2,31.739897878966897
PM110_064,4L23,7,31.709283384755487
PM110_064,4L23,8,31.703069877534837
PM110_072,4L23,6,31.69083256323893
PM48_04,4L23,5,31.649802883208302
PM110_073,4L23,9,31.6483043948821
PM110_066,4L23,1,31.58926765462458
PM48_45,4L23,7,31.529811132455457
PM110_101,4L23,6,31.4730899595407
PM110_062,4L23,2,31.41314003374301
PM110_093,4L23,6,31.41123013999817
PM110_091,4L23,9,31.38198289358796
