repurposing_id,chembl_id,name,canonical_smiles,inchi_key,mw,max_phase,atc_code,source_phase,source_atc_l1,source_atc_l2,library_panel,benchmark_ref,mol_type,structure_type,p_active_nlrp3,nlrp3_percentile,nlrp3_pred_active,max_tanimoto_nlrp3_train,scaffold,rank_nlrp3,glide_score_xp,docking_status,pdb_id,nlrp3_glide_score_xp,nlrp3_docking_status,nlrp3_pdb_id,s_u_percentile,s_n_ml_percentile,s_n_dock_percentile,s_n_percentile,pareto_front
REP_01231,CHEMBL592054,IMIGLITAZAR,Cc1oc(-c2ccccc2)nc1COc1ccc(CO/N=C(\CCC(=O)O)c2ccccc2)cc1,ULVDFHLHKNJICZ-QCWLDUFUSA-N,470.53,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.91666675,95.30592619305204,True,,C(=NOCc1ccc(OCc2coc(-c3ccccc3)n2)cc1)c1ccccc1,478,-9.67508093990923,docked,9DKB,-4.11622104027118,docked,7ALV,83.25292901447277,75.63749138525155,40.45485871812543,75.63749138525155,False
REP_06418,CHEMBL4297636,PLOCABULIN,C/C=C\C[C@@H](C/C=C\NC(=O)[C@@H](NC(=O)\C=C/C=C\C(C)=C\[C@H](C)[C@@H]1CC=C(OC)C(=O)O1)C(C)(C)C)OC(N)=O,IEKGSKLKBICCHQ-BDOJOPHNSA-N,571.72,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C1C=CCCO1,957,-9.67348230447927,docked,9DKB,-2.62024975299154,docked,7ALV,83.18401102687801,50.137835975189525,15.299793246037218,50.137835975189525,False
REP_00197,CHEMBL2095212,MIRABEGRON,Nc1nc(CC(=O)Nc2ccc(CCNC[C@H](O)c3ccccc3)cc2)cs1,PBAPPPCECJKMCM-IBGZPJMESA-N,396.52,4.0,,False,True,True,primary_atc_phase,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C(Cc1cscn1)Nc1ccc(CCNCCc2ccccc2)cc1,993,-9.66851663922356,docked,9DKB,-5.07442990675992,docked,7ALV,83.11509303928325,50.137835975189525,64.30048242591316,64.30048242591316,False
REP_04516,CHEMBL2107504,PAZINACLONE,O=C(CC1C2C=CC=CC2C(=O)N1c1ccc2ccc(Cl)nc2n1)N1CCC2(CC1)OCCO2,ODCORAJVSLDYFP-UHFFFAOYSA-N,480.95,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166666,85.41892054333454,True,,O=C(CC1C2C=CC=CC2C(=O)N1c1ccc2cccnc2n1)N1CCC2(CC1)OCCO2,1237,-9.66103367260702,docked,9DKB,-6.47863803939816,docked,7ALV,83.0461750516885,24.017918676774638,89.2487939352171,89.2487939352171,False
REP_06741,CHEMBL4802154,TILPISERTIB,Cn1ccc2c([C@H](Nc3cc(Cl)c4ncc(C#N)c(NCC(C)(C)C)c4c3)c3cn(C45CC(C4)C5)nn3)cccc2c1=O,VFGSKBLZRDRHOI-ZAGPDIDGSA-N,593.14,2.0,,True,False,False,phase_only,,Small molecule,MOL,1.0,98.35917778579156,True,,O=c1[nH]ccc2c(C(Nc3ccc4ncccc4c3)c3cn(C45CC(C4)C5)nn3)cccc12,32,-9.66097659083313,docked,9DKB,-2.17257969361972,docked,7ALV,82.97725706409373,91.38525155065473,11.647139903514814,91.38525155065473,False
REP_08102,CHEMBL4858811,TRC-253,N#Cc1ncc(N2C(=O)C3(CCC3)N(c3ccc(OC4CCNCC4)nc3)C2=S)cc1C(F)(F)F,OUEHJEYKNYQVRC-UHFFFAOYSA-N,502.52,1.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166666,85.41892054333454,True,,O=C1N(c2cccnc2)C(=S)N(c2ccc(OC3CCNCC3)nc2)C12CCC2,1162,-9.65858019636654,docked,9DKB,-3.00833032081689,docked,7ALV,82.90833907649898,24.017918676774638,20.67539627842867,24.017918676774638,False
REP_06197,CHEMBL412262,IBIPINABANT,CN/C(=N\S(=O)(=O)c1ccc(Cl)cc1)N1C[C@H](c2ccccc2)C(c2ccc(Cl)cc2)=N1,AXJQVVLKUYCICH-OAQYLSRUSA-N,487.41,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=S(=O)(N=CN1CC(c2ccccc2)C(c2ccccc2)=N1)c1ccccc1,796,-9.65443101669219,docked,9DKB,-1.60634769844931,docked,7ALV,82.8394210889042,50.137835975189525,7.925568573397657,50.137835975189525,False
REP_00751,CHEMBL2402737,IDASANUTLIN,COc1cc(C(=O)O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@](C#N)(c2ccc(Cl)cc2F)[C@H]1c1cccc(Cl)c1F,TVTXCJFHQKSQQM-LJQIRTBHSA-N,616.49,3.0,,True,False,False,phase_only,,Small molecule,MOL,1.0,98.35917778579156,True,,O=C(Nc1ccccc1)C1NCC(c2ccccc2)C1c1ccccc1,138,-9.65061773273662,docked,9DKB,-2.70461483250717,docked,7ALV,82.77050310130944,91.38525155065473,16.26464507236389,91.38525155065473,False
REP_03238,CHEMBL2104984,SODELGLITAZAR,Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3F)nc2C)ccc1OC(C)(C)C(=O)O,ZUGQWAYOWCBWGM-UHFFFAOYSA-N,499.55,2.0,,True,False,False,phase_only,,Small molecule,MOL,1.0,98.35917778579156,True,,c1ccc(SCc2cnc(-c3ccccc3)s2)cc1,18,-9.64678815805232,docked,9DKB,-5.47191760580903,docked,7ALV,82.70158511371469,91.38525155065473,72.57064093728462,91.38525155065473,False
REP_05066,CHEMBL2304040,CEFCANEL DALOXATE,Cc1nnc(SCC2=C(C(=O)OCc3oc(=O)oc3C)N3C(=O)[C@@H](NC(=O)[C@H](OC(=O)[C@@H](C)N)c4ccccc4)[C@H]3SC2)s1,AMMYEZPDRKXESR-CEJYENBDSA-N,661.74,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.7701678,83.18307488880875,True,,O=C(Cc1ccccc1)NC1C(=O)N2C(C(=O)OCc3coc(=O)o3)=C(CSc3nncs3)CSC12,1400,-9.64374911786269,docked,9DKB,-5.21345544229775,docked,7ALV,82.63266712611991,12.129565816678154,67.40179186767746,67.40179186767746,False
REP_05165,CHEMBL25892,FRESELESTAT,CC(C)C(NC(=O)Cn1c(-c2ccccc2)ncc(N)c1=O)C(=O)c1nnc(C(C)(C)C)o1,YSIHYROEMJSOAS-UHFFFAOYSA-N,452.52,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C(Cn1c(-c2ccccc2)nccc1=O)NCC(=O)c1nnco1,903,-9.6396266054079,docked,9DKB,-2.84525902814123,docked,7ALV,82.56374913852515,50.137835975189525,17.987594762232938,50.137835975189525,False
REP_08103,CHEMBL4859268,AGG-523,CC(C)(Cc1ccc(F)cc1)NC(=O)[C@H](CCC(=O)O)NC(=O)c1ccc(-c2ccccc2)cc1,JWQMTWCFNZSLNR-DEOSSOPVSA-N,476.55,1.0,,True,False,False,phase_only,,Small molecule,MOL,0.7615863,83.07488880875106,True,,O=C(CNC(=O)c1ccc(-c2ccccc2)cc1)NCCc1ccccc1,1409,-9.63516813189983,docked,9DKB,-3.3467168581808,docked,7ALV,82.4948311509304,11.578221915920055,25.223983459682977,25.223983459682977,False
REP_01578,CHEMBL1242035,TOMEGLOVIR,CN(C)c1cccc2c(S(=O)(=O)Nc3ccc(NC(=O)C(C)(C)CO)cc3)cccc12,OSQAKHSYTKBSPB-UHFFFAOYSA-N,441.55,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.91666675,95.30592619305204,True,,O=S(=O)(Nc1ccccc1)c1cccc2ccccc12,444,-9.63496312752266,docked,9DKB,-5.12407531155909,docked,7ALV,82.42591316333562,75.63749138525155,65.40317022742937,75.63749138525155,False
