pair,ligand,molecule_chembl_id,historical_class,historical_pA,historical_pB,n_act_A,n_act_B,max_A,median_A,max_B,median_B,class_max,class_median,activity_eligible,activity_status,class_flip_vs_historical,pA_changed,pB_changed
AChE/BChE,AB_026,CHEMBL1080386,dual,8.22,8.22,2,1,8.22,8.22,8.22,8.22,dual,dual,1,both_arms_present,0,0,0
AChE/BChE,AB_027,CHEMBL3326708,dual,7.25,7.51,1,1,7.25,7.25,7.51,7.51,dual,dual,1,both_arms_present,0,0,0
AChE/BChE,AB_028,CHEMBL1783515,dual,8.05,6.66,1,1,8.05,8.05,6.66,6.66,dual,dual,1,both_arms_present,0,0,0
AChE/BChE,AB_029,CHEMBL3985059,A_only,7.39,5.09,1,1,7.39,7.39,5.09,5.09,A_only,A_only,1,both_arms_present,0,0,0
AChE/BChE,AB_030,CHEMBL3425895,A_only,6.52,5.46,1,1,6.52,6.52,5.46,5.46,A_only,A_only,1,both_arms_present,0,0,0
AChE/BChE,AB_031,CHEMBL2419687,A_only,7.27,5.08,1,1,7.27,7.27,5.08,5.08,A_only,A_only,1,both_arms_present,0,0,0
AChE/BChE,AB_032,CHEMBL5281758,A_only,6.52,4.5,2,1,6.52,6.385,4.5,4.5,A_only,A_only,1,both_arms_present,0,0,0
AChE/BChE,AB_033,CHEMBL4283450,A_only,6.77,5.19,1,1,6.77,6.77,5.19,5.19,A_only,A_only,1,both_arms_present,0,0,0
AChE/BChE,AB_034,CHEMBL1773487,A_only,6.84,4.98,1,1,6.84,6.84,4.98,4.98,A_only,A_only,1,both_arms_present,0,0,0
AChE/BChE,AB_035,CHEMBL3952144,A_only,6.57,5.09,1,1,6.57,6.57,5.09,5.09,A_only,A_only,1,both_arms_present,0,0,0
AChE/BChE,AB_036,CHEMBL1773489,A_only,6.68,5.01,1,1,6.68,6.68,5.01,5.01,A_only,A_only,1,both_arms_present,0,0,0
AChE/BChE,AB_037,CHEMBL597794,A_only,6.96,4.04,1,1,6.96,6.96,4.04,4.04,A_only,A_only,1,both_arms_present,0,0,0
AChE/BChE,AB_038,CHEMBL599644,A_only,7.28,5.3,2,1,7.28,7.245,5.3,5.3,A_only,A_only,1,both_arms_present,0,0,0
AChE/BChE,AB_039,CHEMBL597188,A_only,7.25,5.09,1,1,7.25,7.25,5.09,5.09,A_only,A_only,1,both_arms_present,0,0,0
AChE/BChE,AB_040,CHEMBL222904,A_only,8.48,5.07,2,1,8.48,8.365,5.07,5.07,A_only,A_only,1,both_arms_present,0,0,0
AChE/BChE,AB_041,CHEMBL164,A_only,7.92,4.15,2,1,7.92,6.17,4.15,4.15,A_only,A_only,1,both_arms_present,0,0,0
AChE/BChE,AB_042,CHEMBL3910513,A_only,6.83,4.41,1,1,6.83,6.83,4.41,4.41,A_only,A_only,1,both_arms_present,0,0,0
AChE/BChE,AB_043,CHEMBL1678,A_only,7.94,5.14,4,1,7.94,7.6,5.14,5.14,A_only,A_only,1,both_arms_present,0,0,0
AChE/BChE,AB_044,CHEMBL3900968,A_only,7.02,4.92,1,1,7.02,7.02,4.92,4.92,A_only,A_only,1,both_arms_present,0,0,0
AChE/BChE,AB_045,CHEMBL206093,A_only,7.44,4.44,1,1,7.44,7.44,4.44,4.44,A_only,A_only,1,both_arms_present,0,0,0
AChE/BChE,AB_046,CHEMBL254016,A_only,8.48,5.07,1,1,8.48,8.48,5.07,5.07,A_only,A_only,1,both_arms_present,0,0,0
AChE/BChE,AB_047,CHEMBL4292477,A_only,7.39,5.37,2,1,7.39,7.3,5.37,5.37,A_only,A_only,1,both_arms_present,0,0,0
AChE/BChE,AB_048,CHEMBL3933395,A_only,7.01,4.73,1,1,7.01,7.01,4.73,4.73,A_only,A_only,1,both_arms_present,0,0,0
AChE/BChE,AB_049,CHEMBL378404,A_only,7.42,4.28,1,1,7.42,7.42,4.28,4.28,A_only,A_only,1,both_arms_present,0,0,0
AChE/BChE,AB_050,CHEMBL3093795,A_only,6.85,5.11,1,1,6.85,6.85,5.11,5.11,A_only,A_only,1,both_arms_present,0,0,0
AChE/BChE,AB_051,CHEMBL5280980,A_only,9.3,5.3,1,1,9.3,9.3,5.3,5.3,A_only,A_only,1,both_arms_present,0,0,0
AChE/BChE,AB_052,CHEMBL5566300,A_only,7.8,4.32,1,1,7.8,7.8,4.32,4.32,A_only,A_only,1,both_arms_present,0,0,0
AChE/BChE,AB_053,CHEMBL174046,A_only,7.93,5.12,0,0,7.93,,5.12,,A_only,,1,panel_pchembl_no_audit_rows,0,0,0
AChE/BChE,AB_054,CHEMBL557586,A_only,6.77,4.94,0,0,6.77,,4.94,,A_only,,1,panel_pchembl_no_audit_rows,0,0,0
AChE/BChE,AB_055,CHEMBL572532,A_only,6.82,4.68,1,1,6.82,6.82,4.68,4.68,A_only,A_only,1,both_arms_present,0,0,0
AChE/BChE,AB_056,CHEMBL3960861,A_only,6.94,4.3,0,0,6.94,,4.3,,A_only,,1,panel_pchembl_no_audit_rows,0,0,0
AChE/BChE,AB_057,CHEMBL3754694,B_only,5.12,8.64,1,1,5.12,5.12,8.64,8.64,B_only,B_only,1,both_arms_present,0,0,0
AChE/BChE,AB_058,CHEMBL3892118,B_only,5.39,7.1,1,1,5.39,5.39,7.1,7.1,B_only,B_only,1,both_arms_present,0,0,0
AChE/BChE,AB_059,CHEMBL5435599,B_only,5.25,7.88,1,1,5.25,5.25,7.88,7.88,B_only,B_only,1,both_arms_present,0,0,0
AChE/BChE,AB_060,CHEMBL224469,B_only,4.99,7.1,1,1,4.99,4.99,7.1,7.1,B_only,B_only,1,both_arms_present,0,0,0
AChE/BChE,AB_061,CHEMBL382207,B_only,5.41,7.77,1,1,5.41,5.41,7.77,7.77,B_only,B_only,1,both_arms_present,0,0,0
AChE/BChE,AB_062,CHEMBL543711,B_only,4.33,6.51,1,1,4.33,4.33,6.51,6.51,B_only,B_only,1,both_arms_present,0,0,0
AChE/BChE,AB_063,CHEMBL5590844,B_only,5.38,6.82,1,1,5.38,5.38,6.82,6.82,B_only,B_only,1,both_arms_present,0,0,0
AChE/BChE,AB_064,CHEMBL5283238,B_only,4.22,6.58,1,1,4.22,4.22,6.58,6.58,B_only,B_only,1,both_arms_present,0,0,0
AChE/BChE,AB_065,CHEMBL3818250,B_only,5.27,6.54,1,1,5.27,5.27,6.54,6.54,B_only,B_only,1,both_arms_present,0,0,0
AChE/BChE,AB_066,CHEMBL4640945,B_only,4.26,6.55,1,1,4.26,4.26,6.55,6.55,B_only,B_only,1,both_arms_present,0,0,0
AChE/BChE,AB_067,CHEMBL5428978,B_only,5.27,7.09,1,1,5.27,5.27,7.09,7.09,B_only,B_only,1,both_arms_present,0,0,0
AChE/BChE,AB_068,CHEMBL4085222,B_only,5.42,7.16,1,1,5.42,5.42,7.16,7.16,B_only,B_only,1,both_arms_present,0,0,0
AChE/BChE,AB_069,CHEMBL5411758,B_only,5.42,8.19,1,3,5.42,5.42,8.19,7.3,B_only,B_only,1,both_arms_present,0,0,0
AChE/BChE,AB_070,CHEMBL5178828,B_only,5.11,7.53,1,1,5.11,5.11,7.53,7.53,B_only,B_only,1,both_arms_present,0,0,0
AChE/BChE,AB_071,CHEMBL5170719,B_only,5.02,7.12,2,2,5.02,5.01,7.12,7.109999999999999,B_only,B_only,1,both_arms_present,0,0,0
AChE/BChE,AB_072,CHEMBL3822670,B_only,5.31,6.54,1,1,5.31,5.31,6.54,6.54,B_only,B_only,1,both_arms_present,0,0,0
AChE/BChE,AB_073,CHEMBL5201804,B_only,5.0,7.04,2,2,5.0,5.0,7.04,7.02,B_only,B_only,1,both_arms_present,0,0,0
AChE/BChE,AB_074,CHEMBL5184276,B_only,4.63,8.64,1,1,4.63,4.63,8.64,8.64,B_only,B_only,1,both_arms_present,0,0,0
AChE/BChE,AB_075,CHEMBL497755,B_only,4.49,6.55,1,1,4.49,4.49,6.55,6.55,B_only,B_only,1,both_arms_present,0,0,0
AChE/BChE,AB_076,CHEMBL4101886,B_only,5.17,7.16,1,1,5.17,5.17,7.16,7.16,B_only,B_only,1,both_arms_present,0,0,0
AChE/BChE,AB_077,CHEMBL5220560,B_only,4.7,7.3,1,1,4.7,4.7,7.3,7.3,B_only,B_only,1,both_arms_present,0,0,0
AChE/BChE,AB_078,CHEMBL5421921,B_only,5.12,7.66,1,1,5.12,5.12,7.66,7.66,B_only,B_only,1,both_arms_present,0,0,0
AChE/BChE,AB_079,CHEMBL4277879,B_only,5.14,8.96,1,1,5.14,5.14,8.96,8.96,B_only,B_only,1,both_arms_present,0,0,0
AChE/BChE,AB_080,CHEMBL4792208,B_only,4.82,6.93,1,1,4.82,4.82,6.93,6.93,B_only,B_only,1,both_arms_present,0,0,0
AChE/BChE,AB_081,CHEMBL3823197,B_only,5.08,6.92,1,1,5.08,5.08,6.92,6.92,B_only,B_only,1,both_arms_present,0,0,0
AChE/BChE,AB_082,CHEMBL5189830,B_only,5.07,8.72,2,2,5.07,4.985,8.72,8.555,B_only,B_only,1,both_arms_present,0,0,0
AChE/BChE,AB_083,CHEMBL4072478,B_only,5.46,6.82,1,1,5.46,5.46,6.82,6.82,B_only,B_only,1,both_arms_present,0,0,0
AChE/BChE,AB_084,CHEMBL3972214,B_only,5.48,8.7,1,1,5.48,5.48,8.7,8.7,B_only,B_only,1,both_arms_present,0,0,0
AChE/BChE,AB_085,CHEMBL3337471,neither,5.12,4.5,1,1,5.12,5.12,4.5,4.5,neither,neither,1,both_arms_present,0,0,0
AChE/BChE,AB_086,CHEMBL1801815,neither,5.0,5.03,1,1,5.0,5.0,5.03,5.03,neither,neither,1,both_arms_present,0,0,0
AChE/BChE,AB_087,CHEMBL344593,neither,5.19,5.47,1,0,5.19,5.19,,,,,0,unresolved_missing_arm,0,0,0
AChE/BChE,AB_088,CHEMBL4079345,neither,5.12,4.82,1,1,5.12,5.12,4.82,4.82,neither,neither,1,both_arms_present,0,0,0
AChE/BChE,AB_089,CHEMBL4792013,neither,4.78,5.12,1,1,4.78,4.78,5.12,5.12,neither,neither,1,both_arms_present,0,0,0
AChE/BChE,AB_090,CHEMBL5205468,neither,4.51,5.46,1,1,4.51,4.51,5.46,5.46,neither,neither,1,both_arms_present,0,0,0
AChE/BChE,AB_091,CHEMBL4787165,neither,4.76,5.19,1,1,4.76,4.76,5.19,5.19,neither,neither,1,both_arms_present,0,0,0
AChE/BChE,AB_092,CHEMBL4084714,neither,5.05,4.98,1,1,5.05,5.05,4.98,4.98,neither,neither,1,both_arms_present,0,0,0
AChE/BChE,AB_093,CHEMBL4874487,neither,4.17,4.21,1,1,4.17,4.17,4.21,4.21,neither,neither,1,both_arms_present,0,0,0
AChE/BChE,AB_094,CHEMBL4761179,neither,4.71,5.29,1,1,4.71,4.71,5.29,5.29,neither,neither,1,both_arms_present,0,0,0
AChE/BChE,AB_095,CHEMBL3407583,neither,4.81,5.15,1,1,4.81,4.81,5.15,5.15,neither,neither,1,both_arms_present,0,0,0
AChE/BChE,AB_096,CHEMBL4101703,neither,4.45,4.9,1,1,4.45,4.45,4.9,4.9,neither,neither,1,both_arms_present,0,0,0
AChE/BChE,AB_097,CHEMBL4796574,neither,5.14,4.92,0,0,5.14,,4.92,,neither,,1,panel_pchembl_no_audit_rows,0,0,0
AChE/BChE,AB_098,CHEMBL3335049,neither,5.21,4.74,1,1,5.21,5.21,4.74,4.74,neither,neither,1,both_arms_present,0,0,0
AChE/BChE,AB_099,CHEMBL3407584,neither,5.31,5.14,1,1,5.31,5.31,5.14,5.14,neither,neither,1,both_arms_present,0,0,0
AChE/BChE,AB_100,CHEMBL4788885,neither,5.03,4.44,1,1,5.03,5.03,4.44,4.44,neither,neither,1,both_arms_present,0,0,0
EGFR/HER2,EH120_041,CHEMBL941,dual,9.96,10.22,2,1,9.96,7.540000000000001,10.22,10.22,dual,dual,1,both_arms_present,0,0,0
EGFR/HER2,EH120_042,CHEMBL5221067,dual,9.33,9.85,1,1,9.33,9.33,9.85,9.85,dual,dual,1,both_arms_present,0,0,0
EGFR/HER2,EH120_043,CHEMBL5881155,dual,9.66,9.22,1,1,9.66,9.66,9.22,9.22,dual,dual,1,both_arms_present,0,0,0
EGFR/HER2,EH120_044,CHEMBL203599,dual,9.3,9.15,2,3,9.3,9.010000000000002,9.15,9.1,dual,dual,1,both_arms_present,0,0,0
EGFR/HER2,EH120_045,CHEMBL1873475,dual,9.3,9.12,32,10,9.3,7.9350000000000005,9.12,7.959999999999999,dual,dual,1,both_arms_present,0,0,0
EGFR/HER2,EH120_046,CHEMBL5282641,dual,10.28,9.02,5,1,10.28,10.01,9.02,9.02,dual,dual,1,both_arms_present,0,0,0
EGFR/HER2,EH120_047,CHEMBL180022,dual,10.7,9.0,37,18,10.7,8.82,9.0,8.275,dual,dual,1,both_arms_present,0,0,0
EGFR/HER2,EH120_048,CHEMBL203644,dual,9.52,8.96,2,2,9.52,9.059999999999999,8.96,8.290000000000001,dual,dual,1,both_arms_present,0,0,0
EGFR/HER2,EH120_049,CHEMBL437890,dual,8.96,9.3,2,2,8.96,8.765,9.3,8.88,dual,dual,1,both_arms_present,0,0,0
EGFR/HER2,EH120_050,CHEMBL5176920,dual,8.96,8.97,1,1,8.96,8.96,8.97,8.97,dual,dual,1,both_arms_present,0,0,0
EGFR/HER2,EH120_051,CHEMBL54091,dual,9.14,8.96,2,1,9.14,8.91,8.96,8.96,dual,dual,1,both_arms_present,0,0,0
EGFR/HER2,EH120_052,CHEMBL203661,dual,8.89,9.1,2,2,8.89,8.815000000000001,9.1,8.7,dual,dual,1,both_arms_present,0,0,0
EGFR/HER2,EH120_053,CHEMBL4075917,dual,8.89,9.0,2,1,8.89,8.49,9.0,9.0,dual,dual,1,both_arms_present,0,0,0
EGFR/HER2,EH120_054,CHEMBL29197,A_only,10.6,5.27,19,1,10.6,7.52,5.27,5.27,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_055,CHEMBL93464,A_only,9.26,4.04,3,1,9.26,8.06,4.04,4.04,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_056,CHEMBL4078431,A_only,9.52,5.22,1,1,9.52,9.52,5.22,5.22,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_057,CHEMBL53753,A_only,7.89,4.28,3,1,7.89,7.82,4.28,4.28,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_058,CHEMBL3357643,A_only,9.28,5.81,2,1,9.28,8.25,5.81,5.81,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_059,CHEMBL305194,A_only,7.54,4.31,1,0,7.54,7.54,,,,,0,unresolved_missing_arm,0,0,0
EGFR/HER2,EH120_060,CHEMBL24828,A_only,8.32,5.58,28,1,8.32,7.609999999999999,5.58,5.58,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_061,CHEMBL4280835,A_only,7.33,4.72,1,1,7.33,7.33,4.72,4.72,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_062,CHEMBL4286733,A_only,6.95,4.43,1,1,6.95,6.95,4.43,4.43,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_063,CHEMBL3929002,A_only,7.3,4.98,1,1,7.3,7.3,4.98,4.98,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_064,CHEMBL5270270,A_only,7.36,5.06,1,1,7.36,7.36,5.06,5.06,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_065,CHEMBL281300,A_only,8.01,5.79,3,1,8.01,7.06,5.79,5.79,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_066,CHEMBL288441,A_only,7.75,5.6,14,1,7.75,7.35,5.6,5.6,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_067,CHEMBL56543,A_only,7.0,4.87,5,1,7.0,5.7,4.87,4.87,A_only,neither,1,both_arms_present,0,0,0
EGFR/HER2,EH120_068,CHEMBL4061382,A_only,7.58,5.5,1,1,7.58,7.58,5.5,5.5,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_069,CHEMBL30973,A_only,7.43,5.38,3,1,7.43,6.91,5.38,5.38,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_070,CHEMBL55979,A_only,6.4,4.43,4,1,6.4,5.835,4.43,4.43,A_only,neither,1,both_arms_present,0,0,0
EGFR/HER2,EH120_071,CHEMBL3647967,A_only,7.69,5.81,2,1,7.69,7.69,5.81,5.81,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_072,CHEMBL4278886,A_only,7.67,5.82,1,1,7.67,7.67,5.82,5.82,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_073,CHEMBL3114689,A_only,7.8,5.96,2,1,7.8,6.955,5.96,5.96,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_074,CHEMBL205652,A_only,6.5,4.68,2,2,6.5,6.27,4.68,4.64,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_075,CHEMBL372112,A_only,7.3,5.48,1,1,7.3,7.3,5.48,5.48,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_076,CHEMBL56731,A_only,6.16,4.38,2,1,6.16,6.03,4.38,4.38,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_077,CHEMBL10,A_only,6.47,4.72,14,1,6.47,5.744999999999999,4.72,4.72,A_only,neither,1,both_arms_present,0,0,0
EGFR/HER2,EH120_078,CHEMBL179633,A_only,7.14,5.41,1,1,7.14,7.14,5.41,5.41,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_079,CHEMBL370934,A_only,7.22,5.52,1,1,7.22,7.22,5.52,5.52,A_only,A_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_080,CHEMBL1080506,B_only,5.3,8.4,2,1,5.3,5.1,8.4,8.4,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_081,CHEMBL6150652,B_only,4.92,8.02,1,1,4.92,4.92,8.02,8.02,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_082,CHEMBL257478,B_only,5.7,8.7,1,2,5.7,5.7,8.7,7.93,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_083,CHEMBL6006814,B_only,5.29,7.99,1,1,5.29,5.29,7.99,7.99,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_084,CHEMBL6133515,B_only,5.66,8.24,1,1,5.66,5.66,8.24,8.24,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_085,CHEMBL1257998,B_only,5.64,8.12,1,2,5.64,5.64,8.12,7.295,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_086,CHEMBL5890920,B_only,5.74,8.16,1,1,5.74,5.74,8.16,8.16,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_087,CHEMBL5797736,B_only,5.54,7.94,1,1,5.54,5.54,7.94,7.94,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_088,CHEMBL1256432,B_only,5.54,7.8,1,2,5.54,5.54,7.8,7.12,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_089,CHEMBL1087368,B_only,5.94,8.15,2,2,5.94,5.915,8.15,7.085,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_090,CHEMBL403785,B_only,5.59,7.72,1,2,5.59,5.59,7.72,7.3,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_091,CHEMBL193578,B_only,5.62,7.62,1,1,5.62,5.62,7.62,7.62,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_092,CHEMBL5555280,B_only,5.34,7.31,1,1,5.34,5.34,7.31,7.31,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_093,CHEMBL5977568,B_only,5.86,7.71,1,1,5.86,5.86,7.71,7.71,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_094,CHEMBL118109,B_only,4.73,6.46,3,1,4.73,4.72,6.46,6.46,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_095,CHEMBL256362,B_only,5.96,7.64,1,1,5.96,5.96,7.64,7.64,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_096,CHEMBL5561933,B_only,5.67,7.28,1,1,5.67,5.67,7.28,7.28,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_097,CHEMBL194337,B_only,5.68,7.16,1,1,5.68,5.68,7.16,7.16,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_098,CHEMBL5557178,B_only,5.33,6.8,1,1,5.33,5.33,6.8,6.8,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_099,CHEMBL1080272,B_only,4.82,6.21,1,1,4.82,4.82,6.21,6.21,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_100,CHEMBL5561503,B_only,5.86,7.23,1,1,5.86,5.86,7.23,7.23,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_101,CHEMBL5558817,B_only,5.38,6.67,1,1,5.38,5.38,6.67,6.67,B_only,B_only,1,both_arms_present,0,0,0
EGFR/HER2,EH120_102,CHEMBL104,neither,4.16,4.18,1,1,4.16,4.16,4.18,4.18,neither,neither,1,both_arms_present,0,0,0
EGFR/HER2,EH120_103,CHEMBL4087921,neither,4.33,4.28,2,1,4.33,4.33,4.28,4.28,neither,neither,1,both_arms_present,0,0,0
EGFR/HER2,EH120_104,CHEMBL4102214,neither,4.35,4.24,2,1,4.35,4.35,4.24,4.24,neither,neither,1,both_arms_present,0,0,0
EGFR/HER2,EH120_105,CHEMBL4102942,neither,4.35,4.28,2,1,4.35,4.35,4.28,4.28,neither,neither,1,both_arms_present,0,0,0
EGFR/HER2,EH120_106,CHEMBL4074782,neither,4.4,4.33,2,1,4.4,4.4,4.33,4.33,neither,neither,1,both_arms_present,0,0,0
EGFR/HER2,EH120_107,CHEMBL1095259,neither,4.35,4.42,1,1,4.35,4.35,4.42,4.42,neither,neither,1,both_arms_present,0,0,0
EGFR/HER2,EH120_108,CHEMBL4575427,neither,4.35,4.42,1,1,4.35,4.35,4.42,4.42,neither,neither,1,both_arms_present,0,0,0
EGFR/HER2,EH120_109,CHEMBL589165,neither,4.44,4.33,1,1,4.44,4.44,4.33,4.33,neither,neither,1,both_arms_present,0,0,0
EGFR/HER2,EH120_110,CHEMBL589503,neither,4.45,4.32,1,1,4.45,4.45,4.32,4.32,neither,neither,1,both_arms_present,0,0,0
EGFR/HER2,EH40_01,CHEMBL1614725,dual,9.0,8.52,5,3,9.0,7.64,8.52,8.04,dual,dual,1,both_arms_present,0,0,0
EGFR/HER2,EH40_02,CHEMBL554,dual,10.22,8.8,84,46,10.22,7.965,8.8,7.22,dual,dual,1,both_arms_present,0,0,0
EGFR/HER2,EH40_03,CHEMBL5977738,dual,9.85,9.47,1,1,9.85,9.85,9.47,9.47,dual,dual,1,both_arms_present,0,0,0
EGFR/HER2,EH40_04,CHEMBL2006715,dual,8.7,8.4,1,1,8.7,8.7,8.4,8.4,dual,dual,1,both_arms_present,0,0,0
EGFR/HER2,EH40_05,CHEMBL483321,dual,8.19,8.0,13,19,8.19,6.96,8.0,6.09,dual,dual,1,both_arms_present,0,0,0
EGFR/HER2,EH40_06,CHEMBL3911796,dual,8.38,7.79,1,1,8.38,8.38,7.79,7.79,dual,dual,1,both_arms_present,0,0,0
EGFR/HER2,EH40_07,CHEMBL257816,dual,7.89,7.57,1,1,7.89,7.89,7.57,7.57,dual,dual,1,both_arms_present,0,0,0
EGFR/HER2,EH40_08,CHEMBL193681,dual,7.4,7.52,1,3,7.4,7.4,7.52,5.24,dual,A_only,1,both_arms_present,0,0,0
