repurposing_id,name,chembl_id,canonical_smiles,mw,rot_bonds,tpsa,max_phase,ligand_prep_status,si_reason
REP_02509,KRN5500,CHEMBL2074765,CCCCCCCCC/C=C/C=C/C(=O)NCC(=O)N[C@@H]1C(O)[C@H](O)C(Nc2ncnc3[nH]cnc23)OC1[C@H](O)CO,589.69,17,214.84,2.0,prepared,not_in_dual_success_merge+mw_gt_550+rotb_gt_10+dock_logs_unavailable
REP_02349,SELAMECTIN,CHEMBL1908325,CO[C@H]1C[C@H](O[C@@H]2/C(C)=C/C[C@@H]3C[C@@H](C[C@]4(CC[C@H](C)[C@@H](C5CCCCC5)O4)O3)OC(=O)[C@@H]3C=C(C)/C(=N/O)[C@H]4OC/C(=C\C=C\[C@@H]2C)[C@]43O)O[C@@H](C)[C@@H]1O,769.97,4,154.73000000000002,2.0,prepared,not_in_dual_success_merge+mw_gt_550+dock_logs_unavailable
REP_06155,TG100-801,CHEMBL403989,Cc1cc(-c2cc(OC(=O)c3ccccc3)ccc2Cl)cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12,580.09,9,89.47,2.0,prepared,not_in_dual_success_merge+mw_gt_550+dock_logs_unavailable
REP_06945,TENOFOVIR EXALIDEX,CHEMBL515564,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](C)Cn1cnc2c(N)ncnc21,569.73,25,134.61,2.0,prepared,not_in_dual_success_merge+mw_gt_550+rotb_gt_10+dock_logs_unavailable
REP_07045,RISVODETINIB,CHEMBL5314481,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cncc(-c3oncc3C)c2)n1,574.69,8,112.31000000000002,2.0,prepared,not_in_dual_success_merge+mw_gt_550+dock_logs_unavailable
REP_00260,TUBOCURARINE,CHEMBL339427,COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C,609.74,2,80.62,4.0,prepared,not_in_dual_success_merge+mw_gt_550+dock_logs_unavailable
REP_00789,HYPERICIN,CHEMBL286494,Cc1cc(O)c2c(=O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(=O)c7c(O)cc(C)c8c1c2c(c34)c(c78)c65,504.45,0,155.52,3.0,prepared,not_in_dual_success_merge+dock_logs_unavailable
REP_03504,STILBAZIUM IODIDE,CHEMBL2105343,CC[n+]1c(/C=C/c2ccc(N3CCCC3)cc2)cccc1/C=C/c1ccc(N2CCCC2)cc1,450.65,7,10.36,2.0,prepared,not_in_dual_success_merge+dock_logs_unavailable
REP_00752,DELEOBUVIR,CHEMBL2403318,Cn1c(C2(NC(=O)c3ccc4c(C5CCCC5)c(-c5ncc(Br)cn5)n(C)c4c3)CCC2)nc2ccc(/C=C/C(=O)O)cc21,653.58,7,114.93000000000002,3.0,prepared,not_in_dual_success_merge+mw_gt_550+dock_logs_unavailable
REP_06120,GLESATINIB,CHEMBL3989914,COCCNCc1ccc(-c2cc3nccc(Oc4ccc(NC(=S)NC(=O)Cc5ccc(F)cc5)cc4F)c3s2)nc1,619.72,11,97.39999999999999,2.0,prepared,not_in_dual_success_merge+mw_gt_550+rotb_gt_10+dock_logs_unavailable
REP_05102,PRADIGASTAT SODIUM,CHEMBL2364625,O=C([O-])C[C@H]1CC[C@H](c2ccc(-c3ccc(Nc4ccc(C(F)(F)F)nc4)cn3)cc2)CC1,454.47,6,77.94,2.0,prepared,not_in_dual_success_merge+dock_logs_unavailable
REP_06830,GLPG-0259,CHEMBL5095028,CC(C)N1C[C@@H]2C[C@H]1CN2c1ccc(Nc2ncc(-c3coc(C(N)=O)c3)n3ncnc23)cc1,458.53,6,117.82,2.0,prepared,not_in_dual_success_merge+dock_logs_unavailable
REP_06381,NAVAFENTEROL,CHEMBL4297483,CN(CCCn1nnc2cc(CNC[C@H](O)c3ccc(O)c4[nH]c(=O)ccc34)ccc21)[C@H]1CC[C@H](OC(=O)C(O)(c2cccs2)c2cccs2)CC1,742.92,14,165.82999999999998,2.0,prepared,not_in_dual_success_merge+mw_gt_550+rotb_gt_10+dock_logs_unavailable
REP_00918,CETHROMYCIN,CHEMBL3989904,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OCC=Cc2cnc3ccccc3c2)C[C@@H](C)C(=O)[C@H](C)[C@H]2NC(=O)O[C@@]21C,765.95,8,162.82,3.0,prepared,not_in_dual_success_merge+mw_gt_550+dock_logs_unavailable
