job,title,status,n_poses,best_r_i_glide_gscore,best_r_i_docking_score,best_r_i_glide_emodel,best_r_i_glide_energy,top3mean_r_i_glide_gscore,compound_id,group,anchor,compound_name
000015,DEC_56d_013,Done,9,-6.02039,-6.02039,-58.9116,-44.269,-5.853103333333333,DEC_56d_013,decoy,56d,DEC_56d_013
000016,DEC_56d_014,Done,9,-8.29752,-8.29752,-78.8913,-55.0732,-7.639996666666666,DEC_56d_014,decoy,56d,DEC_56d_014
000017,DEC_56d_015,Done,7,-7.81424,-7.77893,-69.0704,-50.8134,-7.13805,DEC_56d_015,decoy,56d,DEC_56d_015
000018,DEC_56d_016,Done,9,-7.5536,-7.5536,-73.3038,-51.4222,-7.353613333333333,DEC_56d_016,decoy,56d,DEC_56d_016
000019,DEC_56d_017,Done,6,-6.37579,-6.37579,-63.385,-47.3809,-5.63231,DEC_56d_017,decoy,56d,DEC_56d_017
000020,DEC_56d_018,Done,10,-6.72316,-6.72316,-64.9688,-50.2147,-6.424703333333333,DEC_56d_018,decoy,56d,DEC_56d_018
000021,DEC_56d_019,Done,10,-6.17828,-6.17828,-55.8112,-43.9923,-5.8067633333333335,DEC_56d_019,decoy,56d,DEC_56d_019
000022,DEC_56d_020,Done,9,-7.59756,-7.59756,-71.6653,-50.2129,-7.560536666666667,DEC_56d_020,decoy,56d,DEC_56d_020
000023,DEC_56d_021,Done,10,-5.92961,-5.92961,-56.3313,-46.6678,-5.727586666666667,DEC_56d_021,decoy,56d,DEC_56d_021
000024,DEC_56d_022,Done,10,-5.99825,-5.99825,-57.4686,-45.2114,-5.624303333333334,DEC_56d_022,decoy,56d,DEC_56d_022
000025,DEC_56d_023,Done,10,-6.14955,-6.14955,-58.6074,-46.0551,-6.05171,DEC_56d_023,decoy,56d,DEC_56d_023
000026,DEC_56d_024,Done,10,-6.03764,-6.03764,-60.4372,-45.1636,-5.969406666666667,DEC_56d_024,decoy,56d,DEC_56d_024
000027,DEC_56d_025,Done,10,-5.60056,-5.5406,-49.1634,-41.2706,-5.420753333333334,DEC_56d_025,decoy,56d,DEC_56d_025
000028,DEC_56d_026,Done,8,-7.53835,-7.53835,-69.9617,-52.2677,-6.537016666666666,DEC_56d_026,decoy,56d,DEC_56d_026
000029,DEC_56d_027,Done,5,-3.69589,-3.69589,-33.9609,-36.4409,-3.0042066666666667,DEC_56d_027,decoy,56d,DEC_56d_027
000030,DEC_56d_028,Done,10,-7.50293,-7.50293,-66.3288,-50.6598,-7.166899999999999,DEC_56d_028,decoy,56d,DEC_56d_028
000031,DEC_56d_029,Done,9,-6.14191,-6.14191,-63.4788,-48.1841,-6.094803333333334,DEC_56d_029,decoy,56d,DEC_56d_029
000032,DEC_56d_030,Done,9,-6.91116,-6.91116,-68.8981,-54.3824,-6.754073333333333,DEC_56d_030,decoy,56d,DEC_56d_030
000033,DEC_56d_031,Done,10,-7.14363,-7.14363,-66.2779,-48.9633,-6.905819999999999,DEC_56d_031,decoy,56d,DEC_56d_031
000034,DEC_56d_032,Done,9,-7.41201,-7.41201,-70.5908,-50.2362,-7.314420000000001,DEC_56d_032,decoy,56d,DEC_56d_032
000035,DEC_56d_033,Done,10,-6.35214,-6.35214,-60.5783,-45.7212,-6.142083333333333,DEC_56d_033,decoy,56d,DEC_56d_033
000036,DEC_56d_034,Done,9,-6.29835,-6.29835,-62.5899,-46.0686,-5.9003000000000005,DEC_56d_034,decoy,56d,DEC_56d_034
000037,DEC_56d_035,Done,10,-5.30482,-5.30482,-56.8206,-45.7379,-5.1222433333333335,DEC_56d_035,decoy,56d,DEC_56d_035
000038,DEC_56d_036,Done,3,-4.92897,-4.92897,-47.8641,-38.0734,3330.6760833333333,DEC_56d_036,decoy,56d,DEC_56d_036
000039,DEC_56d_037,Done,10,-6.20145,-6.20145,-61.2973,-45.3342,-5.942809999999999,DEC_56d_037,decoy,56d,DEC_56d_037
000040,DEC_56d_038,Done,10,-6.15698,-6.15698,-54.1837,-43.1568,-5.941579999999999,DEC_56d_038,decoy,56d,DEC_56d_038
000041,DEC_56d_039,Done,9,-6.9583,-6.9583,-73.2035,-53.7382,-6.668183333333334,DEC_56d_039,decoy,56d,DEC_56d_039
000042,DEC_56d_040,Done,10,-6.66923,-6.66923,-67.115,-51.3823,-5.937793333333333,DEC_56d_040,decoy,56d,DEC_56d_040
000043,DEC_56d_041,Done,10,-5.19423,-5.19423,-47.9655,-40.6382,-4.993446666666666,DEC_56d_041,decoy,56d,DEC_56d_041
000044,DEC_56d_042,Done,10,-6.93705,-6.93705,-68.5935,-51.7994,-6.7811200000000005,DEC_56d_042,decoy,56d,DEC_56d_042
000045,DEC_56d_043,Done,8,-6.05865,-6.05865,-54.9409,-43.0462,-5.86962,DEC_56d_043,decoy,56d,DEC_56d_043
000046,DEC_56d_044,Done,10,-6.75896,-6.75896,-65.2445,-48.3506,-6.561036666666666,DEC_56d_044,decoy,56d,DEC_56d_044
000047,DEC_56d_045,Done,10,-5.86915,-5.86915,-51.1653,-41.0656,-5.3969933333333335,DEC_56d_045,decoy,56d,DEC_56d_045
000048,DEC_56d_046,Done,9,-6.73928,-6.73928,-68.3991,-50.4895,-6.497306666666667,DEC_56d_046,decoy,56d,DEC_56d_046
000049,DEC_56d_047,Done,10,-6.9914,-6.9914,-67.3676,-57.4557,-6.125753333333333,DEC_56d_047,decoy,56d,DEC_56d_047
000050,DEC_56d_048,Done,10,-6.19899,-6.19899,-58.6089,-45.2203,-5.844226666666667,DEC_56d_048,decoy,56d,DEC_56d_048
000051,DEC_56d_049,Done,9,-4.16699,-4.16699,-33.4546,-39.3886,-3.8045833333333334,DEC_56d_049,decoy,56d,DEC_56d_049
000052,DEC_56d_050,Done,9,-5.78364,-5.78364,-58.2829,-48.9785,-5.184463333333333,DEC_56d_050,decoy,56d,DEC_56d_050
000053,DEC_JNKIN8_001,Done,3,-4.77998,-4.77998,-37.5783,-31.6624,-3.7856466666666666,DEC_JNKIN8_001,decoy,JNK-IN-8,DEC_JNKIN8_001
000054,DEC_JNKIN8_002,Done,10,-5.87867,-5.87867,-72.102,-54.5943,-5.823273333333333,DEC_JNKIN8_002,decoy,JNK-IN-8,DEC_JNKIN8_002
000055,DEC_JNKIN8_003,Done,10,-7.17101,-7.17101,-79.9476,-59.2361,-6.684079999999999,DEC_JNKIN8_003,decoy,JNK-IN-8,DEC_JNKIN8_003
000056,DEC_JNKIN8_004,Done,9,-5.59923,-5.50482,-53.8664,-44.041,-5.363513333333334,DEC_JNKIN8_004,decoy,JNK-IN-8,DEC_JNKIN8_004
000057,DEC_JNKIN8_005,Done,10,-6.27154,-6.23876,-67.5096,-51.4585,-5.9950866666666665,DEC_JNKIN8_005,decoy,JNK-IN-8,DEC_JNKIN8_005
000058,DEC_JNKIN8_006,Done,9,-4.86444,-4.86444,-50.4205,-44.6397,-4.770589999999999,DEC_JNKIN8_006,decoy,JNK-IN-8,DEC_JNKIN8_006
000059,DEC_JNKIN8_007,Done,9,-5.14404,-5.10263,-55.9738,-44.9204,-5.064873333333334,DEC_JNKIN8_007,decoy,JNK-IN-8,DEC_JNKIN8_007
000060,DEC_JNKIN8_008,Done,10,-6.05941,-6.05941,-54.5323,-45.5315,-5.25376,DEC_JNKIN8_008,decoy,JNK-IN-8,DEC_JNKIN8_008
000061,DEC_JNKIN8_009,Done,9,-4.61258,-4.61258,-57.3623,-49.8881,-4.544273333333333,DEC_JNKIN8_009,decoy,JNK-IN-8,DEC_JNKIN8_009
000062,DEC_JNKIN8_010,Done,10,-5.69826,-5.53424,-51.3395,-42.1725,-5.050716666666666,DEC_JNKIN8_010,decoy,JNK-IN-8,DEC_JNKIN8_010
000063,DEC_JNKIN8_011,Done,10,-6.6469,-6.6469,-73.5693,-55.4251,-6.19022,DEC_JNKIN8_011,decoy,JNK-IN-8,DEC_JNKIN8_011
000064,DEC_JNKIN8_012,Done,10,-8.64997,-8.64997,-88.4558,-63.194,-6.7506699999999995,DEC_JNKIN8_012,decoy,JNK-IN-8,DEC_JNKIN8_012
000065,DEC_JNKIN8_013,Done,10,-6.08421,-6.08421,-71.1291,-54.3165,-5.941813333333333,DEC_JNKIN8_013,decoy,JNK-IN-8,DEC_JNKIN8_013
000066,DEC_JNKIN8_014,Done,10,-6.23165,-6.23165,-61.5541,-48.2285,-5.863993333333333,DEC_JNKIN8_014,decoy,JNK-IN-8,DEC_JNKIN8_014
000067,DEC_JNKIN8_015,Done,9,-3.89835,-3.89835,-42.502,-43.6927,-3.768886666666667,DEC_JNKIN8_015,decoy,JNK-IN-8,DEC_JNKIN8_015
000068,DEC_JNKIN8_016,Done,10,-6.98917,-6.98917,-69.8246,-51.2744,-6.595653333333334,DEC_JNKIN8_016,decoy,JNK-IN-8,DEC_JNKIN8_016
000069,DEC_JNKIN8_017,Done,1,10000.0,10000.0,10000.0,0.272568,10000.0,DEC_JNKIN8_017,decoy,JNK-IN-8,DEC_JNKIN8_017
000070,DEC_JNKIN8_018,Done,10,-6.14714,-6.14714,-55.4389,-45.3183,-5.24708,DEC_JNKIN8_018,decoy,JNK-IN-8,DEC_JNKIN8_018
000071,DEC_JNKIN8_019,Done,9,-6.7628,-6.7628,-66.0047,-48.2469,-6.640776666666667,DEC_JNKIN8_019,decoy,JNK-IN-8,DEC_JNKIN8_019
000072,DEC_JNKIN8_020,Done,9,-5.60612,-5.60612,-52.3762,-43.2264,-5.185366666666666,DEC_JNKIN8_020,decoy,JNK-IN-8,DEC_JNKIN8_020
000073,DEC_JNKIN8_021,Done,10,-5.89473,-5.89473,-64.1998,-53.184,-5.840803333333334,DEC_JNKIN8_021,decoy,JNK-IN-8,DEC_JNKIN8_021
000074,DEC_JNKIN8_022,Done,9,-4.88419,-4.67494,-47.3643,-43.5306,-4.755006666666667,DEC_JNKIN8_022,decoy,JNK-IN-8,DEC_JNKIN8_022
000075,DEC_JNKIN8_023,Done,10,-5.64148,-5.64148,-55.287,-45.4138,-4.736056666666667,DEC_JNKIN8_023,decoy,JNK-IN-8,DEC_JNKIN8_023
000076,DEC_JNKIN8_024,Done,9,-5.57658,-5.38352,-49.7478,-43.0847,-5.25106,DEC_JNKIN8_024,decoy,JNK-IN-8,DEC_JNKIN8_024
000077,DEC_JNKIN8_025,Done,10,-7.05188,-7.05188,-71.9414,-54.8803,-6.952089999999999,DEC_JNKIN8_025,decoy,JNK-IN-8,DEC_JNKIN8_025
000078,DEC_JNKIN8_026,Done,10,-5.18061,-5.18061,-55.496,-47.3129,-5.03123,DEC_JNKIN8_026,decoy,JNK-IN-8,DEC_JNKIN8_026
000079,DEC_JNKIN8_027,Done,9,-5.46949,-5.42793,-55.6291,-45.3272,-5.221936666666667,DEC_JNKIN8_027,decoy,JNK-IN-8,DEC_JNKIN8_027
000080,DEC_JNKIN8_028,Done,10,-6.34185,-6.34185,-72.0294,-56.2358,-5.525243333333333,DEC_JNKIN8_028,decoy,JNK-IN-8,DEC_JNKIN8_028
000081,DEC_JNKIN8_029,Done,8,-6.71388,-6.71388,-65.6263,-50.259,-6.561023333333334,DEC_JNKIN8_029,decoy,JNK-IN-8,DEC_JNKIN8_029
000082,DEC_JNKIN8_030,Done,7,-7.15182,-7.15182,-68.223,-53.2721,-6.382363333333333,DEC_JNKIN8_030,decoy,JNK-IN-8,DEC_JNKIN8_030
000083,DEC_JNKIN8_031,Done,10,-7.89875,-7.89875,-70.4296,-52.0702,-7.485473333333334,DEC_JNKIN8_031,decoy,JNK-IN-8,DEC_JNKIN8_031
000084,DEC_JNKIN8_032,Done,9,-4.05769,-4.05769,-48.2537,-37.3118,-4.01952,DEC_JNKIN8_032,decoy,JNK-IN-8,DEC_JNKIN8_032
000085,DEC_JNKIN8_033,Done,9,-3.35535,-3.35535,-41.2037,-42.9356,-2.990626666666667,DEC_JNKIN8_033,decoy,JNK-IN-8,DEC_JNKIN8_033
000086,DEC_JNKIN8_034,Done,6,-1.07469,-1.07469,-26.9009,-32.6216,-1.0688333333333333,DEC_JNKIN8_034,decoy,JNK-IN-8,DEC_JNKIN8_034
000087,DEC_JNKIN8_035,Done,7,-4.58714,-4.47427,-50.2839,-40.9429,-4.413993333333333,DEC_JNKIN8_035,decoy,JNK-IN-8,DEC_JNKIN8_035
000088,DEC_JNKIN8_036,Done,10,-7.37695,-7.37695,-77.794,-55.6311,-7.311979999999999,DEC_JNKIN8_036,decoy,JNK-IN-8,DEC_JNKIN8_036
000089,DEC_JNKIN8_037,Done,10,-4.51753,-4.51753,-45.9912,-44.1711,-4.244506666666667,DEC_JNKIN8_037,decoy,JNK-IN-8,DEC_JNKIN8_037
000090,DEC_JNKIN8_038,Done,7,-4.45441,-4.2388,-45.1843,-40.8505,-3.5791233333333334,DEC_JNKIN8_038,decoy,JNK-IN-8,DEC_JNKIN8_038
000091,DEC_JNKIN8_039,Done,10,-3.99401,-3.99401,-46.5021,-42.5655,-3.654063333333333,DEC_JNKIN8_039,decoy,JNK-IN-8,DEC_JNKIN8_039
000092,DEC_JNKIN8_040,Done,10,-6.08044,-6.08044,-61.2356,-48.392,-5.70673,DEC_JNKIN8_040,decoy,JNK-IN-8,DEC_JNKIN8_040
000093,DEC_JNKIN8_041,Done,10,-6.22129,-6.22129,-64.0992,-49.7401,-6.024426666666666,DEC_JNKIN8_041,decoy,JNK-IN-8,DEC_JNKIN8_041
000094,DEC_JNKIN8_042,Done,9,-4.71074,-4.5741,-46.1589,-49.8548,-4.167676666666666,DEC_JNKIN8_042,decoy,JNK-IN-8,DEC_JNKIN8_042
000095,DEC_JNKIN8_043,Done,10,-6.76231,-6.76231,-67.7693,-52.8563,-5.919533333333334,DEC_JNKIN8_043,decoy,JNK-IN-8,DEC_JNKIN8_043
000096,DEC_JNKIN8_044,Done,8,-6.15973,-6.15973,-61.2375,-48.0594,-6.048073333333334,DEC_JNKIN8_044,decoy,JNK-IN-8,DEC_JNKIN8_044
000097,DEC_JNKIN8_045,Done,10,-4.92703,-4.92703,-38.5514,-33.2949,-4.215803333333334,DEC_JNKIN8_045,decoy,JNK-IN-8,DEC_JNKIN8_045
000098,DEC_JNKIN8_046,Done,8,-3.54228,-3.54228,-45.7446,-39.4478,-3.486473333333333,DEC_JNKIN8_046,decoy,JNK-IN-8,DEC_JNKIN8_046
000099,DEC_JNKIN8_047,Done,9,-4.5144,-4.46301,-55.6892,-48.299,-4.422226666666667,DEC_JNKIN8_047,decoy,JNK-IN-8,DEC_JNKIN8_047
000100,DEC_JNKIN8_048,Done,9,-5.15482,-5.0562,-56.0951,-44.7621,-5.072043333333333,DEC_JNKIN8_048,decoy,JNK-IN-8,DEC_JNKIN8_048
000101,DEC_JNKIN8_049,Done,9,-5.64497,-5.5672,-58.1825,-49.8263,-5.475960000000001,DEC_JNKIN8_049,decoy,JNK-IN-8,DEC_JNKIN8_049
000102,DEC_JNKIN8_050,Done,10,-6.45986,-6.38948,-63.4639,-46.013,-5.928816666666666,DEC_JNKIN8_050,decoy,JNK-IN-8,DEC_JNKIN8_050
000103,DEC_YL5084_001,Done,9,-4.7129,-4.67361,-54.6003,-46.2851,-4.432189999999999,DEC_YL5084_001,decoy,YL5084,DEC_YL5084_001
000104,DEC_YL5084_002,Done,8,-5.49481,-5.43868,-61.5639,-49.6114,-4.7979866666666675,DEC_YL5084_002,decoy,YL5084,DEC_YL5084_002
000105,DEC_YL5084_003,Done,9,-4.85436,-4.85436,-44.6357,-43.2249,-4.4910733333333335,DEC_YL5084_003,decoy,YL5084,DEC_YL5084_003
000106,DEC_YL5084_004,Failed,0,,,,,,DEC_YL5084_004,decoy,YL5084,DEC_YL5084_004
000107,DEC_YL5084_005,Done,10,-2.52346,-2.52346,-40.0566,-43.3118,-2.2353400000000003,DEC_YL5084_005,decoy,YL5084,DEC_YL5084_005
000108,DEC_YL5084_006,Failed,0,,,,,,DEC_YL5084_006,decoy,YL5084,DEC_YL5084_006
000109,DEC_YL5084_007,Done,10,-6.90605,-6.90605,-74.814,-55.591,-6.699120000000001,DEC_YL5084_007,decoy,YL5084,DEC_YL5084_007
000110,DEC_YL5084_008,Done,9,-3.59058,-3.59058,-45.7771,-40.2868,-3.1050866666666668,DEC_YL5084_008,decoy,YL5084,DEC_YL5084_008
000111,DEC_YL5084_009,Done,8,-5.34849,-5.2898,-54.0305,-48.3449,-5.025433333333333,DEC_YL5084_009,decoy,YL5084,DEC_YL5084_009
000112,DEC_YL5084_010,Done,10,-3.02573,-3.02573,-41.9246,-44.219,-2.9766266666666668,DEC_YL5084_010,decoy,YL5084,DEC_YL5084_010
000113,DEC_YL5084_011,Done,10,-3.91757,-3.91757,-47.1954,-45.8329,-3.87969,DEC_YL5084_011,decoy,YL5084,DEC_YL5084_011
000114,DEC_YL5084_012,Done,10,-5.22885,-5.22885,-54.5451,-46.694,-4.887583333333334,DEC_YL5084_012,decoy,YL5084,DEC_YL5084_012
000115,DEC_YL5084_013,Done,7,-5.20392,-5.05737,-51.2782,-44.5735,-3.8931566666666666,DEC_YL5084_013,decoy,YL5084,DEC_YL5084_013
000116,DEC_YL5084_014,Done,5,-5.46366,-5.39129,-58.2147,-46.1614,-4.499276666666667,DEC_YL5084_014,decoy,YL5084,DEC_YL5084_014
000117,DEC_YL5084_015,Done,10,-4.33298,-4.33298,-53.1508,-47.3059,-4.276879999999999,DEC_YL5084_015,decoy,YL5084,DEC_YL5084_015
000118,DEC_YL5084_016,Done,9,-6.53029,-6.53029,-69.6316,-52.7191,-6.345086666666666,DEC_YL5084_016,decoy,YL5084,DEC_YL5084_016
000119,DEC_YL5084_017,Done,10,-3.33144,-3.33144,-45.2897,-39.6439,-3.0390499999999996,DEC_YL5084_017,decoy,YL5084,DEC_YL5084_017
000120,DEC_YL5084_018,Done,10,-2.64671,-2.64671,-41.4614,-42.6271,-2.5379066666666668,DEC_YL5084_018,decoy,YL5084,DEC_YL5084_018
000121,DEC_YL5084_019,Done,10,-7.17127,-7.11142,-66.6097,-49.6509,-6.89881,DEC_YL5084_019,decoy,YL5084,DEC_YL5084_019
000122,DEC_YL5084_020,Done,9,-6.90496,-6.90496,-74.9607,-55.9909,-6.373670000000001,DEC_YL5084_020,decoy,YL5084,DEC_YL5084_020
000123,DEC_YL5084_021,Done,9,-2.74289,-2.74289,-36.6728,-43.9008,-2.14854,DEC_YL5084_021,decoy,YL5084,DEC_YL5084_021
000124,DEC_YL5084_022,Done,9,-2.05745,-2.05745,-32.9232,-43.8319,-1.5103599999999997,DEC_YL5084_022,decoy,YL5084,DEC_YL5084_022
000125,DEC_YL5084_023,Done,9,-3.24681,-3.24681,-41.2886,-37.2606,-3.16234,DEC_YL5084_023,decoy,YL5084,DEC_YL5084_023
000126,DEC_YL5084_024,Done,9,-7.10113,-7.10113,-76.0052,-56.0516,-6.499186666666667,DEC_YL5084_024,decoy,YL5084,DEC_YL5084_024
000127,DEC_YL5084_025,Done,10,-6.54082,-6.54082,-67.8486,-51.3196,-6.333096666666667,DEC_YL5084_025,decoy,YL5084,DEC_YL5084_025
000128,DEC_YL5084_026,Done,10,-6.51175,-6.51175,-69.8262,-52.5,-6.3652066666666665,DEC_YL5084_026,decoy,YL5084,DEC_YL5084_026
000129,DEC_YL5084_027,Done,10,-6.31989,-5.94567,-66.5324,-51.5972,-5.975766666666666,DEC_YL5084_027,decoy,YL5084,DEC_YL5084_027
000130,DEC_YL5084_028,Done,4,-2.8262,-2.8262,-38.1414,-37.7233,3332.8704466666663,DEC_YL5084_028,decoy,YL5084,DEC_YL5084_028
000131,DEC_YL5084_029,Done,9,-4.04901,-3.77417,-49.9512,-49.0488,-3.7023833333333336,DEC_YL5084_029,decoy,YL5084,DEC_YL5084_029
000132,DEC_YL5084_030,Done,9,-6.39091,-6.39091,-62.554,-48.2585,-6.1452333333333335,DEC_YL5084_030,decoy,YL5084,DEC_YL5084_030
000133,DEC_YL5084_031,Done,10,-6.89097,-6.89097,-64.6995,-49.6311,-6.673963333333333,DEC_YL5084_031,decoy,YL5084,DEC_YL5084_031
000134,DEC_YL5084_032,Done,8,-7.15593,-7.15593,-69.9835,-52.2774,-5.96798,DEC_YL5084_032,decoy,YL5084,DEC_YL5084_032
000135,DEC_YL5084_033,Done,10,-5.2218,-5.2218,-46.501,-44.1449,-4.88927,DEC_YL5084_033,decoy,YL5084,DEC_YL5084_033
000136,DEC_YL5084_034,Done,9,-7.20447,-7.14788,-73.7525,-58.4574,-6.888886666666667,DEC_YL5084_034,decoy,YL5084,DEC_YL5084_034
000137,DEC_YL5084_035,Done,10,-4.16523,-4.16523,-54.2315,-47.6394,-3.637653333333333,DEC_YL5084_035,decoy,YL5084,DEC_YL5084_035
000138,DEC_YL5084_036,Done,10,-6.43111,-6.43111,-64.7588,-49.5871,-6.1016699999999995,DEC_YL5084_036,decoy,YL5084,DEC_YL5084_036
000139,DEC_YL5084_037,Done,10,-4.57681,-4.57681,-50.0007,-45.5638,-4.054916666666666,DEC_YL5084_037,decoy,YL5084,DEC_YL5084_037
000140,DEC_YL5084_038,Done,5,-3.12614,-2.75454,-15.6123,-17.2092,3331.8727066666665,DEC_YL5084_038,decoy,YL5084,DEC_YL5084_038
000141,DEC_YL5084_039,Done,10,-8.74046,-8.74046,-79.0289,-54.4998,-8.275056666666666,DEC_YL5084_039,decoy,YL5084,DEC_YL5084_039
000142,DEC_YL5084_040,Done,9,-4.78581,-4.78581,-44.1067,-41.6033,-4.361196666666667,DEC_YL5084_040,decoy,YL5084,DEC_YL5084_040
000143,DEC_YL5084_041,Done,10,-6.18854,-6.18854,-56.9363,-46.0656,-5.73731,DEC_YL5084_041,decoy,YL5084,DEC_YL5084_041
000144,DEC_YL5084_042,Done,9,-5.79072,-5.79072,-64.152,-54.4011,-5.356426666666667,DEC_YL5084_042,decoy,YL5084,DEC_YL5084_042
000145,DEC_YL5084_043,Done,7,-5.12858,-5.12858,-45.0579,-33.4073,-4.471626666666666,DEC_YL5084_043,decoy,YL5084,DEC_YL5084_043
000146,YL2056,Done,10,-8.63668,-8.28702,-101.053,-68.387,-8.26836,ACT002,active,YL5084,YL2056
000147,YL5084,Done,9,-7.55457,-7.2049,-88.8212,-60.9382,-7.455819999999999,ACT001,active,YL5084,YL5084
