job,title,status,n_poses,best_r_i_glide_gscore,best_r_i_docking_score,best_r_i_glide_emodel,best_r_i_glide_energy,top3mean_r_i_glide_gscore,compound_id,group,anchor,compound_name,gscore_rank,mpae_token,iptm,mpae_rank,glide_rank
000012,DEC_56d_010,Done,8,-5.47385,-5.47385,-52.4621,-44.0205,-5.2524999999999995,DEC_56d_010,decoy,56d,DEC_56d_010,94,2.2,0.58,47.0,94.0
000079,DEC_JNKIN8_027,Done,9,-5.46949,-5.42793,-55.6291,-45.3272,-5.221936666666667,DEC_JNKIN8_027,decoy,JNK-IN-8,DEC_JNKIN8_027,95,2.3,0.69,86.0,95.0
000116,DEC_YL5084_014,Done,5,-5.46366,-5.39129,-58.2147,-46.1614,-4.499276666666667,DEC_YL5084_014,decoy,YL5084,DEC_YL5084_014,96,2.3,0.59,86.0,96.0
000111,DEC_YL5084_009,Done,8,-5.34849,-5.2898,-54.0305,-48.3449,-5.025433333333333,DEC_YL5084_009,decoy,YL5084,DEC_YL5084_009,97,2.3,0.59,86.0,97.0
000037,DEC_56d_035,Done,10,-5.30482,-5.30482,-56.8206,-45.7379,-5.1222433333333335,DEC_56d_035,decoy,56d,DEC_56d_035,98,2.2,0.63,47.0,98.0
000007,DEC_56d_005,Done,10,-5.2394,-5.2394,-64.8651,-50.8841,-5.179056666666667,DEC_56d_005,decoy,56d,DEC_56d_005,99,2.2,0.56,47.0,99.0
000114,DEC_YL5084_012,Done,10,-5.22885,-5.22885,-54.5451,-46.694,-4.887583333333334,DEC_YL5084_012,decoy,YL5084,DEC_YL5084_012,100,2.2,0.65,47.0,100.0
000135,DEC_YL5084_033,Done,10,-5.2218,-5.2218,-46.501,-44.1449,-4.88927,DEC_YL5084_033,decoy,YL5084,DEC_YL5084_033,101,2.2,0.59,47.0,101.0
000115,DEC_YL5084_013,Done,7,-5.20392,-5.05737,-51.2782,-44.5735,-3.8931566666666666,DEC_YL5084_013,decoy,YL5084,DEC_YL5084_013,102,2.3,0.6,86.0,102.0
000043,DEC_56d_041,Done,10,-5.19423,-5.19423,-47.9655,-40.6382,-4.993446666666666,DEC_56d_041,decoy,56d,DEC_56d_041,103,2.2,0.65,47.0,103.0
000078,DEC_JNKIN8_026,Done,10,-5.18061,-5.18061,-55.496,-47.3129,-5.03123,DEC_JNKIN8_026,decoy,JNK-IN-8,DEC_JNKIN8_026,104,2.2,0.63,47.0,104.0
000100,DEC_JNKIN8_048,Done,9,-5.15482,-5.0562,-56.0951,-44.7621,-5.072043333333333,DEC_JNKIN8_048,decoy,JNK-IN-8,DEC_JNKIN8_048,105,2.3,0.62,86.0,105.0
000059,DEC_JNKIN8_007,Done,9,-5.14404,-5.10263,-55.9738,-44.9204,-5.064873333333334,DEC_JNKIN8_007,decoy,JNK-IN-8,DEC_JNKIN8_007,106,2.2,0.63,47.0,106.0
000145,DEC_YL5084_043,Done,7,-5.12858,-5.12858,-45.0579,-33.4073,-4.471626666666666,DEC_YL5084_043,decoy,YL5084,DEC_YL5084_043,107,2.0,0.63,25.0,107.0
000038,DEC_56d_036,Done,3,-4.92897,-4.92897,-47.8641,-38.0734,3330.6760833333333,DEC_56d_036,decoy,56d,DEC_56d_036,108,2.4,0.58,131.0,108.0
000097,DEC_JNKIN8_045,Done,10,-4.92703,-4.92703,-38.5514,-33.2949,-4.215803333333334,DEC_JNKIN8_045,decoy,JNK-IN-8,DEC_JNKIN8_045,109,2.3,0.64,86.0,109.0
000074,DEC_JNKIN8_022,Done,9,-4.88419,-4.67494,-47.3643,-43.5306,-4.755006666666667,DEC_JNKIN8_022,decoy,JNK-IN-8,DEC_JNKIN8_022,110,2.3,0.62,86.0,110.0
000058,DEC_JNKIN8_006,Done,9,-4.86444,-4.86444,-50.4205,-44.6397,-4.770589999999999,DEC_JNKIN8_006,decoy,JNK-IN-8,DEC_JNKIN8_006,111,2.3,0.67,86.0,111.0
000105,DEC_YL5084_003,Done,9,-4.85436,-4.85436,-44.6357,-43.2249,-4.4910733333333335,DEC_YL5084_003,decoy,YL5084,DEC_YL5084_003,112,2.3,0.64,86.0,112.0
000142,DEC_YL5084_040,Done,9,-4.78581,-4.78581,-44.1067,-41.6033,-4.361196666666667,DEC_YL5084_040,decoy,YL5084,DEC_YL5084_040,113,2.3,0.65,86.0,113.0
000053,DEC_JNKIN8_001,Done,3,-4.77998,-4.77998,-37.5783,-31.6624,-3.7856466666666666,DEC_JNKIN8_001,decoy,JNK-IN-8,DEC_JNKIN8_001,114,2.1,0.72,34.0,114.0
000103,DEC_YL5084_001,Done,9,-4.7129,-4.67361,-54.6003,-46.2851,-4.432189999999999,DEC_YL5084_001,decoy,YL5084,DEC_YL5084_001,115,2.3,0.63,86.0,115.0
000094,DEC_JNKIN8_042,Done,9,-4.71074,-4.5741,-46.1589,-49.8548,-4.167676666666666,DEC_JNKIN8_042,decoy,JNK-IN-8,DEC_JNKIN8_042,116,2.2,0.69,47.0,116.0
000061,DEC_JNKIN8_009,Done,9,-4.61258,-4.61258,-57.3623,-49.8881,-4.544273333333333,DEC_JNKIN8_009,decoy,JNK-IN-8,DEC_JNKIN8_009,117,2.3,0.59,86.0,117.0
000087,DEC_JNKIN8_035,Done,7,-4.58714,-4.47427,-50.2839,-40.9429,-4.413993333333333,DEC_JNKIN8_035,decoy,JNK-IN-8,DEC_JNKIN8_035,118,2.1,0.67,34.0,118.0
000139,DEC_YL5084_037,Done,10,-4.57681,-4.57681,-50.0007,-45.5638,-4.054916666666666,DEC_YL5084_037,decoy,YL5084,DEC_YL5084_037,119,2.3,0.57,86.0,119.0
000089,DEC_JNKIN8_037,Done,10,-4.51753,-4.51753,-45.9912,-44.1711,-4.244506666666667,DEC_JNKIN8_037,decoy,JNK-IN-8,DEC_JNKIN8_037,120,2.2,0.64,47.0,120.0
000099,DEC_JNKIN8_047,Done,9,-4.5144,-4.46301,-55.6892,-48.299,-4.422226666666667,DEC_JNKIN8_047,decoy,JNK-IN-8,DEC_JNKIN8_047,121,2.3,0.59,86.0,121.0
000090,DEC_JNKIN8_038,Done,7,-4.45441,-4.2388,-45.1843,-40.8505,-3.5791233333333334,DEC_JNKIN8_038,decoy,JNK-IN-8,DEC_JNKIN8_038,122,2.2,0.6,47.0,122.0
000117,DEC_YL5084_015,Done,10,-4.33298,-4.33298,-53.1508,-47.3059,-4.276879999999999,DEC_YL5084_015,decoy,YL5084,DEC_YL5084_015,123,2.1,0.69,34.0,123.0
000051,DEC_56d_049,Done,9,-4.16699,-4.16699,-33.4546,-39.3886,-3.8045833333333334,DEC_56d_049,decoy,56d,DEC_56d_049,124,2.2,0.64,47.0,124.0
000137,DEC_YL5084_035,Done,10,-4.16523,-4.16523,-54.2315,-47.6394,-3.637653333333333,DEC_YL5084_035,decoy,YL5084,DEC_YL5084_035,125,2.4,0.76,131.0,125.0
000084,DEC_JNKIN8_032,Done,9,-4.05769,-4.05769,-48.2537,-37.3118,-4.01952,DEC_JNKIN8_032,decoy,JNK-IN-8,DEC_JNKIN8_032,126,2.2,0.66,47.0,126.0
000131,DEC_YL5084_029,Done,9,-4.04901,-3.77417,-49.9512,-49.0488,-3.7023833333333336,DEC_YL5084_029,decoy,YL5084,DEC_YL5084_029,127,2.2,0.59,47.0,127.0
000091,DEC_JNKIN8_039,Done,10,-3.99401,-3.99401,-46.5021,-42.5655,-3.654063333333333,DEC_JNKIN8_039,decoy,JNK-IN-8,DEC_JNKIN8_039,128,2.3,0.65,86.0,128.0
000113,DEC_YL5084_011,Done,10,-3.91757,-3.91757,-47.1954,-45.8329,-3.87969,DEC_YL5084_011,decoy,YL5084,DEC_YL5084_011,129,2.1,0.66,34.0,129.0
000067,DEC_JNKIN8_015,Done,9,-3.89835,-3.89835,-42.502,-43.6927,-3.768886666666667,DEC_JNKIN8_015,decoy,JNK-IN-8,DEC_JNKIN8_015,130,2.0,0.76,25.0,130.0
000029,DEC_56d_027,Done,5,-3.69589,-3.69589,-33.9609,-36.4409,-3.0042066666666667,DEC_56d_027,decoy,56d,DEC_56d_027,131,2.3,0.6,86.0,131.0
000110,DEC_YL5084_008,Done,9,-3.59058,-3.59058,-45.7771,-40.2868,-3.1050866666666668,DEC_YL5084_008,decoy,YL5084,DEC_YL5084_008,132,2.6,0.6,145.0,132.0
000098,DEC_JNKIN8_046,Done,8,-3.54228,-3.54228,-45.7446,-39.4478,-3.486473333333333,DEC_JNKIN8_046,decoy,JNK-IN-8,DEC_JNKIN8_046,133,2.2,0.64,47.0,133.0
000085,DEC_JNKIN8_033,Done,9,-3.35535,-3.35535,-41.2037,-42.9356,-2.990626666666667,DEC_JNKIN8_033,decoy,JNK-IN-8,DEC_JNKIN8_033,134,2.2,0.65,47.0,134.0
000119,DEC_YL5084_017,Done,10,-3.33144,-3.33144,-45.2897,-39.6439,-3.0390499999999996,DEC_YL5084_017,decoy,YL5084,DEC_YL5084_017,135,2.3,0.63,86.0,135.0
000125,DEC_YL5084_023,Done,9,-3.24681,-3.24681,-41.2886,-37.2606,-3.16234,DEC_YL5084_023,decoy,YL5084,DEC_YL5084_023,136,2.3,0.64,86.0,136.0
