ligand_id,keep_urat1_acid,acid_arg477_min_A,u_CNNscore,u_CNNaffinity,keep_nlrp3_pose,n_CNNscore,n_CNNaffinity,keep_dual_acid_geometry
REP_08002,True,6.730912419575812,0.28567192,7.02897263,False,0.211060181,5.93408775,False
REP_08014,True,7.175785044160672,0.679052413,6.9677453,True,0.516569078,7.12939692,True
REP_08064,False,,,,True,0.960925579,7.12140512,False
REP_08103,True,3.1085847262058013,0.554768801,6.81048536,True,0.714483738,7.01454163,True
REP_08132,True,4.7928321481145115,0.679168642,7.8227334,False,0.215789661,6.567204,False
REP_08137,True,5.418105757550325,0.514922798,5.89879036,False,0.470675558,6.19839144,False
REP_08143,True,2.984893967966024,0.717797518,6.2839036,True,0.745091975,6.50914192,True
REP_08161,True,7.059184159660369,0.860173464,7.10170507,True,0.81296742,6.75157022,True
REP_08210,True,2.812032361122462,0.793587387,7.71392965,True,0.700600326,7.06341982,True
REP_08222,True,3.557079138844111,0.377040535,6.70951605,False,0.232177705,5.68891382,False
REP_08266,True,6.381303158446547,0.524843991,7.41167307,True,0.58763653,7.1064477,True
